aggregated_GeneScores	GeneID
-0.8644023791561413	10057
-0.3612349702986997	10112
-0.4815454378749909	10123
-0.468997273684722	10150
-0.37426939866287434	10491
-1.0476779774304974	1050
-0.35160620902792095	10559
-0.44012089157596856	1062
-0.35701579428594094	10641
-0.4512648375658112	11004
-0.663980293843538	11041
-0.5588946042380837	11065
-0.6485362368019751	11151
-0.5080753082207646	11188
-0.860579788206931	154
-0.7237610571348024	1759
-0.3715478403761492	1788
-0.42662383432564266	1831
-0.3608982032327188	1870
-0.39135266053167234	1978
-0.39973200184300034	2048
-0.41707654207316686	2115
-0.562968964603488	22905
-0.3692919456175723	23149
-0.6780591084788147	23659
-0.44258953365182274	2542
-0.4106547328314211	25966
-0.3885281077800724	26227
-0.6054161248480093	27242
-0.3990938315589395	27244
-0.5123328461783594	27346
-0.5299027259577811	2852
-0.4381710987783905	2946
-0.8237239860412401	3033
-0.35995947436571957	3108
-0.4053396496557685	3122
-0.4422175565767078	3303
-0.3827501909659407	332
-0.5723925160507152	348
-0.6622210061171077	3693
-0.9024092395912612	3925
-0.46174916945397987	4088
-0.7792150298616455	4208
-0.3711486554881371	4313
-0.7471119025388926	4605
-0.4732446132745116	4775
-0.5655336873487755	501
-0.4400495752417755	51005
-0.4556857185583136	5108
-0.3874543251468278	51203
-0.6939265577435358	51385
-0.42310866707647093	51466
-0.5598461185422146	5287
-0.4235762040482496	54438
-0.42655009175026876	5498
-0.3470698394469169	5627
-0.3836507628734352	5641
-0.6334365666513562	56924
-0.5993032232959268	56997
-0.44054086678425997	57406
-0.38317671523342023	57761
-0.35843840793318027	5827
-0.37934644008288193	5836
-0.36420682211958433	5867
-0.3557241349655315	622
-0.7821713639135524	6275
-0.4978620292974052	6461
-0.42786833196688784	64781
-0.7372983109099597	64943
-0.34949308597409323	670
-0.4236641056833199	6812
-0.4881767649716996	6850
-0.4301851992635723	6894
-0.5862276207303073	701
-0.5053309353907622	7048
-0.3549452600333058	7077
-0.7653976800656552	7099
-0.4174747936223297	7106
-0.5429699914270858	7153
-0.4034862803524243	780
-0.5056262954224284	7852
-0.46740168569211477	79006
-0.3971617385952801	79600
-0.3812762061922052	81544
-0.38838422106173764	835
-0.46575730360539724	8396
-1.375519729351811	84722
-0.5365447255306034	8800
-0.5461393837919603	8821
-0.5485644405944259	8851
-0.3597989303679935	899
-0.6724178797150606	949
-0.5252079051102991	9653
-0.6076409943737892	9697
-0.3491759743209467	9738
-0.6015903152030665	983
-0.6507450997619958	991
-0.3611449016773708	9928
