GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_dn.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
10298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10320	0	0	0	0	0	-0.34425890889942773	0	-0.8269828190095995	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.3167506734072048
10329	0	0	0	0	-0.619480202405094	0	0	0	0	0	-0.4799872651074603	0	-0.4543692295602882	0	0	0	0	0	0	0	0	0
10362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2407770190562772	0
10434	0	0	0	0	0	0	0	0	0	0	0	0	-0.3310821911574075	0	0	0	0	-0.4141748141185273	0	0	0	0
10450	0	0	0	0	-0.44170405621149184	0	0	-0.3004234558082431	0	0	0	0	0	-0.5252366793260378	0	0	0	0	0	0	0	-0.27181390505643366
10451	0	0	0	0	0	0	0	0	0	0	0	0	-2.217233951950782	0	0	0	0	0	0	0	0	-0.5463968019936657
10489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10491	0	0	0	0	-1.1876805965252326	0	0	-1.3658885829600875	0	-0.6376192563972848	0	0	0	-0.9141551965884104	-1.0875360875178313	-0.7121015654092495	0	0	0	0	0	0
10493	0	0	0	0	-0.6600533282536754	0	0	-0.5417859859693296	-0.2927250578324488	-1.1292973107378266	0	0	0	0	0	0	0	-1.0893448283083846	0	0	0	0
10494	0	-0.7169668094061586	0	0	0	0	0	0	-0.3296830167541927	0	0	-0.1501566594069094	-0.43290678553737566	0	0	0	0	0	0	0	0	0
1050	0	0	0	-1.4720823306544677	-1.905151544341048	0	0	-1.8690422851793445	0	0	0	-0.9638126502583104	-1.2436188253928453	-2.6237241921130408	0	-2.809512256964396	0	-1.985708010113724	0	0	-0.7649148174356749	-2.1216856510900075
10513	0	0	0	0	0	0	0	0	0	-0.22422162195671863	0	0	0	0	0	0	0	0	0	0	0	-0.5073262894972381
1052	0	0	0	0	0	0	0	-2.4318576470432998	0	0	0	0	0	0	0	-0.7457147972669137	0	0	0	0	0	0
10523	0	0	0	0	0	0	0	0	0	0	0	-0.3091776366724178	-0.1270576974583843	0	0	0	0	0	0	0	0	0
10525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10559	0	0	0	0	0	0	0	-0.5405006721877842	0	-0.40934646340281744	0	0	0	-0.6884052116067624	-1.026520839478174	-1.6208130668997325	0	-0.786734778184563	0	0	0	-0.774716950109282
10589	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.5243344756791015	0	0	0	0	0	0	0	0
10606	0	0	0	0	0	0	0	-0.5812615370917739	0	0	-0.4795095035085369	0	-0.1972064949971426	0	0	0	0	0	0	0	0	0
10610	0	0	0	0	-2.102762789363516	0	0	0	0	0	0	-0.9371094581120788	0	-1.1809233439658895	0	0	0	0	0	0	0	0
10617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1062	0	0	0	0	-0.4798855138863231	-1.988872000248592	0	-0.9711443033157072	-0.9128721393980034	0	0	0	0	0	-2.183863250285094	-0.9917816696300996	0	0	0	0	0	0
10641	0	0	0	-0.6601419555008767	-0.7365679438511198	0	0	0	0	-0.2597701406651467	0	0	-0.7071599060093808	-0.9636763399967488	0	-1.4646045093209663	0	0	0	0	0	-0.96311473742177
10644	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.8153875769434805	0	0	0	0	0	0	0	0
10652	0	0	0	0	0	0	0	0	-0.15516599290574734	0	0	0	0	0	0	0	0	0	0	0	0	0
10668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10681	0	0	0	0	0	0	0	0	-0.42196622286211016	0	-0.4231977757870564	0	-0.16977172203731383	0	0	0	0	0	0	0	0	0
10682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10695	0	0	0	0	-0.2841083332026181	0	0	-0.7703654982422097	0	-0.3978873402368968	0	0	0	-1.1545478851392927	-0.811343064168961	-0.5655067904344122	0	0	0	0	0	-0.39779381207581527
1070	0	-1.3769433056751097	0	0	-0.7184466752994703	0	0	0	0	0	0	0	0	-0.5973921977423853	0	0	0	0	0	0	0	0
10730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10732	0	0	0	0	0	0	0	0	0	0	0	-0.20332937233833973	-0.5484791897074596	0	0	-0.9059161988116164	0	0	0	0	0	0
10765	0	0	0	0	-0.4519940315863687	0	0	0	0	0	0	-0.2808096984423284	0	0	0	0	0	0	0	0	0	0
10775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10776	0	0	0	0	-0.20600008329300695	0	0	0	-0.17416107196534006	0	-0.3765454550508477	0	-0.4851666305397843	0	0	0	0	0	0	0	0	0
10782	0	0	0	0	0	0	0	0	0	-0.23953720783826565	0	0	0	0	0	0	0	0	0	0	0	0
10797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10810	0	0	0	0	-2.1356278875832357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10813	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5576936664070404	0	0	0	0	0	0	0	0
10818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5784535575945363	0	0	0	0	0	0
10857	0	0	0	0	-0.25847949439034684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10892	0	0	0	0	0	0	0	0	0	0	-0.6678724412226494	0	-0.3291836680563081	0	0	0	0	0	0	0	0	0
10898	0	0	0	0	0	0	0	0	0	0	-0.3369292233672163	0	-0.21606151717224695	-0.5538739695195178	0	0	0	0	0	0	0	-0.48394245188146096
10904	0	0	0	0	0	0	0	0	0	-0.2243141609731752	0	-0.17400916142316714	-0.43659645880662906	-1.2148884902615065	0	0	0	-0.9527767241547104	0	0	0	-0.6529172864163731
10915	0	0	0	0	0	0	0	0	0	0	0	0	-0.34287913520539554	0	0	0	0	0	0	0	0	0
10921	0	0	0	0	0	0	0	0	0	0	0	-0.17127267839235477	0	0	0	0	0	0	0	0	0	0
10953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10954	0	0	0	0	0	0	0	-0.733956687426301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10962	0	0	0	0	0	0	0	0	0	0	0	0	-0.9482815575124436	0	0	0	0	0	0	0	0	0
10969	0	0	0	0	-0.7330669195097341	0	0	0	0	0	0	0	0	-0.9380936730541	0	0	0	0	0	0	0	0
10972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10973	0	0	0	0	-0.23205109547888764	0	0	0	0	0	0	0	-0.3308072372674888	0	0	0	0	0	0	0	0	0
11000	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.9143470429579503	0	0	0	0	0	0	0	0
11004	0	0	0	0	-1.6387642249486176	-2.3278560163498034	0	-2.036752928519987	-1.3283304399835587	0	0	0	0	0	0	0	0	0	0	0	0	0
11007	0	0	0	0	0	0	0	-1.0431236832836868	0	0	0	0	0	-2.633653313415348	0	0	0	0	0	0	0	-0.6890804642348983
