GeneID	GSE84076_MTB_control_blood_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE132283_MTB_control_2h_blood_macrophage_up.tsv	GSE132283_MTB_control_48h_blood_macrophage_up.tsv	GSE143627_MTB_control_blood_PBMC_macrophage_up.tsv	GSE148731_MTB_control_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_up.tsv	GSE148731_MTB_control_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE256184_MTB_control_0h_HEPG2_HepG2_up.tsv	GSE256184_MTB_4control_48h_HEPG2_HepG2_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE183912_MTB_control_blood_macrophages_up.tsv	GSE211974_MTB_control_blood_THP1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv
10007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0.8874473928389193	0	0	0	0.31715459267503016	0	0	0.435643401941005	0	0.8518407218792633	0	0	0	0	0	0	0	0
10038	0	0	0	0	0	0	0	0	0	0	0	0.17022399945230532	0.533273620274141	0	0	0	0	0	0	0	0	0
10046	0	0	0	2.4793050253638333	0	2.172551906046133	0	2.3109665108543025	0	1.0825994706324094	0	0	0	4.398938561623827	2.5690330616771875	5.489699665628501	0	1.9549808898523	0	0	0	4.758505819444214
10049	0	1.7241830381153944	1.3801162579829274	1.8982827161003004	1.033176856406227	0.528963821629044	0	1.166369927675097	0.24533090817569456	0.3893138053212655	0.2370574942069072	0	0	1.6502915514647865	1.1680262274614193	1.864151416679632	0	0	0	0	0	0.7974892394322727
10051	0	0	0	0	0	0	0	0	0	0.4220717461850738	0	0	0	0	0	0	0	0	0	0	0	0
10057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10058	0	0	0	0.9542308408701664	0.9740805462876092	1.242995120637459	0	0	0.6946368028475843	0	0	0	0	0	0	0	0	0	0	0	0	0
10059	0	0	0	0.6322391927104151	0.5154866264459496	0	0	0	0.19037609465436223	0	0	0	0.13600466847457027	0	0	0.7147700660482693	0	0	0	0	0	0.38154992386788655
10099	0	0	0	0	1.4510895809965538	0	0	0.6257223149899667	0.42339063725545706	0	0	0	0.3328806537413685	0	0	0	0	0	0	0	0	0
10112	0	0	2.179672699944618	0	0	0	0	0	0	2.9531713936385566	0	0	0	1.0960580801861948	0	0	0	0	0	0	0	0
10123	0	0	0	0	0	0	0	0	0	0	0	0.6806816345002397	0	0	0	0	0	0	0	0	0	0
10131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6623679628095895	0	0	0	0	0	0	0
10146	0	0	0	1.539274724875969	1.3968378343253824	0	0.2591778365178158	0	0.3595247218417332	0	0	0	0	1.017042413152824	0	1.6201515870268206	0	0	0	0	0	0.5075607184544385
10150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10153	0	0.6341045077404629	0	0	0.3467128481384861	0	0	0	0.32233148962106617	0	0	0	0.7557727585329951	0	0	1.149359073720226	0	0	0	0	0	0.5819303155014882
10165	0	0.954321117998422	0	0	0	0	0	0.3300452612226165	0	0	0	0	0	0	0	0.7867842367841968	0	0	0	0	0	0
1017	0	0	0	0	1.2604395337862346	0	0	0.6640934056609212	0	0.6221260699771642	0	0	0	4.218661976117555	2.8918190646339195	0	0	1.1459651224010885	0	0	0	0
10174	0	0	0	0	0	0	0	0	0	0	0	0.4855512301281908	0.20852856872021008	0	0	0	0	0	0	0	0	0
10180	0	0	0	0	0	0	0	0	0.2211550474560797	0	0	0	0.33972198110435126	0	0	0	0	0.4276167547821328	0	0	0	0
1019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9953401407056064	0	0	0	0	0	0
10190	0	0	0	0.6916562070107646	0.8479905026988602	0	0	0.43531627985290833	0	0	0	0.2559921585319234	0.3002645410804292	0.6743729821879365	0	0.5042525511531241	0	0	0	0	0	0.7670164075267119
102	0	0	0	0	0	0	0	0.8427404369821696	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0.3597304910001025	0	0	0	0	0	0	0	0.40329949699734646	0	0	0	0	0	0.301431259317144
1021	0	0	0	1.8126395168475675	0	0	0	0	0	1.010060891457278	0	0	0.5860728661856731	1.776770096415343	1.4516139324316246	2.9238532292435586	0	1.3378582033118789	0	0	0	0
1022	0	0	1.088229870576085	0	0	1.6274653161939083	0	1.255853542287128	0.6918156956100783	0	0	0	0	0	0	0	0	0	0	0	0	0.9781763799346348
10221	0	2.9417411626900187	0	1.6667289929347024	0	0	0.5486774869103341	1.522871086629806	0	0	0.5499802358625046	0.5927882087315821	1.5113035935746804	1.667326399040674	1.6063424906919552	1.1802668736958686	0	0	0	0	0	1.3703614026001518
10227	0	0	0	0	0	0	0	0.4993413422159164	0	0	0	0	0	0	1.2317323622739476	0	0	0	0	0	0	0
10237	0	0	0	0	0	0	0	0	0	0	0.5610768303388606	0	0.4914843279076834	0	0	0	0	0	0	0	0	0
10245	0	0	0	0	0	0	0	0	0	0	0	0	0.5965709049301455	0	1.3191431034905292	0	0	0	0	0	0	0
1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027	0	0	0	0	0	0	0	0.38970594631015887	0.4513976572580042	0	0	0	0.4105649716799919	0	0	0	0	0	0	0	0	0
10270	0	0	0	0	0.7823929032104467	0	0	0	0	0	0	0	0	0.526618462110391	0	0.5138802350321645	0	0	0	0	0	0.2688643273582112
10273	0	0	0	0	0	0	0	0	0	0	0	0	0.17193563550340113	0	0.8845280369144283	0	0	0	0	0	0	0
10276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10285	0	1.141204349188909	0.8882464128067578	0	0	0	0	0.3810433277388859	0	0.1824061090882174	0	0	0.15435300889735418	1.3582596224820052	0	0.6237835535986527	0	0.716377929212068	0	0	0	0.6081063448958361
1029	0	0	0	0	0	0	0	1.251045143061274	0	0.7168519123502824	0	0	0.7774779919541993	2.597796739870552	0	1.0835632865980058	0	0	0	0	0	0
10298	0	0	0	0	0.7458836412189364	0	0	0.5668916601108831	0	0.3809586013181069	0	0	0.31512753724602766	0.8319689143550257	1.1309176271765506	0	0	0	0	0	0	0
10318	0	2.264237700710129	0	1.9303852964569248	1.6187927849806365	2.141086838364617	0.8250280531527188	3.066522436329922	1.3223481295216324	1.127704831920076	0.885617023364831	0	1.7249998846508998	1.739510232254711	2.5220725174312038	3.2329951081003645	0	1.0722433240484956	0	1.1550375676276063	0	3.3757402457148733
10320	0	0	0	1.1069513886333835	0	0	0	0	0	0	0	0	0	2.0252051833060976	1.4524550622173316	0	0	0	0	0	0	0
10329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10362	0	0	0	0	0	0.6884042668188857	0	0.7769813445407425	0.6882546569080829	0	0.2894719575555682	0.2843135637827073	0.9920218955108624	0	1.4640773957875088	0	0	0	0	0	0	0
10398	0	0	0	0	0	0	0	0	0	0	1.9166964457452973	0.6267485325979837	1.7523774490104604	0	2.1449927096183905	0	0	0	0	0	0	0
10434	0	1.9244036129227773	2.1179401764547614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10450	0	0	0	0	0	0	0	0	0	0	0	0	0.4181196579063061	0	0	0	0	0	0	0	0	0
10451	0	1.7546263016556507	1.8162256000718764	0	0.9882928746462664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10489	0	0	0	0	0.3324546829362716	0	0	0	0	0	0	0	0	0	0	0.9315148640151026	0	0	0	0	0	0
10491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10493	0	0	0	0	0	0	0	0	0	0	0	0.2953106396718597	0.6605865823714602	0	0	0	0	0	0	0	0	0
10494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7342144018054443	0	0	0	0	0	0	0
1050	0	1.7494954240287193	1.7620304596607594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10513	0	0	0	0	0.315956590101658	0	0	0.3916786863449743	0	0	0	0	0.31605179086156754	0	0	0	0	0	0	0	0	0
1052	0	2.2899663313777374	2.383907206998165	2.015619853297675	1.853722782848048	0	0	0	0	0	0.940424963263943	0	0.5219114626346044	0	0	0	0	0	0	0	0	0
10523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9728373950371622	0	0	0	0	0	0.4336849314288512
10525	0	0	0	0	0.53314080402936	0	0	0.5213461312856508	0	0	0	0	0	1.0641646319727012	1.975120562652656	1.3331324980035593	0	0	0	0	0	0
10557	0	0	0	0	0	0	0	0	0	0	0	0	0.8956781702599124	0	0	0	0	0	0	0	0	0
10559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10589	0	0	0	0	1.1731260447389444	0.6719210178373403	0	0.6434910471180112	0.8156440582630899	0.40052557528461086	0	0.4209705110323866	1.2061951833506	0	0	0	0	0	0	0	0.44170182933850616	0
10606	0	0	0	0	0	0	0	0	0	0.9704265937685732	0	0	0	0.4811651903912352	0	1.322046076465885	0	0	0	0	0	0
10610	0	2.102125823581241	1.7940761369337674	0	0	0	0	0	0	0	1.0114461999162778	0	0	0	0	0	0	0	0	0	0	0
10617	0	0	0	0	0	0	0	0.2431712379593917	0	0	0	0.17774288942281644	0.364728724395455	0	0	0	0	0	0	0	0	0
1062	0	0	1.0012652112190257	0	0	0	0	0	0	2.0815411848175165	0	0	0.2987948047276421	0	0	0	0	1.1871255463827124	0	0	0	0
10641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10644	1.7342468728423452	0	0	0	0	0	0	1.5016063260010484	0	0	0	0.484053432605805	0.8559219460520505	0	0	0	0	0	0	0	0	0.6909159273699035
10652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8242874275004011	0.5532240354572949	0	0	0	0	0	0
10668	0	0	0	0	0	0	0	0	0	0	0	0	0.3110711813801124	0	0	0	0	0	0	0	0	0
10670	0	0	0	0	0.4476520206532799	0	0	0.374850659511104	0	0	0.40361679193076194	0	0.3123207054208637	0	0.6134118702363076	0.3568436637501657	0	0	0	0	0	0.24659647327030929
10681	0	0	0	0	0	0	0	0	0	0	0	0.31961273865733747	0	0	0	0	0	0	0	0	0	0
10682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10695	0	0	0	0	0	0	0	0	0	0	0	0	0.30893506816965044	0	0	0	0	0	0	0	0	0
1070	0	0	0	0	0	0	0	0	0	0	0	0.33443962296113083	0.8325627204974114	0	0	0	0	0	0	0	0	0
10730	0	1.377589307702683	1.0231975205151114	0	1.084363574840704	0.6514671995593619	0	0.6610348672839287	0.5628309636356885	0	0	0	0	0.7353528265369459	0	0.6788795750806732	0	0	0	0	0	0.406376114137526
10732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10765	0	0	0	0	0	0	0	0.3713446747717288	0	0	0.4804424974518655	0	0.2228916522409136	0.8898198176805597	0	0	0	0	0	0	0	0
10775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10776	0	0.8409095715641876	0.8438377668661278	0	0	0	0	0	0	0.24129666997269664	0	0	0	1.9809345078056373	1.0896538551281572	0	0	0	0	0	0	0.25526717619264166
10782	0	0	0	0	0	0	0	0.2838539213754285	0	0	0	0	0.5717519772034992	0	0	0.7323095845194284	0	0	0	0	0	0.2884752144103991
10797	0	0	0	1.9700142629096369	1.5707063697917043	0.6971055006304415	0.3972622652219919	1.7433432354679856	0.9080481799650592	0.9108474268002512	0.5387847263030487	0.3394425643775674	0.30075519144464946	2.6524765495586355	2.3121499941818096	1.986677508612282	0	0	0	0	0	1.163151861954936
10810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10813	0	0	0	0	0	0	0	0	0	0.29753282017569727	0	0	0.4081239007938562	0	0	1.0740527785017586	0	0	0	0	0	0.6811228377832732
10818	0	0.8772054885059958	0	0	0.3159558342682301	0	0	0	0	0	0	0	1.2550912607066411	1.4215572550053377	0	0.41571688780110144	0	0	0	0	0.2940087819390049	0
10845	0	0	0	0	0	0	0	0	0	0	0	0	0.4113754372154456	0	0	0	0	0	0	0	0	0
10857	0	0	0	0	0	0	0	0	0	0	0.8772639065928622	0	0.17275617742831215	0	0	0	0	0	0	0	0	0
