GeneID	Symbol	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	infected	control
3964	NA	14.76443806429401	8.634122731743709	4.107198879440925	9.955039055168178e-5	0.0030607719643858276	14.38650119835177	-0.37793686594224074
1509	NA	12.453029579318374	7.4867142971184775	3.5628369443121914	6.358255334575706e-4	0.010207251007751501	12.338544003346419	-0.11448557597195543
9805	NA	9.84803359124297	6.352467263237488	3.0268871387896565	0.0033665487630589407	0.03204513133910175	10.189363467617863	0.341329876374892
2523	NA	6.817065944471751	5.203676893971729	2.9700122852998803	0.00397737485703107	0.03585809825034316	7.859676612597089	1.0426106681253378
5603	NA	5.2188838150916785	3.6412118403862928	2.9441614864048606	0.004287629025951351	0.03779375229608137	5.674543196915518	0.45565938182383936
1153	NA	5.081787119122418	4.217299541943078	4.516957024839258	2.245539828762507e-5	0.0011725744338791908	6.197216601341424	1.1154294822190058
596	NA	4.833766501424474	4.1640901993228505	3.3951338099053157	0.0010905439367968346	0.014647067284453093	6.047375849228491	1.213609347804017
10245	NA	4.277265522349291	2.7967893689561745	3.2071907927765637	0.0019583719664719107	0.022089294137714845	4.463256455585768	0.1859909332364773
10362	NA	4.141672253807247	3.3111397675470213	2.8544530340835896	0.005546095989790264	0.045640515471536525	4.924778307991405	0.783106054184158
1019	NA	3.693337404286725	2.891078742047093	3.2352551110813357	0.0017968146857292738	0.020798745334811457	4.330041367093869	0.6367039628071435
2222	NA	3.6146028701753443	2.4060010221890864	4.065564456567265	1.1531993517862583e-4	0.0033340553576526504	3.814287854724937	0.19968498454959258
6499	NA	3.3116505195947488	2.2272797193580818	3.9660666035697245	1.633264826830079e-4	0.004182147814155808	3.5175331685508398	0.20588264895609093
7485	NA	3.294039175983482	2.7239069112670387	4.136555116272155	8.970178562823415e-5	0.0028652168296028745	4.007298798013848	0.7132596220303663
9112	NA	3.2737724659837313	2.855894208121848	2.92077234319988	0.0045874699821974	0.03977661705645973	4.131389974089534	0.8576175081058027
1452	NA	3.082633692276955	2.2312853191810027	4.002022727106266	1.4410349303642402e-4	0.003844624765131506	3.4323114330551414	0.34967774077818653
6839	NA	2.951757766261773	2.849833274401912	2.896962284987546	0.004912497281561677	0.0417463202108655	3.9998687677506544	1.0481110014888815
10641	NA	2.9076886801299064	1.8260611678651426	4.387459073747553	3.623752839394018e-5	0.0015482428470410094	2.9589268873962737	0.051238207266367256
1017	NA	2.8699464553136314	2.017938445330276	4.507270906760787	2.327941210891875e-5	0.0011920579382357454	3.1360994019459776	0.2661529466323464
5257	NA	2.5906535358002345	1.7486016922144387	5.385799297245848	7.687447495348173e-7	1.1618670645408336e-4	2.7579472256431017	0.1672936898428673
9926	NA	2.581315577407107	1.8906778272401454	4.253029594658032	5.910058380384087e-5	0.002206184443601208	2.896385195061096	0.31506961765398933
11065	NA	2.4219945756816434	1.8153381112330347	4.248914101875189	5.998468298488634e-5	0.002228357285533955	2.7589723614986106	0.3369777858169673
9709	NA	2.3038340539333455	2.5426482039419938	2.822121944937159	0.006077423457115199	0.04846742655979648	3.4402458872926482	1.1364118333593027
4331	NA	2.270404088368548	1.6391402754033666	4.323014762976873	4.585938982913331e-5	0.0018533175150512787	2.523713296845659	0.25330920847711075
7027	NA	2.1778702524014726	2.111528734532376	2.985249668822615	0.0038043725030343398	0.034842567158008764	2.9600496120913915	0.7821793596899189
1676	NA	2.069872226682409	1.837692790447698	3.0092799960851755	0.003545649735145451	0.033172435116433786	2.6441365151291554	0.5742642884467466
5255	NA	2.012271070907595	2.089818746604013	3.0186629885243703	0.0034491336692315548	0.032614137798074566	2.8738204625420374	0.8615493916344424
6777	NA	1.9191938875441767	1.560758594688215	4.556996288775786	1.9339537882747083e-5	0.0010861692122062486	2.3084964729521804	0.3893025854080036
7264	NA	1.8382873648084264	1.5633880319231583	3.2816062476624914	0.00155704668032722	0.01872142201353435	2.2796038883420255	0.4413165235335993
2954	NA	1.8037208615017213	1.5611307712448472	3.7311750361375777	3.642466261562439e-4	0.007081889965447187	2.2638791588429203	0.460158297341199
9710	NA	1.777452516616066	1.5523315049330353	3.2742774534862003	0.001592844349258016	0.019042428586949527	2.2448454724457885	0.46739295582972246
6697	NA	1.7265369170131253	1.7042181738116917	3.4929297224154547	7.977021825424095e-4	0.011838268334013278	2.376894894725896	0.6503579777127709
11200	NA	1.7264422964186115	1.5771120826630316	3.444718760039179	9.31283568742092e-4	0.013215695834286634	2.2497519384105433	0.5233096419919319
2064	NA	1.679502366955798	1.6226605731467427	3.705781129884273	3.965648798208455e-4	0.007502830046163217	2.277012144687963	0.5975097777321651
3300	NA	1.5363331621444387	1.3370338580698944	4.372081940310017	3.8338264018187715e-5	0.0016197916547684309	1.935605219944351	0.39927205779991237
2288	NA	1.3919556448660773	1.1818542963372833	3.7432683234348874	3.4975345731421385e-4	0.006924299011151475	1.7241746774539364	0.33221903258785906
4200	NA	1.3574507001233669	1.347865858216096	3.57748911843703	6.060992532719365e-4	0.009892348655246092	1.8767427543680575	0.5192920542446905
3693	NA	1.3527071484734772	1.2810930768232711	4.3232467320762185	4.582068339154947e-5	0.0018533175150512787	1.808121835968782	0.4554146874953048
6915	NA	1.3148661189967914	1.7291418507353187	3.0854296425650998	0.0028296758229946787	0.028205723082826317	2.241427351643159	0.9265612326463674
5287	NA	1.2873024376065783	1.2116407539134664	3.5750959993930924	6.108625939184886e-4	0.009935201768105603	1.7131871581757696	0.4258847205691914
