Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
regulation of complement-dependent cytotoxicity	GO:1903659		10	10	9.726741878791314	0.027706106028051302	0.9010998239073468	0.7579538663594994	1	1
regulation of sprouting angiogenesis	GO:1903670		33	31	32.09824820001134	-0.034814250953282756	0.8569716689592056	0.9395593221249762	1	1
negative regulation of sprouting angiogenesis	GO:1903671		10	10	9.726741878791314	0.027706106028051302	0.9010998239073468	0.7579538663594994	1	1
positive regulation of sprouting angiogenesis	GO:1903672		18	17	17.508135381824367	-0.029452307811897387	0.860701742069118	0.9145032911350257	1	1
regulation of wound healing, spreading of epidermal cells	GO:1903689		9	9	8.754067690912184	0.027706106028051302	0.9010998239073468	0.7792586111452046	1	1
positive regulation of wound healing, spreading of epidermal cells	GO:1903691		5	5	4.863370939395657	0.027706106028051302	0.9010998239073468	0.8706228013638881	1	1
regulation of hemopoiesis	GO:1903706		162	147	157.5732184364193	-0.06945764242559652	0.8331218865747423	0.9999635553661925	1	1
negative regulation of hemopoiesis	GO:1903707		47	39	45.71568683031918	-0.1588798495523609	0.7735967665742511	0.9999692887812648	1	1
positive regulation of hemopoiesis	GO:1903708		70	66	68.08719315153921	-0.031134393994882287	0.8595304761821395	0.9575825846591857	1	1
regulation of aerobic respiration	GO:1903715		18	16	17.508135381824367	-0.09007692962833219	0.8191342055410109	0.9226484807982798	1	1
regulation of centriole elongation	GO:1903722		9	9	8.754067690912184	0.027706106028051302	0.9010998239073468	0.7792586111452046	1	1
positive regulation of centriole elongation	GO:1903724		7	7	6.80871931515392	0.027706106028051302	0.9010998239073468	0.8236775099838158	1	1
regulation of phospholipid metabolic process	GO:1903725		22	17	21.398832133340893	-0.23012300327404855	0.72831750822995045	0.9997886802855391	1	1
positive regulation of phospholipid metabolic process	GO:1903727		11	7	10.699416066670446	-0.4242790177150059	0.6147769676138203	0.9999939827644864	1	1
regulation of plasma membrane organization	GO:1903729		10	10	9.726741878791314	0.027706106028051302	0.9010998239073468	0.7579538663594994	1	1
regulation of establishment of protein localization to mitochondrion	GO:1903747		18	17	17.508135381824367	-0.029452307811897387	0.860701742069118	0.9145032911350257	1	1
negative regulation of establishment of protein localization to mitochondrion	GO:1903748		5	4	4.863370939395657	-0.19543744528615845	0.7501220789426133	0.9929454826025617	1	1
positive regulation of establishment of protein localization to mitochondrion	GO:1903749		7	7	6.80871931515392	0.027706106028051302	0.9010998239073468	0.8236775099838158	1	1
negative regulation of p38MAPK cascade	GO:1903753		7	6	6.80871931515392	-0.12644457379920696	0.7948447870971717	0.985714004572201	1	1
regulation of potassium ion export across plasma membrane	GO:1903764		8	7	7.781393503033051	-0.10582528659647132	0.8085560602070132	0.8236775099838158	1	1
negative regulation of potassium ion export across plasma membrane	GO:1903765		6	5	5.836045127274788	-0.15461545076590333	0.7763678440015928	0.8706228013638881	1	1
regulation of cardiac conduction	GO:1903779		19	15	18.480809569703496	-0.20868267203617905	0.7417416895187326	0.9987576803958413	1	1
guanine nucleotide transmembrane transport	GO:1903790		7	7	6.80871931515392	0.027706106028051302	0.9010998239073468	0.8236775099838158	1	1
regulation of miRNA processing	GO:1903798		11	11	10.699416066670446	0.027706106028051302	0.9010998239073468	0.7372304127554792	1	1
negative regulation of miRNA processing	GO:1903799		6	6	5.836045127274788	0.027706106028051302	0.9010998239073468	0.8468255806392994	1	1
positive regulation of miRNA processing	GO:1903800		5	5	4.863370939395657	0.027706106028051302	0.9010998239073468	0.8706228013638881	1	1
negative regulation of voltage-gated potassium channel activity	GO:1903817		7	7	6.80871931515392	0.027706106028051302	0.9010998239073468	0.8236775099838158	1	1
