Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
mitotic cytokinetic process	GO:1902410		25	21	24.528220964144793	-0.15530189301454414	0.7759213214117365	0.670110576729243	1	1
regulation of mitotic cytokinesis	GO:1902412		10	10	9.811288385657917	0.01905149413023362	0.8949089843363195	0.8264924841309288	1	1
protein localization to cell junction	GO:1902414		21	18	20.603705609881626	-0.13509918569702473	0.7891367848831006	0.9994218367547957	1	1
regulation of mRNA binding	GO:1902415		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
positive regulation of mRNA binding	GO:1902416		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
regulation of attachment of mitotic spindle microtubules to kinetochore	GO:1902423		7	7	6.867901869960542	0.01905149413023362	0.8949089843363195	0.8751293606501191	1	1
negative regulation of attachment of mitotic spindle microtubules to kinetochore	GO:1902424		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
positive regulation of attachment of mitotic spindle microtubules to kinetochore	GO:1902425		5	5	4.905644192828959	0.01905149413023362	0.8949089843363195	0.9091288263765767	1	1
deactivation of mitotic spindle assembly checkpoint	GO:1902426		3	3	2.943386515697375	0.01905149413023362	0.8949089843363195	0.9444450407675382	1	1
negative regulation of amyloid-beta formation	GO:1902430		14	12	13.735803739921083	-0.1350991856970246	0.7891367848831007	0.997922990807653	1	1
regulation of mitochondrial membrane permeability involved in programmed necrotic cell death	GO:1902445		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
negative regulation of stem cell population maintenance	GO:1902455		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
positive regulation of stem cell population maintenance	GO:1902459		2	2	1.9622576771315834	0.01905149413023362	0.8949089843363195	0.962612739016054	1	1
regulation of mesenchymal stem cell proliferation	GO:1902460		6	6	5.88677303139475	0.01905149413023362	0.8949089843363195	0.8919676026776707	1	1
positive regulation of mesenchymal stem cell proliferation	GO:1902462		6	6	5.88677303139475	0.01905149413023362	0.8949089843363195	0.8919676026776707	1	1
protein localization to cell leading edge	GO:1902463		1	1	0.9811288385657917	0.01905149413023362	0.8949089843363195	0.9811288385657917	1	1
regulation of protein localization to synapse	GO:1902473		9	8	8.830159547092126	-0.09873154152614992	0.8133095999513574	0.988290814811948	1	1
positive regulation of protein localization to synapse	GO:1902474		5	4	4.905644192828959	-0.2040920571839762	0.7446386799343393	0.9965807335369191	1	1
