names	GSE112482_MTB_control_lung_ILC1_dn.tsv	GSE112482_MTB_control_lung_ILC2_dn.tsv	GSE112482_MTB_control_lung_ILC3neg_dn.tsv	GSE112482_MTB_control_lung_ILC3pos_dn.tsv	GSE112482_MTB_control_lung_NK_dn.tsv	GSE112482_MTB_control_lung_susp_dn.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv
GSE112482_MTB_control_lung_ILC1_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE112482_MTB_control_lung_ILC2_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE112482_MTB_control_lung_ILC3neg_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE112482_MTB_control_lung_ILC3pos_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE112482_MTB_control_lung_NK_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE112482_MTB_control_lung_susp_dn.tsv	1	1	1	1	1	1	0.1487233231707317	0.14685513708376816
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_dn.tsv	0.1487233231707317	0.1487233231707317	0.1487233231707317	0.1487233231707317	0.1487233231707317	0.1487233231707317	1	0.44081632653061226
GSE236156_MTB_control_BALF_alveolar_macrophage_dn.tsv	0.14685513708376816	0.14685513708376816	0.14685513708376816	0.14685513708376816	0.14685513708376816	0.14685513708376816	0.44081632653061226	1
