names	GSE112482_MTB_control_lung_ILC1_up.tsv	GSE112482_MTB_control_lung_ILC2_up.tsv	GSE112482_MTB_control_lung_ILC3neg_up.tsv	GSE112482_MTB_control_lung_ILC3pos_up.tsv	GSE112482_MTB_control_lung_NK_up.tsv	GSE112482_MTB_control_lung_susp_up.tsv	GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv
GSE112482_MTB_control_lung_ILC1_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE112482_MTB_control_lung_ILC2_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE112482_MTB_control_lung_ILC3neg_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE112482_MTB_control_lung_ILC3pos_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE112482_MTB_control_lung_NK_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE112482_MTB_control_lung_susp_up.tsv	1	1	1	1	1	1	0.15315208358067198	0.1632501327668614
GSE165708_MTB_control_BAL_bronchoalveolar_lavage_up.tsv	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	0.15315208358067198	1	0.3806240608149916
GSE236156_MTB_control_BALF_alveolar_macrophage_up.tsv	0.1632501327668614	0.1632501327668614	0.1632501327668614	0.1632501327668614	0.1632501327668614	0.1632501327668614	0.3806240608149916	1
