Description	ID	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected	pvalue	p.adjust	qvalue
kinetochore assembly	GO:0051382		8	1	1.1061515803783846	-0.1008869464926179	0.8118632920583256	0.6960071370907963	1	1
kinetochore organization	GO:0051383		9	1	1.2444205279256826	-0.21866998214900124	0.7354666831265138	0.7380589663076935	1	1
response to glucocorticoid	GO:0051384		18	1	2.488841055851365	-0.9118171627089465	0.39169996814339797	0.9314374416844313	1	1
neuron apoptotic process	GO:0051402		12	1	1.6592273705675766	-0.5063520546007821	0.5711303177165913	0.8324284542721028	1	1
stress-activated MAPK cascade	GO:0051403		15	2	2.074034213209471	-0.03634842535504679	0.8559063101375576	0.6345789636448413	1	1
detoxification of nitrogen compound	GO:0051410		5	0	0.6913447377364904	-Inf	0	1	1	1
regulation of ubiquitin-protein transferase activity	GO:0051438		27	5	3.7332615837770478	0.2921556416169895	1.1021940218903628	0.25804850819959296	1	1
positive regulation of ubiquitin-protein transferase activity	GO:0051443		14	2	1.9357652656621729	0.03264444613190488	0.904644034453556	0.5095429314815771	1	1
negative regulation of ubiquitin-protein transferase activity	GO:0051444		11	2	1.5209584230202786	0.27380650294879283	1.0875396753210675	0.46203998561728676	1	1
regulation of meiotic cell cycle	GO:0051445		6	0	0.8296136852837883	-Inf	0	1	1	1
intracellular pH reduction	GO:0051452		20	2	2.7653789509459616	-0.3240304978068277	0.67159200483869	0.7606219683758889	1	1
regulation of intracellular pH	GO:0051453		42	4	5.807295796986518	-0.37282066197625957	0.6434577649965386	0.8374060198932296	1	1
maintenance of protein location in nucleus	GO:0051457		20	4	2.7653789509459616	0.3691166827531176	1.1646908281578776	0.2958505769961966	1	1
regulation of corticotropin secretion	GO:0051459		5	0	0.6913447377364904	-Inf	0	1	1	1
regulation of cytosolic calcium ion concentration	GO:0051480		17	2	2.350572108304067	-0.16151156830905264	0.7718900400001604	0.7031331664343583	1	1
negative regulation of cytosolic calcium ion concentration	GO:0051481		7	2	0.9678826328310864	0.7257916266918502	1.4729274275023778	0.2508003221227461	1	1
regulation of filopodium assembly	GO:0051489		22	2	3.0419168460405572	-0.41934067761115246	0.6174852904881808	0.8286704866840152	1	1
positive regulation of filopodium assembly	GO:0051491		13	1	1.7974963181148749	-0.5863947622743187	0.5310189257756058	0.8556141556167234	1	1
