ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EntrezID	Symbol
ENSG00000085224	5965.354404644883	-0.7170833215288375	0.282678386130759	-2.536746198901585	0.011188803785455245	0.039629609176073034	546	ATRX
ENSG00000148690	570.4300423779933	-0.7820186580451269	0.30586984123310074	-2.5567040375489563	0.010566907997828664	0.03801965130157669	118924	FRA10AC1
ENSG00000121940	905.1271580600718	-0.8476279911693074	0.3220886020486774	-2.631660933599895	0.008496861441887368	0.03232694966938159	23155	CLCC1
ENSG00000145284	138.50571354607607	-0.8506593822018514	0.3281702253841104	-2.592128463836681	0.009538414676868893	0.03523152714844772	79966	SCD5
ENSG00000175581	440.2059113392773	-0.8537423863718359	0.3202309098463194	-2.6660211744754796	0.007675485843412423	0.030005029541500864	51642	MRPL48
ENSG00000165632	1582.2875974028077	-0.8599939726078796	0.32422774726268994	-2.652437923245079	0.007991282088359163	0.03089776215442925	83860	TAF3
ENSG00000181785	278.67225106660686	-0.8856934570395797	0.3481093377803767	-2.5442967508052496	0.010949801560605097	0.03901662242117304	219447	OR5AS1
ENSG00000160613	6379.55233494585	-0.8910537071822016	0.3640798265329897	-2.4474130183685476	0.014388585051042653	0.04765294111984645	9159	PCSK7
ENSG00000270049	197.70001331288077	-0.8946516192181522	0.3369230440479903	-2.6553589462723743	0.007922405830481228	0.03073419977993518	101927837	ATP6V0D1-DT
ENSG00000228793	55.54712490889536	-0.9108631793655282	0.37209704388570486	-2.447918343703137	0.014368421481137426	0.04761094993977625	100507336	LOC100507336
ENSG00000157326	207.47878078924808	-0.9200671152698627	0.3662461152017604	-2.512155288699811	0.011999627276047538	0.04172892114787886	10901	DHRS4
ENSG00000139974	267.21915485852503	-0.9248380448010763	0.32416733489001215	-2.8529649513109265	0.0043313398394079	0.02000561666613433	145389	SLC38A6
ENSG00000198270	325.9635859286419	-0.9329980868304611	0.35060469762834784	-2.661111197715522	0.0077883231304215605	0.030315723122774453	89894	TMEM116
ENSG00000235954	572.7324576692498	-0.9433673814908322	0.3811172216858187	-2.4752683106734947	0.013313611336365971	0.044970773988295784	284900	TTC28-AS1
ENSG00000215039	336.30705256672434	-0.9454817597260893	0.35033709432562443	-2.6987771921385564	0.006959475319475204	0.028019596440513692	678655	CD27-AS1
ENSG00000150477	487.4396349605225	-0.9524721736574479	0.34212254417008264	-2.784008800027911	0.005369157741838588	0.02334955028902459	57536	KIAA1328
ENSG00000204514	859.2868914832293	-0.9533437884379472	0.3817808914279565	-2.4970966589558783	0.012521482053786868	0.043020403842642024	730051	ZNF814
ENSG00000156042	64.0490060308255	-0.9540582158584077	0.39224497694993027	-2.432301933544435	0.015003194710601584	0.04920808061501125	118491	CFAP70
ENSG00000111696	276.6905120511471	-0.9677878350349183	0.39605603309709325	-2.443562915749512	0.014543033612622441	0.04807060149041024	51559	NT5DC3
ENSG00000178105	628.6463998609901	-0.9710793997763558	0.3926172757273783	-2.4733486267951292	0.013385349583586802	0.0451711167313483	1662	DDX10
ENSG00000228198	300.5995285239644	-0.9755853487870029	0.3701472461848262	-2.6356682613271754	0.008397178166917242	0.0320402875488729	127062	OR2M3
