ENSEMBL	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EntrezID	Symbol
ENSG00000171853	1200.04887171171	-0.17376382568734458	0.05724206648789915	-3.0355966572953452	0.002400602644161258	0.027730102690120335	51112	TRAPPC12
ENSG00000070366	943.9998713780593	-0.18439812245779033	0.06274352633206184	-2.9389186938886342	0.003293594629627008	0.033908809292328826	23293	SMG6
ENSG00000109572	1742.7881926510302	-0.18564089161585762	0.058265152822345775	-3.1861392723346786	0.001441851692586487	0.020342186816385947	1182	CLCN3
ENSG00000211450	1389.6964020990686	-0.18915191266280246	0.06576955789467026	-2.875979689048977	0.004027756283485048	0.03913006908081489	280636	SELENOH
ENSG00000143641	2352.1626612651326	-0.19723519575871565	0.06995013997403002	-2.819654054043952	0.004807544813498503	0.043649737127661514	2590	GALNT2
ENSG00000015676	1255.7951801673591	-0.2019491530596825	0.06935112294434723	-2.9119810103398374	0.003591444686098249	0.036033671718683796	23386	NUDCD3
ENSG00000099991	1451.919791359789	-0.20301740903576215	0.07263384993431436	-2.795079831502237	0.0051886900563057415	0.04591980293312217	23523	CABIN1
ENSG00000158793	406.17938004124267	-0.20345011352739967	0.07325195080854048	-2.777401984271514	0.005479536393031423	0.04759646119663476	4817	NIT1
ENSG00000083844	852.3660469157348	-0.20604392342376376	0.0636847614020119	-3.2353724641143824	0.0012148414357100045	0.01821575150863728	9422	ZNF264
ENSG00000249915	997.1010336341266	-0.20739955073723124	0.05648002711883212	-3.67208659976153	2.4057812479842954e-4	0.006449423046692286	10016	PDCD6
ENSG00000163159	469.60771893793117	-0.21191803832303643	0.0700789376519883	-3.023990451673518	0.00249464311837153	0.028429396239995384	6944	VPS72
ENSG00000151445	539.6043261255805	-0.2156665124253991	0.07123628180233946	-3.0274813194744317	0.0024660095542228056	0.02820506417564425	63894	VIPAS39
ENSG00000035928	748.3939590417663	-0.22038990239902528	0.07071717985490322	-3.116497332772871	0.0018301333605760543	0.023738013540584663	5981	RFC1
ENSG00000064102	442.58001619393355	-0.22271693661378758	0.07905455585159611	-2.817256187383803	0.004843587371486182	0.043857573176186555	55726	INTS13
ENSG00000156531	603.6832157183562	-0.22317276236807623	0.07928478221405845	-2.8148246881165573	0.004880384941452922	0.04402123179201792	84295	PHF6
ENSG00000135457	678.2166465193775	-0.22577231457920996	0.07068973701956674	-3.1938485570644684	0.0014038974431126582	0.01998508506011942	7024	TFCP2
ENSG00000149262	706.9398116695288	-0.22738178698580425	0.06695956405325143	-3.395807457840864	6.842647548986789e-4	0.012633416976844815	92105	INTS4
ENSG00000117528	631.9829102120275	-0.23133997043980312	0.074970753526290193	-3.085736231244875	0.002030488588639325	0.025167791983791817	5825	ABCD3
ENSG00000186575	1973.3183529917446	-0.23679122690614096	0.08229339125676377	-2.877402708649206	0.004009635319372133	0.03903449454262067	4771	NF2
ENSG00000110429	386.36662852090257	-0.2374882150826198	0.08534908153094185	-2.7825515028714456	0.005393330439003691	0.04699567514839591	26273	FBXO3
ENSG00000198689	826.9410152865935	-0.2386076938258208	0.08569537222620774	-2.784370819884819	0.005363167982111697	0.046843853994192546	10479	SLC9A6
ENSG00000116685	1327.2769351771444	-0.23966745111360013	0.08377681173017414	-2.8607850569142443	0.004225934547880846	0.040213357016765185	90231	KIAA2013
ENSG00000148835	162.50488258741447	-0.24074314684850512	0.08537629545367806	-2.819789094493134	0.004805522245214477	0.04364933606264595	6877	TAF5
ENSG00000159111	351.31217842127074	-0.2411553678357167	0.0839800292479495	-2.8715799457953257	0.004084254594783775	0.039453112576494934	124995	MRPL10
ENSG00000126216	850.4483499794452	-0.24765395105333285	0.0795920511096017	-3.1115412607259314	0.0018611346326421344	0.02394298157433435	10426	TUBGCP3
ENSG00000165699	1690.5281905244478	-0.2526093396768032	0.08012465746138256	-3.1527041447703232	0.001617656666144108	0.02195455341266565	7248	TSC1
ENSG00000132716	1473.3191646142816	-0.252897102357098	0.07609664338966081	-3.3233673798476495	8.893770057835258e-4	0.014842908380183002	50717	DCAF8
ENSG00000171148	1397.187422719326	-0.25568548652899065	0.0922611665464017	-2.771322931413365	0.005582902757985113	0.04830415041153943	10474	TADA3
ENSG00000113658	506.14139306989495	-0.25791240189227793	0.07677998099877457	-3.359109998951345	7.819393578174096e-4	0.013801542441220407	4090	SMAD5
ENSG00000168002	440.780113621583	-0.25900921436425417	0.08479504099947216	-3.0545325683121787	0.0022541153875850783	0.026723561416598377	5436	POLR2G
ENSG00000116161	1485.3470760541086	-0.2601548436851301	0.0884438109720433	-2.941470305563426	0.0032665815996604937	0.033740912843309684	27101	CACYBP
ENSG00000079950	2932.3646328378986	-0.2601667098281288	0.09181528289007367	-2.8335882833320327	0.0046028591999740355	0.04243747702842755	8417	STX7
ENSG00000101452	336.59458826675944	-0.2608029327736466	0.08705711045702988	-2.9957683112211164	0.0027375434531977986	0.030019096027784804	60625	DHX35
ENSG00000137413	598.4355889939299	-0.2615427374927807	0.08031750111769813	-3.2563604924599576	0.0011285037199932656	0.01744791701065972	129685	TAF8
ENSG00000198830	3404.1949747044337	-0.26199509990910536	0.09148790381262427	-2.8637130045704806	0.0041870719047849185	0.03998525583822814	3151	HMGN2
ENSG00000070269	264.3157599813462	-0.26215185277823005	0.07966874860798963	-3.2905230389415205	0.0010000131248094968	0.016069402456425297	54916	TMEM260
ENSG00000120333	215.14921120475188	-0.2623278595788435	0.08839566251675826	-2.967655336358962	0.0030008061167425717	0.031891515102934184	63931	MRPS14
ENSG00000144283	250.88251901907216	-0.26278082296003713	0.08966467083983672	-2.930706380770958	0.0033819226715522135	0.03441667892179727	8502	PKP4
ENSG00000100319	262.5126998382836	-0.2641050808009696	0.09376333838235679	-2.816720109985606	0.004851678564320697	0.043862781613429096	55954	ZMAT5
ENSG00000121067	749.1158056021637	-0.2645822359081809	0.08933645831631157	-2.9616378452275396	0.003060074819640311	0.032319019026196355	8405	SPOP
ENSG00000181315	424.5194509203132	-0.26588331112933994	0.06821634737056834	-3.897648018076884	9.713145426910398e-5	0.003519971807925025	79692	ZNF322
ENSG00000083750	173.67967488375706	-0.26700579286078857	0.0968437710138146	-2.757077611348908	0.005832050719194144	0.04986228548263116	10325	RRAGB
ENSG00000204406	300.2901339726305	-0.2696021725758876	0.08464328143630198	-3.185157380491868	0.0014467530517533764	0.02038295822530954	55777	MBD5
ENSG00000103174	734.285984571113	-0.26965604980300867	0.07978730899481778	-3.3796859826482297	7.256869025084847e-4	0.01316320992538131	51172	NAGPA
ENSG00000170632	540.9119165442722	-0.2704768383470216	0.06320206880723173	-4.279556721030515	1.872659102723048e-5	0.0012520144782842003	83787	ARMC10
ENSG00000241839	9471.835112238405	-0.27047923302917826	0.09505299536120397	-2.845562436000568	0.0044333067373000575	0.04137078806477381	80301	PLEKHO2
ENSG00000114316	1936.4667765607346	-0.2715306964954657	0.08895570456682109	-3.052425899133869	0.0022699976968013646	0.02681100598743496	7375	USP4
ENSG00000230124	499.8626502064534	-0.2736671478182128	0.09406717424398443	-2.909273612369766	0.003622696535351344	0.03628123180184144	84320	ACBD6
ENSG00000145439	308.84568626512305	-0.2741216877834985	0.08692937707025054	-3.1533837814341124	0.0016138947665529728	0.021941450684893515	84869	CBR4
ENSG00000181038	245.8386062230789	-0.2756197539760895	0.09699563397558432	-2.8415686632397117	0.004489218369966151	0.04163330176400302	124512	METTL23
ENSG00000108523	676.9483748234209	-0.27611130529811617	0.0898689558791021	-3.0723769136648267	0.002123613934300354	0.025768815968312975	26001	RNF167
ENSG00000132024	474.58683251722977	-0.27653292498491727	0.09624645126645409	-2.873175284347347	0.004063685821093245	0.039323289592447484	54862	CC2D1A
ENSG00000143376	2632.260082514684	-0.27706935595541055	0.07652636828475151	-3.6205736946048024	2.939505081596806e-4	0.007303412231449361	81609	SNX27
ENSG00000066135	966.8001778412953	-0.2804944334484524	0.10108542458144304	-2.774825694306325	0.005523130070288996	0.047935009200928184	9682	KDM4A
ENSG00000099810	618.76195426885	-0.28122781265812424	0.09510989306704151	-2.9568723461805497	0.003107767511193571	0.03263525682982568	4507	MTAP
ENSG00000164941	566.3407839451821	-0.28315228784405944	0.07425248573861049	-3.8133711622912485	1.3708400231120875e-4	0.004454321565526066	55656	INTS8
ENSG00000117543	195.04704823207402	-0.283765610660656	0.10288044472163901	-2.7582074652615796	0.005811929872297023	0.04978455476885127	51611	DPH5
ENSG00000187147	1123.6400113573843	-0.28500095579308193	0.0875642152245699	-3.2547651464946	0.0011348617013317742	0.017472752070120678	55182	RNF220
ENSG00000146063	592.1024883104913	-0.2852249149367417	0.1034473248753029	-2.75719952430434	0.005829876630859113	0.04986228548263116	90933	TRIM41
ENSG00000112062	1627.5414539549242	-0.2862295222787569	0.09676903932264613	-2.957862600293199	0.003097801709836466	0.03259265575780732	1432	MAPK14
ENSG00000179151	455.30609817533934	-0.2886064640223626	0.09729053554573658	-2.966439257461871	0.003012698655877402	0.032000640386901966	80153	EDC3
ENSG00000156831	357.2859900308179	-0.2891924423197939	0.10428771447281808	-2.7730250277483073	0.005553784917065274	0.04810881689250536	286053	NSMCE2
ENSG00000249709	258.71835344162884	-0.2896021847198483	0.10102513626939785	-2.8666349327912113	0.0041486126523146115	0.03988271936732779	163050	ZNF564
ENSG00000149930	1458.8435785006616	-0.29240565057194073	0.0885736422311072	-3.3012716109042137	9.62476589976122e-4	0.015660118734987596	9344	TAOK2
ENSG00000166925	1428.0324223971857	-0.29350230803755717	0.10587457691026111	-2.7721698315387706	0.005568397624540223	0.0481975507219423	81628	TSC22D4
ENSG00000130755	1071.6659028428867	-0.294285793371298	0.09212199548476298	-3.1945225656773037	0.0014006233496979292	0.01998258314332748	9535	GMFG
ENSG00000169967	3157.903421943645	-0.2959403095126082	0.09608725128306471	-3.0799123251095373	0.0020706153859437917	0.025464875841737945	10746	MAP3K2
ENSG00000261221	443.8013849790278	-0.29776876531856916	0.0766010562454193	-3.8872670941319503	1.0137918306474145e-4	0.003630588517960589	100507290	ZNF865
ENSG00000172046	1531.3292261571617	-0.2984903857811568	0.09193021442717708	-3.2469236326823454	0.0011665968774127427	0.017763027540619283	10869	USP19
ENSG00000143889	582.8512501046237	-0.2985642792263947	0.0889641519383752	-3.3560065792928366	7.907668753566034e-4	0.013846579024597414	92906	HNRNPLL
ENSG00000165675	408.73489772914087	-0.3036077237743029	0.07587072832405335	-4.001645041254335	6.290361687107618e-5	0.0026320822865352343	10495	ENOX2
ENSG00000100359	945.3003628218239	-0.30401273999822814	0.10134201976450552	-2.999868570852255	0.0027009612410686615	0.029780763549074406	27352	SGSM3
ENSG00000092094	524.4718116339703	-0.30487180963804844	0.10154514323502821	-3.0023278310063213	0.002679234771945121	0.02965627797432526	55644	OSGEP
ENSG00000197296	130.10766282397876	-0.3051102714090316	0.10675809598510938	-2.8579590952201728	0.004263753513351252	0.040460728501104805	128486	FITM2
ENSG00000140992	2376.3298345524154	-0.3071635643627942	0.08021827380348011	-3.829097159523626	1.286142264856494e-4	0.004248138235049038	5170	PDPK1
ENSG00000168887	527.3205579415604	-0.30921647404788255	0.10008855026163538	-3.089429042978229	0.0020054160377003557	0.025057659054973425	388969	C2orf68
ENSG00000103550	560.4608997093883	-0.31204428832333914	0.10977394183740671	-2.8426080279191224	0.004474606403643289	0.041579341344810124	400506	KNOP1
ENSG00000110711	701.5397317507087	-0.31330037892857154	0.11112612756474415	-2.8193223843423945	0.0048125156660702	0.04365893632422155	9049	AIP
ENSG00000108312	2047.5435165149042	-0.31337748926612846	0.10990344034132013	-2.851389258542698	0.004352864570855332	0.0409365946405717	7343	UBTF
ENSG00000123595	692.4050234330527	-0.3138834049068605	0.10892731179679699	-2.881585891813868	0.003956793758987921	0.038696250312300756	9367	RAB9A
ENSG00000149091	2551.6881627416715	-0.31583387387026196	0.10243338082165591	-3.083310062958403	0.002047117414184619	0.025292948547487037	8525	DGKZ
ENSG00000105607	253.95307511229126	-0.3159856492928477	0.11322307744039627	-2.790823712234736	0.005257409833418202	0.04632704005564927	2639	GCDH
ENSG00000136247	367.78330917981623	-0.3184223970959558	0.1029349658585032	-3.0934327751530675	0.0019785537306613457	0.024873407954177362	55146	ZDHHC4
ENSG00000115459	462.85867469317293	-0.31898845618851074	0.10147915140115944	-3.1433890782896925	0.0016700369651268707	0.0224513054476793	84173	ELMOD3
ENSG00000125817	1524.9905907681775	-0.31946498083173397	0.1123320706169188	-2.8439338746028424	0.004456029466812305	0.0414667658612335	1059	CENPB
ENSG00000182606	2104.1097349940915	-0.31991144935424837	0.10652036895496875	-3.0032889717974056	0.0026707870170669095	0.029634484436392373	22906	TRAK1
ENSG00000109016	263.3017531430357	-0.32015490292797383	0.10315980353916811	-3.1034850003995618	0.0019125592953970355	0.024275055257210167	25979	DHRS7B
ENSG00000271601	713.1326781418396	-0.32122387009270675	0.11606090802251653	-2.7677180505117827	0.005645026882766335	0.04874607753991141	128077	LIX1L
ENSG00000053254	2231.4839987302908	-0.32187087951749377	0.11426761915477353	-2.8168161890336156	0.004850227512749083	0.043862781613429096	1112	FOXN3
ENSG00000165516	363.564127219417	-0.32199769550012025	0.09903028637078115	-3.251507264096184	0.0011479484215528792	0.017635522220003415	23588	KLHDC2
ENSG00000126107	2151.8484439479375	-0.3241245617762207	0.1157945206159352	-2.799135572669022	0.005123961899047093	0.045492946228843464	79654	HECTD3
ENSG00000185504	456.77120624135	-0.3242936233850618	0.10962965707850407	-2.9580829861835674	0.0030955877400287565	0.03258490091042675	80233	FAAP100
ENSG00000105136	153.14291657288837	-0.32450924293361477	0.11098909911181741	-2.9237938277765796	0.0034579369686512343	0.03502867921916996	79744	ZNF419
ENSG00000198130	271.51594985585757	-0.3248493800202316	0.10603150158829279	-3.0637063057126324	0.0021861341233606795	0.02624845609866386	26275	HIBCH
