"title"	"geo_accession"	"status"	"submission_date"	"last_update_date"	"type"	"channel_count"	"source_name_ch1"	"organism_ch1"	"characteristics_ch1"	"characteristics_ch1.1"	"characteristics_ch1.2"	"molecule_ch1"	"extract_protocol_ch1"	"extract_protocol_ch1.1"	"taxid_ch1"	"description"	"data_processing"	"data_processing.1"	"data_processing.2"	"data_processing.3"	"data_processing.4"	"platform_id"	"contact_name"	"contact_institute"	"contact_address"	"contact_city"	"contact_zip/postal_code"	"contact_country"	"data_row_count"	"instrument_model"	"library_selection"	"library_source"	"library_strategy"	"relation"	"relation.1"	"supplementary_file_1"	"cell type:ch1"	"donor_id:ch1"	"infection:ch1"	"series_id"
"Sample_772_NKT_Mtb"	"GSM3071070"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 772"	"cell type: NKT"	"infection: Mtb"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"natural killer T cells from Mtb infected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813366"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862280"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071070/suppl/GSM3071070_Sample_772_NKT_Mtb.txt.gz"	"NKT"	"772"	"Mtb"	"GSE112483"
"Sample_772_NKT_uninf"	"GSM3071071"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 772"	"cell type: NKT"	"infection: uninf"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"natural killer T cells from uninfected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813365"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862281"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071071/suppl/GSM3071071_Sample_772_NKT_uninf.txt.gz"	"NKT"	"772"	"uninf"	"GSE112483"
"Sample_795_AM_Mtb"	"GSM3071072"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: AM"	"infection: Mtb"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"alveolar macrophages from Mtb infected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813364"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862282"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071072/suppl/GSM3071072_Sample_795_AM_Mtb.txt.gz"	"AM"	"795"	"Mtb"	"GSE112483"
"Sample_795_AM_uninf"	"GSM3071073"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: AM"	"infection: uninf"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"alveolar macrophages from uninfected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813363"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862283"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071073/suppl/GSM3071073_Sample_795_AM_uninf.txt.gz"	"AM"	"795"	"uninf"	"GSE112483"
"Sample_795_endo_Mtb"	"GSM3071074"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: endo"	"infection: Mtb"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"endothelial cells from Mtb infected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813362"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862284"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071074/suppl/GSM3071074_Sample_795_endo_Mtb.txt.gz"	"endo"	"795"	"Mtb"	"GSE112483"
"Sample_795_endo_uninf"	"GSM3071075"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: endo"	"infection: uninf"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"endothelial cells from uninfected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813361"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862285"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071075/suppl/GSM3071075_Sample_795_endo_uninf.txt.gz"	"endo"	"795"	"uninf"	"GSE112483"
"Sample_795_epi_Mtb"	"GSM3071076"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: epi"	"infection: Mtb"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"epithelial cells from Mtb infected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813404"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862286"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071076/suppl/GSM3071076_Sample_795_epi_Mtb.txt.gz"	"epi"	"795"	"Mtb"	"GSE112483"
"Sample_795_epi_uninf"	"GSM3071077"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: epi"	"infection: uninf"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"epithelial cells from uninfected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813403"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862287"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071077/suppl/GSM3071077_Sample_795_epi_uninf.txt.gz"	"epi"	"795"	"uninf"	"GSE112483"
"Sample_795_gd_Mtb"	"GSM3071078"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: gd"	"infection: Mtb"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"gamma delta T cells from Mtb infected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813396"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862288"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071078/suppl/GSM3071078_Sample_795_gd_Mtb.txt.gz"	"gd"	"795"	"Mtb"	"GSE112483"
"Sample_795_gd_uninf"	"GSM3071079"	"Public on Jun 04 2018"	"Mar 29 2018"	"Jun 05 2018"	"SRA"	"1"	"Lung"	"Homo sapiens"	"donor_id: 795"	"cell type: gd"	"infection: uninf"	"total RNA"	"Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit."	"cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit."	"9606"	"gamma delta T cells from uninfected lung tissue"	"Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a"	"Read counts were calculated using htseq-count."	"Expression analysis performed with edgeR v3.12.1"	"Genome_build: hg19"	"Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample."	"GPL18460"	"Jeroen,,Maertzdorf"	"MPIIB"	"Chariteplatz 1"	"Berlin"	"10117"	"Germany"	"0"	"Illumina HiSeq 1500"	"cDNA"	"transcriptomic"	"RNA-Seq"	"BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813395"	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862289"	"ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3071nnn/GSM3071079/suppl/GSM3071079_Sample_795_gd_uninf.txt.gz"	"gd"	"795"	"uninf"	"GSE112483"
