GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
4535	ND1	0.0848721618603901	4.8527116735894496e-4	0.052456240544249085	8.299824517457868	2.762359434051052e-7	2.9908925982726185e-7	7.4503564718041755
5041	NA	0.024848807319861343	2.2927345513908394e-4	0.01790535219074752	1.4085744164371097	0.22152774205447806	0.2247683918384065	6.759963465500743
19988	NA	0.043978499472893895	8.15944726566637e-4	0.017819146973282428	1.2341203839719728	0.2935044847571054	0.29699873703245083	5.7521831457057955
13810	NA	0.025112228232088942	6.277824957165347e-4	0.015399189425949106	1.0080280872317573	0.41341559876900813	0.41673176667357237	5.321981432558878
22524	NA	0.38945297087087527	0.010218076896489809	0.16911825931162325	15.523948220319292	2.4766861179821445e-13	2.7871960193411e-13	5.252253520385234
19348	NA	0.02046601623619641	6.807279042167369e-4	0.007104225209875715	0.8365986539638651	0.5247332897561243	0.5275999447137114	4.910008245571952
14342	NA	0.017546334433162315	5.862308433402922e-4	0.006471689101182419	0.33470385708206285	0.8916805045655565	0.892023972339624	4.903556986994153
2245	FGD1	0.205739323508188	0.007632141710627179	0.10818471089388411	12.283406734049578	1.1062571865545904e-10	1.2250748793541004e-10	4.752585797171589
17129	NA	0.2076788022591384	0.008534400129924617	0.10640908205277086	11.795585647626144	2.830763687872419e-10	3.126211691014879e-10	4.604920405864146
13055	NA	0.19594612854537857	0.008071039423967702	0.114472324860957	17.318630835238043	9.371237022748945e-15	1.0638333859627676e-14	4.601558776505668
1353	COX11	0.056416205290662665	0.002477737514777088	0.02530059716012139	1.5113189889272278	0.18664484838584736	0.1896551182963438	4.509014364309765
3218	HOXB8	0.033672244540391916	0.0015317547769295532	0.017019372441675	3.6911655360473845	0.0030446572469960253	0.0031726547408178454	4.458302636596026
7170	TPM3	0.02227605231009076	0.0010636469871016774	0.013103788223878353	1.4552274585990181	0.20504358796595795	0.20816056398177124	4.388402265028091
7660	NA	0.09573345893413311	0.004906368077866055	0.06039348302190856	7.5436012429733985	1.2623802590950138e-6	1.35807410945307e-6	4.286295861444456
14017	NA	0.030648455271838335	0.001719353605473431	0.014475271307557932	0.8414293113410792	0.5213760894387576	0.524269508046527	4.155876173952438
1899	NA	0.08076832814862826	0.004886096240401014	0.0469405078601518	5.8847559531555556	3.624604286273121e-5	3.852378164211892e-5	4.047035491425355
13933	NA	0.019746439753213055	0.0014504405095653475	0.011164261064111882	0.4788775780377226	0.7918924333735756	0.7930120276626519	3.7670295323613052
19155	NA	0.16582586960267132	0.013651701515016155	0.09139494393640413	16.34643894543663	5.4719047363502795e-14	6.180848659326894e-14	3.6025164100101117
16482	NA	0.034842461153948394	0.0030326071215886438	0.009285774820583004	2.292567981731144	0.046131795764338075	0.0473284727294754	3.5222160225888075
15863	NA	0.033478796407532194	0.003008276625339782	0.009997352636385097	1.8433470145039619	0.1048664182824137	0.1070183226044856	3.4762385217554455
15864	NA	0.033478796407532194	0.003008276625339782	0.009997352636385097	1.8433470145039619	0.1048664182824137	0.1070183226044856	3.4762385217554455
15865	NA	0.033478796407532194	0.003008276625339782	0.009997352636385097	1.8433470145039619	0.1048664182824137	0.1070183226044856	3.4762385217554455
13334	NA	0.3254904348358759	0.029631038459892702	0.18953163642430215	15.430592621584886	2.9425878083303373e-13	3.310871639160167e-13	3.4574340541374893
7604	NA	0.0010561418032997926	9.849453202266992e-5	0.0012765962696065088	0.3539573845511488	0.8794462620411498	0.8798226728706487	3.4226161067053393
16608	NA	0.03672626720076592	0.0037288322396784924	0.026409439240764585	2.7504838687569624	0.019328438207003966	0.019943624007880224	3.3000164735246287
13431	NA	0.07504270632120107	0.007971807423572824	0.030860861560988547	2.979631815940215	0.012397151532408564	0.012826266816506629	3.2347330935214735
7887	NA	0.13225633293079808	0.014803896186231688	0.07828537798459756	8.43505506299778	2.107149374000497e-7	2.283168434446858e-7	3.159287976800632
18627	NA	0.09446091409020448	0.010780777157082224	0.06777635379514549	7.292529264521159	2.094539235114666e-6	2.250103873589953e-6	3.1312563145681365
5409	PNMT	0.01218195661034984	0.0014206813706334764	0.00309619073568698	0.4146289129535623	0.8384096708096527	0.8392714195077011	3.100090941560917
9341	VAMP3	0.006875286587721661	8.043336202617348e-4	-8.084375993167999e-5	0.6418876836746321	0.6679367624411414	0.6697419194929106	3.095553922233833
15791	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15792	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15793	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15794	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15795	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15796	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15797	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
15798	NA	0.04142941667103828	0.005198047094174176	0.01525568156553557	2.901709774844746	0.014426022621853435	0.01490491326363445	2.994613897455057
1860	NA	0.009121848864582135	0.0011565141800536252	0.0017112297655082548	1.500285142929201	0.19014530752245906	0.19311968445424343	2.979543312082691
