ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016241	regulation of macroautophagy	13/195	158/16218	5.926962798523889e-8	1.2648218196424987e-4	1.0181636809685656e-4	HDAC6/TRIM13/AKT1/GAPDH/HIF1A/PIK3C3/PIK3CA/ATP6V0B/RHEB/BNIP3/TP53/VDAC1/SPTLC2	13
GO:0002066	columnar/cuboidal epithelial cell development	8/195	49/16218	1.11887687978264e-7	1.2648218196424987e-4	1.0181636809685656e-4	CDK6/AKT1/GATA2/HIF1A/HOXA5/BAD/RHEB/BMP4	8
GO:1902893	regulation of miRNA transcription	9/195	68/16218	1.1668384189456995e-7	1.2648218196424987e-4	1.0181636809685656e-4	EGR1/FOXO3/FOS/GATA2/HIF1A/NFATC3/NFATC4/BMP4/TP53	9
GO:0061614	miRNA transcription	9/195	69/16218	1.328050996227286e-7	1.2648218196424987e-4	1.0181636809685656e-4	EGR1/FOXO3/FOS/GATA2/HIF1A/NFATC3/NFATC4/BMP4/TP53	9
GO:0002068	glandular epithelial cell development	7/195	35/16218	1.6494807246250635e-7	1.2648218196424987e-4	1.0181636809685656e-4	CDK6/AKT1/GATA2/HIF1A/BAD/RHEB/BMP4	7
GO:2001242	regulation of intrinsic apoptotic signaling pathway	13/195	176/16218	2.1044009563846755e-7	1.3447122111298076e-4	1.0824743165122576e-4	PARP1/AKT1/FYN/HIF1A/MIF/NCK1/NFE2L2/BAD/TP53/XBP1/NOL3/ARHGEF2/HERPUD1	13
GO:0035966	response to topologically incorrect protein	12/195	156/16218	4.0380137413744265e-7	2.2116778120613643e-4	1.7803693668736568e-4	HDAC6/HSPA4/HSPA8/HSPD1/DNAJB1/NCK1/NFE2L2/CCND1/XBP1/MBTPS1/EDEM1/HERPUD1	12
GO:2000628	regulation of miRNA metabolic process	9/195	81/16218	5.400024012803784e-7	2.5879615081362135e-4	2.0832724217816705e-4	EGR1/FOXO3/FOS/GATA2/HIF1A/NFATC3/NFATC4/BMP4/TP53	9
GO:0006986	response to unfolded protein	11/195	134/16218	6.500253074456411e-7	2.7691078097184313e-4	2.2290926332521865e-4	HSPA4/HSPA8/HSPD1/DNAJB1/NCK1/NFE2L2/CCND1/XBP1/MBTPS1/EDEM1/HERPUD1	11
GO:0140747	regulation of ncRNA transcription	9/195	90/16218	1.3319910138263635e-6	5.106853547010278e-4	4.110944897409366e-4	EGR1/FOXO3/FOS/GATA2/HIF1A/NFATC3/NFATC4/BMP4/TP53	9
