ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070665	positive regulation of leukocyte proliferation	45/1730	161/16218	7.874972137970216e-10	4.2908096823840336e-6	3.445296898250144e-6	ADA/CSF2RA/DHPS/GPR183/AIF1/EPHB2/HLA-DMB/HLA-DPA1/HLA-DPB1/HMGB1/IGF1/IGF2/IGFBP2/IL1A/IL2RA/IL4/IL5/IL5RA/IL6/IL6ST/IL7/IL12RB1/JAK2/CD46/NCK1/NMB/NMBR/PTPRC/BCL6/XCL1/SHH/SLAMF1/SPN/SPTA1/BST1/TACR1/TLR4/TNFSF4/TYK2/VCAM1/IRS2/CD28/CD40LG/CD70/CD74	45
GO:0050671	positive regulation of lymphocyte proliferation	41/1730	141/16218	1.2138075480577181e-9	4.2908096823840336e-6	3.445296898250144e-6	ADA/DHPS/GPR183/AIF1/EPHB2/HLA-DMB/HLA-DPA1/HLA-DPB1/HMGB1/IGF1/IGF2/IGFBP2/IL1A/IL2RA/IL4/IL5/IL6/IL6ST/IL7/IL12RB1/JAK2/CD46/NCK1/PTPRC/BCL6/XCL1/SHH/SLAMF1/SPN/SPTA1/BST1/TACR1/TLR4/TNFSF4/TYK2/VCAM1/IRS2/CD28/CD40LG/CD70/CD74	41
GO:0032946	positive regulation of mononuclear cell proliferation	41/1730	144/16218	2.4250346115780206e-9	5.714998234618868e-6	4.588846196575532e-6	ADA/DHPS/GPR183/AIF1/EPHB2/HLA-DMB/HLA-DPA1/HLA-DPB1/HMGB1/IGF1/IGF2/IGFBP2/IL1A/IL2RA/IL4/IL5/IL6/IL6ST/IL7/IL12RB1/JAK2/CD46/NCK1/PTPRC/BCL6/XCL1/SHH/SLAMF1/SPN/SPTA1/BST1/TACR1/TLR4/TNFSF4/TYK2/VCAM1/IRS2/CD28/CD40LG/CD70/CD74	41
GO:0002695	negative regulation of leukocyte activation	48/1730	192/16218	1.2073473051790654e-8	2.133986361903998e-5	1.7134800044291313e-5	NR1H3/LILRB4/VSIG4/CNR1/CNR2/CR1/DUSP3/FCGR2B/FER/FGR/GLI3/GRN/HMGB1/IHH/IL2RA/IL4/IL4R/IL10/IL13RA2/IDO1/INHA/MDK/CD200/ATM/ENPP3/PLA2G2A/AXL/PKN1/PTPN2/PTPRC/RAG2/BCL6/XCL1/CX3CL1/SDC4/SHH/SOX11/SPN/TNFAIP3/TNFSF4/LAPTM5/MAD1L1/CST7/RUNX3/SOCS1/TNFSF18/SOCS6/CD74	48
GO:0019081	viral translation	13/1730	21/16218	1.9791877301738014e-8	2.4181237964004138e-5	1.941627578945497e-5	FURIN/PCBP2/PTBP1/SSB/TMPRSS2/CSDE1/DENR/EIF3A/EIF3B/EIF3D/EIF3F/EIF3G/ATG12	13
GO:0002181	cytoplasmic translation	41/1730	154/16218	2.0521559799720627e-8	2.4181237964004138e-5	1.941627578945497e-5	EIF3M/EIF4A1/ETF1/NCBP1/NCK1/RPL10A/RPL3/RPL7/RPL24/RPL26/RPL27/RPL28/RPL29/RPL31/RPL32/RPL34/RPL38/RPL39/RPL41/RPLP2/RPS2/RPS10/RPS13/RPS16/RPS19/RPS20/CSDE1/YBX3/DENR/EIF3A/EIF3B/EIF3C/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3J/EIF2B3/RPL14/NEMF	41
GO:0042129	regulation of T cell proliferation	44/1730	177/16218	5.794356943919204e-8	5.852300513358396e-5	4.699092781737784e-5	LILRB4/VSIG4/CLC/CR1/DHPS/AIF1/HLA-DMB/HLA-DPA1/HLA-DPB1/HMGB1/IGF1/IGF2/IGFBP2/IHH/IL1A/IL2RA/IL4/IL6/IL6ST/IL10/IL12RB1/TNFRSF9/IDO1/JAK2/CD46/NCK1/PLA2G2A/PTPRC/BCL6/XCL1/SDC4/SHH/SLAMF1/SPN/SPTA1/TNFSF4/TYK2/VCAM1/MAD1L1/TNFSF18/CD28/MAPK8IP1/CD40LG/CD70	44
GO:0075522	IRES-dependent viral translational initiation	9/1730	11/16218	7.898085194003247e-8	6.24218636861396e-5	5.0121508353956806e-5	PCBP2/PTBP1/SSB/CSDE1/DENR/EIF3A/EIF3B/EIF3D/EIF3F	9
GO:0050728	negative regulation of inflammatory response	41/1730	161/16218	7.946206126948465e-8	6.24218636861396e-5	5.0121508353956806e-5	ADA/CDH5/NR1H3/MAPK14/ELF4/FCGR2B/FGR/GPR31/GPX1/GRN/HGF/AOAH/APCS/IGF1/IL2RA/IL4/IL10/MDK/CD200/MVK/NFKB1/FURIN/REG3A/ENPP3/PPARG/PTGER4/PTGIS/PTPN2/PTPRC/RB1/RPS19/SAA1/CX3CL1/SOD1/SPN/TNFAIP3/TNFAIP6/CST7/SOCS3/KLF4/NR1H4	41
GO:0042102	positive regulation of T cell proliferation	30/1730	102/16218	1.4946961801705243e-7	1.0567501993805607e-4	8.485154210168039e-5	DHPS/AIF1/HLA-DMB/HLA-DPA1/HLA-DPB1/HMGB1/IGF1/IGF2/IGFBP2/IL1A/IL2RA/IL4/IL6/IL6ST/IL12RB1/JAK2/CD46/NCK1/PTPRC/XCL1/SHH/SLAMF1/SPN/SPTA1/TNFSF4/TYK2/VCAM1/CD28/CD40LG/CD70	30
