ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000302	response to reactive oxygen species	0.027995520716685332	194/16034	7.838420655440002e-5	0.019790308150495692	0.017373671045444364	AXL/FER/TNFAIP3/NET1/JUN/BMP7/GCH1/GPX1/AQP1/AREG/SOD1/TACR1/BAD/HBA2/SPHK1/TPM1/HDAC6/CD36/GPR37L1/DDR2/PCNA/NR4A3/PPP2CB/APOA4/MAPK7	25	82	-0.15359547568446205	0.7770316522835427
GO:0001508	action potential	0.020156774916013438	134/16034	4.5653359551502777e-4	0.04570845843372011	0.040126900237373496	RYR2/CAV3/SCN9A/TNF/SUMO1/CNR1/PKP2/AKAP6/SNTA1/DSP/TACR1/KCNB1/CNR2/GPD1L/CD36/GJC1/ATP1A1/KCND3	18	54	-0.06436434195651944	0.8366010027528821
GO:0001774	microglial cell activation	0.011198208286674132	43/16034	9.740040944135889e-5	0.020948302875035966	0.01839026054286554	TNF/TLR2/TLR3/JUN/ITGB2/AIF1/SPHK1/CTSC/CST7/MMP8	10	6	1.545073570477581	2.249405283195466
GO:0001935	endothelial cell proliferation	0.022396416573348264	151/16034	2.731938967585557e-4	0.0393720874555351	0.03456427715137928	HMGB1/TNF/FGFR1/WNT2/WNT5A/NGFR/TGFBR1/JUN/SPARC/CYBA/MDK/NRAS/FUT2/GDF2/CD34/SCARB1/SULF1/PLXNB3/COL4A3/APOH	20	17	1.1967668762093653	1.9119965067056093
GO:0001936	regulation of endothelial cell proliferation	0.020156774916013438	135/16034	4.999878315188462e-4	0.048390488960498995	0.04248142224641706	HMGB1/TNF/FGFR1/WNT2/WNT5A/NGFR/TGFBR1/JUN/SPARC/CYBA/MDK/NRAS/FUT2/GDF2/SULF1/PLXNB3/COL4A3/APOH	18	103	-0.7101092836218807	0.47367749223965727
GO:0002181	cytoplasmic translation	0.02463605823068309	157/16034	5.911826188238579e-5	0.018068407723737596	0.015862035584287774	DENR/NCBP1/EIF2B3/RPS13/EIF3C/RPL41/RPS19/RPL28/RPL29/RPL31/RPL32/RPL34/RPLP2/NCK1/RPL24/RPL39/CSDE1/RPL19/RPL10A/EIF3M/RPS24/RPS28	22	100	-0.4798797859181853	0.5849279104791852
GO:0002269	leukocyte activation involved in inflammatory response	0.011198208286674132	46/16034	1.7791355029065417e-4	0.02869844407049524	0.02519401532332275	TNF/TLR2/TLR3/JUN/ITGB2/AIF1/SPHK1/CTSC/CST7/MMP8	10	6	1.545073570477581	2.249405283195466
GO:0002695	negative regulation of leukocyte activation	0.027995520716685332	192/16034	6.608320928829985e-5	0.018273580777959868	0.016042154515450435	AXL/CD200/HMGB1/SOCS6/FER/TNFAIP3/LAPTM5/MAD1L1/CNR1/MDK/INHA/SHH/SPN/DUSP3/CST7/RUNX3/CNR2/VSIG4/FCGR2B/CD33/FOXJ1/CBFB/FGL2/SOCS1/LST1	25	81	-0.14132538309264772	0.7850476834690022
GO:0006265	DNA topological change	0.005599104143337066	9/16034	5.531937798122525e-5	0.018068407723737596	0.015862035584287774	HMGB1/ERCC3/TOP2A/TOP2B/TOP3A	5	5	1.0342479467115901	1.7575889195703889
GO:0007021	tubulin complex assembly	0.005599104143337066	8/16034	2.5771363788955558e-5	0.018068407723737596	0.015862035584287774	TBCA/TBCC/TBCD/TBCE/TCP1	5	1	2.6436858591456907	3.3380944080014845
GO:0007023	post-chaperonin tubulin folding pathway	0.004479283314669653	5/16034	4.568149010496751e-5	0.018068407723737596	0.015862035584287774	TBCA/TBCC/TBCD/TBCE	4	5	0.8111043953973806	1.5503171261025166
GO:0008016	regulation of heart contraction	0.026875699888017916	199/16034	2.9984905913785735e-4	0.03942026190868182	0.03460656891840991	CHRM2/TBX2/TBX5/RYR2/CAV3/TNF/SUMO1/HRC/ZMPSTE24/MYL2/GCH1/ATP1B2/PKP2/SNTA1/DSP/TPM1/GPD1L/GLP1R/DMPK/GJC1/ATP1A1/MEF2A/SREBF1/KCND3	24	117	-0.5498721577382203	0.5490231976987322
GO:0008361	regulation of cell size	0.02463605823068309	176/16034	3.1896498181762956e-4	0.03942026190868182	0.03460656891840991	CAV3/SEMA3E/VAV2/WNT3/WNT5A/SCTR/CYFIP1/EPHA7/MAG/DCC/AQP1/SEMA4B/FSTL4/RAP1GAP2/SPART/SLC12A1/IFRD1/HDAC6/NTN1/SEMA7A/PTPRS/SRF	22	65	-0.04909686982573102	0.8470863562550381
GO:0009060	aerobic respiration	0.025755879059350503	189/16034	3.4870640228655124e-4	0.0397046681976079	0.03485624574352462	AK4/TNF/NDUFB9/ND2/SURF1/NDUFC2/NDUFAB1/ATP8/NDUFB6/NDUFV2/COX7A2/COX7A2P2/COX7B/COX7C/COX8A/NDUFA4/NDUFB8/CBFA2T3/ACO2/MDH1/NDUFA10/ATP5F1B/ACO1	23	58	0.10929915209432058	0.9607305924325198
GO:0009798	axis specification	0.0167973124300112	87/16034	8.331801051739597e-5	0.02013182508375231	0.017673484611242775	TBX6/WNT1/WNT3/WNT5A/WNT6/WNT7A/FOXA2/AXIN2/CER1/SHH/STIL/BASP1/TBX3/MDFI/SRF	15	13	1.1773487903522635	1.893423761728643
GO:0010644	cell communication by electrical coupling	0.008958566629339306	32/16034	2.84977898460587e-4	0.039401587056205445	0.03459017449234644	TBX5/RYR2/HRC/ATP1B2/DBN1/PKP2/GJC1/ATP1A1	8	11	0.7157942155930556	1.4639369903788404
GO:0010976	positive regulation of neuron projection development	0.022396416573348264	149/16034	2.281428267820273e-4	0.03486382618745349	0.030606529365799395	FES/WNT5A/SNX3/CYFIP1/BMP7/CNR1/ATP1B2/DBN1/MDK/NCK1/ARSB/PRKCI/CNTN1/CUX2/CNTF/SCARB2/DDR2/PLXNB3/MAGI2/MARK2	20	44	0.24579058634732012	1.0653550303378199
GO:0014909	smooth muscle cell migration	0.013437849944008958	70/16034	4.423824299394681e-4	0.045068680186991075	0.03956524668876905	TLR4/ACE/MDK/P2RY6/TACR1/AIF1/TPM1/CCN4/GRB10/DDR2/NR4A3/DOCK4	12	3	2.420542307831481	3.1156582858799577
GO:0019646	aerobic electron transport chain	0.015677491601343786	88/16034	3.4071802722947475e-4	0.039570991682431195	0.034738892755207286	NDUFB9/ND2/NDUFC2/NDUFAB1/NDUFB6/NDUFV2/COX7A2/COX7A2P2/COX7B/COX7C/COX8A/NDUFA4/NDUFB8/NDUFA10	14	17	0.8400919322706327	1.5768694302183368
GO:0019731	antibacterial humoral response	0.012318029115341545	54/16034	1.5850020139297739e-4	0.02789123240875817	0.024485374014232522	FGA/FGB/SEMG2/RPL39/SLPI/KLK7/DEFA4/EVPL/DEFA1/H2BC6/DEFA6	11	42	-0.30552639877340754	0.6825017482657495
GO:0030517	negative regulation of axon extension	0.011198208286674132	45/16034	1.464593415876562e-4	0.027435141825790953	0.02408497763358299	SEMA3E/WNT3/WNT5A/MAG/SEMA4B/IFRD1/HDAC6/NTN1/SEMA7A/PTPRS	10	5	1.7273951272715355	2.4283488205946595
GO:0031099	regeneration	0.025755879059350503	179/16034	1.5601440050496047e-4	0.02789123240875817	0.024485374014232522	AXL/TNF/WNT1/WNT7A/TM4SF4/CSPG5/PRRX1/CAPN3/TEC/ACE/JUN/MAG/GPX1/MDK/CNTF/IFRD1/MAP2K2/PCNA/PRMT5/NR4A3/CTNNA1/PTPRS/APOA4	23	7	2.223832013585427	2.9198929006313397
GO:0032735	positive regulation of interleukin-12 production	0.011198208286674132	43/16034	9.740040944135889e-5	0.020948302875035966	0.01839026054286554	HMGB1/MAPK11/TLR2/TLR3/TLR4/LAPTM5/HSPD1/MDK/IRF5/CD36	10	20	0.34110076615164486	1.141751375948213
GO:0032946	positive regulation of mononuclear cell proliferation	0.02127659574468085	144/16034	4.0397584508007075e-4	0.04265250422509038	0.037444115171727896	IGFBP2/HLA-DMB/HMGB1/HLA-DPA1/TLR4/SPTA1/TYK2/NCK1/HLA-DPB1/BST1/SHH/CD70/TACR1/AIF1/ST6GAL1/CD38/FCGR3A/TNFSF13B/TFRC	19	76	-0.35204641440830026	0.6553249761868776
GO:0034614	cellular response to reactive oxygen species	0.02127659574468085	141/16034	3.081746098513459e-4	0.03942026190868182	0.03460656891840991	AXL/FER/TNFAIP3/NET1/JUN/BMP7/GCH1/AQP1/SOD1/SPHK1/TPM1/HDAC6/CD36/GPR37L1/DDR2/PCNA/NR4A3/APOA4/MAPK7	19	67	-0.22600569351293529	0.7308818504280348
GO:0042116	macrophage activation	0.022396416573348264	103/16034	8.447413011817559e-7	0.004905412735962456	0.004306402233287625	CD200/TNF/JMJD6/WNT5A/TLR2/TLR3/TLR4/HSPD1/JUN/JUND/ITGB2/PJA2/AIF1/SPHK1/CTSC/CST7/VSIG4/FCGR2B/MMP8/FCGR3A	20	19	1.0855412410991407	1.8060543392498236
GO:0042542	response to hydrogen peroxide	0.019036954087346025	121/16034	3.832058604280938e-4	0.041293634007566395	0.03625117951993403	AXL/TNFAIP3/NET1/GPX1/AQP1/AREG/SOD1/BAD/HBA2/SPHK1/HDAC6/GPR37L1/DDR2/PCNA/NR4A3/PPP2CB/MAPK7	17	35	0.31211322927839275	1.1182425188790508
GO:0043030	regulation of macrophage activation	0.013437849944008958	57/16034	5.722855905678857e-5	0.018068407723737596	0.015862035584287774	CD200/WNT5A/TLR4/HSPD1/JUND/PJA2/SPHK1/CTSC/CST7/VSIG4/FCGR2B/MMP8	12	21	0.4746321587761676	1.252910860073744
GO:0045759	negative regulation of action potential	0.004479283314669653	7/16034	2.921023398549362e-4	0.03942026190868182	0.03460656891840991	SCN9A/SUMO1/CNR1/CNR2	4	1	2.420542307831481	3.1156582858799573
GO:0048144	fibroblast proliferation	0.01791713325867861	101/16034	1.3875470144887367e-4	0.02685828504378698	0.023578562074277023	CDK6/WNT1/WNT2/WNT5A/WNT7B/NGFR/ZMPSTE24/JUN/CKS1B/CKS2/GPX1/AQP1/SPHK1/FTH1/DDR2/PTGES3	16	NA	NA	NA
GO:0048640	negative regulation of developmental growth	0.020156774916013438	107/16034	2.3732764567118993e-5	0.018068407723737596	0.015862035584287774	TP73/TBX5/CAV3/SEMA3E/MAPK11/WNT3/WNT5A/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/SEMA7A/PTPRS	18	14	1.2855623749924963	1.9972961733216616
GO:0048668	collateral sprouting	0.008958566629339306	26/16034	5.7016004923167855e-5	0.018068407723737596	0.015862035584287774	WNT3/EPHA7/DCC/FSTL4/SPART/IFRD1/HDAC6/PTPRS	8	1	3.113689488391426	3.807329958970363
GO:0048670	regulation of collateral sprouting	0.007838745800671893	19/16034	4.529657573128733e-5	0.018068407723737596	0.015862035584287774	WNT3/EPHA7/DCC/FSTL4/SPART/IFRD1/PTPRS	7	4	1.5938637346470128	2.2971712224923384
GO:0048671	negative regulation of collateral sprouting	0.006718924972004479	10/16034	5.0801939880211655e-6	0.014750343244219455	0.012949147096835003	EPHA7/DCC/FSTL4/SPART/IFRD1/PTPRS	6	2	2.1328602353797	2.829499510779297
GO:0050679	positive regulation of epithelial cell proliferation	0.026875699888017916	198/16034	2.779844301148509e-4	0.0393720874555351	0.03456427715137928	HMGB1/TNF/FGFR1/WNT2/WNT5A/WNT7A/TNFAIP3/TGFBR1/B4GALT1/JUN/CYBA/MDK/NRAS/HSF4/NME2/AREG/SHH/GDF2/CDC42/TACR1/BAD/HDAC6/PLXNB3/NR4A3	24	112	-0.5061970942355587	0.5712103110841108
GO:0050768	negative regulation of neurogenesis	0.023516237402015677	144/16034	4.776306262443391e-5	0.018068407723737596	0.015862035584287774	TNF/SEMA3E/WNT3/WNT5A/WNT7A/NR2E1/ABCC8/BMP7/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/GPR37L1/SEMA7A/CTNNA1/PTPRS	21	19	1.1343314052685727	1.8523918978043128
GO:0050770	regulation of axonogenesis	0.022396416573348264	153/16034	3.258433910137295e-4	0.03942026190868182	0.03460656891840991	SEMA3E/WNT3/WNT5A/WNT7A/CYFIP1/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/SEMA7A/MAP2K2/PLXNB3/PTPRS/MARK2/SRF	20	24	0.8519263899176357	1.5877448206649185
GO:0050771	negative regulation of axonogenesis	0.015677491601343786	65/16034	1.0629348802558715e-5	0.018068407723737596	0.015862035584287774	SEMA3E/WNT3/WNT5A/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/SEMA7A/PTPRS	14	8	1.5938637346470128	2.2971712224923384
GO:0051961	negative regulation of nervous system development	0.02463605823068309	150/16034	2.908037785667127e-5	0.018068407723737596	0.015862035584287774	TNF/SEMA3E/WNT3/WNT5A/WNT7A/TLR2/NR2E1/ABCC8/BMP7/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/GPR37L1/SEMA7A/CTNNA1/PTPRS	22	19	1.1808514209034655	1.8967716310518599
GO:0060425	lung morphogenesis	0.011198208286674132	51/16034	4.3326504299353035e-4	0.04492803758327555	0.03944177825597119	TBX2/TNF/WNT2/WNT7B/SHH/CDC42/SPRY2/CTSH/MAP2K2/SRF	10	2	2.6436858591456907	3.3380944080014845
GO:0060685	regulation of prostatic bud formation	0.004479283314669653	6/16034	1.309756934434655e-4	0.026226753511248417	0.023024148215851303	WNT5A/BMP7/SHH/SULF1	4	NA	NA	NA
GO:0060907	positive regulation of macrophage cytokine production	0.007838745800671893	24/16034	2.435114587468404e-4	0.03625823181904877	0.03183066112580157	WNT5A/TLR3/TLR4/MAPKAPK2/LAPTM5/CD36/SEMA7A	7	3	1.8815458070987938	2.5804460844338313
GO:0061387	regulation of extent of cell growth	0.01791713325867861	103/16034	1.7557536313377354e-4	0.02869844407049524	0.02519401532332275	SEMA3E/WNT3/WNT5A/CYFIP1/EPHA7/MAG/DCC/SEMA4B/FSTL4/SPART/IFRD1/HDAC6/NTN1/SEMA7A/PTPRS/SRF	16	19	0.8623976897849309	1.597384074358494
GO:0061900	glial cell activation	0.012318029115341545	50/16034	7.583989593496946e-5	0.019790308150495692	0.017373671045444364	TNF/TLR2/TLR3/JUN/ITGB2/AIF1/SPHK1/CTSC/CST7/CNTF/MMP8	11	7	1.4862330704546476	2.1919357034717812
GO:0070302	regulation of stress-activated protein kinase signaling cascade	0.025755879059350503	190/16034	3.763624659261452e-4	0.041293634007566395	0.03625117951993403	CAV3/HMGB1/TNF/XIAP/WNT5A/WNT7A/WNT7B/TLR3/TLR4/ZMPSTE24/SERPINB3/PJA2/SASH1/DUSP3/MAPK8IP1/SPHK1/TRAF4/IGBP1/FCGR2B/MAP2K2/MAP2K4/MAP3K4/MMP8	23	26	0.9116456246192579	1.64291965759481
GO:0070665	positive regulation of leukocyte proliferation	0.02463605823068309	161/16034	8.667050578505386e-5	0.02013182508375231	0.017673484611242775	IGFBP2/HLA-DMB/HMGB1/NMB/NMBR/HLA-DPA1/TLR4/SPTA1/TYK2/NCK1/CSF2RA/HLA-DPB1/BST1/SHH/CD70/TACR1/AIF1/ST6GAL1/CD38/FCGR3A/TNFSF13B/TFRC	22	87	-0.34061771858467765	0.6619243992300534
GO:0072089	stem cell proliferation	0.019036954087346025	105/16034	6.55111261589898e-5	0.018273580777959868	0.016042154515450435	RARB/OVOL1/WNT1/WNT3/WNT5A/WNT7B/NR2E1/AXIN2/PRRX1/ACE/SHH/LTBP3/XRCC5/CD34/TBX3/BYSL/SART3	17	11	1.4695660179694359	2.1756860979357855
GO:0086064	cell communication by electrical coupling involved in cardiac conduction	0.007838745800671893	25/16034	3.2207648604576746e-4	0.03942026190868182	0.03460656891840991	TBX5/RYR2/HRC/ATP1B2/PKP2/GJC1/ATP1A1	7	9	0.7829335184306843	1.5246341593251989
GO:0098900	regulation of action potential	0.013437849944008958	56/16034	4.756124910568534e-5	0.018068407723737596	0.015862035584287774	RYR2/CAV3/SCN9A/TNF/SUMO1/CNR1/PKP2/DSP/TACR1/KCNB1/CNR2/CD36	12	32	0.053418693699864045	0.9196461116800857
GO:0150076	neuroinflammatory response	0.015677491601343786	68/16034	1.8377947470076744e-5	0.018068407723737596	0.015862035584287774	CD200/ADCY1/TNF/TLR2/TLR3/JUN/ITGB2/AIF1/SPHK1/CTSC/CST7/CNTF/BPGM/MMP8	14	7	1.7273951272715355	2.4283488205946595
GO:1900024	regulation of substrate adhesion-dependent cell spreading	0.012318029115341545	61/16034	4.849849396579867e-4	0.04773402617955812	0.04190512154796842	ARHGEF7/FGA/FGB/CSPG5/MDK/PKP2/CDC42/P4HB/MELTF/ST6GAL1/GBP1	11	42	-0.30552639877340754	0.6825017482657495
GO:1900407	regulation of cellular response to oxidative stress	0.0167973124300112	80/16034	3.0227097921369567e-5	0.018068407723737596	0.015862035584287774	TNF/WNT1/TLR4/BMP7/GCH1/GPX1/SOD1/P4HB/VNN1/HDAC6/CD36/GPR37L1/DDR2/NR4A3/MAPK7	15	5	2.1328602353797	2.829499510779297
