terms	GOID	cluster	consistent_count
action potential	GO:0001508	1	26
aerobic respiration	GO:0009060	2	27
antigen processing and presentation	GO:0019882	3	26
cellular response to xenobiotic stimulus	GO:0071466	4	26
female pregnancy	GO:0007565	5	26
import across plasma membrane	GO:0098739	6	26
lysosomal transport	GO:0007041	7	30
microtubule cytoskeleton organization involved in mitosis	GO:1902850	8	26
positive regulation of cytoskeleton organization	GO:0051495	8	26
regulation of actin filament bundle assembly	GO:0032231	8	26
regulation of microtubule cytoskeleton organization	GO:0070507	8	26
spindle organization	GO:0007051	8	26
negative regulation of supramolecular fiber organization	GO:1902904	9	26
nicotinamide nucleotide metabolic process	GO:0046496	10	26
positive regulation of binding	GO:0051099	11	28
positive regulation of cell growth	GO:0030307	12	27
positive regulation of endocytosis	GO:0045807	13	26
proton transmembrane transport	GO:1902600	14	27
regulation of G protein-coupled receptor signaling pathway	GO:0008277	15	27
regulation of heart contraction	GO:0008016	16	27
regulation of heart rate	GO:0002027	16	26
regulation of intrinsic apoptotic signaling pathway	GO:2001242	17	26
regulation of smooth muscle cell proliferation	GO:0048660	18	26
sphingolipid metabolic process	GO:0006665	19	26
