terms	GOID	cluster	variance
actin polymerization-dependent cell motility	GO:0070358	1	0.8413844080984486
aerobic respiration	GO:0009060	2	2.4344062452466653
carnitine metabolic process	GO:0009437	2	0.5401076287361035
cytoplasmic translation	GO:0002181	2	0.5868157908118554
DNA strand elongation involved in DNA replication	GO:0006271	2	0.8860620142394852
gamma-aminobutyric acid metabolic process	GO:0009448	2	0.8999687385117625
lipoprotein catabolic process	GO:0042159	2	5.157940076351045
lipoprotein metabolic process	GO:0042157	2	2.792205251555027
mitotic recombination	GO:0006312	2	0.6263078570503398
N-acetylneuraminate catabolic process	GO:0019262	2	0.9719374471925036
negative regulation of DNA-templated DNA replication	GO:2000104	2	0.6106661996763215
nuclear DNA replication	GO:0033260	2	0.5987210735214783
positive regulation of deoxyribonuclease activity	GO:0032077	2	0.7815108771059984
positive regulation of DNA-directed DNA polymerase activity	GO:1900264	2	0.7834767120303914
positive regulation of membrane protein ectodomain proteolysis	GO:0051044	2	4.352134751344034
positive regulation of nuclease activity	GO:0032075	2	0.6257841398141109
positive regulation of protein catabolic process in the vacuole	GO:1904352	2	0.8840674037702148
proton motive force-driven ATP synthesis	GO:0015986	2	0.5768560241442553
proton motive force-driven mitochondrial ATP synthesis	GO:0042776	2	0.6470440771850119
pyrimidine nucleotide biosynthetic process	GO:0006221	2	0.5511071647868733
pyrimidine ribonucleotide biosynthetic process	GO:0009220	2	0.576873663882359
regulation of membrane protein ectodomain proteolysis	GO:0051043	2	3.6772965728050377
rRNA catabolic process	GO:0016075	2	5.416745357769478
short-chain fatty acid catabolic process	GO:0019626	2	1.0244304037737937
short-chain fatty acid metabolic process	GO:0046459	2	0.6432329627700846
tricarboxylic acid cycle	GO:0006099	2	4.331206864659359
antigen processing and presentation	GO:0019882	3	3.2064212369976217
antigen processing and presentation of exogenous antigen	GO:0019884	3	4.679205818140283
antigen processing and presentation of exogenous peptide antigen via MHC class II	GO:0019886	3	5.307812401459806
antigen processing and presentation of peptide antigen	GO:0048002	3	3.738109560495843
antigen processing and presentation of peptide antigen via MHC class II	GO:0002495	3	5.107502615982818
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	GO:0002504	3	5.107502615982818
humoral immune response mediated by circulating immunoglobulin	GO:0002455	3	0.5519717783466678
thymic T cell selection	GO:0045061	3	0.9813308698030101
attachment of mitotic spindle microtubules to kinetochore	GO:0051315	4	0.5654017020201065
CENP-A containing chromatin assembly	GO:0034080	4	0.9015610600548501
centromere complex assembly	GO:0034508	4	0.5359527841788057
DNA conformation change	GO:0071103	4	0.6072087943289557
DNA geometric change	GO:0032392	4	0.8049541860587958
DNA replication checkpoint signaling	GO:0000076	4	0.5404558754194396
intraciliary transport involved in cilium assembly	GO:0035735	4	0.7953272615212538
metaphase/anaphase transition of mitotic cell cycle	GO:0007091	4	0.7192862965128621
microtubule depolymerization	GO:0007019	4	0.6683692353026511
mitotic chromosome condensation	GO:0007076	4	0.5860317442584209
mitotic sister chromatid separation	GO:0051306	4	0.6006710833438637
mitotic spindle elongation	GO:0000022	4	0.6793492835099781
mitotic spindle midzone assembly	GO:0051256	4	0.5780422084471127
negative regulation of meiotic cell cycle	GO:0051447	4	0.5732990487657927
positive regulation of chromosome condensation	GO:1905821	4	0.9282145815938353
positive regulation of mitotic cell cycle spindle assembly checkpoint	GO:0090267	4	0.7402622845510296
telomere maintenance via semi-conservative replication	GO:0032201	4	0.6783017651961593
bone resorption	GO:0045453	5	0.5974196878564207
chloride ion homeostasis	GO:0055064	5	0.5277920553189587
branching involved in ureteric bud morphogenesis	GO:0001658	6	0.537982900825758
enamel mineralization	GO:0070166	6	0.5676091385636808
mammary gland epithelial cell differentiation	GO:0060644	6	0.6100925783843666
nephric duct formation	GO:0072179	6	1.0426056549825744
tongue development	GO:0043586	6	0.5890811294229772
tongue morphogenesis	GO:0043587	6	0.8342101764196973
ureteric bud morphogenesis	GO:0060675	6	0.537982900825758
white fat cell differentiation	GO:0050872	6	0.8029524643363904
calcium ion export across plasma membrane	GO:1990034	7	0.7170057755925183
ceramide transport	GO:0035627	7	4.4299516559025784
folate transmembrane transport	GO:0098838	7	1.3060893595827898
glycolipid transport	GO:0046836	7	6.098793734461798
lipid transport across blood-brain barrier	GO:1990379	7	0.626502498822405
lysosomal transport	GO:0007041	7	1.7154745421199273
nuclear migration	GO:0007097	7	0.5792435393759966
proton transmembrane transport	GO:1902600	7	3.2089444327749415
regulation of voltage-gated calcium channel activity	GO:1901385	7	0.5764365660321554
cell adhesion molecule production	GO:0060352	8	0.7825731006180794
cellular response to potassium ion	GO:0035865	9	0.7689931639138313
cellular response to vitamin D	GO:0071305	9	0.5332844106669162
hepatocyte growth factor receptor signaling pathway	GO:0048012	9	0.5296803660100494
muscle atrophy	GO:0014889	9	0.9408712961499375
negative regulation of Ras protein signal transduction	GO:0046580	9	0.5814867242810424
phosphatidylinositol-mediated signaling	GO:0048015	9	0.6641545441755364
positive regulation of cellular response to insulin stimulus	GO:1900078	9	0.6393896900870888
positive regulation of insulin receptor signaling pathway	GO:0046628	9	0.7057948443189477
response to glycoside	GO:1903416	9	0.7103374235222409
DNA replication-dependent chromatin assembly	GO:0006335	10	0.7904380428095034
synapse pruning	GO:0098883	10	0.531422634376285
negative regulation of execution phase of apoptosis	GO:1900118	11	0.5943437442735007
negative regulation of vascular endothelial cell proliferation	GO:1905563	11	0.7199087308905581
negative regulation of guanyl-nucleotide exchange factor activity	GO:1905098	12	0.5560462885459367
positive regulation of CoA-transferase activity	GO:1905920	12	0.5403830367176262
