GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
epigenetic regulation of gene expression	-0.055310329331378916	0.6741237588116509	58	0.8699750277300958	0.5576923076923077	0.11538461538461542
epithelial cell apoptotic process	0	0.2653836788028526	49	0.608380080561837	0.47115384615384615	-0.05769230769230771
epithelial cell development	0.0893384938548813	0.3841811665659664	82	0.7050347025598281	0.7884615384615384	0.5769230769230769
epithelial cell differentiation	0.1035534670147189	0.23897682931537342	87.5	0.5771264486174953	0.8413461538461539	0.6826923076923077
epithelial cell migration	-0.03791011949371981	0.7095681598579575	59	0.8907718875333708	0.5673076923076923	0.13461538461538458
epithelial cell morphogenesis	0	0.32721758961667124	50.5	0.6657041377575346	0.4855769230769231	-0.028846153846153855
epithelial cell proliferation	0.18295717779508425	0.19263802296319632	89.5	0.5325171880003841	0.8605769230769231	0.7211538461538463
epithelial cell-cell adhesion	-0.27763406351737685	0.9772905260509221	65	0.9969972839950593	0.625	0.25
epithelial cilium movement involved in determination of left/right asymmetry	0	0.09897807321339797	42	0.41962008430312514	0.40384615384615385	-0.1923076923076923
epithelial cilium movement involved in extracellular fluid movement	0	0.07365341398847576	39	0.37583564150351617	0.375	-0.25
epithelial structure maintenance	0.3085092228661013	0.41978609667166644	79.5	0.7328492306152823	0.7644230769230769	0.5288461538461537
epithelial to mesenchymal transition	-0.12712322212356653	0.355315199987834	49	0.6899186884629811	0.47115384615384615	-0.05769230769230771
epithelial tube formation	0	0.05400336293599758	36	0.3313113136596803	0.34615384615384615	-0.3076923076923077
epithelial tube morphogenesis	0.12408454040937478	0.7978013981493226	71	0.9256713619313073	0.6826923076923077	0.3653846153846154
epithelium migration	-0.03791011949371981	0.7095681598579575	59	0.8907718875333708	0.5673076923076923	0.13461538461538458
epoxide metabolic process	-0.7528144601830935	0.2950182137918264	48	0.6334015051570028	0.46153846153846156	-0.07692307692307687
epoxygenase P450 pathway	0.6481665818295379	0.013665695176906988	100	0.21434303580781064	0.9615384615384616	0.9230769230769231
equilibrioception	0.23221580585354268	0.7096205698795197	72.5	0.8907718875333708	0.6971153846153846	0.39423076923076916
error-prone translesion synthesis	-0.6667630442762709	0.08268397448285716	36.5	0.39519683751595214	0.35096153846153844	-0.29807692307692313
erythrocyte development	0	0.36141563436418933	52.5	0.6907598172113854	0.5048076923076923	0.009615384615384581
erythrocyte differentiation	0.2860867136551193	0.20425428514158034	89	0.5455774566133768	0.8557692307692307	0.7115384615384615
erythrocyte homeostasis	0.24904962406910125	0.23742553187634033	87.5	0.5760815287763533	0.8413461538461539	0.6826923076923077
erythropoietin-mediated signaling pathway	0	0.7267754310796893	60	0.8970533111347235	0.5769230769230769	0.15384615384615374
erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	0.7676838098351335	0.022506592304460216	104	0.25538384997789476	1	1
erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	0.7095603454903333	0.02682670380172377	103.5	0.26228493959031074	0.9951923076923077	0.9903846153846154
establishment of Golgi localization	0	0.97394748478714	67	0.9969972839950593	0.6442307692307693	0.28846153846153855
establishment of RNA localization	0.10970070166531248	0.5737117824754191	76.5	0.8215992328547057	0.7355769230769231	0.47115384615384626
establishment of apical/basal cell polarity	-0.49972614782561636	0.12589185892525523	39	0.46600293901276574	0.375	-0.25
establishment of cell polarity	0.07345369421589543	0.7995691276166624	61	0.9256713619313073	0.5865384615384616	0.17307692307692313
establishment of chromosome localization	0.28880126370271475	0.15139735443368646	92	0.4915142718968261	0.8846153846153846	0.7692307692307692
establishment of endothelial barrier	-0.05026152366474973	1	66	1	0.6346153846153846	0.26923076923076916
establishment of endothelial intestinal barrier	-0.19552975849268006	0.770599985089887	71.5	0.9153328283581538	0.6875	0.375
establishment of epithelial cell apical/basal polarity	-0.5900924587245819	0.17053903523452849	42	0.5144523720891666	0.40384615384615385	-0.1923076923076923
establishment of epithelial cell polarity	-0.6019294421054069	0.048066914170986345	31	0.3174750017063991	0.2980769230769231	-0.40384615384615385
establishment of mitochondrion localization	0.0816646115653738	0.5355504122663612	77	0.7974035231154891	0.7403846153846154	0.48076923076923084
establishment of mitochondrion localization, microtubule-mediated	0.15922848404110929	0.4607781139307315	79	0.7622310379427861	0.7596153846153846	0.5192307692307692
establishment of mitotic spindle localization	0.07095682620424915	1	66	1	0.6346153846153846	0.26923076923076916
establishment of mitotic spindle orientation	0.036751015301851875	0.9767377662800709	67	0.9969972839950593	0.6442307692307693	0.28846153846153855
establishment of monopolar cell polarity	-0.21515856535282535	0.30237128927820994	47.5	0.6394389686116088	0.4567307692307692	-0.08653846153846156
establishment of organelle localization	0.26391372767099386	0.08765380834857717	97	0.40525579264388695	0.9326923076923077	0.8653846153846154
establishment of protein localization to chromatin	-0.6172577118046122	0.1843039641121077	43	0.5302693988912197	0.41346153846153844	-0.17307692307692313
establishment of protein localization to chromosome	-0.39808795460492563	0.14828108866571316	41	0.49058080105750745	0.3942307692307692	-0.21153846153846156
establishment of protein localization to endoplasmic reticulum	0.5252705883489819	0.19081253975795123	88	0.5325171880003841	0.8461538461538461	0.6923076923076923
establishment of protein localization to extracellular region	0.15013201400277432	0.33557260936890815	83.5	0.6753026479831393	0.8028846153846154	0.6057692307692308
establishment of protein localization to membrane	0.19819422911902373	0.3549194225917809	83	0.6899186884629811	0.7980769230769231	0.5961538461538463
establishment of protein localization to mitochondrial membrane	-0.30760957830658775	0.38558023170016337	51	0.7050347025598281	0.49038461538461536	-0.019230769230769273
establishment of protein localization to mitochondrion	-0.023872405834280297	0.4766823318152918	53	0.7637947584920733	0.5096153846153846	0.019230769230769162
establishment of protein localization to organelle	0.06405734180849776	0.1880169580825995	90	0.5325171880003841	0.8653846153846154	0.7307692307692308
establishment of protein localization to peroxisome	0.262274329950541	0.37753652973103036	82	0.7034602125578011	0.7884615384615384	0.5769230769230769
establishment of protein localization to plasma membrane	0.039208928031678525	0.448491698907391	80	0.7509400503404114	0.7692307692307693	0.5384615384615385
establishment of protein localization to telomere	0	0.2241667363304945	51	0.5630942421266708	0.49038461538461536	-0.019230769230769273
establishment of protein localization to vacuole	0.13822832121467077	0.8428460157439004	62	0.943095910595953	0.5961538461538461	0.1923076923076923
establishment of skin barrier	0.44216441414796215	0.3604110792428688	82	0.6907598172113854	0.7884615384615384	0.5769230769230769
establishment of spindle localization	0.1311375468950946	0.9771445853059132	65	0.9969972839950593	0.625	0.25
establishment of spindle orientation	0.20515089941980513	0.8382650975937955	70	0.943095910595953	0.6730769230769231	0.34615384615384626
establishment of vesicle localization	0.49682418572620696	0.005451243344984267	116	0.163332296604199	1.1153846153846154	1.2307692307692308
establishment or maintenance of apical/basal cell polarity	-0.3405725947681888	0.1937775051882713	43	0.5325171880003841	0.41346153846153844	-0.17307692307692313
establishment or maintenance of bipolar cell polarity	-0.3405725947681888	0.1937775051882713	43	0.5325171880003841	0.41346153846153844	-0.17307692307692313
establishment or maintenance of cell polarity	0.16628673138488975	0.7356977713138555	72.5	0.9049420063202309	0.6971153846153846	0.39423076923076916
establishment or maintenance of epithelial cell apical/basal polarity	-0.3812871018613923	0.25545397681491677	46	0.6027275308659914	0.4423076923076923	-0.11538461538461542
establishment or maintenance of monopolar cell polarity	-0.20056378492086516	0.30237128927820994	47.5	0.6394389686116088	0.4567307692307692	-0.08653846153846156
estrogen biosynthetic process	0	0.9258309248408896	64	0.9840710681143827	0.6153846153846154	0.23076923076923084
estrogen metabolic process	0.5515006740205999	0.041431241895223604	102.5	0.2976441820877182	0.9855769230769231	0.9711538461538463
estrogen receptor signaling pathway	0.1662554777593961	0.5099436385175995	78	0.7831694540005402	0.75	0.5
ethanol catabolic process	-0.2596274217426889	0.446914365563869	53	0.7509400503404114	0.5096153846153846	0.019230769230769162
ethanol metabolic process	-0.2596274217426889	0.446914365563869	53	0.7509400503404114	0.5096153846153846	0.019230769230769162
ether biosynthetic process	0.19678972153331553	0.7647925872087205	71.5	0.9153275262665403	0.6875	0.375
ether lipid biosynthetic process	0.42730790279087666	0.8523013629160459	69.5	0.9498944740895167	0.6682692307692307	0.33653846153846145
ether lipid metabolic process	0.5982695363280097	0.446914365563869	79	0.7509400503404114	0.7596153846153846	0.5192307692307692
ether metabolic process	0.17627729766714162	0.8860969565130495	69	0.9643699350634019	0.6634615384615384	0.32692307692307687
excitatory synapse assembly	0	0.597833843751562	57	0.8341533622610071	0.5480769230769231	0.09615384615384626
excretion	0.20083130003461255	0.8313586284044896	70	0.943095910595953	0.6730769230769231	0.34615384615384626
execution phase of apoptosis	-0.06294263287646285	0.5737117824754191	55.5	0.8215992328547057	0.5336538461538461	0.06730769230769229
exit from host cell	0.369847751080085	0.07693774263070353	95	0.3833428187879308	0.9134615384615384	0.8269230769230769
exit from mitosis	0	0.7688189523495486	61	0.9153328283581538	0.5865384615384616	0.17307692307692313
exocytic process	0.25175832405040555	0.42711853602026945	79	0.7401087911717948	0.7596153846153846	0.5192307692307692
exocytosis	0.18477539504612495	0.13734536778512652	93	0.4714677006021136	0.8942307692307693	0.7884615384615385
export across plasma membrane	0.12766311721354007	0.8438997738146733	62	0.943095910595953	0.5961538461538461	0.1923076923076923
export from cell	0.14029317094577698	0.3269140574748336	84	0.6657041377575346	0.8076923076923077	0.6153846153846154
