Pathway	Direction	Technology	SquaredDeviation
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	Upregulated	RNAseq	0
7-methylguanosine cap hypermethylation	Upregulated	Microarray	0
7-methylguanosine cap hypermethylation	Upregulated	RNAseq	0
9-cis-retinoic acid biosynthetic process	Upregulated	Microarray	0
9-cis-retinoic acid biosynthetic process	Upregulated	RNAseq	0
9-cis-retinoic acid metabolic process	Upregulated	Microarray	0
9-cis-retinoic acid metabolic process	Upregulated	RNAseq	0
90S preribosome assembly	Upregulated	Microarray	0
90S preribosome assembly	Upregulated	RNAseq	0
ADP biosynthetic process	Upregulated	Microarray	0
ADP biosynthetic process	Upregulated	RNAseq	0
ADP catabolic process	Upregulated	Microarray	0
ADP catabolic process	Upregulated	RNAseq	0
ADP transport	Upregulated	Microarray	0
ADP transport	Upregulated	RNAseq	0
AMP biosynthetic process	Upregulated	RNAseq	0
AMP phosphorylation	Upregulated	Microarray	0
AMP phosphorylation	Upregulated	RNAseq	0
AMP salvage	Upregulated	Microarray	0
AMP salvage	Upregulated	RNAseq	0
AMP transport	Upregulated	Microarray	0
AMP transport	Upregulated	RNAseq	0
AMPA glutamate receptor clustering	Upregulated	RNAseq	0
AMPA selective glutamate receptor signaling pathway	Upregulated	Microarray	0
AMPA selective glutamate receptor signaling pathway	Upregulated	RNAseq	0
ARF protein signal transduction	Upregulated	Microarray	0
ARF protein signal transduction	Upregulated	RNAseq	0
ATP export	Upregulated	Microarray	0
ATP export	Upregulated	RNAseq	0
ATP generation from ADP	Upregulated	Microarray	0
ATP generation from ADP	Upregulated	RNAseq	0
ATP generation from poly-ADP-D-ribose	Upregulated	Microarray	0
ATP generation from poly-ADP-D-ribose	Upregulated	RNAseq	0
ATP metabolic process	Upregulated	Microarray	0
ATP metabolic process	Upregulated	RNAseq	0
ATP synthesis coupled electron transport	Upregulated	RNAseq	0
AV node cell action potential	Upregulated	Microarray	0
AV node cell to bundle of His cell communication	Upregulated	Microarray	0
AV node cell to bundle of His cell communication by electrical coupling	Upregulated	Microarray	0
AV node cell to bundle of His cell communication by electrical coupling	Upregulated	RNAseq	0
AV node cell to bundle of His cell signaling	Upregulated	Microarray	0
AV node cell-bundle of His cell adhesion involved in cell communication	Upregulated	Microarray	0
AV node cell-bundle of His cell adhesion involved in cell communication	Upregulated	RNAseq	0
Arp2/3 complex-mediated actin nucleation	Upregulated	RNAseq	0
B cell activation	Upregulated	Microarray	0
B cell activation	Upregulated	RNAseq	0
B cell activation involved in immune response	Upregulated	RNAseq	0
B cell adhesion	Upregulated	Microarray	0
B cell adhesion	Upregulated	RNAseq	0
B cell affinity maturation	Upregulated	Microarray	0
B cell affinity maturation	Upregulated	RNAseq	0
B cell antigen processing and presentation	Upregulated	Microarray	0
B cell antigen processing and presentation	Upregulated	RNAseq	0
B cell apoptotic process	Upregulated	Microarray	0
B cell apoptotic process	Upregulated	RNAseq	0
B cell chemotaxis	Upregulated	Microarray	0
B cell costimulation	Upregulated	Microarray	0
B cell costimulation	Upregulated	RNAseq	0
B cell cytokine production	Upregulated	Microarray	0
B cell cytokine production	Upregulated	RNAseq	0
B cell homeostasis	Upregulated	Microarray	0
B cell homeostasis	Upregulated	RNAseq	0
B cell homeostatic proliferation	Upregulated	Microarray	0
B cell homeostatic proliferation	Upregulated	RNAseq	0
B cell lineage commitment	Upregulated	Microarray	0
B cell lineage commitment	Upregulated	RNAseq	0
B cell negative selection	Upregulated	Microarray	0
B cell negative selection	Upregulated	RNAseq	0
B cell proliferation involved in immune response	Upregulated	Microarray	0
B cell proliferation involved in immune response	Upregulated	RNAseq	0
B cell receptor apoptotic signaling pathway	Upregulated	Microarray	0
B cell receptor apoptotic signaling pathway	Upregulated	RNAseq	0
B cell receptor transport into membrane raft	Upregulated	Microarray	0
B cell receptor transport into membrane raft	Upregulated	RNAseq	0
B cell receptor transport within lipid bilayer	Upregulated	Microarray	0
B cell receptor transport within lipid bilayer	Upregulated	RNAseq	0
B cell selection	Upregulated	Microarray	0
B cell selection	Upregulated	RNAseq	0
B cell tolerance induction	Upregulated	Microarray	0
B cell tolerance induction	Upregulated	RNAseq	0
B-1 B cell differentiation	Upregulated	Microarray	0
B-1 B cell differentiation	Upregulated	RNAseq	0
B-1 B cell homeostasis	Upregulated	Microarray	0
B-1 B cell homeostasis	Upregulated	RNAseq	0
B-1 B cell lineage commitment	Upregulated	Microarray	0
B-1 B cell lineage commitment	Upregulated	RNAseq	0
B-1a B cell differentiation	Upregulated	Microarray	0
B-1a B cell differentiation	Upregulated	RNAseq	0
BMP secretion	Upregulated	Microarray	0
BMP secretion	Upregulated	RNAseq	0
BMP signaling pathway involved in heart development	Upregulated	Microarray	0
BMP signaling pathway involved in heart development	Upregulated	RNAseq	0
BMP signaling pathway involved in heart induction	Upregulated	Microarray	0
BMP signaling pathway involved in heart induction	Upregulated	RNAseq	0
BMP signaling pathway involved in mesodermal cell fate specification	Upregulated	Microarray	0
BMP signaling pathway involved in mesodermal cell fate specification	Upregulated	RNAseq	0
BMP signaling pathway involved in nephric duct formation	Upregulated	Microarray	0
BMP signaling pathway involved in nephric duct formation	Upregulated	RNAseq	0
BMP signaling pathway involved in renal system segmentation	Upregulated	Microarray	0
BMP signaling pathway involved in renal system segmentation	Upregulated	RNAseq	0
BMP signaling pathway involved in spinal cord dorsal/ventral patterning	Upregulated	Microarray	0
BMP signaling pathway involved in spinal cord dorsal/ventral patterning	Upregulated	RNAseq	0
BMP signaling pathway involved in ureter morphogenesis	Upregulated	Microarray	0
BMP signaling pathway involved in ureter morphogenesis	Upregulated	RNAseq	0
Bergmann glial cell differentiation	Upregulated	Microarray	0
Bergmann glial cell differentiation	Upregulated	RNAseq	0
C-5 methylation of cytosine	Upregulated	Microarray	0
C-5 methylation of cytosine	Upregulated	RNAseq	0
C-C chemokine receptor CCR7 signaling pathway	Upregulated	Microarray	0
C-C chemokine receptor CCR7 signaling pathway	Upregulated	RNAseq	0
C-X-C chemokine receptor CXCR4 signaling pathway	Upregulated	Microarray	0
C-terminal protein amino acid modification	Upregulated	RNAseq	0
C-terminal protein deglutamylation	Upregulated	RNAseq	0
C-terminal protein lipidation	Upregulated	Microarray	0
C-terminal protein lipidation	Upregulated	RNAseq	0
C-terminal protein methylation	Upregulated	Microarray	0
C-terminal protein methylation	Upregulated	RNAseq	0
C21-steroid hormone biosynthetic process	Upregulated	RNAseq	0
CAAX-box protein maturation	Upregulated	Microarray	0
CAAX-box protein maturation	Upregulated	RNAseq	0
CAAX-box protein processing	Upregulated	Microarray	0
CAAX-box protein processing	Upregulated	RNAseq	0
CAMKK-AMPK signaling cascade	Upregulated	RNAseq	0
CAT tailing	Upregulated	Microarray	0
CAT tailing	Upregulated	RNAseq	0
CD24 biosynthetic process	Upregulated	Microarray	0
CD24 biosynthetic process	Upregulated	RNAseq	0
CD4 biosynthetic process	Upregulated	Microarray	0
CD4 biosynthetic process	Upregulated	RNAseq	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	Upregulated	Microarray	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	Upregulated	RNAseq	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	Upregulated	Microarray	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	Upregulated	RNAseq	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	Upregulated	Microarray	0
CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	Upregulated	RNAseq	0
CD4-positive, alpha-beta T cell costimulation	Upregulated	Microarray	0
