GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	NA	NA	NA	NA	NA	NA
adherens junction organization	NA	NA	NA	NA	NA	NA
aerobic electron transport chain	NA	NA	NA	NA	NA	NA
aerobic respiration	NA	NA	NA	NA	NA	NA
aging	NA	NA	NA	NA	NA	NA
alpha-beta T cell activation	NA	NA	NA	NA	NA	NA
amine transport	NA	NA	NA	NA	NA	NA
amino-acid betaine metabolic process	NA	NA	NA	NA	NA	NA
amyloid precursor protein catabolic process	NA	NA	NA	NA	NA	NA
amyloid precursor protein metabolic process	NA	NA	NA	NA	NA	NA
amyloid-beta clearance	0	0.6962703401140229	50	0.8268210288854022	0.2717391304347826	-0.4565217391304348
amyloid-beta formation	NA	NA	NA	NA	NA	NA
amyloid-beta metabolic process	NA	NA	NA	NA	NA	NA
androgen receptor signaling pathway	NA	NA	NA	NA	NA	NA
angiotensin-activated signaling pathway	NA	NA	NA	NA	NA	NA
animal organ formation	NA	NA	NA	NA	NA	NA
animal organ regeneration	NA	NA	NA	NA	NA	NA
antibacterial humoral response	NA	NA	NA	NA	NA	NA
antigen processing and presentation	0	0.9329673772756176	51	0.9581827117965802	0.27717391304347827	-0.44565217391304346
antigen processing and presentation of exogenous antigen	0	0.3558859444793871	64.5	0.7117718889587742	0.35054347826086957	-0.29891304347826086
antigen processing and presentation of exogenous peptide antigen	0	0.9329673772756176	51	0.9581827117965802	0.27717391304347827	-0.44565217391304346
antigen processing and presentation of exogenous peptide antigen via MHC class I	NA	NA	NA	NA	NA	NA
antigen processing and presentation of exogenous peptide antigen via MHC class II	0	0.9329673772756176	51	0.9581827117965802	0.27717391304347827	-0.44565217391304346
antigen processing and presentation of peptide antigen	0	0.9329673772756176	51	0.9581827117965802	0.27717391304347827	-0.44565217391304346
antigen processing and presentation of peptide antigen via MHC class I	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide antigen via MHC class II	NA	NA	NA	NA	NA	NA
antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	NA	NA	NA	NA	NA	NA
antigen receptor-mediated signaling pathway	0	0.025930822111790847	72	0.49268562012402606	0.391304347826087	-0.21739130434782605
antimicrobial humoral immune response mediated by antimicrobial peptide	NA	NA	NA	NA	NA	NA
antimicrobial humoral response	NA	NA	NA	NA	NA	NA
appendage development	NA	NA	NA	NA	NA	NA
appendage morphogenesis	NA	NA	NA	NA	NA	NA
artery development	NA	NA	NA	NA	NA	NA
artery morphogenesis	NA	NA	NA	NA	NA	NA
attachment of mitotic spindle microtubules to kinetochore	NA	NA	NA	NA	NA	NA
attachment of spindle microtubules to kinetochore	NA	NA	NA	NA	NA	NA
autocrine signaling	NA	NA	NA	NA	NA	NA
axon extension	NA	NA	NA	NA	NA	NA
base-excision repair	NA	NA	NA	NA	NA	NA
base-excision repair, gap-filling	NA	NA	NA	NA	NA	NA
basic amino acid transmembrane transport	NA	NA	NA	NA	NA	NA
biological process involved in interaction with symbiont	NA	NA	NA	NA	NA	NA
blood vessel diameter maintenance	NA	NA	NA	NA	NA	NA
blood vessel endothelial cell migration	NA	NA	NA	NA	NA	NA
body fluid secretion	NA	NA	NA	NA	NA	NA
bone mineralization	NA	NA	NA	NA	NA	NA
bone remodeling	NA	NA	NA	NA	NA	NA
bone resorption	NA	NA	NA	NA	NA	NA
branched-chain amino acid metabolic process	NA	NA	NA	NA	NA	NA
branching involved in labyrinthine layer morphogenesis	NA	NA	NA	NA	NA	NA
branching involved in ureteric bud morphogenesis	NA	NA	NA	NA	NA	NA
branching morphogenesis of an epithelial tube	NA	NA	NA	NA	NA	NA
calcineurin-NFAT signaling cascade	NA	NA	NA	NA	NA	NA
calcineurin-mediated signaling	NA	NA	NA	NA	NA	NA
calcium ion transmembrane import into cytosol	NA	NA	NA	NA	NA	NA
calcium ion transport into cytosol	NA	NA	NA	NA	NA	NA
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	NA	NA	NA	NA	NA	NA
calcium-mediated signaling	NA	NA	NA	NA	NA	NA
