GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
2'-deoxyribonucleotide biosynthetic process	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
2'-deoxyribonucleotide metabolic process	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
ATP biosynthetic process	-0.3082014313802154	0.38516749048817833	19	1	0.10326086956521739	-0.7934782608695652
ATP synthesis coupled electron transport	0	0.7251671241994855	12.5	1	0.06793478260869565	-0.8641304347826086
AV node cell action potential	0	1	3	1	0.016304347826086956	-0.967391304347826
AV node cell to bundle of His cell signaling	0	1	3	1	0.016304347826086956	-0.967391304347826
Arp2/3 complex-mediated actin nucleation	0	1	11	1	0.059782608695652176	-0.8804347826086957
B cell mediated immunity	1.3978527101441667	1	3	1	0.016304347826086956	-0.967391304347826
B cell proliferation	-0.6321995889612732	0.24088538213866176	17.5	1	0.09510869565217392	-0.8097826086956521
B cell receptor signaling pathway	0	0.8745084012530848	11.5	1	0.0625	-0.875
CDP-choline pathway	0	1	11	1	0.059782608695652176	-0.8804347826086957
CENP-A containing chromatin assembly	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA biosynthetic process	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA conformation change	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA damage checkpoint signaling	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA duplex unwinding	0	NA	10.5	NA	0.057065217391304345	-0.8858695652173914
DNA endoreduplication	0	NA	10.5	NA	0.057065217391304345	-0.8858695652173914
DNA geometric change	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA integrity checkpoint signaling	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA modification	0	1	11	1	0.059782608695652176	-0.8804347826086957
DNA replication checkpoint signaling	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA replication initiation	-0.4496123888546588	0.10087622757903594	3	0.5633937310289158	0.016304347826086956	-0.967391304347826
DNA replication, synthesis of RNA primer	0	1	11	1	0.059782608695652176	-0.8804347826086957
DNA replication-dependent chromatin assembly	0	1	11	1	0.059782608695652176	-0.8804347826086957
DNA strand elongation	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA strand elongation involved in DNA replication	-0.9258704725432736	0.10087622757903594	3	0.5633937310289158	0.016304347826086956	-0.967391304347826
DNA synthesis involved in DNA repair	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
DNA unwinding involved in DNA replication	0	NA	10.5	NA	0.057065217391304345	-0.8858695652173914
DNA-templated DNA replication	-0.2244799437515171	0.10087622757903594	3	0.5633937310289158	0.016304347826086956	-0.967391304347826
DNA-templated DNA replication maintenance of fidelity	0	0.7915680312154841	12	1	0.06521739130434782	-0.8695652173913043
