Pathway	Direction	Technology	SquaredDeviation
'de novo' AMP biosynthetic process	Downregulated	Microarray	0
'de novo' AMP biosynthetic process	Downregulated	RNAseq	0
'de novo' CTP biosynthetic process	Downregulated	Microarray	0
'de novo' CTP biosynthetic process	Downregulated	RNAseq	0
'de novo' GDP-L-fucose biosynthetic process	Downregulated	Microarray	0
'de novo' GDP-L-fucose biosynthetic process	Downregulated	RNAseq	0
'de novo' IMP biosynthetic process	Downregulated	Microarray	0
'de novo' IMP biosynthetic process	Downregulated	RNAseq	0
'de novo' L-methionine biosynthetic process	Downregulated	Microarray	0
'de novo' L-methionine biosynthetic process	Downregulated	RNAseq	0
'de novo' NAD biosynthetic process	Downregulated	Microarray	0
'de novo' NAD biosynthetic process	Downregulated	RNAseq	0
'de novo' NAD biosynthetic process from tryptophan	Downregulated	Microarray	0
'de novo' NAD biosynthetic process from tryptophan	Downregulated	RNAseq	0
'de novo' UMP biosynthetic process	Downregulated	Microarray	0
'de novo' UMP biosynthetic process	Downregulated	RNAseq	0
'de novo' XMP biosynthetic process	Downregulated	Microarray	0
'de novo' XMP biosynthetic process	Downregulated	RNAseq	0
'de novo' actin filament nucleation	Downregulated	Microarray	0
'de novo' actin filament nucleation	Downregulated	RNAseq	0
'de novo' cotranslational protein folding	Downregulated	Microarray	0
'de novo' cotranslational protein folding	Downregulated	RNAseq	0
'de novo' post-translational protein folding	Downregulated	RNAseq	0
'de novo' protein folding	Downregulated	RNAseq	0
'de novo' pyrimidine nucleobase biosynthetic process	Downregulated	Microarray	0
'de novo' pyrimidine nucleobase biosynthetic process	Downregulated	RNAseq	0
(R)-carnitine transmembrane transport	Downregulated	Microarray	0
(R)-carnitine transmembrane transport	Downregulated	RNAseq	0
(R)-carnitine transport	Downregulated	Microarray	0
(R)-carnitine transport	Downregulated	RNAseq	0
(R)-mevalonic acid biosynthetic process	Downregulated	Microarray	0
(R)-mevalonic acid biosynthetic process	Downregulated	RNAseq	0
(R)-mevalonic acid metabolic process	Downregulated	Microarray	0
(R)-mevalonic acid metabolic process	Downregulated	RNAseq	0
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	Downregulated	Microarray	0
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	Downregulated	RNAseq	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	Downregulated	Microarray	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	Downregulated	RNAseq	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	Downregulated	Microarray	0
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	Downregulated	RNAseq	0
10-formyltetrahydrofolate biosynthetic process	Downregulated	Microarray	0
10-formyltetrahydrofolate biosynthetic process	Downregulated	RNAseq	0
10-formyltetrahydrofolate catabolic process	Downregulated	Microarray	0
10-formyltetrahydrofolate catabolic process	Downregulated	RNAseq	0
10-formyltetrahydrofolate metabolic process	Downregulated	Microarray	0
10-formyltetrahydrofolate metabolic process	Downregulated	RNAseq	0
2-oxobutyrate biosynthetic process	Downregulated	Microarray	0
2-oxobutyrate biosynthetic process	Downregulated	RNAseq	0
2-oxobutyrate catabolic process	Downregulated	Microarray	0
2-oxobutyrate catabolic process	Downregulated	RNAseq	0
2-oxobutyrate metabolic process	Downregulated	Microarray	0
2-oxobutyrate metabolic process	Downregulated	RNAseq	0
3'-UTR-mediated mRNA stabilization	Downregulated	RNAseq	0
3'-phospho-5'-adenylyl sulfate transmembrane transport	Downregulated	Microarray	0
3'-phospho-5'-adenylyl sulfate transmembrane transport	Downregulated	RNAseq	0
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	Downregulated	Microarray	0
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	Downregulated	RNAseq	0
3'-phosphoadenosine 5'-phosphosulfate transport	Downregulated	Microarray	0
3'-phosphoadenosine 5'-phosphosulfate transport	Downregulated	RNAseq	0
3-keto-sphinganine metabolic process	Downregulated	Microarray	0
3-keto-sphinganine metabolic process	Downregulated	RNAseq	0
4-hydroxyproline catabolic process	Downregulated	Microarray	0
4-hydroxyproline catabolic process	Downregulated	RNAseq	0
4-hydroxyproline metabolic process	Downregulated	Microarray	0
4-hydroxyproline metabolic process	Downregulated	RNAseq	0
4-nitrophenol metabolic process	Downregulated	Microarray	0
4-nitrophenol metabolic process	Downregulated	RNAseq	0
5'-adenylyl sulfate transmembrane transport	Downregulated	Microarray	0
