Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
DNA replication-dependent chromatin assembly	0	0	0.764518952717726	1.431879123890328	0	0	2.5990557815474493	2.5990557815474493	0	0	0	0	0	0	0	0	0	2.5325664888360166	0	0	0	0	0	0	0	1.7012055492134668	0	0	0	2.063211903529601	2.063211903529601	0	0	0	0	0	1.9176447280214248
actin polymerization-dependent cell motility	0	0	0	0	1.1485765880596626	1.1485765880596626	2.715683213232904	2.715683213232904	0	0	0	0	0	0	0	0	0	0	0	0	0	2.1789330272537124	0	0	0	0	0	2.434045474174942	2.434045474174942	0	0	0	1.4707177218613052	0	0	1.6460178020059306	0
antigen processing and presentation of exogenous peptide antigen via MHC class II	1.6312604219754072	0	0.9087746791334768	0.6499222791138342	0.32781616118654827	0.32781616118654827	0	0	0	6.248558484539918	6.248558484539918	6.248558484539918	6.248558484539918	6.248558484539918	6.248558484539918	0	0	0	0	0	0	1.2164642023462533	0	1.912823658417367	0	0.4519360267486425	0.7592269718535315	0	0	0	0	0.473982438400425	0.8600169282418443	0.9370031825578728	0	0.5580482846683331	1.7984415670237586
bone resorption	0	0	0.5951411978479316	1.1838345248084357	0	0	1.65024592816411	1.65024592816411	1.7575989387964677	0	0	0	0	0	0	0	0	1.588048898934259	0	0	1.808524479670341	1.521739796908338	0	1.5885396364151456	0	1.437708821837112	0	0	0	1.7876635741828852	1.7876635741828852	0	1.4707177218613052	0	0	2.3111568234476016	2.3111568234476016
cell adhesion molecule production	2.638788013021976	0	1.2918639533052438	0	1.3938340424825884	1.3938340424825884	1.9220062735846088	1.9220062735846088	0	0	0	0	0	0	0	0	0	1.857731605023119	0	0	2.0845639339311037	0	0	0	0	0	0	2.03798414214026	2.03798414214026	0	0	0	1.122893516028723	1.46159874326031	0	1.9176447280214248	1.9176447280214248
glycolipid transport	1.9605416252310408	0	0.4090940344455851	0.8720977395643001	0	0	0	0	0	6.59686330363739	6.59686330363739	6.59686330363739	6.59686330363739	6.59686330363739	6.59686330363739	0	0	0	0	0	0	1.788913514399978	0	1.858239736458945	0	0	0	0	0	0	0	0	1.4707177218613052	0.8956174341152586	0	1.9176447280214248	1.9176447280214248
muscle atrophy	0	0	0	0	0	0	2.3156217925830656	2.3156217925830656	0	0	0	0	0	0	0	0	0	2.249728595087088	0	0	0	2.862460769624648	0	2.250250347916803	0	2.088281170252861	0	0	0	0	0	0	2.1240257239640727	1.837480465749711	0	0	2.9969225150088907
negative regulation of guanyl-nucleotide exchange factor activity	0	0	0.888034223170774	0	0.973452212596571	0.973452212596571	1.4465399898004938	1.4465399898004938	1.5503268433901136	0	0	0	0	0	0	0	1.8493061016055936	1.3867397637790957	0	1.7174271525212603	0	0	2.2419369680450343	1.3872105579280851	0	1.243365831540182	0	1.5556065880613803	1.5556065880613803	0	0	0	0.7517004423613525	0	0	2.490490727863756	1.442466674537417
negative regulation of vascular endothelial cell proliferation	0	3.254314108496052	1.4520487355885885	0	0	0	1.4465399898004938	1.4465399898004938	1.5503268433901136	0	0	0	0	0	0	1.568065489423991	0	0	0	0	1.5997861747376187	1.3232861418680504	0	1.3872105579280851	0	1.873536673795353	0	0	0	1.579509589732683	1.579509589732683	0	0.7517004423613525	1.031434081827736	0	0	2.093444687938148
nephric duct formation	0	0	1.6559621501142223	0	2.436583567388161	2.436583567388161	3.001453185181295	3.001453185181295	0	0	0	0	0	0	0	3.13497469050055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9969225150088907	0
