Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
antigen processing and presentation of endogenous peptide antigen via MHC class I	0	0	0.6095495137213726	1.0743048711040182	0.7134747503219528	0.7134747503219528	2.508749386293253	2.508749386293253	2.483699012449627	0	0	0	0	0	0	2.251875856935142	0	1.9825203822860131	0	0	1.9229481150116812	0	2.16733051711402	1.2184606313604138	2.2577938129230555	1.209876628567769	1.0503945246396895	2.569364269199677	2.569364269199677	0	0	1.72893992296424	1.1707622137089913	0.857055220898611	0	0.9566994494930784	2.5943799714146065
chronic inflammatory response	0	2.775454161685804	1.1712420468071605	0	1.9629827841302248	1.9629827841302248	0	0	0	0	0	0	0	0	0	1.9726015819577607	2.138567927347083	2.0963739289862815	0	1.7626262976125842	2.036311693882803	0	2.9677153571839887	1.9580216201976088	0	0	1.7608034916315525	0	0	0	0	0	0	1.5185465023211426	0	2.31098542196601	2.31098542196601
detection of virus	0	0	0	0	0	0	2.508749386293253	2.508749386293253	2.2013511457047183	0	0	0	0	0	0	2.2518758569351425	0	2.3774821630784175	2.2343429884031822	1.391166853221922	2.3165858502323275	0	3.25424169534283	0	4.038866277420929	0	1.389459009330864	2.569364269199677	2.569364269199677	0	0	1.9018008577255376	1.7909977752837527	0	0	0	2.5943799714146065
fibroblast migration	0	0	0	0	0	0	2.9105402142231287	2.9105402142231287	0	0	0	0	0	0	0	0	0	0	0	2.4336113848387018	0	0	0	0	0	0	0	0	0	0	0	2.2949296317434205	0	2.1755081417337245	0	0	2.9967485796521536
interleukin-2-mediated signaling pathway	2.9524296297202555	0	1.1712420468071605	1.1694616652184904	0.7882951167400768	0.7882951167400768	0	0	1.6511590981957585	4.648024943039684	4.648024943039684	4.648024943039684	4.648024943039684	4.648024943039684	4.648024943039684	1.6993690765187812	1.4841944587696254	2.0963739289862815	1.3165524851732362	0	2.5844551322139	2.1535449002427773	0	2.3524577831229454	2.373298509599303	1.948181289413049	0	0	0	2.4468320762768725	2.4468320762768725	0	2.0513820768618087	1.8975841507586857	0	2.030792987849173	2.5306049654051415
maintenance of centrosome location	0	0	0	0	0	0	0	0	0	6.034233251499126	6.034233251499126	6.034233251499126	6.034233251499126	6.034233251499126	6.034233251499126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
monocyte aggregation	3.2389201234828353	0	0	1.4163919527593207	1.5808722793196683	1.5808722793196683	1.8347773793557376	1.8347773793557376	0	0	0	0	0	0	0	2.2518758569351425	1.7497984614270334	2.3774821630784175	2.2343429884031822	1.391166853221922	2.3165858502323275	1.7643006501458094	0	1.5761318379340712	3.3466486332112284	2.2270377248561584	1.389459009330864	0	0	3.0170725051937586	3.0170725051937586	1.2685158883657606	1.7909977752837527	1.785591088076246	0	1.9174773142229329	2.5943799714146065
negative regulation of B cell apoptotic process	0	0	0.8614390216115575	0.8599345861241254	0	0	0	0	0	4.935666860347704	4.935666860347704	4.935666860347704	4.935666860347704	4.935666860347704	4.935666860347704	0.9998978407686908	0	0	0	0.8402619380534676	1.0508982654138428	1.147561430723068	0	1.5761318379340712	0	0.9806520342843394	0.838936259496209	0	0	1.664840924724367	1.664840924724367	0.7471117329910685	1.1707622137089913	1.166052074488009	0	1.2825253347519858	1.2825253347519858
negative regulation of mitochondrial depolarization	0	0	0.6762655435254641	0	0	0	2.226144510530704	2.226144510530704	1.2874242865124843	0	0	0	0	0	0	2.3673536323819206	1.4841944587696254	2.4934690192056945	1.955361600425488	0	2.432341611817371	0	2.2823874013862153	1.3189505744102068	3.059927796548855	1.3100849662554117	0	2.286186947397007	2.286186947397007	2.0505382420665597	2.0505382420665597	1.630667638865819	1.9030519300931297	1.5185465023211426	0	1.6458555306206983	2.7109965870958073
negative regulation of viral genome replication	0	0.978098852526971	0.3405253386270858	0.5291863652773442	0.7566647157162065	0.7566647157162065	2.3970898550304036	2.3970898550304036	2.165894865011458	0	0	0	0	0	0	1.9726015819577605	0.8787996579176552	2.26631787770785	1.434005959757194	1.3262482879206636	2.205698196966501	1.6947171895696789	3.0140010018037566	1.0922140620125709	3.702691774412836	1.4992329589128504	1.3245696743626818	2.457515698680976	2.457515698680976	1.1700431546129133	1.1700431546129133	1.8670742721607103	1.6464835288687816	0.9058333120938684	0.39099501197005937	1.2825253347519858	2.6951392593678056
