GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	-0.9951633606967892	0.21181683847361574	30	1	0.28846153846153844	-0.42307692307692313
'de novo' post-translational protein folding	0.44197468049377286	0.2706719894028132	65	1	0.625	0.25
'de novo' protein folding	0.4225430104713347	0.21915030665061463	67	1	0.6442307692307693	0.28846153846153855
10-formyltetrahydrofolate metabolic process	0	0.6806209207078924	53.5	1	0.5144230769230769	0.028846153846153744
2'-deoxyribonucleotide biosynthetic process	-0.6711814366808064	0.20054089761754348	29	1	0.27884615384615385	-0.4423076923076923
2'-deoxyribonucleotide metabolic process	-0.2319390872688618	0.19829877925518302	28	1	0.2692307692307692	-0.46153846153846156
2-oxoglutarate metabolic process	-0.8576658558098682	0.09417440599000035	24.5	1	0.23557692307692307	-0.5288461538461539
3'-UTR-mediated mRNA destabilization	-0.36083037001980844	0.17714770613122424	27	1	0.25961538461538464	-0.4807692307692307
3'-UTR-mediated mRNA stabilization	0.2571546357241674	0.6687103775110657	55	1	0.5288461538461539	0.05769230769230771
3'-phosphoadenosine 5'-phosphosulfate metabolic process	-0.33713002431790123	0.7035415499698762	42	1	0.40384615384615385	-0.1923076923076923
4-hydroxyproline metabolic process	-0.4504534516943467	0.36269643260240725	36	1	0.34615384615384615	-0.3076923076923077
5S class rRNA transcription by RNA polymerase III	0	0.7017594104199432	53.5	1	0.5144230769230769	0.028846153846153744
7-methylguanosine RNA capping	-0.6088437801612715	0.592575226080823	40	1	0.38461538461538464	-0.23076923076923073
7-methylguanosine mRNA capping	-0.6088437801612715	0.592575226080823	40	1	0.38461538461538464	-0.23076923076923073
ADP catabolic process	-0.34772926736993104	0.44673777569381656	36	1	0.34615384615384615	-0.3076923076923077
ADP metabolic process	-0.33838532333180904	0.44673777569381656	36	1	0.34615384615384615	-0.3076923076923077
AMP biosynthetic process	-0.7592445170432951	0.21181683847361574	30	1	0.28846153846153844	-0.42307692307692313
AMP metabolic process	-0.08594778771509937	0.8931057282681218	45.5	1	0.4375	-0.125
ATF6-mediated unfolded protein response	-0.4767423962665532	0.9715424123350657	47	1	0.4519230769230769	-0.09615384615384615
ATP biosynthetic process	-0.7122415475827986	0.07955098216776944	21	1	0.20192307692307693	-0.5961538461538461
ATP export	-0.2468085773501121	0.6186035244722874	41	1	0.3942307692307692	-0.21153846153846156
ATP metabolic process	-0.42626839356400303	0.1394060193829022	25	1	0.2403846153846154	-0.5192307692307692
ATP synthesis coupled electron transport	-0.6945023092158193	0.15607642805987665	27	1	0.25961538461538464	-0.4807692307692307
ATP transport	-0.6830013608277399	0.026250974977268703	15	1	0.14423076923076922	-0.7115384615384616
AV node cell action potential	-0.9317332184509483	0.035948676546338425	21	1	0.20192307692307693	-0.5961538461538461
AV node cell to bundle of His cell communication	-1.015806938597558	0.03864836831217727	20.5	1	0.1971153846153846	-0.6057692307692308
AV node cell to bundle of His cell signaling	-0.9317332184509483	0.035948676546338425	21	1	0.20192307692307693	-0.5961538461538461
Arp2/3 complex-mediated actin nucleation	-0.2493205396943478	0.7035415499698762	42	1	0.40384615384615385	-0.1923076923076923
B cell activation	-0.16584863376327785	0.767534569841398	43	1	0.41346153846153844	-0.17307692307692313
B cell differentiation	-0.1904479348549819	0.15327631542676673	26	1	0.25	-0.5
B cell mediated immunity	0.18371970613062094	0.5259461395471445	58	1	0.5576923076923077	0.11538461538461542
B cell proliferation	0.7236654141948656	0.263806389336685	65	1	0.625	0.25
B cell receptor signaling pathway	0.11429599980726635	0.9738092765557069	47	1	0.4519230769230769	-0.09615384615384615
BMP signaling pathway	0.11382286348914428	0.490359970844984	59	1	0.5673076923076923	0.13461538461538458
C-X-C chemokine receptor CXCR4 signaling pathway	-0.20789736859084185	0.38242322017414054	34.5	1	0.3317307692307692	-0.33653846153846156
C-terminal protein amino acid modification	-0.8623393258556533	0.029506042229802014	20	1	0.19230769230769232	-0.6153846153846154
C21-steroid hormone biosynthetic process	0.062170756470641825	0.8607515112989016	51	1	0.49038461538461536	-0.019230769230769273
C21-steroid hormone metabolic process	-0.05452644544932811	0.9474017699931632	49.5	1	0.47596153846153844	-0.04807692307692313
C4-dicarboxylate transport	0.038566884170319504	0.7659094455097901	53	1	0.5096153846153846	0.019230769230769162
CD27 signaling pathway	-0.9951633606967892	0.1824747854292316	28.5	1	0.27403846153846156	-0.45192307692307687
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	0.47670413628256914	0.26760402932458577	65	1	0.625	0.25
CD4-positive, alpha-beta T cell activation	0.620472061253278	0.0990968145636291	73.5	1	0.7067307692307693	0.41346153846153855
CD4-positive, alpha-beta T cell differentiation	0.6428948712932461	0.0990968145636291	73.5	1	0.7067307692307693	0.41346153846153855
CD4-positive, alpha-beta T cell differentiation involved in immune response	0.6666921071952879	0.0990968145636291	73.5	1	0.7067307692307693	0.41346153846153855
CD4-positive, alpha-beta T cell lineage commitment	0.405935132699	0.360575617569644	62	1	0.5961538461538461	0.1923076923076923
CD40 signaling pathway	0.26343120859595026	0.5259461395471445	58	1	0.5576923076923077	0.11538461538461542
COPII vesicle coating	0.10442231445778805	0.8626713917343118	51	1	0.49038461538461536	-0.019230769230769273
COPII-coated vesicle budding	-0.22266767863859066	0.9729873488162846	49	1	0.47115384615384615	-0.05769230769230771
COPII-coated vesicle cargo loading	-0.08763889051215629	0.6529022784203236	55	1	0.5288461538461539	0.05769230769230771
CRD-mediated mRNA stabilization	-0.08016722842427204	0.9211740893045749	50	1	0.4807692307692308	-0.038461538461538436
CTP metabolic process	0	0.4437399358787824	58.5	1	0.5625	0.125
D-glucose import across plasma membrane	0.38356263509474975	0.08723562407468283	72	1	0.6923076923076923	0.3846153846153846
D-glucose transmembrane transport	0.40875386957378845	0.13505148029594635	71	1	0.6826923076923077	0.3653846153846154
DNA alkylation repair	0.4400084591767958	0.3299464749793131	63	1	0.6057692307692307	0.21153846153846145
DNA biosynthetic process	-0.14619106873633747	0.4111961506571062	35	1	0.33653846153846156	-0.32692307692307687
DNA catabolic process	-0.1532491587377024	0.8420567473022875	44.5	1	0.42788461538461536	-0.14423076923076927
DNA conformation change	-0.7094158958486503	0.2615765489597518	31.5	1	0.30288461538461536	-0.3942307692307693
DNA cytosine deamination	0.9433424420389835	0.3259330807002259	62.5	1	0.6009615384615384	0.20192307692307687
DNA damage checkpoint signaling	-0.1385882672788744	0.6222465860998301	40	1	0.38461538461538464	-0.23076923076923073
DNA damage response, signal transduction by p53 class mediator	0.11466010420364736	0.6457779350894566	55.5	1	0.5336538461538461	0.06730769230769229
DNA deamination	0.75917663548586245	0.1929874792972563	68	1	0.6538461538461539	0.3076923076923077
DNA double-strand break processing	-0.04757317887935997	0.8420567473022875	44.5	1	0.42788461538461536	-0.14423076923076927
DNA double-strand break processing involved in repair via single-strand annealing	-0.4118858741613066	0.7481613162076243	43	1	0.41346153846153844	-0.17307692307692313
DNA integrity checkpoint signaling	-0.15146325334735372	0.4115809023780783	35	1	0.33653846153846156	-0.32692307692307687
DNA methylation-dependent heterochromatin formation	-0.3411346659196417	0.5852055581358836	40	1	0.38461538461538464	-0.23076923076923073
DNA modification	0.045608717606019256	0.8173965803216421	52	1	0.5	0
DNA recombination	-0.31301195934835285	0.340449761326325	33	1	0.3173076923076923	-0.3653846153846154
DNA repair-dependent chromatin remodeling	-0.34295671978563724	0.19524718560773582	28	1	0.2692307692307692	-0.46153846153846156
DNA replication	-0.31716485884970136	0.30859132722022403	32	1	0.3076923076923077	-0.3846153846153846
DNA replication checkpoint signaling	-0.6884722947673036	0.029547366350789056	17	1	0.16346153846153846	-0.6730769230769231
DNA replication initiation	-0.640419613648585	0.13686127601169293	26	1	0.25	-0.5
DNA replication, synthesis of primer	-1.0655673315868919	0.1824747854292316	28.5	1	0.27403846153846156	-0.45192307692307687
DNA strand elongation	-0.8276446010414803	0.03958246655722212	22.5	1	0.21634615384615385	-0.5673076923076923
DNA strand resection involved in replication fork processing	0.055554402964070326	0.7068338027176737	42	1	0.40384615384615385	-0.1923076923076923
DNA synthesis involved in DNA repair	-0.20501122178011988	0.2499352455695221	30	1	0.28846153846153844	-0.42307692307692313
DNA topological change	-1.0581006276700315	0.10775298052746039	26.5	1	0.2548076923076923	-0.4903846153846154
DNA-templated DNA replication	-0.3338330197948778	0.30859132722022403	32	1	0.3076923076923077	-0.3846153846153846
DNA-templated DNA replication maintenance of fidelity	-0.10189631529569054	0.7172885291368178	42	1	0.40384615384615385	-0.1923076923076923
DNA-templated transcription elongation	0.44560413034554835	0.33978625565841813	63	1	0.6057692307692307	0.21153846153846145
DNA-templated transcription initiation	0.0406219793588678	1	48	1	0.46153846153846156	-0.07692307692307687
DNA-templated transcription termination	-0.12178991716020615	0.8912142436382181	50.5	1	0.4855769230769231	-0.028846153846153855
ER overload response	-0.6602584765021674	0.17727212732968273	28	1	0.2692307692307692	-0.46153846153846156
ER-nucleus signaling pathway	-0.15326286714652815	1	48	1	0.46153846153846156	-0.07692307692307687
ERAD pathway	0.22901234773572776	0.41177300255243626	61	1	0.5865384615384616	0.17307692307692313
ERBB signaling pathway	0.013894167085848563	1	48	1	0.46153846153846156	-0.07692307692307687
ERBB2 signaling pathway	0.04968570707336517	0.7172885291368178	54	1	0.5192307692307693	0.03846153846153855
ERBB2-EGFR signaling pathway	0.47350750449723067	0.3330447577446305	63	1	0.6057692307692307	0.21153846153846145
ERBB4 signaling pathway	-0.5226907804992695	0.1157579443592986	24.5	1	0.23557692307692307	-0.5288461538461539
ERK1 and ERK2 cascade	-0.18876726298367452	0.5316957625620164	38	1	0.36538461538461536	-0.2692307692307693
Fc receptor mediated stimulatory signaling pathway	0.3157417173464727	0.490359970844984	59	1	0.5673076923076923	0.13461538461538458
Fc receptor signaling pathway	0.20667260980872781	0.5325965753181795	58	1	0.5576923076923077	0.11538461538461542
Fc-epsilon receptor signaling pathway	-0.08584620289966183	0.8692713620245567	45	1	0.4326923076923077	-0.13461538461538458
Fc-gamma receptor signaling pathway	0.31677187821982977	0.5325965753181795	58	1	0.5576923076923077	0.11538461538461542
Fc-gamma receptor signaling pathway involved in phagocytosis	0.3157417173464727	0.490359970844984	59	1	0.5673076923076923	0.13461538461538458
G protein-coupled acetylcholine receptor signaling pathway	0.5194105450407528	0.3007820398977447	64	1	0.6153846153846154	0.23076923076923084
G protein-coupled dopamine receptor signaling pathway	-0.3222747525294514	0.2664120748304115	34	1	0.3269230769230769	-0.34615384615384615
G protein-coupled glutamate receptor signaling pathway	-0.02986988729902046	0.6995568641651573	54	1	0.5192307692307693	0.03846153846153855
G protein-coupled receptor internalization	-0.4252802012675466	0.1929874792972563	28	1	0.2692307692307692	-0.46153846153846156
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	-0.12464902293256586	0.2505194752948704	30	1	0.28846153846153844	-0.42307692307692313
G protein-coupled serotonin receptor signaling pathway	-0.3310578215391874	0.5763518360641954	40	1	0.38461538461538464	-0.23076923076923073
G1 to G0 transition	0.06248896657807035	0.6902419821041983	54.5	1	0.5240384615384616	0.04807692307692313
G1/S transition of mitotic cell cycle	0.5997128826553495	0.1782782846331092	69	1	0.6634615384615384	0.32692307692307687
G2/M transition of mitotic cell cycle	-0.009800703317382808	0.6219600960989505	40	1	0.38461538461538464	-0.23076923076923073
GDP-L-fucose biosynthetic process	-0.5185842272326706	0.6186035244722874	41	1	0.3942307692307692	-0.21153846153846156
GDP-L-fucose metabolic process	-0.4504534516943467	0.6820047063182488	42	1	0.40384615384615385	-0.1923076923076923
GDP-mannose biosynthetic process	0	0.6582411433233635	43	1	0.41346153846153844	-0.17307692307692313
GDP-mannose metabolic process	0	0.715959123035378	53.5	1	0.5144230769230769	0.028846153846153744
GMP biosynthetic process	-0.21368229620354295	1	48	1	0.46153846153846156	-0.07692307692307687
GMP metabolic process	-0.1425636068778559	0.8912142436382181	45.5	1	0.4375	-0.125
GPI anchor biosynthetic process	0.16192674036640786	0.8108389619132701	52	1	0.5	0
GPI anchor metabolic process	0.16192674036640786	0.8108389619132701	52	1	0.5	0
GPI anchored protein biosynthesis	0.14518899582154565	0.8420567473022875	51.5	1	0.4951923076923077	-0.009615384615384581
GTP metabolic process	0.12426278865725304	0.6815831403270092	54.5	1	0.5240384615384616	0.04807692307692313
Golgi inheritance	0.5285275716239471	0.713490634862536	54	1	0.5192307692307693	0.03846153846153855
Golgi localization	0.19548100866740703	1	48	1	0.46153846153846156	-0.07692307692307687
Golgi organization	-0.05013392270589512	0.9738092765557069	49	1	0.47115384615384615	-0.05769230769230771
Golgi ribbon formation	-0.42877195287911074	0.15608761983822916	26	1	0.25	-0.5
Golgi to endosome transport	-0.8295476014951282	0.3259330807002259	33.5	1	0.32211538461538464	-0.3557692307692307
Golgi to lysosome transport	-0.2837171115718714	0.2976855827312633	32	1	0.3076923076923077	-0.3846153846153846
Golgi to plasma membrane protein transport	0.23246359945445527	0.8692713620245567	45	1	0.4326923076923077	-0.13461538461538458
