Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
action potential	0.3777512575340296	1.0142896445394802	0.8344146120715715	0.3233127152355653	0.10486742384546772	0.10486742384546772	0.3635155514145435	0.3635155514145435	0.4055361954991285	0	0	0	0	0	0	0.21088303417899407	0.2831486184005517	0.17283696384792568	0.2622012376411282	0.24704655446358287	0.42674680704022366	0.46744091057369713	0	1.132349544375496	0	0.7961882921144837	1.3044757153119029	0.4077630928584592	0.4077630928584592	0.6073189990024475	0.6073189990024475	0.585446542901114	0.5780254600236786	0.22482258380761952	0	0.8271261037324887	1.3741986697647028
aerobic respiration	0	0	0.3414120012297409	0.3978071457650113	0.640087001596818	0.640087001596818	1.6177298213641405	1.6177298213641405	0.5533324194777482	4.328351871971235	4.328351871971235	4.328351871971235	4.328351871971235	4.328351871971235	4.328351871971235	0	0.5116922071528224	0.16102279525785057	0	0.44942811645013775	0.2033387065054947	2.334534612918446	0	0.16110798432326146	0	0.13659433341010152	0.1219651902157867	0.8640321482557187	0.8640321482557187	0.7335430395827789	0.7335430395827789	0.14369148309780896	1.6944348238393327	0	0	1.3952352955176643	0.3379098072139857
antigen processing and presentation	1.1472926909562269	0	0.6747590081542517	0.8113082281532041	0.8539322072016322	0.8539322072016322	0.6363460007168195	0.6363460007168195	0	5.004275661639333	5.004275661639333	5.004275661639333	5.004275661639333	5.004275661639333	5.004275661639333	0	0	0.15831635973509922	0	0	0.19993786098894348	1.0049642702541477	0	1.325747433714128	0	0.1342931098982134	0.4639568666907158	0.5476625398136782	0.5476625398136782	0.1956352454542624	0.1956352454542624	0.27981934319033225	0.8659053856958124	0.6740604782325419	0	1.2971140621055215	1.2076907371606531
carbohydrate derivative catabolic process	0.3308223949910917	0.5003022865288654	0.5778499309265995	0.4610371541012683	0.6787084471153202	0.6787084471153202	1.0751042851736612	1.0751042851736612	0.18050337503627167	0	0	0	0	0	0	0.09238687793630228	0.4810720068603907	0.2981357441116739	0.33990850815747164	0.3205306488011708	0.5469236677606972	1.2949546509022167	0	1.1158727121357672	0	0.2536310001044212	0.28218880154380155	0.357414061119504	0.357414061119504	1.0854505210323075	1.0854505210323075	0.5747997027739163	1.055922117262898	0.5622977979423222	0	1.2964195170989283	1.0715040407642498
carbohydrate derivative transport	0.3414461631773502	0	0.4090940344455852	0.19612521107994327	0.2799887006976675	0.2799887006976675	0.9969239569031426	0.9969239569031426	0.1864524545657692	4.294462521813383	4.294462521813383	4.294462521813383	4.294462521813383	4.294462521813383	4.294462521813383	0.7049597950280923	0.4959255295100929	0.9465087488780974	0	0.22276350868224756	1.6739830583457858	1.3933954596757088	0	1.2298139671748511	0	0.7285345233238207	0.34753813831695096	0.6967297660030299	0.6967297660030299	1.5001556062881791	1.5001556062881791	1.1343745379292065	1.2385113909133307	0.579213413821657	0	0.480627653800047	1.817206677883514
cellular response to xenobiotic stimulus	0.7601397045108736	0.4966002878892643	0.5211813049672459	0.5823609622462196	0.7103049871757475	0.7103049871757475	0.3912426511120555	0.3912426511120555	0.43612551526931886	0	0	0	0	0	0	0.2719694064370031	0.3638052299043116	0.29581812329368096	0.1143240911695752	0.4188935103483919	0.7750470512922665	0.7072363682271502	0	0.8643099624632467	0	0.4889052189724256	0.935407522815165	0.43850134937308305	0.43850134937308305	0.4493724448852224	0.4493724448852224	0.7348767788513403	0.6465907064479215	0.38238730277362526	0	1.3685549591822497	0.8518998346236244
female pregnancy	0.7234237112701538	0	0.9788097349330758	0.8852897874921103	0.692582264400514	0.692582264400514	0.6988741061449864	0.6988741061449864	0.2107400407271668	0	0	0	0	0	0	0.4204210091089844	0.2883489538687336	0.1760650524617685	0	0.25161270069596914	0.4343313617341027	0.6182480643586428	0	0.79793995703312	1.2185965315557383	0.43590155067709674	0.6270958928745798	0.6033250330732268	0.6033250330732268	0.7914460545035269	0.7914460545035269	0.7240123111382355	0.45123915552592864	0.11524427623968564	0.3334293445936857	1.198895566340407	0.9707728447620428
import across plasma membrane	0.4896421361116389	0.7236734780938698	0.6337759790923976	0.4861240331332584	0.6459826413957558	0.6459826413957558	0.6803677445130809	0.6803677445130809	0	0	0	0	0	0	0	0.5338953290797577	0.6978295299253601	0.5446108542477325	0.3425690999998353	0.6174153820609463	0.7855775667756351	0.8509858658419591	0.28002391728192394	0.8204058233718925	0	0.46737842219378223	0.9078409870624384	0.6445175285764474	0.6445175285764474	0.7712141112662263	0.7712141112662263	0.7450238844971994	0.7748028442308762	0.22212532261913187	0	0.947739476860344	1.57586506841129
lipid modification	0.4183528427307027	0.6250715313533192	0.6546697657776459	0.5777811947987672	0.7013900888721614	0.7013900888721614	0.5863815991552994	0.5863815991552994	0.44878592543592993	0	0	0	0	0	0	0.34776062251496015	0.46255926149638343	0.37774530696316583	0	0.6482958781908356	0.7765351162282743	1.3926942783781382	0	0.9260825490054058	0	0.8694086325679723	0.3578559531881223	0.34323846131029123	0.34323846131029123	0.6677815260384229	0.6677815260384229	0.6442218134328072	1.0095735798888967	0.5411678413969049	0.18452855413944055	1.3260408049208994	0.5839846831156458
lysosomal transport	0.4183528427307027	0.6250715313533192	0.3320779417076503	0.4707901547834157	0.39875623935300947	0.39875623935300947	0.7539398414991367	0.7539398414991367	0.34133556786749214	3.81439629797117	3.81439629797117	3.81439629797117	3.81439629797117	3.81439629797117	3.81439629797117	0.34776062251496015	0	0.0965482152321437	0	0	0.5791879735111761	1.0532603012814052	0	0.7869661017505167	0.7661232069788902	0.6830066105375164	0.2176043485381415	0.5545066985391219	0.5545066985391219	0.6677815260384229	0.6677815260384229	0.49662055806847094	0.7051183431848904	0.5952924509525092	0	1.101681979229049	0.902136851788372
