GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
U6 snRNA 3'-end processing	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP metabolic process	0	0.5496594221414087	81	0.7886737255107404	0.44021739130434784	-0.11956521739130432
UDP phosphorylation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-D-xylose biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-D-xylose metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-N-acetylgalactosamine metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-N-acetylgalactosamine transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-N-acetylglucosamine biosynthetic process	0	0.4518929785102327	71	0.7334643187444139	0.3858695652173913	-0.2282608695652174
UDP-N-acetylglucosamine catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-N-acetylglucosamine metabolic process	0	0.3769529935997133	68	0.6807986802977318	0.3695652173913043	-0.26086956521739135
UDP-N-acetylglucosamine transmembrane transport	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
UDP-galactose transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucose catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucose metabolic process	0	0.8419464562448952	91	0.9400512959441588	0.4945652173913043	-0.010869565217391353
UDP-glucose transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucosylation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucuronate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucuronate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-glucuronic acid transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UDP-xylose transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UMP biosynthetic process	0	0.5321025398449678	98	0.7886737255107404	0.532608695652174	0.0652173913043479
UMP catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UMP metabolic process	0	0.5321025398449678	98	0.7886737255107404	0.532608695652174	0.0652173913043479
UMP salvage	0	0.6553910385457666	95	0.8605577196935639	0.5163043478260869	0.032608695652173836
UTP biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UTP catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
UTP metabolic process	0	0.24345324950847624	69	0.5773909261537822	0.375	-0.25
UV protection	0.37848082559571544	0.08990768941938386	116	0.39779839073866896	0.6304347826086957	0.26086956521739135
UV-damage excision repair	0.2771841908470276	0.6848088684274425	96	0.8605577196935639	0.5217391304347826	0.04347826086956519
V(D)J recombination	0.8181615771317619	0.6209532001650326	98	0.8342547875822378	0.532608695652174	0.0652173913043479
VCP-NPL4-UFD1 AAA ATPase complex assembly	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
VEGF-activated neuropilin signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
VEGF-activated neuropilin signaling pathway involved in axon guidance	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
VEGF-activated platelet-derived growth factor receptor signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt protein secretion	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt receptor catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in digestive tract morphogenesis	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in dorsal/ventral axis specification	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in forebrain neuroblast division	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in heart development	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in kidney development	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway involved in somitogenesis	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt signaling pathway, calcium modulating pathway	-0.7353325636822302	0.529976051640963	73	0.7886737255107404	0.3967391304347826	-0.2065217391304348
Wnt signaling pathway, planar cell polarity pathway	0.2695223113111104	0.6370022777561946	98	0.8490351958194141	0.532608695652174	0.0652173913043479
Wnt signalosome assembly	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Wnt-Frizzled-LRP5/6 complex assembly	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
XMP biosynthetic process	0	0.7815969243977948	91	0.9049366339582607	0.4945652173913043	-0.010869565217391353
XMP metabolic process	0	0.7815969243977948	91	0.9049366339582607	0.4945652173913043	-0.010869565217391353
[2Fe-2S] cluster assembly	0	0.8942492428540176	84	0.963269359181985	0.45652173913043476	-0.08695652173913049
[4Fe-4S] cluster assembly	0	0.44364170372079337	78	0.7246361836944555	0.42391304347826086	-0.15217391304347827
abducens nerve development	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abducens nerve formation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abducens nerve morphogenesis	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abducens nucleus development	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abortive mitotic cell cycle	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abscisic acid-activated signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
abscission	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
absorption of visible light	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetate ester biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetate ester metabolic process	0	0.8021550182193806	82.5	0.9189974257116639	0.4483695652173913	-0.1032608695652174
acetate ester transport	0	0.06267938851286362	111	0.3561784780857805	0.6032608695652174	0.2065217391304348
acetate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetoacetic acid metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetyl-CoA biosynthetic process	0.25351737122591733	0.8460853307944647	91.5	0.9419184382936241	0.49728260869565216	-0.005434782608695676
acetyl-CoA biosynthetic process from acetate	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetyl-CoA biosynthetic process from pyruvate	0.4299672930620627	0.6037446167063212	98	0.8258045938871352	0.532608695652174	0.0652173913043479
acetyl-CoA catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetyl-CoA metabolic process	0.4972874098727848	0.1735163054826741	116	0.5137111947137718	0.6304347826086957	0.26086956521739135
acetyl-CoA transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine catabolic process in synaptic cleft	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine metabolic process	0	0.8021550182193806	82.5	0.9189974257116639	0.4483695652173913	-0.1032608695652174
acetylcholine receptor signaling pathway	-0.14852305089442608	0.4476009612242526	70	0.7305745262498525	0.3804347826086957	-0.23913043478260865
acetylcholine secretion	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine secretion, neurotransmission	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine transport	0	0.016926567523699317	114	0.23608929050919222	0.6195652173913043	0.23913043478260865
acetylcholine uptake	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acid secretion	0	0.36233397859303107	75	0.6704921801962644	0.4076086956521739	-0.18478260869565222
acidic amino acid transport	-0.23533812733972925	0.20282561587748313	58	0.5444939720662899	0.31521739130434784	-0.3695652173913043
acinar cell differentiation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acinar cell proliferation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acrosomal vesicle exocytosis	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
acrosome assembly	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
acrosome matrix dispersal	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acrosome reaction	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
actin cortical patch localization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin crosslink formation	0	0.5496594221414087	81	0.7886737255107404	0.44021739130434784	-0.11956521739130432
actin cytoskeleton organization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin cytoskeleton reorganization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament branching	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament bundle assembly	-0.3576361580434784	0.1378295724984294	53	0.47023631609526195	0.28804347826086957	-0.42391304347826086
actin filament bundle distribution	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament bundle organization	-0.3483274957809774	0.1378295724984294	53	0.47023631609526195	0.28804347826086957	-0.42391304347826086
actin filament bundle retrograde transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament capping	0	0.5719229132491119	77	0.8018729489614959	0.41847826086956524	-0.1630434782608695
actin filament debranching	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament depolymerization	0	0.8942601061389681	84	0.963269359181985	0.45652173913043476	-0.08695652173913049
actin filament fragmentation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament network formation	0.43071951080577875	0.23785102943434208	109	0.5773909261537822	0.592391304347826	0.1847826086956521
actin filament organization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament polymerization	0.2765238204380655	0.8460722444881624	82.5	0.9419184382936241	0.4483695652173913	-0.1032608695652174
actin filament reorganization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament reorganization involved in cell cycle	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament severing	0	0.0840055838274809	54	0.38609404104906137	0.29347826086956524	-0.4130434782608695
actin filament uncapping	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament-based movement	0.5093069613416983	0.008570263423440338	146	0.18308461799223333	0.7934782608695652	0.5869565217391304
actin filament-based process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin filament-based transport	0	0.39775532738284786	101	0.6981853491541332	0.5489130434782609	0.09782608695652173
actin modification	0	0.5496594221414087	81	0.7886737255107404	0.44021739130434784	-0.11956521739130432
actin nucleation	0.44224465721261647	0.7928053866121711	93	0.9123181620532768	0.5054347826086957	0.010869565217391353
actin phosphorylation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin polymerization or depolymerization	-0.12356724662002333	0.7824141554625436	80.5	0.9055921883831078	0.4375	-0.125
actin polymerization-dependent cell motility	0	0.4589088751161485	73.5	0.7361754569264417	0.39945652173913043	-0.20108695652173914
actin rod assembly	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin ubiquitination	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actin-mediated cell contraction	0.5892688952139917	0.0065557197550708286	148	0.15415046590742934	0.8043478260869565	0.6086956521739131
actin-myosin filament sliding	0	0.5719229132491119	97	0.8018729489614959	0.5271739130434783	0.05434782608695654
action potential	0.7068723948856355	0.027710372610350798	137	0.26525235302531486	0.7445652173913043	0.48913043478260865
action potential initiation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
action potential propagation	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
activated CD8-positive, alpha-beta T cell apoptotic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activated T cell autonomous cell death	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activated T cell proliferation	0	0.10532155111759496	57	0.4156744093518287	0.30978260869565216	-0.3804347826086957
activation of GTPase activity	-0.14541134436969033	0.9822597130454859	86	0.9979657713506748	0.4673913043478261	-0.06521739130434778
activation of Janus kinase activity	0	0.19910161176704466	66	0.5384649021111927	0.358695652173913	-0.28260869565217395
activation of NF-kappaB-inducing kinase activity	0	0.24563840198597853	63.5	0.5773909261537822	0.3451086956521739	-0.3097826086956522
activation of adenylate cyclase activity	0.4666024116822779	0.006779916094077777	133	0.15670167846107408	0.7228260869565217	0.44565217391304346
activation of blood coagulation via clotting cascade	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of cysteine-type endopeptidase activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of cysteine-type endopeptidase activity involved in apoptotic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of immune response	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of innate immune response	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of meiosis	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of meiosis involved in egg activation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of membrane attack complex	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of phospholipase A2 activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of phospholipase C activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of phospholipase D activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of plasma proteins involved in acute inflammatory response	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of prostate induction by androgen receptor signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of protein kinase A activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of protein kinase B activity	0	0.05229831766610785	112	0.3225539228004393	0.6086956521739131	0.21739130434782616
activation of protein kinase C activity	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activation of protein kinase activity	-0.04350166002456224	0.9819531605615235	86	0.9979657713506748	0.4673913043478261	-0.06521739130434778
activation of store-operated calcium channel activity	0	0.49423349456622573	74.5	0.7683538166213224	0.4048913043478261	-0.19021739130434778
activation of transmembrane receptor protein tyrosine kinase activity	0	0.18339608957723577	106	0.5278190899349938	0.5760869565217391	0.15217391304347827
activation-induced cell death of T cells	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
activin receptor signaling pathway	-0.1199411036775121	0.4339955014010044	69.5	0.7246361836944555	0.37771739130434784	-0.24456521739130432
actomyosin contractile ring assembly	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
actomyosin contractile ring assembly actin filament organization	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actomyosin contractile ring contraction	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
actomyosin contractile ring organization	0	0.36222386040624477	75	0.6704921801962644	0.4076086956521739	-0.18478260869565222
actomyosin structure organization	-0.09495598112659809	0.9121042480646437	84	0.9684149068468123	0.45652173913043476	-0.08695652173913049
acute inflammatory response	-0.3876101383065385	0.44177879692825944	69	0.7246361836944555	0.375	-0.25
acute inflammatory response to antigenic stimulus	0	0.6281958870140165	96	0.839578162000971	0.5217391304347826	0.04347826086956519
acute inflammatory response to non-antigenic stimulus	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acute-phase response	-0.8784704837934354	0.19896804146670607	57.5	0.5384649021111927	0.3125	-0.375
acyl carnitine transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acyl carnitine transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acyl-CoA biosynthetic process	-0.11415108189573897	0.7397221016812368	79	0.8837848173577911	0.42934782608695654	-0.14130434782608692
acyl-CoA metabolic process	-0.11296303347015607	0.8420024019026185	92	0.9400512959441588	0.5	0
acylglycerol acyl-chain remodeling	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
acylglycerol biosynthetic process	-0.5136020459307884	0.20980517821567757	59	0.5468287726703118	0.32065217391304346	-0.3586956521739131
acylglycerol catabolic process	0	0.4232896848022129	70	0.7239210050750642	0.3804347826086957	-0.23913043478260865
acylglycerol homeostasis	-0.14887514950588	0.5084498035796565	72	0.7831340301787353	0.391304347826087	-0.21739130434782605
acylglycerol metabolic process	-0.11256604880669152	0.7054218728441961	78	0.8605577196935639	0.42391304347826086	-0.15217391304347827
acylglycerol transport	0	0.24345324950847624	69	0.5773909261537822	0.375	-0.25
adaptation of rhodopsin mediated signaling	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adaptation of signaling pathway	-0.8393777166945867	0.27943069770424	63	0.6125595085415662	0.3423913043478261	-0.3152173913043478
adaptive immune memory response	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adaptive immune response	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adaptive thermogenesis	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
adaxial/abaxial pattern specification	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adenine biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adenine metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adenine nucleotide transport	-0.1925385721488792	0.9443755561591564	89	0.9844341246273192	0.483695652173913	-0.03260869565217395
adenine salvage	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
adenine transport	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
adenohypophysis development	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
