GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	-0.94638423176579	0.6281556537099864	31	0.9931560706114195	0.3229166666666667	-0.35416666666666663
'de novo' GDP-L-fucose biosynthetic process	0	0.2841299867663769	49.5	0.9931560706114195	0.515625	0.03125
'de novo' IMP biosynthetic process	0	0.9257938788758275	39	1	0.40625	-0.1875
'de novo' L-methionine biosynthetic process	0	NA	37.5	NA	0.390625	-0.21875
'de novo' NAD biosynthetic process from tryptophan	0	0.8173613313851769	39	0.9931560706114195	0.40625	-0.1875
'de novo' UMP biosynthetic process	0	NA	37.5	NA	0.390625	-0.21875
'de novo' XMP biosynthetic process	0	0.9257938788758275	39	1	0.40625	-0.1875
'de novo' cotranslational protein folding	0	0.8360546127543008	35	0.9931560706114195	0.3645833333333333	-0.27083333333333337
'de novo' post-translational protein folding	0.04000537867478671	0.9397940659926394	36	1	0.375	-0.25
'de novo' protein folding	0.11393550061714913	0.940097820605363	39	1	0.40625	-0.1875
'de novo' pyrimidine nucleobase biosynthetic process	0	NA	37.5	NA	0.390625	-0.21875
(R)-carnitine transmembrane transport	0	0.26855036328293835	29	0.9931560706114195	0.3020833333333333	-0.39583333333333337
(R)-carnitine transport	0	0.26855036328293835	29	0.9931560706114195	0.3020833333333333	-0.39583333333333337
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	-1.460014216725696	0.05621949679995578	16.5	0.9931560706114195	0.171875	-0.65625
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	-1.460014216725696	0.05621949679995578	16.5	0.9931560706114195	0.171875	-0.65625
10-formyltetrahydrofolate biosynthetic process	0	0.5021456227383126	43.5	0.9931560706114195	0.453125	-0.09375
10-formyltetrahydrofolate catabolic process	0	0.8360546127543008	35	0.9931560706114195	0.3645833333333333	-0.27083333333333337
10-formyltetrahydrofolate metabolic process	0	0.9257938788758275	39	1	0.40625	-0.1875
2'-deoxyribonucleotide biosynthetic process	-0.6566357818519074	0.2731176535263242	23	0.9931560706114195	0.23958333333333334	-0.5208333333333333
2'-deoxyribonucleotide metabolic process	-0.4486234378368558	0.07324920940119531	13	0.9931560706114195	0.13541666666666666	-0.7291666666666667
2-oxoglutarate metabolic process	-1.0259766372663135	0.01351150214368713	7	0.4180641029854631	0.07291666666666667	-0.8541666666666666
3'-UTR-mediated mRNA destabilization	-0.20587111920649348	0.2333726062328464	21	0.9931560706114195	0.21875	-0.5625
3'-UTR-mediated mRNA stabilization	0.1824593829578116	0.9406266623573822	39	1	0.40625	-0.1875
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	-1.7312400499995204	0.24436644700555013	24	0.9931560706114195	0.25	-0.5
3'-phosphoadenosine 5'-phosphosulfate metabolic process	-0.12321357966328	0.93760582843632	39	1	0.40625	-0.1875
3'-phosphoadenosine 5'-phosphosulfate transport	0	0.09632067516219293	27	0.9931560706114195	0.28125	-0.4375
3-keto-sphinganine metabolic process	0	0.8173613313851769	39	0.9931560706114195	0.40625	-0.1875
4-hydroxyproline catabolic process	0	0.4640902748763119	31	0.9931560706114195	0.3229166666666667	-0.35416666666666663
4-hydroxyproline metabolic process	0	1	37	1	0.3854166666666667	-0.22916666666666663
4-nitrophenol metabolic process	0	NA	37.5	NA	0.390625	-0.21875
5'-adenylyl sulfate transmembrane transport	0	0.09632067516219293	27	0.9931560706114195	0.28125	-0.4375
5-aminolevulinic acid import across plasma membrane	0	NA	37.5	NA	0.390625	-0.21875
5S class rRNA transcription by RNA polymerase III	0	1	38	1	0.3958333333333333	-0.20833333333333337
7-methylguanosine RNA capping	-0.9568468053105684	0.37457943471589183	26	0.9931560706114195	0.2708333333333333	-0.45833333333333337
7-methylguanosine cap hypermethylation	0	NA	37.5	NA	0.390625	-0.21875
7-methylguanosine mRNA capping	-0.9568468053105684	0.37457943471589183	26	0.9931560706114195	0.2708333333333333	-0.45833333333333337
9-cis-retinoic acid biosynthetic process	0	0.5801240438771833	42	0.9931560706114195	0.4375	-0.125
9-cis-retinoic acid metabolic process	0	0.5801240438771833	42	0.9931560706114195	0.4375	-0.125
ADP biosynthetic process	0	NA	37.5	NA	0.390625	-0.21875
ADP catabolic process	-0.2063392422296808	0.8809950855665771	35	1	0.3645833333333333	-0.27083333333333337
ADP metabolic process	-0.20103427400989726	0.8809950855665771	35	1	0.3645833333333333	-0.27083333333333337
ADP transport	0	0.09632067516219293	27	0.9931560706114195	0.28125	-0.4375
AIM2 inflammasome complex assembly	-0.22035231199409688	0.49389441892985264	28	0.9931560706114195	0.2916666666666667	-0.41666666666666663
AMP biosynthetic process	-0.718166849250868	0.6281556537099864	31	0.9931560706114195	0.3229166666666667	-0.35416666666666663
AMP catabolic process	0.2406279197337362	1	37.5	1	0.390625	-0.21875
AMP metabolic process	-0.04189289952502384	0.9394077939607325	36	1	0.375	-0.25
AMP transport	0	NA	37.5	NA	0.390625	-0.21875
AMPA glutamate receptor clustering	0	0.26855036328293835	29	0.9931560706114195	0.3020833333333333	-0.39583333333333337
AMPA selective glutamate receptor signaling pathway	0	0.09632067516219293	27	0.9931560706114195	0.28125	-0.4375
ARF protein signal transduction	0	0.5021456227383126	43.5	0.9931560706114195	0.453125	-0.09375
ATF6-mediated unfolded protein response	0	0.7467838959725029	42	0.9931560706114195	0.4375	-0.125
ATP biosynthetic process	-0.7437374617531007	0.09960188483471907	15	0.9931560706114195	0.15625	-0.6875
ATP export	0	0.6648298595810447	43	0.9931560706114195	0.4479166666666667	-0.10416666666666663
ATP generation from poly-ADP-D-ribose	-0.7041786145339726	0.04530461839125525	19	0.9695923501949982	0.19791666666666666	-0.6041666666666667
ATP metabolic process	-0.38653467152820153	0.41363871107413863	26	0.9931560706114195	0.2708333333333333	-0.45833333333333337
ATP synthesis coupled electron transport	-1.2537418655804715	0.02320141356876909	8	0.6442055646423229	0.08333333333333333	-0.8333333333333334
ATP transport	-0.02980470156351156	0.7277243229539337	32.5	0.9931560706114195	0.3385416666666667	-0.32291666666666663
