GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	-0.9693242784244512	0.3644688644688645	25	1	0.3333333333333333	-0.33333333333333337
'de novo' post-translational protein folding	-0.5917502561594178	0.03907203907203907	15.5	1	0.20666666666666667	-0.5866666666666667
'de novo' protein folding	-0.4214196091263238	0.32722832722832723	24.5	1	0.32666666666666666	-0.3466666666666667
10-formyltetrahydrofolate metabolic process	-1.2108229702265068	0.04884004884004884	11	1	0.14666666666666667	-0.7066666666666667
2'-deoxyribonucleotide biosynthetic process	0.6404502158695888	0.4126984126984128	49	1	0.6533333333333333	0.30666666666666664
2'-deoxyribonucleotide metabolic process	0.512934500712055	0.27472527472527464	53	1	0.7066666666666667	0.41333333333333333
2-oxoglutarate metabolic process	-0.07208971067298708	1	39	1	0.52	0.040000000000000036
3'-UTR-mediated mRNA destabilization	-0.5674177107868442	0.42185592185592186	26.5	1	0.35333333333333333	-0.29333333333333333
3'-UTR-mediated mRNA stabilization	-0.9451221102369172	0.018925518925518928	7	1	0.09333333333333334	-0.8133333333333334
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0.3694088692067765	0.2954822954822953	52	1	0.6933333333333334	0.3866666666666667
5S class rRNA transcription by RNA polymerase III	-1.246662540457231	0.06227106227106227	16	1	0.21333333333333335	-0.5733333333333333
7-methylguanosine RNA capping	-0.8385544928145762	0.39194139194139194	25.5	1	0.34	-0.31999999999999995
7-methylguanosine mRNA capping	-0.8385544928145762	0.39194139194139194	25.5	1	0.34	-0.31999999999999995
ADP catabolic process	-0.016506635681804105	0.5634920634920635	29	1	0.38666666666666666	-0.22666666666666668
ADP metabolic process	-0.07741784308836874	0.514041514041514	28	1	0.37333333333333335	-0.2533333333333333
AMP biosynthetic process	-0.737353084990427	0.3644688644688645	25	1	0.3333333333333333	-0.33333333333333337
AMP metabolic process	-0.4543745778384994	0.463980463980464	27	1	0.36	-0.28
ATF6-mediated unfolded protein response	-0.8385544928145762	0.0757020757020757	16.5	1	0.22	-0.56
ATP biosynthetic process	-0.2927508663399635	0.9230769230769231	37.5	1	0.5	0
ATP export	0.04821700312923671	0.6178266178266179	45	1	0.6	0.19999999999999996
ATP metabolic process	0.008114508509117435	0.9304029304029304	39	1	0.52	0.040000000000000036
