GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	-1.016682780657213	0.11252747252747253	25	1	0.2403846153846154	-0.5192307692307692
'de novo' post-translational protein folding	-0.2958751280797089	0.08957264957264957	29	1	0.27884615384615385	-0.4423076923076923
'de novo' protein folding	-0.2107098045631619	0.5616605616605617	39	1	0.375	-0.25
10-formyltetrahydrofolate metabolic process	-1.0385503534830018	0.19614163614163616	28.5	1	0.27403846153846156	-0.45192307692307687
2'-deoxyribonucleotide biosynthetic process	0.2886400062268989	0.5523809523809524	58	1	0.5576923076923077	0.11538461538461542
2'-deoxyribonucleotide metabolic process	0.41051974991331996	0.2045421245421244	68	1	0.6538461538461539	0.3076923076923077
2-oxoglutarate metabolic process	-0.36612494791639194	0.7961904761904762	44	1	0.4230769230769231	-0.15384615384615385
3'-UTR-mediated mRNA destabilization	-0.48865054948842723	0.34402930402930404	33.5	1	0.32211538461538464	-0.3557692307692307
3'-UTR-mediated mRNA stabilization	-0.19641158026102495	0.7350427350427351	43	1	0.41346153846153844	-0.17307692307692313
3'-phosphoadenosine 5'-phosphosulfate metabolic process	-0.3341204358366472	0.9958485958485959	48.5	1	0.46634615384615385	-0.06730769230769229
5S class rRNA transcription by RNA polymerase III	-0.6233312702286155	0.12180708180708182	29	1	0.27884615384615385	-0.4423076923076923
7-methylguanosine RNA capping	-0.9024368817667309	0.16117216117216118	27.5	1	0.2644230769230769	-0.47115384615384615
7-methylguanosine mRNA capping	-0.9024368817667309	0.16117216117216118	27.5	1	0.2644230769230769	-0.47115384615384615
ADP catabolic process	-0.2739826388059666	0.38202686202686204	34	1	0.3269230769230769	-0.34615384615384615
ADP metabolic process	-0.21120137350319457	0.315018315018315	32	1	0.3076923076923077	-0.3846153846153846
AMP biosynthetic process	-0.7962792457591868	0.14778998778998778	28	1	0.2692307692307692	-0.46153846153846156
AMP metabolic process	-0.49514659644698755	0.2813186813186813	33	1	0.3173076923076923	-0.3653846153846154
ATF6-mediated unfolded protein response	-0.4192772464072881	0.14427350427350427	29	1	0.27884615384615385	-0.4423076923076923
ATP biosynthetic process	-0.31132753911088573	0.5174114774114774	38.5	1	0.3701923076923077	-0.2596153846153846
ATP export	0.4847501603800783	0.30622710622710625	64	1	0.6153846153846154	0.23076923076923084
ATP metabolic process	-0.025025439708774577	0.8365323565323566	44.5	1	0.42788461538461536	-0.14423076923076927
ATP synthesis coupled electron transport	-0.02123228527051013	0.7377777777777779	54	1	0.5192307692307693	0.03846153846153855
ATP transport	0.17118013407962152	0.4998290598290598	59	1	0.5673076923076923	0.13461538461538458
AV node cell action potential	-0.25476930129257996	0.6649084249084249	41	1	0.3942307692307692	-0.21153846153846156
AV node cell to bundle of His cell communication	-0.22070883576852887	0.6649084249084249	41	1	0.3942307692307692	-0.21153846153846156
AV node cell to bundle of His cell signaling	-0.25476930129257996	0.6649084249084249	41	1	0.3942307692307692	-0.21153846153846156
Arp2/3 complex-mediated actin nucleation	-0.389461896263412	0.30622710622710625	34	1	0.3269230769230769	-0.34615384615384615
B cell activation	0.005560167308681474	0.5903785103785104	57	1	0.5480769230769231	0.09615384615384626
B cell differentiation	0.19218423419520358	0.6005372405372404	56.5	1	0.5432692307692307	0.08653846153846145
B cell mediated immunity	-0.22923174665677215	0.6700854700854701	41	1	0.3942307692307692	-0.21153846153846156
B cell proliferation	0	0.23247863247863254	63.5	1	0.6105769230769231	0.22115384615384626
B cell receptor signaling pathway	0.3561224771633721	0.25953601953601946	66	1	0.6346153846153846	0.26923076923076916
BMP signaling pathway	-0.06996317003727848	0.976117216117216	49	1	0.47115384615384615	-0.05769230769230771
C-X-C chemokine receptor CXCR4 signaling pathway	0.6586567994337137	0.40507936507936515	61	1	0.5865384615384616	0.17307692307692313
C-terminal protein amino acid modification	0.603541849866459	0.3111111111111111	63.5	1	0.6105769230769231	0.22115384615384626
C21-steroid hormone biosynthetic process	-0.2958751280797089	0.8143589743589743	44	1	0.4230769230769231	-0.15384615384615385
C21-steroid hormone metabolic process	-0.28467815746151304	0.35672771672771675	33.5	1	0.32211538461538464	-0.3557692307692307
C4-dicarboxylate transport	-0.22409413232827746	0.39335775335775336	34.5	1	0.3317307692307692	-0.33653846153846156
CD27 signaling pathway	-0.5320206414449874	0.5171184371184371	39	1	0.375	-0.25
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	-0.19450985596292525	0.8341880341880341	52	1	0.5	0
CD4-positive, alpha-beta T cell activation	0.01170193222979693	0.8784371184371185	51	1	0.49038461538461536	-0.019230769230769273
CD4-positive, alpha-beta T cell differentiation	0.012393718578003754	1	48	1	0.46153846153846156	-0.07692307692307687
CD4-positive, alpha-beta T cell lineage commitment	0	0.36532356532356536	60	1	0.5769230769230769	0.15384615384615374
CD40 signaling pathway	-0.3686765424952135	0.5171184371184371	39	1	0.375	-0.25
COPII vesicle coating	-0.6396956995295809	0.1385103785103785	27	1	0.25961538461538464	-0.4807692307692307
COPII-coated vesicle budding	-0.5601699011067822	0.19614163614163616	28.5	1	0.27403846153846156	-0.45192307692307687
COPII-coated vesicle cargo loading	-0.4819565902118297	0.23814407814407815	31	1	0.2980769230769231	-0.40384615384615385
CRD-mediated mRNA stabilization	-0.5363488043226373	0.34363858363858363	34	1	0.3269230769230769	-0.34615384615384615
CTP metabolic process	-0.4846621392122256	0.17123321123321122	30	1	0.28846153846153844	-0.42307692307692313
D-glucose import across plasma membrane	-0.7853353015772444	0.09768009768009768	24	1	0.23076923076923078	-0.5384615384615384
D-glucose transmembrane transport	-0.2987649563865926	0.5010989010989011	37	1	0.3557692307692308	-0.28846153846153844
DNA alkylation repair	-0.3829146101741439	0.7350427350427351	43	1	0.41346153846153844	-0.17307692307692313
DNA biosynthetic process	-0.08787417479198845	0.996043956043956	48.5	1	0.46634615384615385	-0.06730769230769229
DNA catabolic process	-0.24636643051184906	0.7907203907203907	44	1	0.4230769230769231	-0.15384615384615385
DNA conformation change	0.1338034491653295	0.5122344322344323	58.5	1	0.5625	0.125
DNA cytosine deamination	0	0.864957264957265	48.5	1	0.46634615384615385	-0.06730769230769229
DNA damage checkpoint signaling	-0.09249503555757665	0.9867643467643468	47.5	1	0.4567307692307692	-0.08653846153846156
DNA damage response, signal transduction by p53 class mediator	0.03451724241862314	0.5173137973137973	58.5	1	0.5625	0.125
DNA damage tolerance	0.28308967100971366	0.4998290598290598	59	1	0.5673076923076923	0.13461538461538458
DNA deamination	-0.5249794293830274	0.3410989010989011	35	1	0.33653846153846156	-0.32692307692307687
DNA double-strand break processing	0.21049873980748401	0.7290842490842491	54	1	0.5192307692307693	0.03846153846153855
DNA double-strand break processing involved in repair via single-strand annealing	-0.674046547699868	0.2547496947496948	32	1	0.3076923076923077	-0.3846153846153846
DNA integrity checkpoint signaling	-0.08620471247634753	0.8850793650793651	45.5	1	0.4375	-0.125
DNA methylation-dependent constitutive heterochromatin formation	-0.22651610832716443	0.7863247863247863	44	1	0.4230769230769231	-0.15384615384615385
DNA modification	-0.011166221473329019	0.8423931623931624	51.5	1	0.4951923076923077	-0.009615384615384581
DNA recombination	0.10055738380445872	0.6812210012210012	55	1	0.5288461538461539	0.05769230769230771
DNA repair-dependent chromatin remodeling	0.31755245940445337	0.3642490842490842	62	1	0.5961538461538461	0.1923076923076923
DNA replication	0.10370755485111527	0.5598046398046399	57.5	1	0.5528846153846154	0.10576923076923084
DNA replication checkpoint signaling	-0.2679593075277379	0.6191941391941392	40	1	0.38461538461538464	-0.23076923076923073
DNA replication initiation	0.020973492568379992	0.788962148962149	52.5	1	0.5048076923076923	0.009615384615384581
DNA replication, synthesis of primer	0	0.29890109890109895	61	1	0.5865384615384616	0.17307692307692313
DNA strand elongation	0	0.6974358974358974	55	1	0.5288461538461539	0.05769230769230771
DNA strand resection involved in replication fork processing	0	0.28717948717948727	62.5	1	0.6009615384615384	0.20192307692307687
DNA synthesis involved in DNA repair	0.17495794880014293	0.8202197802197801	52	1	0.5	0
DNA topological change	-0.4846621392122256	0.9782661782661782	47	1	0.4519230769230769	-0.09615384615384615
DNA-templated DNA replication	0.12660162879863546	0.6812210012210012	55	1	0.5288461538461539	0.05769230769230771
DNA-templated DNA replication maintenance of fidelity	0.07809069101221622	0.6042490842490842	56.5	1	0.5432692307692307	0.08653846153846145
DNA-templated transcription elongation	-0.126302531110721	0.8752136752136752	51	1	0.49038461538461536	-0.019230769230769273
DNA-templated transcription initiation	-0.27186854464327737	0.3891575091575092	34	1	0.3269230769230769	-0.34615384615384615
DNA-templated transcription termination	-0.26894519106209874	0.7047619047619048	42	1	0.40384615384615385	-0.1923076923076923
ER overload response	-0.3686765424952135	0.5022710622710623	38	1	0.36538461538461536	-0.2692307692307693
ER-nucleus signaling pathway	-0.09799437554237145	0.7656166056166056	43	1	0.41346153846153844	-0.17307692307692313
ERAD pathway	-0.412525500460148	0.2358974358974359	29.5	1	0.28365384615384615	-0.4326923076923077
ERBB signaling pathway	-0.311600878805	0.2610989010989011	30	1	0.28846153846153844	-0.42307692307692313
ERBB2 signaling pathway	-0.5502521066192712	0.0968986568986569	23	1	0.22115384615384615	-0.5576923076923077
ERBB2-EGFR signaling pathway	-0.674046547699868	0.04981684981684982	20.5	1	0.1971153846153846	-0.6057692307692308
ERBB4 signaling pathway	-0.30067316236501873	0.14427350427350427	29	1	0.27884615384615385	-0.4423076923076923
ERK1 and ERK2 cascade	-0.12061752779097945	0.6441025641025641	40.5	1	0.3894230769230769	-0.22115384615384615
Fc receptor mediated stimulatory signaling pathway	-0.08698708903416563	0.7165811965811966	42	1	0.40384615384615385	-0.1923076923076923
Fc receptor signaling pathway	0.03650444232935546	0.5598046398046399	57.5	1	0.5528846153846154	0.10576923076923084
Fc-epsilon receptor signaling pathway	0.16856015978298383	0.1912576312576313	68.5	1	0.6586538461538461	0.3173076923076923
Fc-gamma receptor signaling pathway	0.007714850717280841	0.8261782661782662	52	1	0.5	0
Fc-gamma receptor signaling pathway involved in phagocytosis	-0.08698708903416563	0.7165811965811966	42	1	0.40384615384615385	-0.1923076923076923
G protein-coupled acetylcholine receptor signaling pathway	-0.6939637709058947	0.176996336996337	28.5	1	0.27403846153846156	-0.45192307692307687
G protein-coupled dopamine receptor signaling pathway	-0.2835042127223574	0.3898412698412698	34.5	1	0.3317307692307692	-0.33653846153846156
G protein-coupled glutamate receptor signaling pathway	0.22186548228552455	0.5393894993894994	58	1	0.5576923076923077	0.11538461538461542
G protein-coupled receptor internalization	0	0.36532356532356536	60	1	0.5769230769230769	0.15384615384615374
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	-0.022134896642402924	0.9927228327228328	48.5	1	0.46634615384615385	-0.06730769230769229
G protein-coupled serotonin receptor signaling pathway	0.16668765892580614	0.1777777777777778	66	1	0.6346153846153846	0.26923076923076916
G1 to G0 transition	-0.6233312702286155	0.4903540903540904	38	1	0.36538461538461536	-0.2692307692307693
G1/S transition of mitotic cell cycle	-0.39091755161223407	0.34735042735042737	33	1	0.3173076923076923	-0.3653846153846154
G2/M transition of mitotic cell cycle	-0.07244411870601386	0.976117216117216	49	1	0.47115384615384615	-0.05769230769230771
GDP-L-fucose biosynthetic process	-0.4846621392122256	0.8774603174603175	45	1	0.4326923076923077	-0.13461538461538458
GDP-L-fucose metabolic process	0.042634600352445595	0.9003174603174603	46	1	0.4423076923076923	-0.11538461538461542
GDP-mannose biosynthetic process	0	0.7890598290598291	44	1	0.4230769230769231	-0.15384615384615385
GDP-mannose metabolic process	0	1	48	1	0.46153846153846156	-0.07692307692307687
GMP biosynthetic process	-0.7962792457591868	0.21216117216117217	31.5	1	0.30288461538461536	-0.3942307692307693
GMP metabolic process	-0.5847008922744099	0.3671794871794872	35.5	1	0.34134615384615385	-0.3173076923076923
GPI anchor biosynthetic process	-0.28807173475504133	0.7312332112332113	42.5	1	0.40865384615384615	-0.1826923076923077
GPI anchor metabolic process	-0.28807173475504133	0.7312332112332113	42.5	1	0.40865384615384615	-0.1826923076923077
GPI anchored protein biosynthesis	-0.29484937752294577	0.6893284493284493	41.5	1	0.39903846153846156	-0.20192307692307687
GTP metabolic process	0.4162302921194343	0.5015873015873016	59	1	0.5673076923076923	0.13461538461538458
Golgi inheritance	-1.0992755842342326	0.054407814407814406	20.5	1	0.1971153846153846	-0.6057692307692308
Golgi localization	-0.46964741158208495	0.7958974358974359	44.5	1	0.42788461538461536	-0.14423076923076927
Golgi organization	-0.044508427567319875	0.6722344322344322	41	1	0.3942307692307692	-0.21153846153846156
Golgi ribbon formation	-0.15697129461506143	0.7528205128205129	44	1	0.4230769230769231	-0.15384615384615385
Golgi to endosome transport	-0.26894519106209874	0.9181929181929183	46	1	0.4423076923076923	-0.11538461538461542
Golgi to lysosome transport	-0.4772113396393538	0.32263736263736265	32.5	1	0.3125	-0.375
Golgi to plasma membrane protein transport	-0.1551839370199768	0.5456410256410257	38	1	0.36538461538461536	-0.2692307692307693
Golgi to plasma membrane transport	-0.07800227947770222	0.5960439560439561	39.5	1	0.3798076923076923	-0.24038461538461542
Golgi to vacuole transport	-0.4772113396393538	0.32263736263736265	32.5	1	0.3125	-0.375
Golgi vesicle budding	0	0.7145299145299147	60	1	0.5769230769230769	0.15384615384615374
Golgi vesicle transport	0.011923318506822822	0.9308913308913309	49.5	1	0.47596153846153844	-0.04807692307692313
HRI-mediated signaling	-0.4088008744066807	0.9313797313797314	46	1	0.4423076923076923	-0.11538461538461542
IMP biosynthetic process	-1.2563119980129427	0.09074481074481075	23.5	1	0.22596153846153846	-0.5480769230769231
IMP metabolic process	-0.8004178404245368	0.12854700854700854	25.5	1	0.24519230769230768	-0.5096153846153846
IRES-dependent viral translational initiation	-0.24636643051184906	0.9313797313797314	46	1	0.4423076923076923	-0.11538461538461542
ISG15-protein conjugation	-0.4192772464072881	0.24752136752136752	32	1	0.3076923076923077	-0.3846153846153846
JNK cascade	-0.1874474649400622	0.6826862026862027	41.5	1	0.39903846153846156	-0.20192307692307687
L-alanine transmembrane transport	-0.5320206414449874	0.2275946275946276	33	1	0.3173076923076923	-0.3653846153846154
L-alanine transport	-0.50693552517833	0.31853479853479855	35	1	0.33653846153846156	-0.32692307692307687
L-alpha-amino acid transmembrane transport	-0.2934019231235825	0.2881562881562882	31	1	0.2980769230769231	-0.40384615384615385
L-amino acid biosynthetic process	-0.4385958378462301	0.3583882783882784	33.5	1	0.32211538461538464	-0.3557692307692307
L-amino acid catabolic process	0.303967268527328	0.20737484737484735	68	1	0.6538461538461539	0.3076923076923077
L-amino acid metabolic process	0.13985135524100967	0.7410989010989011	53.5	1	0.5144230769230769	0.028846153846153744
L-amino acid transport	-0.2511068434091157	0.471013431013431	36.5	1	0.35096153846153844	-0.29807692307692313
L-arginine catabolic process	0	1	56	1	0.5384615384615384	0.07692307692307687
L-arginine transmembrane transport	-0.4953657955048181	0.37763125763125766	34	1	0.3269230769230769	-0.34615384615384615
L-ascorbic acid metabolic process	-0.6483115390325023	0.2670573870573871	31.5	1	0.30288461538461536	-0.3942307692307693
L-cystine transport	-0.4846621392122256	0.38290598290598293	35	1	0.33653846153846156	-0.32692307692307687
L-glutamate catabolic process	0.11741962321657162	0.7377777777777779	54	1	0.5192307692307693	0.03846153846153855
L-glutamate import	-0.5363488043226373	0.03418803418803419	19	1	0.18269230769230768	-0.6346153846153846
L-glutamate transmembrane transport	-0.5847008922744099	0.044444444444444446	20	1	0.19230769230769232	-0.6153846153846154
L-glutamine family amino acid biosynthetic process	-0.629212592032101	0.1183882783882784	24	1	0.23076923076923078	-0.5384615384615384
L-histidine catabolic process	-0.3686765424952135	0.8752136752136752	51	1	0.49038461538461536	-0.019230769230769273
L-histidine metabolic process	-0.3686765424952135	0.8752136752136752	51	1	0.49038461538461536	-0.019230769230769273
L-leucine transport	-0.19947290023433562	0.6253479853479853	40.5	1	0.3894230769230769	-0.22115384615384615
L-lysine transmembrane transport	0	0.5380219780219779	56.5	1	0.5432692307692307	0.08653846153846145
L-lysine transport	-0.4831596353594428	0.5171184371184371	39	1	0.375	-0.25
L-methionine biosynthetic process	0	0.5846153846153845	62	1	0.5961538461538461	0.1923076923076923
L-methionine salvage	0	0.5846153846153845	62	1	0.5961538461538461	0.1923076923076923
L-proline metabolic process	-0.5720391702035735	0.5357753357753358	39	1	0.375	-0.25
L-serine metabolic process	-0.34973940619845817	0.33621489621489625	33	1	0.3173076923076923	-0.3653846153846154
L-tryptophan catabolic process	0	0.8444444444444443	50	1	0.4807692307692308	-0.038461538461538436
L-tryptophan metabolic process	0	0.6959706959706959	52.5	1	0.5048076923076923	0.009615384615384581
L-tyrosine catabolic process	0	0.5679120879120878	55	1	0.5288461538461539	0.05769230769230771
MAPK cascade	-0.19879213191556383	0.5524786324786325	38.5	1	0.3701923076923077	-0.2596153846153846
MHC class I protein complex assembly	0	1	48	1	0.46153846153846156	-0.07692307692307687
MHC protein complex assembly	0	0.8302808302808302	53	1	0.5096153846153846	0.019230769230769162
MyD88-dependent toll-like receptor signaling pathway	0.8173123724145268	0.3449084249084249	62.5	1	0.6009615384615384	0.20192307692307687
MyD88-independent toll-like receptor signaling pathway	-0.389461896263412	0.6953846153846154	42.5	1	0.40865384615384615	-0.1826923076923077
N-acetylglucosamine metabolic process	0.28660428640643903	0.5039316239316238	59	1	0.5673076923076923	0.13461538461538458
N-acetylneuraminate metabolic process	0.7547965986265079	0.20952380952380945	67	1	0.6442307692307693	0.28846153846153855
N-acylphosphatidylethanolamine metabolic process	-0.5170350757844491	0.5575579975579976	39	1	0.375	-0.25
N-glycan processing	0.3958117625294319	0.3875946275946276	62	1	0.5961538461538461	0.1923076923076923
N-terminal protein amino acid acetylation	-0.4819565902118297	0.4903540903540904	38	1	0.36538461538461536	-0.2692307692307693
