GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' IMP biosynthetic process	0	1	15	1	0.08152173913043478	-0.8369565217391304
'de novo' NAD biosynthetic process	0	NA	14.5	NA	0.07880434782608696	-0.842391304347826
'de novo' NAD biosynthetic process from tryptophan	-1.5828620649924956	5.15961874078507e-4	1	0.0045835896634556315	0.005434782608695652	-0.9891304347826086
'de novo' XMP biosynthetic process	0	1	15	1	0.08152173913043478	-0.8369565217391304
'de novo' post-translational protein folding	0	0.7218616601929044	17	1	0.09239130434782608	-0.8152173913043479
'de novo' protein folding	0	0.7218616601929044	17	1	0.09239130434782608	-0.8152173913043479
2'-deoxyribonucleotide metabolic process	0	1	15	1	0.08152173913043478	-0.8369565217391304
3'-UTR-mediated mRNA destabilization	0	0.7692704771886436	16.5	1	0.08967391304347826	-0.8206521739130435
7-methylguanosine cap hypermethylation	0	1	15	1	0.08152173913043478	-0.8369565217391304
ADP metabolic process	0	0.7228442443713168	38	1	0.20652173913043478	-0.5869565217391304
AMP catabolic process	-0.5541372949986951	0.031523888588168084	3	0.15229722798439646	0.016304347826086956	-0.967391304347826
ATP biosynthetic process	0	1	3.5	1	0.019021739130434784	-0.9619565217391304
ATP generation from ADP	0	NA	35	NA	0.19021739130434784	-0.6195652173913043
Arp2/3 complex-mediated actin nucleation	0	1	15	1	0.08152173913043478	-0.8369565217391304
B cell activation involved in immune response	-1.7539378745860779	0.03585988867469517	12	0.16272023343686892	0.06521739130434782	-0.8695652173913043
B cell apoptotic process	-2.4633307280138443	0.3924906411946434	8	0.9842380280796731	0.043478260869565216	-0.9130434782608696
B cell differentiation	-0.9186931037943307	0.11207430566450281	16	0.3795638329102355	0.08695652173913043	-0.8260869565217391
B cell homeostasis	0	NA	14.5	NA	0.07880434782608696	-0.842391304347826
B cell mediated immunity	-1.007203584276596	0.035881053522222275	12	0.16272023343686892	0.06521739130434782	-0.8695652173913043
B cell proliferation	-1.3301732550671246	0.01605858730403128	10	0.08752812420658806	0.05434782608695652	-0.8913043478260869
B cell receptor signaling pathway	0	0.7971450911477713	37	1	0.20108695652173914	-0.5978260869565217
BMP signaling pathway	-0.4209245961103388	1.998581508138185e-7	0	3.3794196410336587e-6	0	-1
CAMKK-AMPK signaling cascade	0	1	15	1	0.08152173913043478	-0.8369565217391304
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	-0.6759953243899686	0.4911145696340051	9	1	0.04891304347826087	-0.9021739130434783
