Description	dn_aggregated_microarray_0.8	dn_aggregated_microarray_DE	dn_aggregated_microarray	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood
3'-phosphoadenosine 5'-phosphosulfate metabolic process	NA	NA	NA	0.002403846153846154	NA	NA	NA	NA	NA
5S class rRNA transcription by RNA polymerase III	NA	NA	NA	0.001201923076923077	NA	NA	NA	NA	NA
acetyl-CoA metabolic process	NA	NA	NA	0.0038461538461538464	NA	NA	NA	NA	NA
acetylcholine receptor signaling pathway	NA	NA	NA	0.0057692307692307696	0.004628439187451787	NA	NA	0.005722460658082976	0.005722460658082976
acid secretion	NA	NA	NA	0.004807692307692308	0.004628439187451787	0.00535931790499391	NA	0.0054363376251788265	0.0054363376251788265
acidic amino acid transport	NA	NA	NA	0.007692307692307693	0.007456929802005657	NA	0.008235587721487397	0.008583690987124463	0.008583690987124463
actin filament bundle assembly	0.024489795918367346	NA	NA	NA	0.01542813062483929	NA	0.014474669328674819	0.013447782546494993	0.013447782546494993
actin filament bundle organization	0.024489795918367346	NA	NA	NA	0.01542813062483929	NA	0.014474669328674819	NA	NA
actin filament severing	NA	NA	NA	0.002403846153846154	NA	NA	NA	NA	NA
actin filament-based movement	NA	NA	NA	NA	0.014399588583183338	0.015834348355663823	NA	0.015736766809728183	0.015736766809728183
actin-mediated cell contraction	NA	NA	NA	NA	0.013113911031113397	0.01412911084043849	0.010481657100074869	0.013161659513590844	0.013161659513590844
action potential	NA	NA	NA	0.01826923076923077	0.021599382874775006	0.01900121802679659	0.01746942850012478	0.01630901287553648	0.01630901287553648
activation of adenylate cyclase activity	NA	NA	NA	NA	NA	0.002679658952496955	NA	NA	NA
activation of cysteine-type endopeptidase activity involved in apoptotic process	0.012244897959183673	NA	NA	0.00625	NA	NA	NA	NA	NA
activation of protein kinase activity	NA	NA	NA	0.006730769230769231	0.007199794291591669	NA	0.006239081607187422	NA	NA
activation of protein kinase B activity	NA	NA	NA	0.0026442307692307694	NA	NA	NA	NA	NA
activation-induced cell death of T cells	0.006802721088435374	NA	NA	NA	NA	NA	NA	NA	NA
activin receptor signaling pathway	NA	NA	NA	NA	NA	0.00633373934226553	NA	0.0054363376251788265	0.0054363376251788265
actomyosin structure organization	0.031292517006802724	0.021362586605080832	NA	NA	NA	NA	NA	NA	NA
acute inflammatory response	NA	NA	NA	0.009134615384615385	0.009256878374903575	0.01071863580998782	0.00973296730721238	0.010586552217453506	0.010586552217453506
acute inflammatory response to antigenic stimulus	NA	NA	NA	NA	NA	0.0036540803897685747	NA	NA	NA
acute-phase response	NA	NA	NA	NA	NA	0.0048721071863581	0.0049912652857499375	0.0054363376251788265	0.0054363376251788265
adaptation of signaling pathway	NA	NA	NA	NA	NA	0.0036540803897685747	NA	NA	NA
adaptive thermogenesis	0.02312925170068027	NA	NA	0.016826923076923076	0.01542813062483929	0.01559074299634592	0.01771899176441228	0.015450643776824034	0.015450643776824034
adenohypophysis development	NA	NA	NA	0.0021634615384615386	NA	NA	NA	NA	NA
adenylate cyclase-activating adrenergic receptor signaling pathway	NA	NA	NA	0.0033653846153846156	NA	NA	NA	NA	NA
adenylate cyclase-activating dopamine receptor signaling pathway	NA	NA	NA	NA	0.0017999485728979173	NA	NA	NA	NA
adenylate cyclase-activating G protein-coupled receptor signaling pathway	NA	0.018475750577367205	NA	0.01875	0.015685266135253277	0.017783191230207065	0.018218118292987272	0.017167381974248927	0.017167381974248927
adenylate cyclase-inhibiting dopamine receptor signaling pathway	NA	NA	NA	NA	NA	0.001218026796589525	NA	NA	NA
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	NA	0.010969976905311778	NA	0.011298076923076923	0.009256878374903575	0.008038976857490865	0.009982530571499875	0.008011444921316165	0.008011444921316165
adenylate cyclase-inhibiting serotonin receptor signaling pathway	NA	NA	NA	0.0016826923076923078	NA	NA	NA	NA	NA
adherens junction assembly	NA	NA	NA	NA	0.0020570840833119054	NA	NA	NA	NA
adherens junction organization	NA	0.009237875288683603	NA	NA	0.006428387760349704	NA	0.006488644871474919	NA	NA
ADP catabolic process	NA	NA	NA	0.009615384615384616	NA	NA	0.009233840778637384	NA	NA
ADP metabolic process	NA	NA	NA	0.00985576923076923	NA	NA	0.009483404042924881	NA	NA
adrenal gland development	NA	NA	NA	NA	0.0038570326562098224	NA	NA	NA	NA
adrenergic receptor signaling pathway	NA	NA	NA	0.003605769230769231	NA	NA	NA	NA	NA
adult behavior	NA	NA	NA	0.015384615384615385	0.014656724093597326	0.013885505481120585	0.01272772647866234	0.013447782546494993	0.013447782546494993
