study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology	number	ID
GSE256184	NA	MTB	NA	HEPG2_HepG2	cell line	other	GSE256184	GSE256184_MTB_control_HEPG2_HepG2	data/RNAseq_data_forDE/expression_matrices/GSE256184.tsv	1	258	59	RNAseq	11	signature_11
GSE64179	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64179	GSE64179_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	268	258	RNAseq	12	signature_12
GSE64182	NA	MTB	NA	blood_dendritic_cells	primary	circulating	GSE64182	GSE64182_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	256	67	RNAseq	13	signature_13
GSE110564	NA	MTB	NA	blood_lymphatic_endothelial_cell	primary	circulating	GSE110564	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	70	21	RNAseq	14	signature_14
GSE132283	NA	MTB	NA	blood_macrophage	primary	circulating	GSE132283	GSE132283_MTB_control_blood_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1	165	31	RNAseq	15	signature_15
GSE183912	NA	MTB	NA	blood_marcophages	primary	circulating	GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2	RNAseq	16	signature_16
GSE236156	NA	MTB	NA	blood_monocyte_derived_macrophage	primary	circulating	GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq	17	signature_17
GSE141656	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE141656	GSE141656_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	62	22	RNAseq	18	signature_18
GSE143731	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5	RNAseq	19	signature_19
GSE164287	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91	RNAseq	20	signature_20
