GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
2'-deoxyribonucleotide biosynthetic process	-0.38583126146126995	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
2'-deoxyribonucleotide metabolic process	-0.2494190344034068	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
ATP biosynthetic process	-0.571929578744729	0.07934901138646173	28	0.18637791046587526	0.15217391304347827	-0.6956521739130435
ATP synthesis coupled electron transport	-0.5545499121289807	0.16991473666985396	23	0.38136418674789446	0.125	-0.75
AV node cell action potential	NA	NA	NA	NA	NA	NA
AV node cell to bundle of His cell signaling	NA	NA	NA	NA	NA	NA
Arp2/3 complex-mediated actin nucleation	0	0.7160047955043312	36	0.7275300236009804	0.1956521739130435	-0.6086956521739131
B cell mediated immunity	NA	NA	NA	NA	NA	NA
B cell proliferation	0	0.4810297725538455	50	0.7275300236009804	0.2717391304347826	-0.4565217391304348
B cell receptor signaling pathway	0	0.5385097178660279	38	0.7275300236009804	0.20652173913043478	-0.5869565217391304
CDP-choline pathway	0	0.7160047955043312	36	0.7275300236009804	0.1956521739130435	-0.6086956521739131
CENP-A containing chromatin assembly	-0.8331266177250138	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA biosynthetic process	-0.4036195649503355	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA conformation change	-1.0260029746420718	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA damage checkpoint signaling	-0.18201293699574064	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA duplex unwinding	0	NA	34	NA	0.18478260869565216	-0.6304347826086957
DNA endoreduplication	0	NA	34	NA	0.18478260869565216	-0.6304347826086957
DNA geometric change	-1.4934948873329656	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA integrity checkpoint signaling	-0.2142051716902292	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA modification	0	0.7160047955043312	36	0.7275300236009804	0.1956521739130435	-0.6086956521739131
DNA replication checkpoint signaling	-0.42527524660380256	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA replication initiation	-0.5764824086436432	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
DNA replication, synthesis of RNA primer	0	0.7160047955043312	36	0.7275300236009804	0.1956521739130435	-0.6086956521739131
DNA replication-dependent chromatin assembly	0	0.7160047955043312	36	0.7275300236009804	0.1956521739130435	-0.6086956521739131
DNA strand elongation	-0.8614593123271952	0.04687999201727603	20	0.11548485838402144	0.10869565217391304	-0.782608695652174
