GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,HME1,HME1,SKL,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HME1,HME1,SKL,HME1,HME1,SKL,LNCAP,LNCAP,LNCAP,MCF10A,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,YAPC,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HUVEC,HUVEC,HUVEC,JURKAT,NPC.CAS9,HUES3,HUES3,HUES3,NPC.CAS9,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,SKL,CD34,CD34,SKL,CD34,CD34,CD34,CD34,CD34,ASC.C,HME1,ASC.C,ASC.C,SKL,CD34,ASC.C,HME1,HME1,HME1,CD34,ASC.C,HME1,HME1,HME1,CD34,ASC.C,CD34,SKL,CD34,SKL,CD34,CD34,CD34,CD34,ASC.C,CD34,CD34,CD34,CD34,CD34,ASC.C,CD34,CD34,CD34,CD34,CD34,HME1,ASC.C,HME1,CD34,CD34,CD34,CD34,ASC.C,CD34,CD34,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,HME1,CD34,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,SKL,ASC.C,CD34
JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,SKL,HME1,SKL,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,HME1,SKL,SKL,CD34,MCF10A,MCF10A,MCF10A,LNCAP,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,MNEU.E,JURKAT,NEU,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,NEU,JURKAT,SKL,SKL,ASC.C,SKL,SKL,MDAMB231,MDAMB231,ASC.C,SKL,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,SKL,MDAMB231,SKL,SKL,HS578T,SKL,SKL,NPC.CAS9,JURKAT,JURKAT,NPC.CAS9,NPC.CAS9,JURKAT,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,CD34,SKL,SKL,CD34,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,SKL,ASC.C,ASC.C,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,ASC.C,SKL,CD34,SKL,SKL,ASC.C,ASC.C,CD34,SKL,SKL,SKL,SKL,ASC.C,CD34,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,ASC.C,SKL.C,SKL,HME1,CD34,ASC.C,SKL,SKL,SKL,SKL,HME1,ASC.C,SKL,SKL,HME1,SKL,SKL,SKL,CD34,HME1,CD34,SKL,SKL,ASC.C,ASC.C,SKL,MDAMB231,SKL,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,ASC.C,HME1,SKL
NEU,YAPC,YAPC,YAPC,YAPC,YAPC,NEU,HUES3,CD34,CD34,ASC.C,SKL,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,HME1,CD34,ASC.C,ASC.C,ASC.C,ASC.C,HME1,ASC.C,HUES3,ASC.C,MDAMB231,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,JURKAT,YAPC,JURKAT,YAPC,YAPC,YAPC,YAPC,NPC.TAK,YAPC,YAPC,JURKAT,YAPC,MDAMB231,MDAMB231,SKL,ASC.C,MDAMB231,A549,SKL,MDAMB231,MDAMB231,SKL,ASC.C,SKL,SKL,SKL,SKL.C,A549,MDAMB231,MDAMB231,SKL,SKL.C,SKL.C,HUES3,HUES3,NPC.CAS9,JURKAT,JURKAT,HUES3,MDAMB231,ASC.C,MDAMB231,ASC.C,ASC.C,ASC.C,MDAMB231,MDAMB231,MDAMB231,MDAMB231,ASC.C,MDAMB231,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,MDAMB231,SKBR3,ASC.C,ASC.C,MDAMB231,ASC.C,ASC.C,ASC.C,ASC.C,MDAMB231,ASC.C,ASC.C,ASC.C,SKBR3,ASC.C,ASC.C,MDAMB231,MDAMB231,SKBR3,MDAMB231,HME1,MDAMB231,SKBR3,HME1,MDAMB231,SKBR3,HME1,MDAMB231,HME1,SKL,SKL.C,ASC.C,HS578T,HME1,MDAMB231,SKL,SKL.C,MCF10A,MCF10A,ASC.C,SKL,SKL.C,MCF10A,MCF10A,MCF10A,SKL,HME1,ASC.C,CD34,ASC.C,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,ASC.C,ASC.C,MCF10A,MDAMB231,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,SKL,HME1,ASC.C,HME1,SKL.C,SKL.C,SKL.C,HME1,ASC.C,SKL,SKL.C,SKL.C,SKL,SKL,SKL.C,SKL,SKL,HME1,CD34,MDAMB231,CD34,HME1,SKL,HME1,CD34,HME1,SKL,HME1,HME1,MDAMB231,ASC.C,SKL,SKL,CD34,CD34,SKL,SKL,HME1,HME1,CD34,HME1,MDAMB231,CD34,SKL.C,SKL,CD34,SKL.C,HME1,SKL,SKL.C,MDAMB231,SKL.C,HME1,MDAMB231,ASC.C
YAPC,NPC.TAK,NEU,NEU,NEU,NPC.TAK,NPC.TAK,MCF10A,MCF10A,MCF10A,SKL.C,SKL.C,SKL.C,SKL.C,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,ASC.C,ASC.C,CD34,CD34,CD34,CD34,ASC.C,HUES3,MDAMB231,CD34,HUES3,NPC.TAK,NEU,NPC.TAK,NPC.CAS9,NPC.CAS9,NEU,HT29,NPC.TAK,YAPC,HT29,NEU,NEU,NEU,YAPC,NPC.TAK,NEU,YAPC,NEU,SKL.C,ASC.C,MDAMB231,MDAMB231,ASC.C,SKL,A549,SKL,ASC.C,A549,SKL,ASC.C,A549,HS578T,MDAMB231,SKL,SKL.C,HS578T,ASC.C,ASC.C,ASC.C,NPC,NPC,HME1,NPC,NPC,NPC,ASC.C,MDAMB231,ASC.C,MDAMB231,MDAMB231,SKL.C,ASC.C,SKBR3,ASC.C,SKBR3,MDAMB231,SKBR3,SKL.C,SKL.C,MDAMB231,MDAMB231,MDAMB231,MDAMB231,ASC.C,MDAMB231,MDAMB231,SKL.C,ASC.C,SKL.C,MDAMB231,SKL.C,MDAMB231,SKBR3,MDAMB231,SKL.C,MDAMB231,MDAMB231,MDAMB231,SKL.C,SKBR3,SKBR3,MDAMB231,SKBR3,SKL.C,SKL.C,MDAMB231,SKL.C,SKL.C,MDAMB231,SKL.C,SKL.C,MDAMB231,ASC,HUVEC,SKL.C,HME1,SKL.C,HME1,SKL.C,HME1,MDAMB231,MDAMB231,MCF10A,SKL.C,HME1,MDAMB231,ASC.C,ASC.C,MDAMB231,SKL.C,HME1,MCF10A,SKL.C,HME1,MDAMB231,SKL.C,SKL.C,SKL.C,SKL.C,MDAMB231,MCF10A,ASC.C,ASC.C,ASC,SKL.C,MDAMB231,MDAMB231,MDAMB231,SKL.C,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MCF10A,HME1,HME1,HME1,MDAMB231,SKL.C,MDAMB231,CD34,MDAMB231,SKL.C,MDAMB231,SKBR3,SKL.C,MDAMB231,MCF10A,SKL.C,SKL.C,MDAMB231,SKL.C,SKL.C,SKL.C,SKL.C,MDAMB231,SKL.C,MDAMB231,SKL.C,HME1,SKL.C,HS578T,MDAMB231,MDAMB231,SKL.C,MDAMB231,SKL.C,CD34,SKL,SKL.C,SKL.C,SKL.C,HME1,CD34,ASC,MDAMB231,HME1,MDAMB231,SKL.C,HME1,CD34,CD34,SKL.C,MCF10A,SKL.C
HT29,HT29,HT29,NPC.TAK,HT29,HT29,YAPC,SKL.C,SKL.C,ASC.C,A549,A549,A549,A549,MCF10A,A549,A549,SKL.C,MCF10A,SKL.C,SKL.C,SKL.C,A549,SKL.C,MCF10A,MCF10A,ASC,MCF10A,ASC,ASC,CD34,CD34,MDAMB231,A549,NPC.CAS9,NPC.TAK,NPC.CAS9,NPC.TAK,NPC.TAK,HT29,MCF7,NEU,NPC.TAK,NEU,NPC.TAK,NPC.TAK,NPC.TAK,NPC.CAS9,NEU,NPC.TAK,NPC.TAK,NPC.TAK,A549,SKL.C,ASC,HS578T,HS578T,HS578T,HS578T,HS578T,SKL.C,MCF10A,HS578T,HS578T,MCF10A,SKL.C,ASC.C,ASC.C,A549,ASC.C,HME1,HS578T,HS578T,NPC.TAK,NPC.TAK,NPC,LNCAP,HME1,NPC.TAK,SKL.C,SKBR3,SKBR3,SKL.C,SKL.C,MDAMB231,SKL.C,ASC.C,SKBR3,ASC.C,SKL.C,ASC.C,MDAMB231,MDAMB231,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,ASC.C,SKBR3,MDAMB231,SKL.C,MDAMB231,SKL.C,MDAMB231,SKL.C,ASC.C,SKL.C,MDAMB231,SKBR3,SKL.C,SKBR3,MDAMB231,ASC.C,ASC.C,ASC.C,ASC.C,JURKAT,HS578T,JURKAT,ASC.C,HS578T,JURKAT,ASC.C,HME1,SKL.C,MDAMB231,HME1,MCF10A,SKL.C,MDAMB231,MCF10A,MDAMB231,CD34,ASC.C,ASC.C,MDAMB231,MDAMB231,HS578T,ASC.C,MDAMB231,MDAMB231,ASC,HUVEC,MCF10A,HME1,HS578T,MCF10A,SKL.C,MDAMB231,MDAMB231,HME1,HME1,SKL.C,MDAMB231,SKL.C,MCF10A,MDAMB231,ASC,ASC,MCF10A,ASC,MDAMB231,SKL.C,SKL.C,SKL.C,MCF10A,SKL.C,HUVEC,MDAMB231,ASC.C,MCF10A,MDAMB231,ASC,ASC,HME1,MDAMB231,HS578T,MCF10A,MDAMB231,SKL.C,MDAMB231,MDAMB231,HME1,SKBR3,MDAMB231,MDAMB231,MDAMB231,HME1,SKL.C,MDAMB231,SKL.C,MDAMB231,SKL.C,HME1,MCF10A,SKL.C,SKL.C,MDAMB231,MCF10A,MDAMB231,SKL.C,SKL.C,MDAMB231,MDAMB231,CD34,SKL.C,MDAMB231,SKL.C,SKL.C,MDAMB231,SKL.C,MDAMB231,CD34,SKL.C,MDAMB231,MDAMB231,SKBR3,MDAMB231
NPC.TAK,NEU,NPC.TAK,HT29,NPC.TAK,NPC.CAS9,NPC.CAS9,ASC.C,ASC.C,SKL.C,HME1,HME1,HME1,ASC,SKL.C,SKL.C,SKL.C,A549,SKL.C,A549,A549,A549,SKL.C,A549,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,MDAMB231,ASC.C,HUES3,CD34,MCF7,NPC.CAS9,HT29,NEU,NEU,MCF7,NPC.TAK,NPC.CAS9,HT29,NPC.TAK,HT29,NPC.CAS9,HT29,HT29,HT29,HT29,HT29,HT29,ASC.C,ASC,HS578T,SKL.C,SKL.C,ASC.C,ASC.C,ASC,HS578T,HS578T,ASC,ASC,HS578T,A549,A549,HS578T,HS578T,SKL.C,SKL.C,HME1,HME1,MCF10A,HME1,LNCAP,MCF10A,NPC.TAK,HME1,SKBR3,SKL.C,SKL.C,SKBR3,SKBR3,SKBR3,SKBR3,SKL.C,SKL.C,SKL.C,SKBR3,SKL.C,SKBR3,SKBR3,SKBR3,SKBR3,SKBR3,SKBR3,SKBR3,SKL.C,SKL.C,ASC,SKBR3,SKBR3,SKBR3,SKBR3,SKBR3,SKL.C,SKBR3,SKBR3,SKL.C,ASC.C,SKL.C,ASC,SKL.C,SKL.C,SKL.C,SKL.C,MDAMB231,HME1,MCF10A,MDAMB231,HME1,MCF10A,MDAMB231,SKBR3,MCF10A,SKL.C,ASC,MDAMB231,MCF10A,MCF10A,SKL.C,ASC,ASC,SKL.C,SKL.C,SKL.C,ASC,HUVEC,SKL.C,SKL.C,HS578T,SKL.C,HS578T,MDAMB231,HS578T,MDAMB231,SKL.C,ASC,HME1,HME1,MDAMB231,ASC,ASC,SKL.C,MDAMB231,SKL.C,SKL.C,MDAMB231,HS578T,HS578T,MCF10A,ASC,HME1,MCF10A,CD34,SKL.C,HUVEC,ASC.C,ASC.C,HUVEC,SKL.C,ASC,SKL.C,MDAMB231,ASC,ASC,MCF10A,HME1,MCF10A,HS578T,SKL.C,HME1,MCF10A,SKL.C,ASC,ASC,HS578T,MDAMB231,HS578T,MCF10A,ASC,MCF10A,SKBR3,MDAMB231,SKL.C,ASC,HME1,HME1,HS578T,ASC,MDAMB231,MCF10A,HME1,CD34,SKBR3,MDAMB231,HME1,MDAMB231,HME1,HS578T,CD34,ASC,MDAMB231,HME1,HME1,SKBR3,SKL,HME1
NPC.CAS9,NPC.CAS9,NPC.CAS9,NPC.CAS9,SKL.C,NEU,HT29,MDAMB231,MDAMB231,MDAMB231,ASC,A375,MDAMB231,HME1,A549,MCF10A,MDAMB231,MCF10A,A549,MCF10A,MCF10A,MDAMB231,MCF10A,MDAMB231,ASC,ASC,MDAMB231,ASC,MDAMB231,MCF10A,SKL,A549,A549,ASC.C,HA1E,HT29,NEU,HT29,NPC,NPC.CAS9,HA1E,NPC,NPC.CAS9,NPC.CAS9,NPC.CAS9,HT29,NPC.CAS9,NEU,MCF7,MCF7,HA1E,NPC.CAS9,MCF10A,HS578T,SKBR3,ASC,A549,MCF10A,SKBR3,SKBR3,HME1,SKL.C,SKBR3,SKL.C,SKL.C,ASC.C,MCF10A,SKBR3,ASC.C,A549,MDAMB231,MDAMB231,MDAMB231,HME1,LNCAP,NPC.TAK,NPC.TAK,LNCAP,LNCAP,MCF10A,ASC,JURKAT,MCF10A,ASC,ASC,ASC,MCF10A,MCF10A,MCF10A,ASC,MCF10A,MCF10A,ASC,MCF10A,JURKAT,ASC,ASC,JURKAT,MCF10A,MCF10A,SKBR3,ASC,ASC,MCF10A,ASC,MCF10A,JURKAT,MCF10A,HME1,ASC,MCF10A,HME1,SKBR3,MCF10A,MCF10A,MCF10A,MCF10A,HUVEC,MCF10A,HME1,HUVEC,MCF10A,HME1,HUVEC,ASC.C,ASC.C,HS578T,HS578T,HS578T,MDAMB231,SKBR3,SKBR3,HS578T,MCF10A,SKBR3,HS578T,SKBR3,HS578T,ASC,HS578T,HS578T,SKBR3,HS578T,ASC,SKL.C,MDAMB231,HME1,MDAMB231,HS578T,ASC,ASC,HS578T,MDAMB231,HS578T,HS578T,HS578T,HME1,HS578T,HS578T,MCF10A,SKL.C,HS578T,HS578T,HS578T,CD34,MCF10A,HS578T,MDAMB231,MDAMB231,HUVEC,MDAMB231,ASC,HS578T,HS578T,HME1,HS578T,HS578T,ASC,CD34,CD34,ASC,SKBR3,ASC,HS578T,HS578T,MCF10A,MCF10A,SKBR3,ASC,MCF10A,LNCAP,CD34,HUVEC,LNCAP,ASC,MDAMB231,HME1,ASC,HS578T,CD34,HME1,SKBR3,HS578T,ASC,ASC,HME1,ASC,HS578T,HS578T,ASC,ASC,HS578T,HS578T,MCF10A,MCF10A,MCF10A,MCF10A,SKL.C,HS578T
SKL.C,SKL.C,HA1E,HA1E,HA1E,SKL.C,NPC,HS578T,A549,A375,MCF10A,ASC,ASC,A375,A375,MDAMB231,MCF10A,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MCF10A,MDAMB231,MCF10A,MDAMB231,MDAMB231,MCF10A,MDAMB231,MCF10A,MDAMB231,A549,HME1,HME1,HS578T,HT29,MCF7,NPC,MCF7,HT29,NPC.TAK,PC3,HA1E,CD34,PC3,HA1E,MCF7,MCF7,MCF7,NPC.CAS9,HA1E,NPC.CAS9,HA1E,HS578T,A549,SKL.C,A549,SKBR3,SKBR3,MCF10A,SKL.C,ASC,ASC.C,A549,A549,SKBR3,MCF10A,HS578T,MCF10A,MCF10A,HME1,MCF10A,ASC,MCF10A,LNCAP,MCF10A,MDAMB231,HME1,MCF10A,MCF10A,ASC,MCF10A,MCF10A,HS578T,JURKAT,HME1,JURKAT,JURKAT,JURKAT,JURKAT,BT20,JURKAT,JURKAT,MCF10A,JURKAT,HUVEC,MCF10A,MCF10A,HS578T,JURKAT,BT20,HME1,HS578T,MCF10A,JURKAT,HME1,JURKAT,BT20,ASC,JURKAT,JURKAT,JURKAT,MCF10A,HS578T,JURKAT,HME1,JURKAT,JURKAT,MCF10A,BT20,SKL.C,HS578T,BT20,SKL.C,HS578T,JURKAT,SKBR3,A549,MCF10A,SKBR3,ASC,ASC,ASC,HME1,HUVEC,HS578T,SKBR3,HS578T,HME1,MDAMB231,SKBR3,SKBR3,SKL.C,SKBR3,MCF10A,HS578T,SKL.C,MCF10A,HS578T,SKBR3,MCF10A,HS578T,ASC,SKBR3,MCF10A,SKBR3,HME1,HS578T,MCF10A,HME1,SKL.C,HME1,SKL.C,HME1,MCF10A,HS578T,HS578T,SKBR3,ASC.C,MCF10A,MCF10A,MCF10A,CD34,MCF10A,A549,HS578T,A549,HME1,HME1,MDAMB231,HS578T,MCF10A,HS578T,MCF10A,SKBR3,HME1,HS578T,SKBR3,MCF10A,HS578T,SKBR3,ASC,MCF10A,ASC,MCF10A,HS578T,ASC,SKBR3,HS578T,ASC,SKL.C,HS578T,HS578T,HUVEC,HS578T,HS578T,HS578T,HS578T,ASC,HME1,HS578T,MCF10A,MCF10A,HME1,SKBR3,SKBR3,SKBR3,ASC,LNCAP,MCF10A
MCF7,HA1E,MCF7,CD34,NPC.CAS9,HA1E,SKL.C,YAPC,ASC,A549,A375,MDAMB231,A375,MDAMB231,MDAMB231,A375,ASC,ASC,ASC,ASC,ASC,ASC,A375,ASC,A549,A549,A549,A549,A549,A549,HME1,JURKAT,SKBR3,SKBR3,NPC,NPC,PC3,NPC,MCF7,HA1E,A375,HT29,SKL.C,SKL.C,MCF7,NPC,HA1E,NPC,HA1E,NPC.CAS9,MCF7,NPC,SKBR3,SKBR3,A549,SKBR3,ASC,SKL.C,SKL.C,A549,A549,SKBR3,SKL.C,SKBR3,ASC.C,HME1,HEPG2,SKL.C,HME1,HUVEC,HA1E,MCF10A,ASC,MDAMB231,MDAMB231,MCF10A,MDAMB231,A375,A375,BT20,JURKAT,HS578T,JURKAT,MCF10A,JURKAT,MCF10A,HS578T,HS578T,ASC,MCF10A,BT20,ASC,JURKAT,BT20,MCF10A,JURKAT,BT20,ASC,BT20,HME1,MCF10A,BT20,HS578T,BT20,HUVEC,HUVEC,HS578T,JURKAT,ASC,HS578T,HUVEC,JURKAT,BT20,HME1,JURKAT,HS578T,HS578T,HS578T,SKBR3,ASC.C,ASC,SKBR3,ASC.C,ASC,HUVEC,HS578T,SKBR3,MDAMB231,LNCAP,SKBR3,HS578T,HS578T,MCF10A,HS578T,LNCAP,BT20,BT20,MCF10A,MCF10A,CD34,BT20,BT20,MCF10A,MDAMB231,SKBR3,SKBR3,SKBR3,SKBR3,MCF10A,HS578T,SKBR3,MCF10A,MCF10A,HME1,HME1,SKBR3,SKBR3,SKBR3,MCF10A,SKBR3,ASC,SKBR3,MCF10A,ASC,HUVEC,SKBR3,LNCAP,JURKAT,JURKAT,SKBR3,JURKAT,HS578T,SKBR3,SKBR3,MCF10A,CD34,MCF10A,BT20,ASC,SKBR3,SKBR3,A549,HS578T,ASC,ASC,SKBR3,LNCAP,LNCAP,MCF10A,ASC,SKBR3,HS578T,HS578T,HS578T,MCF10A,A549,HS578T,SKBR3,MCF10A,SKBR3,MCF10A,MCF10A,A549,MCF10A,SKBR3,ASC,MCF10A,MCF10A,MCF10A,MCF10A,LNCAP,LNCAP,SKBR3,HS578T,HS578T,HS578T,LNCAP,A549,ASC
PC3,NPC,PC3,NPC,PC3,CD34,HA1E,NPC.TAK,A375,ASC,MDAMB231,MCF10A,MCF10A,MCF10A,ASC,ASC,SKBR3,SKBR3,A375,SKBR3,A375,HCC515,ASC,HCC515,HUVEC,HELA,HUVEC,HUVEC,HELA,HUVEC,SKBR3,SKBR3,JURKAT,A375,NEU,A375,SKL.C,HA1E,HA1E,A375,NPC.CAS9,A375,NPC,HA1E,NPC,SKL.C,SKL.C,HA1E,PC3,SKL.C,NPC,MCF7,HME1,MCF10A,HEPG2,MCF10A,MCF10A,HEPG2,HCC515,MCF10A,HUVEC,HME1,MCF10A,MCF10A,LNCAP,HUVEC,SKBR3,HEPG2,SKBR3,MCF10A,A549,HA1E,HA1E,A375,A375,SKBR3,A375,MDAMB231,MDAMB231,HME1,HS578T,ASC,ASC,BT20,MCF10A,HS578T,BT20,BT20,BT20,HS578T,ASC,HS578T,HME1,ASC,HME1,HME1,JURKAT,BT20,HS578T,HS578T,HUVEC,JURKAT,HME1,ASC,JURKAT,HS578T,HUVEC,BT20,HUVEC,HME1,BT20,BT20,HME1,HUVEC,BT20,BT20,BT20,ASC.C,JURKAT,BT20,MCF10A,JURKAT,BT20,MCF10A,NEU,HUVEC,MCF10A,CD34,ASC,BT20,A549,A549,SKBR3,MDAMB231,BT20,CD34,CD34,SKBR3,CD34,BT20,CD34,CD34,A549,CD34,ASC,BT20,ASC,BT20,HME1,SKBR3,MCF10A,SKBR3,HS578T,SKBR3,ASC,ASC,ASC,HME1,HUVEC,HME1,SKBR3,A549,BT20,SKBR3,SKBR3,ASC,JURKAT,SKBR3,HS578T,HS578T,HS578T,A549,A549,YAPC,A549,SKBR3,SKBR3,CD34,HS578T,ASC,HME1,ASC,A549,A549,MCF10A,HUES3,HS578T,CD34,A549,LNCAP,HS578T,SKBR3,LNCAP,CD34,HUVEC,BT20,MCF10A,MCF10A,SKBR3,ASC,HUVEC,ASC,ASC,SKBR3,MCF10A,MCF10A,HUVEC,A549,SKBR3,SKBR3,CD34,SKBR3,MCF10A,BT20,ASC,ASC,HS578T,HS578T,A549
