GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,HME1,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,SKL,SKL,CD34,SKL,HME1,CD34,JURKAT,JURKAT,JURKAT,JURKAT,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,YAPC,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HUVEC,HUVEC,HUVEC,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,ASC.C,SKL,HME1,SKL,ASC.C,SKL,ASC.C,SKL,HME1,HME1,HME1,ASC.C,SKL,JURKAT,HME1,JURKAT,CD34,SKL,CD34,ASC.C,CD34,CD34,CD34,CD34,CD34,CD34,SKL,CD34,CD34,CD34,CD34,ASC.C,ASC.C,CD34,CD34,ASC.C,ASC.C,CD34,CD34,CD34,JURKAT,CD34,CD34,CD34,CD34,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,SKL,ASC.C,CD34,ASC.C,SKL,ASC.C,SKL,SKL,ASC.C,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,SKL,JURKAT,SKL,SKL,ASC.C,ASC.C,ASC.C,HME1,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,SKL,CD34,CD34,CD34,CD34,SKL,CD34,SKL
HT29,HT29,HT29,JURKAT,JURKAT,JURKAT,JURKAT,HUES3,HME1,SKL,SKL,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,ASC.C,SKL,CD34,CD34,SKL,HME1,CD34,SKL,MCF10A,MCF10A,LNCAP,MCF10A,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,HT29,NEU,JURKAT,HT29,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,SKL,MDAMB231,MDAMB231,MDAMB231,MCF10A,MDAMB231,SKL,MDAMB231,SKL,HS578T,HME1,SKL,SKL,NPC.CAS9,NPC.CAS9,HUES3,NPC.CAS9,NPC.CAS9,NPC.CAS9,SKL,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,JURKAT,JURKAT,JURKAT,SKL,JURKAT,JURKAT,JURKAT,SKL,JURKAT,JURKAT,SKL,SKL,JURKAT,JURKAT,SKL,JURKAT,JURKAT,JURKAT,JURKAT,SKL,JURKAT,SKL,SKL,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,JURKAT,JURKAT,SKL,JURKAT,JURKAT,SKL,ASC.C,SKL,ASC.C,SKL,ASC.C,SKL,ASC.C,JURKAT,JURKAT,SKL,SKL,ASC.C,HME1,SKL,HME1,ASC.C,ASC.C,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,CD34,SKL,ASC.C,ASC.C,CD34,CD34,ASC.C,HME1,SKL,CD34,JURKAT,JURKAT,JURKAT,JURKAT,SKL,SKL,ASC.C,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,ASC.C,SKL,ASC.C,ASC.C,SKL,ASC.C,ASC.C,SKL,SKL,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,CD34,SKL,SKL,ASC.C,SKL,CD34,CD34,SKL,SKL,SKL,ASC.C,SKL,CD34,SKL,SKL,ASC.C,ASC.C,SKL,SKL,SKL,HME1,SKL,ASC.C
JURKAT,JURKAT,JURKAT,HT29,HT29,HT29,NEU,SKL,SKL,HME1,ASC.C,SKL,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,HME1,HME1,HME1,CD34,SKL,HME1,LNCAP,LNCAP,MCF10A,LNCAP,NEU,YAPC,HT29,HT29,HT29,HT29,MNEU.E,HT29,HT29,JURKAT,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,SKL.C,SKL,ASC.C,HS578T,SKL,MCF10A,MCF10A,HS578T,MDAMB231,MCF10A,HS578T,HS578T,MDAMB231,MCF10A,SKL.C,MCF10A,SKL.C,HME1,HS578T,SKL.C,HME1,NPC,HUES3,NPC.CAS9,HUES3,HUES3,HUES3,JURKAT,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,JURKAT,SKL,SKL,SKL,JURKAT,SKL,SKL,SKL,JURKAT,SKL,SKL,JURKAT,JURKAT,SKL,SKL,JURKAT,SKL,SKL,SKL,SKL,JURKAT,SKL,JURKAT,SKL.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,HME1,SKL,SKL,HME1,SKL,SKL,ASC,SKL.C,ASC.C,HME1,HME1,HME1,CD34,SKL.C,CD34,MDAMB231,JURKAT,CD34,SKL.C,SKL,CD34,SKL,SKL,HUVEC,ASC.C,CD34,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,CD34,SKL,SKL,SKL,SKL,ASC,SKL.C,SKL,SKL,SKL,SKL,HME1,SKL,HME1,HME1,SKL,SKL,SKL,SKL,HME1,ASC,SKL,ASC,ASC,CD34,SKL.C,ASC,ASC.C,CD34,CD34,ASC,HME1,CD34,CD34,HME1,HME1,SKL.C,HME1,HME1,HME1,HME1,SKL,CD34,HME1,SKL,CD34,CD34,SKL,CD34,ASC.C,SKL,CD34,CD34,CD34,CD34,SKL.C,SKL,CD34,SKL.C,CD34,SKL,JURKAT,ASC.C,ASC.C,ASC.C,ASC.C,CD34
YAPC,SKL.C,YAPC,YAPC,SKL.C,YAPC,HT29,NPC.TAK,JURKAT,JURKAT,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,HME1,HME1,HME1,HME1,YAPC,HT29,YAPC,YAPC,YAPC,YAPC,JURKAT,JURKAT,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,NEU,MDAMB231,MCF10A,SKL,ASC.C,HS578T,HS578T,HS578T,ASC.C,HME1,HS578T,ASC.C,MCF10A,HME1,HS578T,ASC.C,HS578T,MDAMB231,SKL,MDAMB231,HME1,SKL.C,HUES3,NPC,CD34,NPC,NPC,NPC,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKBR3,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,JURKAT,SKL.C,SKL.C,SKBR3,SKL.C,HME1,HME1,HUVEC,SKL.C,HME1,HUVEC,SKL.C,HUVEC,HME1,CD34,HUVEC,JURKAT,SKL.C,SKL.C,SKL.C,ASC,ASC,MDAMB231,SKL,ASC.C,ASC,ASC,CD34,JURKAT,CD34,ASC,SKL.C,HME1,HME1,SKL.C,HME1,ASC,SKL.C,SKL.C,SKL.C,HME1,ASC,SKL.C,SKL.C,HME1,SKL,ASC,ASC,HME1,ASC,SKL.C,SKL,ASC.C,ASC.C,SKL,HME1,SKL.C,HME1,SKL.C,ASC,CD34,ASC,SKL.C,HME1,ASC,HS578T,CD34,HME1,ASC,SKL.C,SKL.C,SKL.C,HME1,HME1,SKL.C,JURKAT,ASC,CD34,SKL.C,ASC,SKL.C,CD34,HME1,SKL.C,ASC,ASC,HME1,CD34,SKL.C,JURKAT,HME1,SKL.C,ASC,ASC,SKL.C,CD34,ASC,SKL.C,CD34,JURKAT,SKL.C,SKL.C,SKL.C,SKL.C,CD34,HME1,SKL.C
NEU,YAPC,MCF7,NEU,NEU,SKL.C,SKL.C,NEU,HUVEC,HUVEC,ASC,ASC,ASC,ASC,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,SKL.C,JURKAT,SKL.C,SKL.C,JURKAT,SKL.C,ASC.C,HUES3,MDAMB231,MDAMB231,HT29,NEU,NEU,NEU,NEU,NEU,SKL.C,YAPC,NEU,PC3,PC3,MCF7,MCF7,NEU,PC3,NEU,NEU,YAPC,MCF10A,ASC.C,HS578T,SKL,ASC.C,A549,HME1,MCF10A,HS578T,HME1,MCF10A,ASC.C,HS578T,HME1,MDAMB231,A549,HS578T,MDAMB231,SKL,ASC.C,ASC.C,NPC.TAK,NPC.TAK,NPC,LNCAP,HME1,NPC.TAK,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKBR3,ASC.C,SKBR3,ASC.C,SKBR3,ASC.C,SKBR3,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKBR3,ASC.C,ASC.C,ASC.C,SKBR3,ASC.C,ASC.C,SKBR3,ASC.C,SKL.C,SKBR3,HUVEC,HUVEC,SKBR3,HUVEC,HUVEC,SKBR3,HUVEC,HME1,HUVEC,SKL.C,HME1,SKL.C,HS578T,ASC,MDAMB231,SKL.C,HUVEC,ASC.C,CD34,MDAMB231,SKL.C,HUVEC,ASC.C,MDAMB231,MDAMB231,SKL.C,HME1,SKL.C,SKL.C,ASC,SKL.C,SKL.C,HME1,ASC,HME1,SKL.C,SKL.C,HME1,HME1,SKL.C,HME1,CD34,HME1,SKL.C,SKL.C,ASC,MDAMB231,MDAMB231,SKL.C,MDAMB231,HUVEC,HME1,SKL.C,HME1,SKL.C,SKL.C,SKL.C,HME1,SKL.C,SKL.C,ASC,SKL.C,ASC,SKL.C,ASC,CD34,ASC,SKL.C,SKL.C,CD34,CD34,HME1,MDAMB231,ASC,CD34,MDAMB231,HME1,SKL.C,ASC,SKL.C,SKL.C,SKL.C,MDAMB231,ASC,HME1,ASC,ASC,SKL.C,SKL.C,HME1,ASC,SKL.C,ASC,HME1,HME1,ASC,HME1,HUVEC,HME1,JURKAT,JURKAT,HME1
MCF7,NEU,PC3,CD34,YAPC,NPC.TAK,YAPC,SKL.C,SKL.C,SKL.C,HME1,HME1,HME1,HME1,ASC,ASC,ASC,ASC,ASC,ASC,ASC,ASC,ASC,ASC,HUVEC,SKL.C,HUVEC,HUVEC,SKL.C,HUVEC,HUES3,MDAMB231,HUES3,HUES3,MCF7,MCF7,MCF7,MCF7,MCF7,MCF7,HUVEC,HA1E,SKL.C,NEU,NEU,NEU,SKL.C,MCF7,MCF7,MCF7,PC3,CD34,ASC.C,HS578T,SKBR3,MCF10A,MCF10A,HME1,SKBR3,SKL,HUVEC,A549,SKBR3,SKL,HUVEC,SKL,HS578T,SKBR3,MCF10A,MCF10A,MCF10A,HS578T,HS578T,LNCAP,LNCAP,HME1,MCF10A,NPC.TAK,LNCAP,ASC,SKBR3,SKBR3,SKBR3,SKBR3,ASC.C,SKBR3,ASC.C,SKBR3,ASC.C,ASC,ASC.C,SKBR3,SKBR3,SKBR3,HUVEC,SKBR3,SKBR3,SKBR3,ASC.C,SKBR3,ASC,ASC,SKBR3,SKBR3,HME1,SKBR3,ASC.C,SKBR3,HME1,SKBR3,HUVEC,SKBR3,ASC,HUVEC,SKBR3,ASC.C,ASC.C,SKL.C,MCF10A,HME1,JURKAT,MCF10A,HME1,JURKAT,SKL.C,SKL.C,HME1,ASC,CD34,ASC,CD34,CD34,HME1,CD34,SKL,ASC.C,CD34,HME1,HS578T,MDAMB231,ASC.C,MCF10A,MDAMB231,ASC,ASC,ASC,HME1,MDAMB231,HME1,ASC,HME1,ASC,ASC,HME1,ASC,ASC,ASC,SKL.C,HME1,SKL.C,ASC,HME1,HME1,HS578T,JURKAT,MDAMB231,ASC.C,SKL.C,HUVEC,HUVEC,HUVEC,MDAMB231,HME1,MDAMB231,CD34,CD34,HME1,HME1,HS578T,SKL.C,HME1,HME1,HME1,MDAMB231,MDAMB231,ASC,ASC,ASC,CD34,ASC,MDAMB231,SKL.C,ASC,SKL.C,ASC,HS578T,HME1,HME1,ASC,SKL.C,HME1,ASC,SKL.C,HME1,HME1,MDAMB231,ASC,HME1,HME1,HME1,ASC,SKL.C,HME1,ASC.C,MDAMB231,ASC,SKL.C,SKL.C,ASC
PC3,PC3,NEU,PC3,CD34,PC3,NPC.TAK,ASC.C,ASC.C,ASC.C,JURKAT,JURKAT,A549,A549,A549,A549,A549,MDAMB231,HUVEC,HUVEC,A549,MDAMB231,A549,A549,ASC,HUVEC,ASC,ASC,HUVEC,ASC,MDAMB231,A375,CD34,A549,HELA,A375,PC3,NPC.TAK,NPC.TAK,HELA,PC3,HELA,CD34,MCF7,MCF7,PC3,PC3,NPC.TAK,NEU,PC3,HA1E,MCF7,HME1,HME1,ASC,SKBR3,SKL.C,SKBR3,A549,SKBR3,SKL.C,SKL,SKL,SKBR3,A549,HUVEC,HME1,LNCAP,ASC.C,HUVEC,ASC.C,MDAMB231,MDAMB231,MCF10A,MCF10A,LNCAP,NPC.TAK,LNCAP,HME1,SKBR3,ASC,ASC,ASC,ASC,HME1,ASC,ASC,ASC,ASC,SKBR3,ASC,ASC,ASC,ASC,SKBR3,HME1,HUVEC,ASC,HUVEC,HUVEC,HUVEC,SKBR3,HUVEC,HUVEC,HUVEC,HUVEC,HUVEC,ASC,HUVEC,ASC,ASC.C,HUVEC,HME1,HME1,HUVEC,HUVEC,ASC,MCF10A,SKL.C,MCF10A,ASC.C,SKL.C,MCF10A,ASC.C,NEU,MDAMB231,MDAMB231,HS578T,MDAMB231,HUVEC,MDAMB231,HS578T,MDAMB231,HME1,MCF10A,MCF10A,SKL.C,MDAMB231,HME1,SKL.C,SKL.C,ASC.C,HME1,HS578T,MDAMB231,MDAMB231,HUVEC,ASC,MDAMB231,MDAMB231,MDAMB231,HUVEC,MDAMB231,MDAMB231,MDAMB231,HUVEC,MDAMB231,MDAMB231,HUVEC,MDAMB231,MDAMB231,MDAMB231,MDAMB231,SKL.C,SKL.C,HUVEC,MCF10A,MCF10A,ASC.C,ASC.C,ASC.C,MCF10A,MDAMB231,HME1,HUVEC,MDAMB231,MDAMB231,CD34,MDAMB231,HS578T,HS578T,HS578T,MDAMB231,CD34,HS578T,MDAMB231,HUVEC,SKL.C,MDAMB231,SKL.C,HUVEC,MDAMB231,HUVEC,ASC,HUVEC,CD34,MDAMB231,MDAMB231,HUVEC,ASC,HUVEC,SKL.C,MDAMB231,HUVEC,HS578T,HME1,HUVEC,MDAMB231,MDAMB231,MDAMB231,HUVEC,ASC,MDAMB231,ASC,HME1,MDAMB231,MDAMB231,ASC,MDAMB231
SKL.C,HELA,HELA,MCF7,PC3,HA1E,PC3,YAPC,MNEU.E,MNEU.E,A549,A549,JURKAT,JURKAT,HUVEC,MDAMB231,MDAMB231,A549,A549,A549,MDAMB231,A549,MDAMB231,MDAMB231,JURKAT,ASC,JURKAT,JURKAT,ASC,JURKAT,CD34,CD34,ASC.C,A375,NPC.TAK,HELA,SKL.C,PC3,PC3,PC3,NEU,NPC.TAK,NPC.TAK,A549,HA1E,A549,NEU,PC3,CD34,SKL.C,MCF7,SKL.C,HS578T,SKL.C,MCF10A,SKL.C,HME1,LNCAP,ASC.C,A549,MCF10A,SKBR3,A549,A549,SKL,SKL.C,MCF10A,HME1,HME1,SKL.C,SKL.C,MCF10A,MCF10A,HME1,HME1,MCF10A,HME1,MCF10A,MCF10A,MDAMB231,HUVEC,MDAMB231,MDAMB231,HME1,HUVEC,MDAMB231,HUVEC,MDAMB231,MDAMB231,MDAMB231,MDAMB231,HUVEC,HUVEC,HUVEC,HME1,HUVEC,ASC,MDAMB231,MDAMB231,ASC,HME1,MDAMB231,ASC,ASC,SKBR3,ASC,MDAMB231,HUVEC,SKBR3,HUVEC,HME1,HME1,MDAMB231,ASC.C,HME1,MDAMB231,MDAMB231,MDAMB231,SKBR3,MDAMB231,MCF10A,SKBR3,MDAMB231,MCF10A,MDAMB231,MCF10A,A549,MDAMB231,ASC,CD34,HS578T,ASC,HUVEC,HS578T,SKL.C,SKL.C,MCF10A,HS578T,MDAMB231,MCF10A,MCF10A,SKL.C,MCF10A,CD34,HUVEC,MCF10A,MDAMB231,MCF10A,MCF10A,HUVEC,HS578T,MDAMB231,MCF10A,MCF10A,HS578T,MDAMB231,HUVEC,MCF10A,HS578T,MCF10A,HUVEC,HS578T,HUVEC,ASC,HS578T,JURKAT,SKL.C,ASC.C,MCF10A,MCF10A,MCF10A,CD34,A549,HS578T,MDAMB231,HUVEC,HUVEC,MDAMB231,HME1,MDAMB231,MDAMB231,MDAMB231,HS578T,HS578T,ASC,HS578T,MDAMB231,MDAMB231,HS578T,JURKAT,HS578T,HUVEC,MCF10A,MDAMB231,HS578T,MDAMB231,HUVEC,HUVEC,MDAMB231,HUVEC,MDAMB231,MDAMB231,HUVEC,MDAMB231,MDAMB231,HUVEC,MDAMB231,HS578T,MCF10A,HUVEC,MDAMB231,MDAMB231,HS578T,HUVEC,ASC,MCF10A,HUVEC,MDAMB231,HS578T
ASC.C,A549,HA1E,HELA,ASC.C,NEU,HA1E,NPC,HUES3,HUES3,HUVEC,HUVEC,MDAMB231,MDAMB231,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MDAMB231,MCF10A,HUVEC,MCF10A,MCF10A,MCF10A,MCF10A,MDAMB231,MCF10A,MCF10A,MCF10A,A549,ASC.C,A549,HS578T,CD34,NPC.TAK,NPC.TAK,NPC.CAS9,NPC,CD34,A375,NPC,PC3,SKL.C,CD34,HELA,ASC.C,CD34,SKL.C,NPC.TAK,SKL.C,HELA,HUVEC,A549,SKL.C,A549,A549,ASC.C,HUVEC,ASC,ASC.C,SKL.C,HME1,HME1,SKBR3,ASC.C,HUVEC,ASC.C,HUVEC,ASC.C,HA1E,ASC,HA1E,A375,CD34,NPC.TAK,A375,CD34,A375,HUVEC,MDAMB231,HUVEC,HUVEC,HUVEC,ASC,HME1,MDAMB231,HUVEC,HUVEC,HUVEC,HUVEC,MDAMB231,HME1,HME1,ASC,ASC,HME1,HUVEC,ASC,MDAMB231,SKBR3,HUVEC,HME1,HME1,ASC,HME1,ASC,MDAMB231,ASC,MDAMB231,MDAMB231,ASC,HUVEC,MDAMB231,MDAMB231,HME1,HUVEC,HS578T,MDAMB231,SKL.C,MDAMB231,MDAMB231,SKL.C,MDAMB231,MNEU.E,HS578T,HUVEC,CD34,HUVEC,MDAMB231,HUVEC,HUVEC,HS578T,MDAMB231,HUVEC,HUVEC,HS578T,HUVEC,CD34,ASC,HUVEC,LNCAP,HS578T,MDAMB231,MCF10A,HS578T,HS578T,HUVEC,HUVEC,JURKAT,HUVEC,HS578T,HS578T,HUVEC,HUVEC,HS578T,MCF10A,A549,MDAMB231,HUVEC,HS578T,MCF10A,HS578T,HUVEC,MCF10A,ASC,LNCAP,SKBR3,SKBR3,SKBR3,SKBR3,A549,MCF10A,HUVEC,HS578T,HS578T,MCF10A,MCF10A,BT20,HUVEC,HUVEC,HUVEC,HUVEC,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,HUVEC,MCF10A,JURKAT,MCF10A,HS578T,LNCAP,MDAMB231,HUVEC,MCF10A,HS578T,HS578T,MCF10A,HS578T,HUVEC,HS578T,HS578T,HUVEC,HS578T,HS578T,HUVEC,HS578T,MCF10A,MCF10A,HUVEC,HUVEC,MDAMB231,HS578T,HUVEC,MCF10A,HUVEC,HUVEC
SKBR3,CD34,A549,SKL.C,MCF7,CD34,MCF7,NPC.CAS9,MCF10A,ASC,MDAMB231,MDAMB231,HUVEC,HUVEC,MDAMB231,HUVEC,HUVEC,HUVEC,MDAMB231,MCF10A,HUVEC,MCF10A,HUVEC,HUVEC,MDAMB231,MDAMB231,MCF10A,MDAMB231,MDAMB231,MDAMB231,A375,A549,A375,SKBR3,HA1E,PC3,CD34,HELA,NPC.CAS9,A375,ASC.C,ASC.C,ASC.C,HELA,HELA,CD34,A549,HA1E,A549,A375,HELA,NPC.TAK,A549,ASC,LNCAP,ASC,SKBR3,HEPG2,SKL,LNCAP,A549,HUVEC,HUVEC,LNCAP,ASC.C,A549,ASC,HEPG2,A549,SKBR3,A549,HA1E,ASC,SKBR3,A375,HUVEC,SKBR3,A375,CD34,HME1,HME1,HME1,HME1,MDAMB231,MDAMB231,HUVEC,HME1,MCF10A,MCF10A,HME1,MCF10A,HME1,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,HME1,MCF10A,HME1,MDAMB231,HME1,MDAMB231,MDAMB231,MDAMB231,MDAMB231,HME1,HME1,MDAMB231,HME1,MCF10A,MDAMB231,SKBR3,MCF10A,ASC,MCF10A,HS578T,SKBR3,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,NEU,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,ASC,HS578T,HUVEC,MCF10A,MCF10A,HUVEC,ASC,HUVEC,HUVEC,MCF10A,HS578T,HUVEC,JURKAT,JURKAT,HS578T,MCF10A,MCF10A,MCF10A,A549,HS578T,MCF10A,MCF10A,HS578T,HS578T,MCF10A,HS578T,MCF10A,HUVEC,MCF10A,MCF10A,HUVEC,MCF10A,HS578T,A375,MDAMB231,MDAMB231,MDAMB231,HS578T,HUVEC,MCF10A,MCF10A,A549,HS578T,HUVEC,SKBR3,MCF10A,A549,A549,MCF10A,HUVEC,SKBR3,HUVEC,HS578T,A549,MCF10A,HS578T,MCF10A,JURKAT,CD34,HUVEC,MCF10A,MCF10A,HS578T,MCF10A,MCF10A,HS578T,MCF10A,HS578T,MCF10A,MCF10A,MCF10A,JURKAT,MCF10A,MCF10A,HUVEC,HS578T,JURKAT,MCF10A,MCF10A,HS578T,MCF10A,HS578T,ASC,MCF10A,MCF10A
