GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
SKBR3,CD34,A375,NPC.CAS9,MCF7,SKL.C,SKL.C,NPC.TAK,ASC,HUES3,JURKAT,MCF10A,MCF10A,LNCAP,HS578T,HEPG2,SKBR3,HEPG2,HS578T,HCC515,SKBR3,HEPG2,SKBR3,SKBR3,HCC515,SKBR3,HS578T,SKBR3,YAPC,YAPC,JURKAT,A375,A375,JURKAT,NPC,NPC,CD34,HA1E,HA1E,HELA,NEU,A375,A375,A375,CD34,A375,SKL.C,CD34,A375,NPC.CAS9,HELA,PC3,HME1,HME1,MCF10A,MCF10A,ASC,LNCAP,HME1,MCF10A,MCF10A,HME1,SKL.C,SKL.C,LNCAP,SKBR3,HME1,LNCAP,ASC,HCC515,NPC.CAS9,A549,A549,MDAMB231,A375,SKBR3,A375,SKBR3,MDAMB231,HS578T,HS578T,HME1,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HS578T,HME1,HS578T,HS578T,HUVEC,HUVEC,HS578T,HS578T,HME1,HME1,HS578T,HS578T,HME1,HS578T,HUVEC,HUVEC,HUVEC,HS578T,HS578T,HUVEC,HS578T,ASC,HUVEC,HS578T,HS578T,ASC,HUVEC,HME1,ASC.C,BT20,ASC.C,NEU,BT20,ASC.C,NEU,HS578T,JURKAT,MCF10A,A549,A549,HUVEC,CD34,CD34,SKBR3,A549,CD34,HUVEC,HUVEC,HCC515,A549,A549,ASC,ASC,HCC515,A549,BT20,ASC,A549,ASC,BT20,HUVEC,BT20,HUVEC,A549,BT20,BT20,ASC,BT20,A549,SKBR3,BT20,ASC,A549,HCC515,SKBR3,ASC,HUVEC,LNCAP,HS578T,SKBR3,SKBR3,HS578T,SKBR3,MCF10A,A375,SKBR3,SKBR3,MCF10A,SKBR3,HCC515,A549,HCC515,ASC,A549,A549,BT20,HUES3,HS578T,LNCAP,A549,JURKAT,JURKAT,HUVEC,LNCAP,SKBR3,A549,BT20,HUVEC,HUVEC,SKBR3,ASC,A549,HUVEC,ASC,MCF10A,HUVEC,MCF10A,A549,SKBR3,A549,SKBR3,LNCAP,ASC,A549,SKBR3,SKBR3,HUVEC,LNCAP,ASC,A549
HELA,NPC.CAS9,HELA,HELA,NPC.CAS9,A375,NPC,HELA,MDAMB231,HCC515,HEPG2,HCC515,LNCAP,SKBR3,HCC515,SKBR3,HS578T,SKBR3,HCC515,SKBR3,A375,HS578T,A375,HEPG2,HS578T,HCC515,YAPC,YAPC,HELA,HCC515,A375,HS578T,HS578T,A375,PC3,PC3,HA1E,A375,A375,A375,NPC.CAS9,PC3,MCF7,HELA,HELA,HA1E,A375,NPC,HELA,SKL.C,NPC.CAS9,HELA,SKBR3,HEPG2,BT20,BT20,HME1,HCC515,SKL.C,HCC515,HUVEC,ASC.C,HME1,HME1,HUES3,HUVEC,ASC,SKL.C,HCC515,SKBR3,NPC.TAK,NPC.TAK,NPC.CAS9,SKBR3,SKBR3,A375,HUVEC,MDAMB231,SKBR3,HUVEC,HUVEC,BT20,HUVEC,HUVEC,HUVEC,BT20,HUVEC,BT20,HUVEC,BT20,BT20,HUVEC,HUVEC,BT20,HS578T,HUVEC,HUVEC,BT20,HS578T,HUVEC,HUVEC,BT20,HUVEC,HS578T,HS578T,HS578T,HME1,HUVEC,HS578T,HUVEC,HS578T,HS578T,BT20,ASC,HS578T,ASC,HUVEC,SKBR3,ASC.C,BT20,JURKAT,ASC.C,BT20,JURKAT,ASC.C,ASC,HCC515,HA1E,CD34,A549,HUVEC,HUVEC,HCC515,SKBR3,LNCAP,CD34,A549,BT20,SKBR3,BT20,BT20,HUVEC,HEPG2,BT20,A549,A549,BT20,HUVEC,HEPG2,A549,HUVEC,A549,HCC515,A549,ASC,BT20,ASC,BT20,A549,A549,BT20,BT20,SKBR3,BT20,BT20,BT20,HUVEC,NEU,ASC,ASC,NEU,HUVEC,HCC515,MCF10A,HCC515,HUVEC,HUVEC,A549,A549,HUVEC,A549,CD34,HCC515,LNCAP,A549,CD34,CD34,SKBR3,HCC515,CD34,A549,LNCAP,A549,HUVEC,SKBR3,CD34,A549,A549,BT20,HUVEC,SKBR3,A549,HCC515,A549,A549,A549,SKBR3,LNCAP,BT20,A549,SKBR3,HUVEC,HUVEC,HUVEC,LNCAP,A549,HS578T,HS578T,HUVEC
SKL.C,A375,CD34,A375,HUVEC,NPC,CD34,ASC.C,HCC515,MDAMB231,HS578T,HEPG2,HEPG2,HCC515,HEPG2,HUVEC,HEPG2,HS578T,SKBR3,HS578T,HS578T,HUVEC,HEPG2,HS578T,SKBR3,A375,HCC515,HCC515,SKBR3,HS578T,HS578T,SKL,SKL,HELA,A375,HA1E,NPC,HELA,HELA,CD34,NPC.TAK,MCF7,SKL.C,CD34,NPC,CD34,CD34,HELA,NPC.CAS9,HELA,NPC,NPC,ASC,HCC515,HME1,HME1,HCC515,SKL.C,LNCAP,HME1,HCC515,LNCAP,HUVEC,HCC515,ASC.C,HCC515,SKBR3,HCC515,SKBR3,HUVEC,ASC,NPC.CAS9,NPC.TAK,HT29,HS578T,HS578T,A549,A549,HA1E,BT20,BT20,HUVEC,BT20,BT20,BT20,HUVEC,BT20,HUVEC,BT20,HUVEC,HUVEC,BT20,BT20,HS578T,BT20,BT20,BT20,HUVEC,BT20,BT20,BT20,HUVEC,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,BT20,HUVEC,BT20,BT20,BT20,BT20,BT20,LNCAP,ASC,BT20,LNCAP,ASC,BT20,BT20,NEU,YAPC,HCC515,JURKAT,BT20,HCC515,BT20,HEPG2,HCC515,HUVEC,A549,CD34,A549,HA1E,HUVEC,HUVEC,A549,BT20,HA1E,HUVEC,HUVEC,HUVEC,A549,A549,BT20,A549,HCC515,HUVEC,HUVEC,HCC515,HUVEC,HUVEC,HEPG2,HCC515,HCC515,HUVEC,HUVEC,HEPG2,A549,JURKAT,JURKAT,ASC,A375,NEU,BT20,ASC,HCC515,HEPG2,YAPC,A549,HUES3,A549,HUVEC,BT20,HEPG2,HUVEC,HEPG2,HUVEC,HUVEC,HUVEC,LNCAP,LNCAP,HUVEC,SKBR3,HUVEC,SKBR3,A549,HUES3,HS578T,HCC515,HCC515,HCC515,BT20,A549,BT20,BT20,JURKAT,YAPC,BT20,BT20,LNCAP,HCC515,A549,HUVEC,LNCAP,JURKAT,SKBR3,HCC515,A549,A549,LNCAP,JURKAT,JURKAT,BT20
BT20,MCF7,NPC,NPC,A375,HUVEC,HUVEC,PC3,JURKAT,HELA,HUVEC,HUVEC,JURKAT,JURKAT,SKBR3,A375,HUVEC,HUVEC,HEPG2,HEPG2,LNCAP,SKBR3,HUVEC,HUVEC,YAPC,HELA,SKBR3,HS578T,A375,SKBR3,HELA,HT29,ASC,HT29,CD34,CD34,SKL.C,CD34,CD34,NPC,CD34,CD34,NPC,SKL.C,A375,NPC,HELA,A375,SKL.C,CD34,CD34,SKL.C,HUES3,BT20,LNCAP,HCC515,HUVEC,HUES3,HUES3,BT20,SKBR3,HUES3,BT20,BT20,HME1,ASC,HUES3,ASC,HUVEC,ASC,BT20,BT20,BT20,HS578T,A549,CD34,HT29,HA1E,HT29,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,ASC,A375,NEU,SKBR3,A375,NEU,SKBR3,ASC,HCC515,HUVEC,BT20,LNCAP,HCC515,LNCAP,HCC515,A549,BT20,BT20,LNCAP,LNCAP,HEPG2,BT20,JURKAT,HUES3,JURKAT,A549,HEPG2,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,HCC515,BT20,LNCAP,HEPG2,HUVEC,HCC515,HEPG2,HCC515,BT20,HUVEC,HCC515,YAPC,A549,LNCAP,LNCAP,A549,BT20,ASC,BT20,NEU,A375,HUES3,YAPC,HME1,HEPG2,YAPC,BT20,HCC515,LNCAP,BT20,HEPG2,HUVEC,HEPG2,BT20,LNCAP,A549,A549,HUES3,YAPC,A549,HUES3,HUES3,CD34,A549,HEPG2,HUVEC,BT20,HCC515,HCC515,HCC515,HCC515,LNCAP,SKBR3,LNCAP,HCC515,BT20,BT20,BT20,HCC515,JURKAT,A549,A549,BT20,LNCAP,BT20,BT20,HUES3,HUVEC,HCC515
ASC.C,NPC,SKL.C,SKL.C,HELA,MCF7,A375,NEU,MNEU.E,JURKAT,LNCAP,SKBR3,SKBR3,HEPG2,A375,HS578T,A375,A375,A375,YAPC,HUVEC,A375,LNCAP,A375,HELA,YAPC,A375,HELA,HCC515,A375,ASC,HELA,HELA,YAPC,HUVEC,A549,HELA,HUVEC,SKL.C,SKL.C,ASC.C,ASC.C,HELA,NPC,SKL.C,SKL.C,NPC,SKL.C,NPC,NPC,SKL.C,A375,LNCAP,HUVEC,HCC515,HUES3,BT20,ASC,ASC,LNCAP,BT20,ASC,HCC515,LNCAP,NPC.TAK,LNCAP,LNCAP,HUES3,BT20,BT20,HUES3,NPC,NPC,A549,HT29,A549,BT20,HS578T,A549,A549,HT29,HT29,HT29,YAPC,HT29,HT29,HT29,A375,HT29,HT29,HT29,HT29,HT29,HT29,NEU,A549,HT29,HT29,A549,A549,HT29,A375,HT29,HT29,HT29,A549,HT29,HT29,A375,HT29,HT29,A375,A549,A375,A375,A549,A375,MNEU.E,A549,A375,YAPC,A549,A375,YAPC,MNEU.E,A549,A375,SKBR3,HUES3,HUES3,HUES3,YAPC,HUVEC,HEPG2,JURKAT,HUES3,HUES3,HUVEC,HCC515,HCC515,HCC515,LNCAP,HUVEC,SKBR3,YAPC,YAPC,A375,HUES3,HUVEC,YAPC,YAPC,LNCAP,YAPC,YAPC,HEPG2,HEPG2,HCC515,A375,HEPG2,YAPC,YAPC,HCC515,HUVEC,HCC515,A549,LNCAP,HUES3,BT20,A375,A375,BT20,YAPC,BT20,HEPG2,YAPC,HCC515,HEPG2,HUES3,HEPG2,HUES3,BT20,HCC515,BT20,HCC515,YAPC,JURKAT,HUES3,A549,HEPG2,HCC515,YAPC,JURKAT,JURKAT,HUES3,BT20,HEPG2,HEPG2,YAPC,HUES3,YAPC,YAPC,BT20,CD34,HCC515,LNCAP,HCC515,HEPG2,JURKAT,YAPC,HCC515,HUES3,HUES3,HEPG2,BT20,HCC515,HCC515,A549,HCC515,HEPG2
A375,HUVEC,HUVEC,HUVEC,ASC.C,SKL,HELA,HCC515,HS578T,MNEU.E,SKBR3,YAPC,YAPC,HS578T,PC3,LNCAP,PC3,PC3,PC3,A375,HEPG2,PC3,HS578T,PC3,A375,HS578T,HELA,A375,HS578T,HELA,HT29,YAPC,YAPC,ASC,SKL.C,HUVEC,HUVEC,A549,HUVEC,HUVEC,NPC,HUVEC,ASC.C,HUVEC,HUVEC,A549,ASC.C,HUES3,HUVEC,HUVEC,HUVEC,HUVEC,HUVEC,LNCAP,MCF7,LNCAP,LNCAP,BT20,BT20,HUVEC,HUES3,HUVEC,LNCAP,HUVEC,HUVEC,BT20,HUVEC,HT29,LNCAP,HUES3,NPC,HUES3,HUES3,HA1E,HA1E,HT29,HEPG2,HT29,HELA,A375,YAPC,A375,A549,A549,YAPC,A375,A375,A549,A549,A549,A549,A549,YAPC,A549,A375,HT29,A375,A549,HT29,HT29,A549,A549,YAPC,YAPC,YAPC,HT29,A375,A549,YAPC,A549,NEU,A549,HT29,HT29,HT29,A375,A549,NPC,HCC515,HT29,A375,HCC515,HT29,A375,NPC,BT20,HEPG2,HEPG2,BT20,HA1E,JURKAT,HELA,YAPC,HA1E,HUES3,JURKAT,JURKAT,YAPC,HEPG2,LNCAP,LNCAP,HUES3,A375,HCC515,LNCAP,LNCAP,YAPC,LNCAP,A375,LNCAP,LNCAP,YAPC,BT20,LNCAP,YAPC,HUES3,YAPC,YAPC,HA1E,HEPG2,HEPG2,HEPG2,A375,HEPG2,HUES3,HCC515,A549,HUES3,YAPC,HCC515,HCC515,BT20,HUVEC,BT20,HUES3,A375,A375,YAPC,HUVEC,HCC515,LNCAP,HUES3,LNCAP,YAPC,HUES3,BT20,YAPC,YAPC,BT20,BT20,HCC515,HCC515,HCC515,HCC515,YAPC,HELA,YAPC,HEPG2,LNCAP,LNCAP,HEPG2,HCC515,HEPG2,YAPC,YAPC,YAPC,YAPC,HCC515,HEPG2,YAPC,BT20,BT20,YAPC,HCC515,JURKAT,JURKAT,HCC515,HEPG2,YAPC
NPC,A549,A549,ASC,NPC,HELA,HUES3,ASC,HELA,YAPC,HCC515,JURKAT,PC3,HUVEC,HT29,PC3,YAPC,LNCAP,HT29,PC3,PC3,YAPC,PC3,YAPC,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL.C,SKL.C,HT29,SKL,A549,SKL.C,ASC.C,SKBR3,ASC.C,ASC.C,BT20,SKBR3,HUVEC,HUES3,HUES3,HUVEC,HUVEC,HUVEC,SKBR3,A549,ASC.C,SKL,HT29,HUES3,HUVEC,HUVEC,HUES3,HUVEC,NPC.TAK,HUES3,A375,NPC.TAK,HUES3,HUES3,HT29,HUES3,BT20,BT20,HUES3,HT29,HCC515,HCC515,HCC515,HELA,HELA,HA1E,HS578T,HELA,HS578T,HT29,A549,A549,A375,A375,A549,A549,A549,HT29,A375,YAPC,A375,A375,A549,YAPC,HT29,YAPC,A549,A375,A375,A375,YAPC,HT29,A549,A375,A549,YAPC,A549,YAPC,NEU,YAPC,A375,HT29,YAPC,A549,NEU,HT29,LNCAP,HT29,NEU,HCC515,HCC515,NEU,HCC515,HCC515,NPC.TAK,YAPC,LNCAP,HUES3,YAPC,NPC.TAK,YAPC,HUES3,A375,YAPC,HCC515,HCC515,HCC515,A375,YAPC,HUES3,JURKAT,HCC515,LNCAP,YAPC,A375,HEPG2,HEPG2,HEPG2,YAPC,MNEU.E,HEPG2,HEPG2,HELA,HCC515,A375,YAPC,HUES3,HUVEC,YAPC,A375,A375,HELA,YAPC,HUES3,HCC515,HUES3,HCC515,NPC,HUES3,YAPC,HUES3,LNCAP,A375,HELA,BT20,JURKAT,YAPC,LNCAP,YAPC,LNCAP,YAPC,LNCAP,YAPC,JURKAT,HCC515,NPC.TAK,NPC.TAK,BT20,HA1E,HUES3,CD34,YAPC,BT20,YAPC,LNCAP,HUES3,LNCAP,LNCAP,YAPC,HUES3,HA1E,YAPC,HUES3,HEPG2,HEPG2,JURKAT,HA1E,YAPC,LNCAP,BT20,YAPC,YAPC,LNCAP,YAPC,HEPG2,HEPG2,BT20,BT20,LNCAP
HUVEC,BT20,SKBR3,HUES3,ASC,ASC.C,BT20,SKBR3,SKBR3,HS578T,PC3,PC3,HT29,PC3,YAPC,HT29,HT29,HT29,YAPC,LNCAP,HT29,HT29,HT29,HT29,PC3,MNEU.E,PC3,MNEU.E,PC3,PC3,YAPC,ASC,SKL.C,HA1E,SKBR3,ASC.C,ASC,SKL.C,ASC,A549,HELA,SKL.C,HUES3,A549,A549,BT20,A549,A549,A549,SKL,A549,ASC.C,BT20,YAPC,HUES3,HELA,HT29,HT29,HUVEC,MCF7,HT29,BT20,YAPC,HT29,JURKAT,A375,NPC.TAK,JURKAT,A375,HA1E,A375,YAPC,SKBR3,HEPG2,CD34,HELA,HA1E,CD34,CD34,YAPC,A375,YAPC,YAPC,HT29,A375,YAPC,YAPC,YAPC,LNCAP,A375,YAPC,YAPC,A375,A375,YAPC,A375,YAPC,YAPC,LNCAP,YAPC,A375,YAPC,A375,A549,NEU,NEU,LNCAP,A375,HT29,A375,YAPC,YAPC,A375,YAPC,A549,LNCAP,HT29,YAPC,ASC,LNCAP,HT29,ASC,LNCAP,HT29,A375,A375,BT20,HELA,HCC515,HEPG2,BT20,HT29,LNCAP,HELA,YAPC,YAPC,NPC.TAK,HA1E,HUES3,A375,A375,MNEU.E,YAPC,HUES3,HEPG2,HUES3,HUES3,YAPC,LNCAP,A375,HELA,HA1E,HEPG2,MCF7,MCF7,A375,A375,LNCAP,HELA,MCF7,HUES3,PC3,HA1E,A375,HEPG2,YAPC,MNEU.E,HCC515,HT29,A549,HT29,A375,LNCAP,HUVEC,A375,LNCAP,LNCAP,HA1E,HUES3,YAPC,HUES3,JURKAT,HUES3,HUES3,HEPG2,HEPG2,HCC515,HCC515,LNCAP,YAPC,HELA,HEPG2,NPC.TAK,BT20,HA1E,HA1E,HUES3,A375,HEPG2,A375,A375,MNEU.E,LNCAP,A375,HUES3,HUES3,LNCAP,A375,A375,HUES3,MNEU.E,HCC515,HA1E,HEPG2,YAPC,YAPC,YAPC,HUES3,MCF7
CD34,ASC.C,BT20,BT20,SKL,HUES3,ASC.C,MNEU.E,NEU,SKBR3,HT29,HT29,HUVEC,HT29,JURKAT,YAPC,LNCAP,YAPC,JURKAT,HT29,YAPC,LNCAP,YAPC,LNCAP,MNEU.E,HT29,MNEU.E,PC3,HT29,MNEU.E,HUVEC,HEPG2,HUVEC,SKL.C,ASC,SKBR3,HUES3,ASC,SKBR3,ASC,A549,ASC,BT20,BT20,ASC,HUES3,HUES3,SKBR3,BT20,ASC.C,HUES3,BT20,NPC.TAK,MCF7,YAPC,MCF7,YAPC,JURKAT,HT29,HT29,PC3,HT29,HELA,YAPC,BT20,HT29,YAPC,HUVEC,HT29,HELA,YAPC,SKBR3,CD34,YAPC,BT20,SKL,HELA,HEPG2,YAPC,NEU,LNCAP,LNCAP,LNCAP,LNCAP,NEU,LNCAP,LNCAP,LNCAP,YAPC,LNCAP,LNCAP,LNCAP,HELA,LNCAP,LNCAP,LNCAP,NEU,LNCAP,NEU,LNCAP,LNCAP,NEU,NEU,NEU,A375,A375,YAPC,LNCAP,A549,NEU,LNCAP,LNCAP,NEU,LNCAP,LNCAP,YAPC,HEPG2,A375,NPC,YAPC,MNEU.E,NPC,YAPC,MNEU.E,YAPC,MNEU.E,HELA,YAPC,A375,HELA,HEPG2,A375,HA1E,LNCAP,NPC.CAS9,A375,MNEU.E,HELA,HELA,YAPC,MNEU.E,A375,MCF7,A375,HUES3,A375,LNCAP,MNEU.E,HT29,JURKAT,A375,A375,MCF7,A375,LNCAP,HELA,LNCAP,HELA,HUES3,PC3,HELA,A375,LNCAP,JURKAT,MNEU.E,HEPG2,A375,HT29,NPC,HT29,NPC,HEPG2,HUES3,MCF7,LNCAP,BT20,HA1E,HEPG2,NPC.TAK,NPC.TAK,A375,NPC.TAK,A375,HEPG2,MCF7,YAPC,MCF7,NPC.TAK,HUES3,HEPG2,BT20,MCF7,YAPC,HELA,HUES3,LNCAP,MCF7,HA1E,HA1E,HEPG2,LNCAP,HUES3,A375,HUES3,HT29,A375,A375,HUES3,HELA,A375,HCC515,A375,A375,NPC.TAK,HUES3,MCF7,MNEU.E,YAPC,A375
SKL,HUES3,HUES3,ASC.C,HUES3,ASC,ASC,HT29,YAPC,PC3,YAPC,HS578T,HS578T,YAPC,LNCAP,JURKAT,JURKAT,JURKAT,LNCAP,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,HUES3,PC3,HT29,HUES3,MNEU.E,HT29,HA1E,HUVEC,HEPG2,BT20,ASC.C,ASC,SKBR3,HUES3,A549,SKBR3,ASC,BT20,SKBR3,SKBR3,ASC.C,SKBR3,ASC,ASC,HUES3,HUES3,ASC,ASC,A375,HELA,HELA,YAPC,HA1E,A375,A375,YAPC,HA1E,A375,A375,A375,A375,HELA,A375,A375,YAPC,A375,HEPG2,CD34,A375,BT20,YAPC,HEPG2,HCC515,HCC515,HEPG2,LNCAP,NEU,NEU,NEU,NEU,LNCAP,NEU,NEU,HEPG2,HELA,HEPG2,HEPG2,NEU,NEU,NEU,A549,NEU,LNCAP,NEU,YAPC,NEU,HELA,LNCAP,HELA,LNCAP,HELA,LNCAP,HELA,NEU,LNCAP,LNCAP,A549,NEU,LNCAP,NEU,YAPC,HEPG2,YAPC,NPC.TAK,YAPC,A549,A549,YAPC,A549,A549,HCC515,HT29,MCF7,NEU,MNEU.E,LNCAP,A375,HA1E,MCF7,HUES3,A375,NPC.TAK,YAPC,MCF7,A375,HELA,YAPC,YAPC,HELA,HELA,JURKAT,JURKAT,JURKAT,JURKAT,HELA,HELA,MCF7,HUES3,JURKAT,HELA,HELA,JURKAT,MCF7,MCF7,A375,LNCAP,HA1E,HUES3,MCF7,YAPC,A375,A375,NPC.TAK,NPC.CAS9,HCC515,NPC,YAPC,HELA,PC3,PC3,HELA,HELA,HELA,JURKAT,MCF7,MCF7,MCF7,NEU,HA1E,A375,HT29,MNEU.E,HELA,NPC.CAS9,A375,A375,NPC.TAK,BT20,A375,A375,A375,A375,A375,HELA,HELA,JURKAT,HELA,HT29,PC3,HELA,HELA,HELA,MCF7,HA1E,MCF7,HEPG2,HEPG2,HEPG2,MCF7,NEU,A375,NPC.TAK,NPC.TAK,A375,HA1E
HUES3,ASC,ASC.C,A549,BT20,BT20,SKL,A375,PC3,NEU,HUES3,HELA,HELA,HELA,HA1E,HA1E,HA1E,HA1E,HA1E,HA1E,MCF7,HA1E,HELA,HA1E,HT29,HUES3,MCF7,HT29,HUES3,HUES3,BT20,HA1E,HA1E,HEPG2,HUES3,HUES3,SKL,ASC.C,HUES3,HUES3,SKL,HME1,ASC,ASC,SKBR3,ASC,BT20,SKL,ASC,ASC,SKBR3,HUES3,PC3,A375,A375,A375,MCF7,YAPC,YAPC,HELA,LNCAP,HELA,MCF7,HELA,YAPC,HA1E,PC3,YAPC,NPC.TAK,LNCAP,SKBR3,A375,YAPC,CD34,HEPG2,YAPC,CD34,SKL,BT20,HEPG2,HELA,HEPG2,HELA,PC3,HELA,HEPG2,HEPG2,NEU,HEPG2,PC3,NEU,HEPG2,LNCAP,HELA,HELA,HELA,HEPG2,HELA,HEPG2,HELA,PC3,HELA,LNCAP,HELA,LNCAP,HELA,NEU,HELA,HELA,HELA,HEPG2,HELA,PC3,HEPG2,HELA,HELA,NEU,HCC515,HT29,NPC,HELA,HT29,NPC,HELA,HT29,PC3,PC3,NPC.TAK,HELA,YAPC,NPC.TAK,NPC.TAK,HELA,MCF7,NPC.TAK,HELA,A375,LNCAP,LNCAP,MNEU.E,NPC.TAK,HT29,HT29,MCF7,MCF7,HELA,MNEU.E,HELA,MCF7,HEPG2,HT29,JURKAT,A375,HT29,HUES3,HA1E,HELA,HT29,MCF7,HELA,LNCAP,MCF7,HUES3,HT29,YAPC,NPC.TAK,NPC,YAPC,HELA,HELA,MNEU.E,MCF7,MCF7,LNCAP,PC3,HEPG2,HUES3,HELA,HA1E,HELA,HELA,YAPC,MCF7,HELA,HELA,NPC,NEU,A375,PC3,HELA,A375,NPC.TAK,HELA,MCF7,MCF7,YAPC,HELA,HUES3,A375,HA1E,HUES3,MCF7,NPC.TAK,MCF7,MNEU.E,MCF7,HUES3,HEPG2,HUES3,HELA,A375,HT29,HUES3,MNEU.E,MCF7,HUES3,A375,MCF7,HUES3
