GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,HME1,HME1,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HME1,CD34,CD34,MCF10A,MCF10A,MCF10A,MCF10A,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,YAPC,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HUVEC,HUVEC,HUVEC,JURKAT,JURKAT,JURKAT,HUES3,HUES3,JURKAT,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,SKL,SKL,HME1,ASC.C,ASC.C,SKL,CD34,ASC.C,HME1,HME1,HME1,CD34,ASC.C,HME1,HME1,HME1,CD34,ASC.C,CD34,SKL,CD34,SKL,CD34,CD34,CD34,CD34,ASC.C,CD34,CD34,CD34,CD34,CD34,ASC.C,CD34,CD34,CD34,CD34,CD34,HME1,HME1,HME1,CD34,CD34,CD34,CD34,HME1,SKL,CD34,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,SKL,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL,HME1,ASC.C,CD34,SKL,HME1,CD34,SKL,HME1,CD34,ASC.C,ASC.C,CD34,ASC.C,CD34,ASC.C,ASC.C,ASC.C,CD34,SKL,ASC.C,ASC.C,SKL,ASC.C,SKL
JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,CD34,HME1,SKL,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,ASC.C,SKL,SKL,SKL,HME1,SKL,HME1,SKL,LNCAP,LNCAP,LNCAP,LNCAP,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,MNEU.E,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,SKL,SKL,ASC.C,ASC.C,SKL,MDAMB231,MDAMB231,ASC.C,SKL,MDAMB231,MDAMB231,ASC.C,MDAMB231,MDAMB231,SKL,MDAMB231,SKL,SKL,HS578T,SKL,SKL,NPC.CAS9,NPC.CAS9,HUES3,JURKAT,NPC.CAS9,NPC.CAS9,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,JURKAT,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,JURKAT,JURKAT,JURKAT,SKL,JURKAT,SKL,SKL,JURKAT,SKL,SKL,HME1,CD34,ASC.C,SKL,HME1,HME1,ASC.C,ASC.C,SKL,MCF10A,MCF10A,SKL,SKL,SKL,MCF10A,MCF10A,MCF10A,ASC.C,HME1,SKL,CD34,SKL,CD34,SKL,ASC.C,ASC.C,ASC.C,CD34,SKL,MCF10A,MCF10A,MCF10A,ASC.C,CD34,SKL,SKL,ASC.C,ASC.C,ASC.C,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,CD34,ASC.C,SKL,SKL,SKL,SKL.C,SKL,HME1,CD34,ASC.C,SKL,SKL,SKL,SKL,ASC.C,ASC.C,SKL,HME1,HME1,SKL,SKL,SKL,CD34,HS578T,CD34,SKL,ASC.C,MCF10A,SKL,ASC.C,ASC.C,SKL,SKL,SKL,ASC.C,SKL,ASC.C,SKL,SKL,SKL,ASC.C,HME1,SKL,SKL,ASC.C,HME1,CD34
HT29,HT29,HT29,YAPC,HT29,YAPC,HT29,HUES3,SKL,SKL,ASC.C,SKL,SKL,SKL,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,SKL,CD34,SKL,HME1,ASC.C,HUES3,ASC.C,MDAMB231,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,JURKAT,HT29,YAPC,HT29,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,HT29,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,A549,A549,MDAMB231,MDAMB231,A549,ASC.C,MDAMB231,A549,SKL,SKL.C,A549,MDAMB231,HS578T,HME1,SKL.C,SKL.C,HUES3,HUES3,NPC.CAS9,NPC.CAS9,JURKAT,HUES3,ASC.C,JURKAT,ASC.C,ASC.C,ASC.C,SKL.C,JURKAT,JURKAT,JURKAT,JURKAT,ASC.C,JURKAT,ASC.C,ASC.C,ASC.C,SKL.C,ASC.C,ASC.C,JURKAT,SKBR3,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL.C,ASC.C,JURKAT,ASC.C,ASC.C,ASC.C,JURKAT,SKL.C,SKL.C,JURKAT,JURKAT,SKBR3,SKL,HME1,HME1,SKL,HME1,HME1,SKL,HME1,HME1,SKL,ASC.C,SKL.C,SKL.C,SKL,SKL,HS578T,SKL,SKL.C,SKL,SKL,MCF10A,ASC.C,SKL.C,SKL,SKL,SKL,SKL,SKL.C,HME1,ASC.C,HME1,HME1,ASC.C,SKL,SKL,HME1,SKL,ASC.C,HS578T,SKL,HME1,SKL,SKL,ASC.C,ASC.C,SKL,SKL,MDAMB231,ASC.C,ASC.C,ASC.C,JURKAT,HME1,HME1,HME1,ASC.C,ASC.C,SKL,CD34,SKL.C,ASC.C,SKL,SKL.C,SKL,SKL,HME1,CD34,MDAMB231,MDAMB231,HME1,HME1,HME1,SKL.C,SKL,SKL,HME1,HME1,HME1,ASC.C,SKL,SKL,ASC.C,CD34,SKL,ASC.C,HME1,MDAMB231,ASC.C,SKL.C,SKL.C,SKL,SKL.C,SKL,SKL.C,SKL.C,HME1,SKL,ASC.C,SKL.C,SKL.C,HME1,SKL,SKL.C
YAPC,YAPC,YAPC,HT29,YAPC,HT29,YAPC,MCF10A,MCF10A,SKL.C,SKL.C,SKL.C,A549,SKL.C,ASC.C,ASC.C,ASC.C,SKL.C,ASC.C,ASC.C,ASC.C,ASC.C,SKL,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,MDAMB231,MDAMB231,MDAMB231,HUES3,HT29,HT29,HT29,HT29,HT29,HT29,HT29,NEU,HT29,YAPC,HT29,HT29,HT29,HT29,HT29,HT29,HT29,YAPC,SKL.C,ASC.C,SKL,SKL,ASC.C,HEPG2,HEPG2,HS578T,HME1,SKL,HS578T,SKL,MCF10A,HS578T,MDAMB231,HEPG2,SKL.C,MDAMB231,SKL,ASC.C,HME1,NPC,NPC,NPC,NPC,NPC,NPC,SKL.C,ASC.C,JURKAT,JURKAT,JURKAT,ASC.C,ASC.C,SKBR3,MDAMB231,SKBR3,SKL.C,SKBR3,SKL.C,SKL.C,SKL.C,ASC.C,SKL.C,SKL.C,ASC.C,SKL,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,ASC.C,SKL.C,SKBR3,SKL.C,SKL.C,SKL.C,SKBR3,SKBR3,ASC.C,SKBR3,SKL.C,SKL,SKBR3,SKL,MCF10A,SKBR3,SKL.C,MCF10A,SKBR3,SKL.C,JURKAT,MCF10A,MDAMB231,HUVEC,MCF10A,HS578T,SKL.C,MDAMB231,MDAMB231,HME1,MDAMB231,MDAMB231,ASC.C,MDAMB231,HME1,ASC.C,ASC.C,SKBR3,MDAMB231,SKL,MCF10A,MCF10A,SKL.C,MCF10A,MDAMB231,SKL.C,SKL.C,SKL,HME1,MDAMB231,HME1,HS578T,SKL,MDAMB231,SKL.C,MDAMB231,MDAMB231,MCF10A,MDAMB231,SKL,MDAMB231,MDAMB231,MCF10A,HME1,SKL.C,SKL.C,SKL.C,MCF10A,SKL.C,MDAMB231,SKL.C,HME1,MDAMB231,MDAMB231,SKBR3,SKL.C,MDAMB231,MCF10A,SKL.C,SKL.C,CD34,SKL.C,SKL.C,SKL.C,CD34,MDAMB231,SKL.C,MDAMB231,SKL.C,MDAMB231,SKL.C,ASC.C,MDAMB231,MDAMB231,MDAMB231,ASC.C,SKL.C,SKL.C,SKL.C,SKL.C,HME1,MDAMB231,HME1,MDAMB231,MDAMB231,CD34,HME1,MDAMB231,SKL.C,SKL.C,MDAMB231,CD34,SKL.C,MCF10A,ASC.C
NEU,NPC.TAK,PC3,NEU,NEU,NPC.TAK,NEU,A549,SKL.C,MCF10A,ASC,ASC,SKL.C,ASC,SKL.C,ASC,SKL.C,ASC.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,MCF10A,SKL.C,SKL.C,ASC,SKL.C,HUES3,HME1,CD34,SKBR3,NEU,NEU,PC3,NPC.TAK,NPC.TAK,MCF7,PC3,YAPC,NEU,PC3,PC3,MCF7,PC3,NPC.TAK,PC3,MCF7,NEU,HA1E,A549,HS578T,ASC,HS578T,HS578T,ASC.C,HS578T,SKL,ASC.C,MCF10A,SKL,HS578T,HEPG2,A549,A549,SKL,A549,HME1,MDAMB231,HME1,HS578T,NPC.TAK,NPC.TAK,HME1,LNCAP,NPC.TAK,NPC.TAK,MDAMB231,SKL.C,SKL.C,SKL.C,SKL.C,JURKAT,SKL.C,ASC.C,ASC.C,MDAMB231,MDAMB231,MDAMB231,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,MDAMB231,MDAMB231,SKBR3,ASC,MDAMB231,JURKAT,JURKAT,JURKAT,SKBR3,SKL.C,JURKAT,JURKAT,SKBR3,SKL.C,ASC.C,MDAMB231,MDAMB231,SKBR3,MDAMB231,MDAMB231,HUVEC,SKL.C,MDAMB231,ASC.C,SKL.C,MDAMB231,ASC.C,SKL.C,SKL.C,SKL.C,HME1,ASC.C,SKL.C,MCF10A,MCF10A,SKL.C,ASC,ASC.C,ASC.C,SKL.C,SKL.C,HS578T,SKL.C,MDAMB231,ASC.C,SKL.C,HUVEC,ASC.C,HME1,MCF10A,ASC.C,SKL.C,HME1,ASC,SKL.C,SKL.C,SKL.C,SKL,HME1,SKBR3,ASC,ASC,ASC,HME1,HS578T,SKL.C,HME1,SKL.C,SKL.C,MDAMB231,MCF10A,MCF10A,MCF10A,MCF10A,MDAMB231,MDAMB231,ASC,ASC,MDAMB231,ASC,HME1,HME1,MDAMB231,SKL.C,MDAMB231,MDAMB231,HS578T,SKL.C,MDAMB231,ASC,MDAMB231,MDAMB231,SKL.C,MDAMB231,SKL.C,MCF10A,SKL.C,HME1,MCF10A,SKL.C,SKL.C,SKL.C,MDAMB231,MDAMB231,CD34,MCF10A,MDAMB231,ASC,CD34,SKL.C,HME1,SKL.C,MDAMB231,MDAMB231,SKL.C,MDAMB231,CD34,CD34,HME1,HUVEC,MDAMB231,MDAMB231
MCF7,PC3,HA1E,PC3,PC3,HA1E,NPC.TAK,MDAMB231,HUVEC,ASC.C,A549,A549,ASC,MDAMB231,ASC,SKL.C,A549,A549,MCF10A,ASC,ASC,A549,A549,A549,MCF10A,SKL.C,ASC,ASC,SKL.C,ASC,HME1,ASC.C,HUES3,A549,NPC.TAK,MCF7,NPC.TAK,NPC.CAS9,NPC.CAS9,NEU,HUVEC,NPC.TAK,NPC.TAK,NEU,HA1E,PC3,MCF7,MCF7,MCF7,PC3,MCF7,NEU,MCF10A,ASC,HS578T,ASC,SKL.C,MCF10A,SKBR3,ASC,SKL.C,HEPG2,SKBR3,ASC,SKL,ASC.C,ASC.C,ASC.C,HEPG2,A549,SKL.C,HS578T,ASC.C,LNCAP,LNCAP,LNCAP,NPC.TAK,HME1,HME1,JURKAT,SKBR3,MDAMB231,SKBR3,ASC,SKBR3,MDAMB231,SKL.C,SKBR3,ASC.C,SKBR3,ASC.C,MDAMB231,ASC,SKBR3,MDAMB231,SKBR3,SKBR3,SKL.C,SKL.C,MDAMB231,JURKAT,SKBR3,MDAMB231,MDAMB231,ASC,JURKAT,MDAMB231,SKBR3,MDAMB231,JURKAT,MDAMB231,MDAMB231,ASC,SKL.C,ASC.C,SKL.C,SKL.C,SKL.C,HS578T,MCF10A,MCF10A,HS578T,MCF10A,MCF10A,MDAMB231,MDAMB231,ASC,HS578T,HS578T,MCF10A,MDAMB231,HME1,ASC,CD34,SKL.C,SKL.C,HS578T,ASC,ASC,SKBR3,HS578T,HS578T,ASC,HS578T,HS578T,HS578T,HS578T,SKBR3,ASC,MDAMB231,MDAMB231,MDAMB231,ASC,ASC,SKBR3,MDAMB231,MDAMB231,SKL.C,HS578T,SKBR3,MCF10A,MDAMB231,ASC,HS578T,CD34,CD34,SKL.C,HUVEC,JURKAT,ASC.C,JURKAT,SKL.C,ASC,SKL.C,HME1,ASC,SKL.C,ASC,MDAMB231,SKBR3,HS578T,SKL.C,HME1,HME1,HS578T,MCF10A,MCF10A,MCF10A,HME1,MCF10A,ASC,ASC,MDAMB231,JURKAT,MDAMB231,SKL.C,ASC,ASC,HME1,HS578T,ASC,SKBR3,HS578T,HME1,MDAMB231,HME1,MDAMB231,CD34,ASC,HME1,MCF10A,CD34,ASC,MDAMB231,HME1,MDAMB231,ASC,SKBR3,HS578T
PC3,NEU,MCF7,HA1E,CD34,PC3,NPC.CAS9,SKL.C,ASC.C,HUVEC,HME1,HME1,MDAMB231,A549,MCF10A,A549,ASC,ASC,ASC,A549,A549,ASC,ASC,ASC,ASC,ASC,MCF10A,MCF10A,MCF10A,MCF10A,SKBR3,SKBR3,HME1,HME1,NPC.CAS9,NPC.TAK,NEU,NEU,NPC,HA1E,A375,HA1E,CD34,MCF7,NEU,NEU,HA1E,NPC.CAS9,HA1E,HA1E,HA1E,MCF7,HEPG2,SKL.C,SKBR3,HEPG2,A549,HS578T,MCF10A,SKBR3,HEPG2,HS578T,ASC,SKBR3,HS578T,SKL.C,HEPG2,SKBR3,HS578T,ASC.C,ASC.C,MDAMB231,MDAMB231,HME1,HME1,NPC.TAK,MCF10A,LNCAP,LNCAP,ASC,MDAMB231,SKBR3,MDAMB231,MDAMB231,ASC,SKBR3,MDAMB231,SKL.C,SKL.C,JURKAT,SKL.C,SKBR3,SKBR3,MDAMB231,SKBR3,MDAMB231,MDAMB231,SKBR3,ASC.C,JURKAT,MDAMB231,ASC,SKBR3,SKBR3,HME1,MDAMB231,ASC.C,MDAMB231,HME1,MDAMB231,ASC.C,JURKAT,JURKAT,ASC.C,MDAMB231,ASC.C,ASC.C,MCF10A,MDAMB231,HME1,HUVEC,MDAMB231,HME1,HUVEC,NEU,HUVEC,HS578T,ASC,MDAMB231,SKBR3,SKBR3,SKL.C,HS578T,MCF10A,SKBR3,SKBR3,MDAMB231,HS578T,HUVEC,HS578T,SKL.C,MDAMB231,HS578T,MCF10A,MDAMB231,SKBR3,ASC.C,SKL.C,HS578T,ASC,HME1,SKBR3,MDAMB231,HS578T,MDAMB231,ASC.C,HS578T,HS578T,MDAMB231,MCF10A,HS578T,ASC,HS578T,SKL.C,MCF10A,MCF10A,CD34,SKL.C,HUVEC,MDAMB231,HUVEC,ASC,HS578T,HS578T,MDAMB231,HS578T,HS578T,HS578T,MCF10A,MCF10A,HME1,HS578T,ASC,MCF10A,HME1,ASC,MDAMB231,JURKAT,ASC,ASC,MCF10A,CD34,HUVEC,MCF10A,ASC,MDAMB231,HME1,HS578T,HS578T,CD34,HS578T,MDAMB231,SKL,ASC,HS578T,SKBR3,ASC,ASC,HS578T,ASC,HUVEC,MCF10A,HS578T,MCF10A,MCF10A,MCF10A,MCF10A,SKL.C,HME1
NPC.TAK,HA1E,NEU,NPC.TAK,NPC.TAK,NPC.CAS9,HA1E,HUVEC,A375,A375,MDAMB231,MDAMB231,HME1,HME1,A549,MCF10A,MCF10A,MCF10A,A549,MCF10A,MCF10A,MDAMB231,MCF10A,MCF10A,HUVEC,MDAMB231,MDAMB231,HUVEC,MDAMB231,MDAMB231,A549,CD34,A549,HS578T,HA1E,A375,NPC.CAS9,PC3,NEU,PC3,HA1E,NPC,NPC.CAS9,NPC.CAS9,NPC.TAK,NPC.TAK,NPC.TAK,HA1E,NEU,NEU,PC3,NPC.TAK,ASC.C,SKBR3,HEPG2,A549,SKBR3,SKL,SKL,A549,ASC,SKL.C,A549,MCF10A,SKL.C,MCF10A,MCF10A,MCF10A,ASC.C,SKL.C,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,HME1,MCF10A,MCF10A,SKBR3,ASC,ASC,ASC,SKBR3,MDAMB231,ASC,ASC,MCF10A,ASC,ASC,ASC,ASC,MDAMB231,ASC,MCF10A,ASC,ASC,ASC,MCF10A,ASC,HME1,JURKAT,ASC,MCF10A,MDAMB231,ASC,MCF10A,ASC,SKBR3,ASC,MCF10A,HME1,HME1,HME1,HME1,MCF10A,MCF10A,NEU,JURKAT,HUVEC,ASC,JURKAT,HUVEC,ASC,SKBR3,SKBR3,A549,CD34,SKBR3,ASC,HS578T,SKBR3,HME1,HS578T,HS578T,HS578T,SKBR3,HME1,MDAMB231,MDAMB231,SKBR3,CD34,SKBR3,ASC,SKBR3,MDAMB231,SKBR3,HS578T,SKBR3,MCF10A,SKBR3,ASC,MCF10A,HME1,SKL.C,SKL.C,ASC.C,SKBR3,HME1,HS578T,SKBR3,SKBR3,HME1,ASC,HS578T,HS578T,HS578T,ASC.C,ASC.C,HUVEC,ASC.C,HS578T,SKBR3,SKBR3,HS578T,CD34,HME1,MCF10A,CD34,HS578T,SKBR3,SKBR3,MCF10A,ASC,SKBR3,SKBR3,BT20,HS578T,HS578T,HS578T,HUVEC,MCF10A,ASC,LNCAP,HS578T,A549,HS578T,HME1,ASC,SKBR3,HME1,ASC,HUVEC,HS578T,MCF10A,ASC,HS578T,HS578T,HME1,HS578T,HS578T,JURKAT,HME1,HS578T,HUVEC,ASC,MDAMB231,LNCAP,MCF10A
NPC.CAS9,SKL.C,NPC.CAS9,CD34,HA1E,CD34,PC3,YAPC,A549,A549,MCF10A,A375,HCC515,A375,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MDAMB231,MCF10A,MDAMB231,MDAMB231,A549,HUVEC,HUVEC,MDAMB231,HUVEC,HUVEC,CD34,A549,SKBR3,CD34,MCF7,NPC.CAS9,MCF7,MCF7,PC3,NPC.CAS9,MCF7,NPC.CAS9,HA1E,NPC.TAK,MCF7,NPC.CAS9,NEU,NEU,NPC.TAK,NPC.TAK,NPC.TAK,CD34,HCC515,MCF10A,SKL.C,SKL.C,MCF10A,SKBR3,ASC.C,SKL.C,HS578T,SKBR3,MCF10A,A549,SKBR3,HEPG2,HS578T,HS578T,MCF10A,HEPG2,HA1E,HA1E,HA1E,A375,HUVEC,HUVEC,SKBR3,A375,A375,MCF10A,MCF10A,MCF10A,MCF10A,MCF10A,HME1,MCF10A,MCF10A,ASC,MCF10A,MCF10A,MCF10A,MCF10A,HME1,MCF10A,HME1,HME1,MCF10A,MCF10A,HUVEC,MCF10A,SKBR3,MCF10A,MCF10A,ASC,SKBR3,HME1,ASC,MCF10A,MCF10A,HME1,HME1,ASC,SKBR3,MCF10A,MCF10A,HME1,ASC,MDAMB231,HUVEC,HS578T,MDAMB231,HUVEC,HS578T,MDAMB231,HUVEC,ASC.C,SKBR3,MCF10A,ASC,CD34,ASC,A549,MCF10A,HUVEC,A549,BT20,ASC,SKBR3,MCF10A,CD34,CD34,SKL.C,MCF10A,MDAMB231,SKL.C,SKL.C,MDAMB231,BT20,MCF10A,SKBR3,HS578T,MCF10A,SKBR3,MCF10A,A549,SKBR3,SKL.C,MCF10A,MCF10A,SKL.C,SKL.C,SKL.C,MCF10A,MCF10A,HUVEC,SKBR3,JURKAT,MDAMB231,MDAMB231,JURKAT,MDAMB231,A549,HME1,HCC515,MCF10A,A549,HCC515,BT20,ASC,CD34,ASC,A549,HS578T,SKBR3,MCF10A,HS578T,SKBR3,ASC,MCF10A,SKBR3,HS578T,HS578T,SKBR3,ASC,MCF10A,ASC,MCF10A,SKBR3,MCF10A,SKL.C,MCF10A,HS578T,A549,HUVEC,SKBR3,HS578T,MCF10A,MCF10A,MCF10A,MCF10A,ASC,HS578T,SKBR3,ASC,ASC,SKBR3,SKBR3,CD34,ASC
HA1E,HELA,NPC.TAK,MCF7,SKL.C,NEU,MCF7,HS578T,HUES3,ASC,A375,LNCAP,A375,MCF10A,HUVEC,HCC515,HCC515,HCC515,HUVEC,HUVEC,HCC515,HCC515,HCC515,HCC515,MDAMB231,A549,A549,A549,A549,A549,SKL,JURKAT,JURKAT,ASC.C,HELA,HELA,A375,NPC,MCF7,NPC.TAK,SKL.C,HELA,PC3,HA1E,NPC.CAS9,HELA,NPC.CAS9,PC3,CD34,A375,A375,NPC.CAS9,HS578T,A549,A549,SKBR3,HEPG2,HME1,HCC515,HEPG2,A549,HCC515,HEPG2,HEPG2,HCC515,HME1,HCC515,HME1,HME1,MCF10A,A549,ASC,ASC,HUVEC,MDAMB231,MDAMB231,MDAMB231,HUVEC,HUVEC,HME1,HME1,HS578T,HME1,HME1,MCF10A,HME1,HME1,HME1,HME1,HME1,HS578T,HME1,MCF10A,HME1,ASC,MCF10A,HME1,HS578T,ASC,HME1,MCF10A,HS578T,HME1,HME1,MCF10A,MCF10A,HUVEC,HME1,ASC,MCF10A,HUVEC,MCF10A,MCF10A,HUVEC,HUVEC,HS578T,HS578T,HS578T,SKBR3,SKL.C,HS578T,SKBR3,SKL.C,HS578T,MCF10A,HS578T,HME1,MDAMB231,HUVEC,MDAMB231,A549,ASC,BT20,MDAMB231,ASC,ASC,BT20,MCF10A,CD34,ASC,A549,BT20,HME1,CD34,ASC,BT20,ASC,MDAMB231,HME1,HS578T,MCF10A,HS578T,HS578T,SKBR3,ASC.C,A549,A549,HME1,HUVEC,HME1,A549,HME1,BT20,HUVEC,SKBR3,ASC,SKBR3,SKBR3,HS578T,HS578T,SKBR3,CD34,A549,A549,HUVEC,MCF10A,SKBR3,CD34,HS578T,ASC,MCF10A,BT20,SKBR3,CD34,ASC,HUVEC,HUVEC,CD34,HUVEC,LNCAP,LNCAP,SKBR3,HS578T,CD34,HUVEC,SKBR3,SKBR3,MCF10A,HUVEC,A549,HUVEC,MCF10A,BT20,SKBR3,CD34,HUVEC,HUVEC,HUVEC,SKBR3,HUVEC,CD34,LNCAP,MCF10A,JURKAT,HS578T,HS578T,CD34,A549,SKBR3
