dis_sample,type,exp,cell_line
GSM435908,microarray,GSE17477,"Human THP-1, untreated"
GSM435907,microarray,GSE17477,"Human THP-1, untreated"
GSM435905,microarray,GSE17477,"Human THP-1, untreated"
GSM435906,microarray,GSE17477,"Human THP-1, untreated"
GSM3746004,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM3746007,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM3746011,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM3001092,rnaseq,GSE110564,primary human lymphatic endothelial cell
GSM3745998,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM3746000,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM3746002,rnaseq,GSE129270,Purified cord blood CD34+ cells
GSM4147993,microarray,GSE139871,Human monocyte
GSM3071001,rnaseq,GSE112482,Lung
GSM4147991,microarray,GSE139871,Human monocyte
GSM3071009,rnaseq,GSE112482,Lung
GSM3071061,rnaseq,GSE112483,Lung
GSM1647013,rnaseq,GSE67427,monocyte-derived macrophages
GSM1647073,rnaseq,GSE67427,monocyte-derived macrophages
GSM3001094,rnaseq,GSE110564,primary human lymphatic endothelial cell
GSM4148002,microarray,GSE139871,Human monocyte
GSM3071057,rnaseq,GSE112482,Lung
GSM4147995,microarray,GSE139871,Human monocyte
GSM3071071,rnaseq,GSE112483,Lung
GSM3001093,rnaseq,GSE110564,primary human lymphatic endothelial cell
GSM4147992,microarray,GSE139871,Human monocyte
GSM4148000,microarray,GSE139871,Human monocyte
GSM3071003,rnaseq,GSE112482,Lung
GSM3070999,rnaseq,GSE112482,Lung
GSM1647038,rnaseq,GSE67427,monocyte-derived macrophages
GSM3071045,rnaseq,GSE112482,Lung
GSM4147990,microarray,GSE139871,Human monocyte
GSM3071033,rnaseq,GSE112482,Lung
GSM3071059,rnaseq,GSE112482,Lung
GSM1646957,rnaseq,GSE67427,monocyte-derived macrophages
GSM3071015,rnaseq,GSE112482,Lung
GSM3071005,rnaseq,GSE112482,Lung
GSM4147994,microarray,GSE139871,Human monocyte
GSM3071131,rnaseq,GSE112483,Lung
GSM1647058,rnaseq,GSE67427,monocyte-derived macrophages
GSM3071079,rnaseq,GSE112483,Lung
GSM1647064,rnaseq,GSE67427,monocyte-derived macrophages
GSM3071025,rnaseq,GSE112482,Lung
GSM3071047,rnaseq,GSE112482,Lung
GSM4147998,microarray,GSE139871,Human monocyte
GSM3070975,rnaseq,GSE112482,Lung
GSM3071137,rnaseq,GSE112483,Lung
GSM3071041,rnaseq,GSE112482,Lung
GSM3071023,rnaseq,GSE112482,Lung
GSM3071029,rnaseq,GSE112482,Lung
GSM1646961,rnaseq,GSE67427,monocyte-derived macrophages
GSM3071037,rnaseq,GSE112482,Lung
GSM3071017,rnaseq,GSE112482,Lung
GSM4147997,microarray,GSE139871,Human monocyte
GSM3070965,rnaseq,GSE112482,Lung
GSM4147996,microarray,GSE139871,Human monocyte
GSM1327542,microarray,GSE54992,PBMC from HC
GSM3071027,rnaseq,GSE112482,Lung
