GSM484450,GSM484453,GSM484454,GSM484457,GSM484462,GSM484477,GSM484479,GSM409137,GSM409138,GSM409139,GSM4147990,GSM4147991,GSM4147992,GSM4147993,GSM4147994,GSM4147995,GSM4147996,GSM4147997,GSM4147998,GSM4147999,GSM4148000,GSM4148001,GSM4148002,GSM4148003,GSM1327541,GSM1327542,GSM1327544,GSM1327546,GSM1327549,GSM1327550,GSM435905,GSM435906,GSM435907,GSM435908,GSM484603,GSM484604,GSM484612,GSM484613,GSM484622,GSM484634,GSM484644,GSM484647,GSM484369,GSM484370,GSM484371,GSM484372,GSM484373,GSM484374,GSM484375,GSM484377,GSM484378,GSM484379,GSM1646957,GSM1646961,GSM1646975,GSM1646980,GSM1647012,GSM1647013,GSM1647024,GSM1647025,GSM1647037,GSM1647038,GSM1647049,GSM1647052,GSM1647058,GSM1647064,GSM1647066,GSM1647073,GSM1647083,GSM1647087,GSM3001092,GSM3001093,GSM3001094,GSM3745998,GSM3746000,GSM3746002,GSM3746004,GSM3746007,GSM3746011,GSM4772905,GSM4772906,GSM4772907,GSM4772908,GSM4772909,GSM4772910,GSM4772911,GSM4772912,GSM4772913,GSM4772914,GSM4772915,GSM4772916,GSM4772917,GSM4772918,GSM4772919,GSM4772920,GSM4772921,GSM4772922,GSM4772923,GSM4772924,GSM4772925,GSM4772926,GSM4772927,GSM4772928,GSM4772929,GSM4772930,GSM4772931,GSM4772932,GSM4772933,GSM4772934,GSM4772935,GSM4772936,GSM4772937,GSM4772938,GSM4772939,GSM4772940,GSM4772941,GSM4772942,GSM4455463,GSM4455464,GSM4455465,GSM4455466,GSM5952187,GSM5952188,GSM5952189,GSM5952190,GSM5952191,GSM3071061,GSM3071063,GSM3071065,GSM3071067,GSM3071069,GSM3071071,GSM3071073,GSM3071075,GSM3071079,GSM3071081,GSM3071083,GSM3071085,GSM3071087,GSM3071091,GSM3071093,GSM3071095,GSM3071097,GSM3071099,GSM3071103,GSM3071105,GSM3071107,GSM3071109,GSM3071111,GSM3071115,GSM3071117,GSM3071119,GSM3071121,GSM3071123,GSM3071125,GSM3071127,GSM3071129,GSM3071131,GSM3071133,GSM3071137,GSM3071139,GSM3071141,GSM3071143,GSM3071145,GSM3071147,GSM3071149,GSM3071151,GSM2226808,GSM2226825,GSM2226829,GSM2226832,GSM3070965,GSM3070967,GSM3070969,GSM3070971,GSM3070973,GSM3070975,GSM3070977,GSM3070979,GSM3070981,GSM3070983,GSM3070985,GSM3070987,GSM3070989,GSM3070991,GSM3070993,GSM3070995,GSM3070997,GSM3070999,GSM3071001,GSM3071003,GSM3071005,GSM3071007,GSM3071009,GSM3071011,GSM3071013,GSM3071015,GSM3071017,GSM3071019,GSM3071021,GSM3071023,GSM3071025,GSM3071027,GSM3071029,GSM3071031,GSM3071033,GSM3071035,GSM3071037,GSM3071039,GSM3071041,GSM3071043,GSM3071045,GSM3071047,GSM3071049,GSM3071051,GSM3071053,GSM3071055,GSM3071057,GSM3071059
MNEU.E,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,HME1,HME1,HME1,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HME1,HME1,HME1,HME1,CD34,CD34,ASC.C,MCF10A,ASC.C,MCF10A,JURKAT,MNEU.E,JURKAT,JURKAT,JURKAT,JURKAT,YAPC,MNEU.E,MNEU.E,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,JURKAT,MNEU.E,JURKAT,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HUVEC,HUVEC,HUVEC,JURKAT,NPC.CAS9,JURKAT,HUES3,HUES3,NPC.CAS9,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,CD34,ASC.C,MCF10A,SKBR3,MCF10A,MCF10A,CD34,HME1,MCF10A,MCF10A,MCF10A,CD34,ASC.C,MCF10A,MCF10A,MCF10A,CD34,HME1,MCF10A,SKBR3,CD34,SKBR3,CD34,CD34,CD34,CD34,ASC.C,CD34,MCF10A,MCF10A,SKBR3,CD34,CD34,CD34,CD34,CD34,CD34,CD34,HME1,ASC.C,HME1,CD34,CD34,CD34,CD34,MCF10A,CD34,CD34,CD34,SKBR3,CD34,SKBR3,SKBR3,ASC.C,MDAMB231,MCF10A,CD34,MDAMB231,MDAMB231,ASC.C,ASC.C,SKL,CD34,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,CD34,MCF10A,MDAMB231,CD34,SKL,MCF10A,CD34,ASC.C,MDAMB231,CD34,ASC.C,ASC.C,CD34,ASC.C,CD34,ASC.C,ASC.C,ASC.C,CD34,ASC.C,ASC.C,ASC.C,ASC.C,SKBR3,CD34
JURKAT,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MCF10A,MCF10A,CD34,ASC.C,ASC.C,HCC515,ASC.C,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,HME1,CD34,CD34,CD34,CD34,HME1,HME1,MCF10A,LNCAP,MCF10A,LNCAP,MNEU.E,JURKAT,MNEU.E,MNEU.E,MNEU.E,MNEU.E,JURKAT,JURKAT,JURKAT,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,MNEU.E,JURKAT,MNEU.E,HEPG2,SKL,ASC.C,HEPG2,SKL,HEPG2,HEPG2,ASC.C,HEPG2,HEPG2,SKL,ASC.C,HEPG2,SKL,HEPG2,HEPG2,HEPG2,SKL,HS578T,SKL,SKL,NPC.CAS9,JURKAT,HUES3,NPC.CAS9,NPC.CAS9,JURKAT,MDAMB231,SKL,MDAMB231,SKL,SKL,SKL,MDAMB231,MDAMB231,MDAMB231,MDAMB231,SKL,MDAMB231,SKL,SKL,SKL,SKL,SKL,SKL,MDAMB231,MDAMB231,SKL,SKL,MDAMB231,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,SKL,MDAMB231,SKL,MDAMB231,MDAMB231,MDAMB231,MDAMB231,JURKAT,SKL,JURKAT,SKL,SKL,JURKAT,SKL,SKL,HME1,MDAMB231,SKL,HME1,ASC.C,ASC.C,SKBR3,MDAMB231,ASC.C,SKBR3,SKBR3,SKBR3,MDAMB231,HME1,SKBR3,SKBR3,SKBR3,MDAMB231,ASC.C,SKBR3,MCF10A,SKBR3,BT20,MDAMB231,ASC.C,ASC.C,HME1,CD34,MDAMB231,SKBR3,SKBR3,MCF10A,MDAMB231,ASC.C,SKBR3,SKBR3,SKBR3,MDAMB231,MDAMB231,ASC.C,HME1,ASC.C,SKL,HME1,SKL,SKL,SKBR3,MDAMB231,MDAMB231,ASC.C,ASC.C,MDAMB231,BT20,MCF10A,HME1,CD34,SKBR3,ASC.C,ASC.C,ASC.C,HME1,SKL,ASC.C,ASC.C,HME1,HME1,SKL,HME1,MDAMB231,SKL,SKBR3,ASC.C,MDAMB231,ASC.C,SKBR3,MDAMB231,SKBR3,HME1,MDAMB231,SKL,SKL,HME1,SKL,MDAMB231,MDAMB231,SKL,MDAMB231,MDAMB231,HME1,SKL,SKL,SKL,MCF10A,SKL
YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,SKL,CD34,SKL,SKL,SKL,A549,SKL,SKL,HCC515,HCC515,HCC515,SKL,SKL,SKL,HCC515,HCC515,HCC515,SKL,SKL,SKL,SKL,SKL,SKL,LNCAP,HUES3,LNCAP,SKBR3,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,MNEU.E,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,YAPC,A549,ASC.C,ASC,ASC.C,ASC.C,HUES3,A549,SKL,SKL,A549,ASC.C,SKL,A549,HEPG2,A549,SKL,A549,HEPG2,SKL.C,SKL.C,SKL.C,HUES3,HUES3,NPC.CAS9,JURKAT,NPC,HUES3,SKL,MDAMB231,SKL,MDAMB231,ASC.C,ASC.C,SKL,SKL,SKL,SKL,MDAMB231,SKL,MDAMB231,ASC.C,MDAMB231,MDAMB231,MDAMB231,MDAMB231,SKL,SKBR3,MDAMB231,ASC.C,SKL,MDAMB231,MDAMB231,ASC.C,MDAMB231,MDAMB231,MDAMB231,ASC.C,MDAMB231,MDAMB231,SKL,MDAMB231,SKL,SKL,SKBR3,JURKAT,NEU,HS578T,SKBR3,HME1,HS578T,SKBR3,HME1,HME1,MCF10A,SKL,SKL.C,SKBR3,MCF10A,SKBR3,HS578T,SKL,MCF10A,HME1,HME1,HME1,SKL,SKL.C,BT20,BT20,BT20,SKL,SKL.C,BT20,BT20,MCF10A,MCF10A,SKL,SKL.C,SKL.C,ASC.C,SKL.C,SKL,BT20,CD34,CD34,SKL,MDAMB231,MDAMB231,MCF10A,MCF10A,SKL,SKL,SKL,SKL,SKL,MCF10A,SKL,MCF10A,HME1,HME1,SKL,ASC.C,SKL,SKL,SKL,MDAMB231,HME1,SKBR3,ASC.C,HME1,MDAMB231,HS578T,SKBR3,SKL,HME1,HME1,SKL,SKL,SKL,HME1,SKL,HME1,MDAMB231,HS578T,CD34,SKL,MDAMB231,HS578T,SKL,SKL,MCF10A,SKL,HME1,SKBR3,ASC.C,SKL.C,SKL,SKL,SKL.C,SKL,SKL,SKL,MDAMB231,SKL.C,HME1,ASC.C,MDAMB231
HT29,HT29,HT29,HT29,HT29,HT29,HT29,HS578T,SKL,MCF10A,SKL.C,A549,ASC.C,SKL.C,HCC515,SKL,SKL,SKL,HCC515,HCC515,HCC515,SKL,SKL,SKL,MCF10A,MCF10A,ASC.C,MCF10A,ASC.C,ASC.C,SKBR3,SKBR3,CD34,MDAMB231,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HT29,HCC515,ASC,SKL,SKL,MDAMB231,A549,HUES3,ASC,ASC.C,HCC515,ASC,ASC,HUES3,A549,HUES3,A549,SKL,A549,SKL,ASC.C,HS578T,NPC,NPC,NPC,NPC,NPC.TAK,NPC,ASC.C,ASC.C,ASC.C,ASC.C,MCF10A,SKL.C,ASC.C,SKBR3,MCF10A,SKBR3,ASC.C,SKBR3,ASC.C,SKL.C,ASC.C,ASC.C,ASC.C,ASC.C,ASC.C,JURKAT,SKBR3,MDAMB231,ASC.C,ASC.C,ASC.C,SKL.C,ASC.C,SKBR3,ASC.C,MDAMB231,ASC.C,SKBR3,SKBR3,ASC.C,SKBR3,SKBR3,JURKAT,SKBR3,HME1,MDAMB231,MDAMB231,SKL.C,MDAMB231,MDAMB231,SKL.C,SKBR3,SKL,ASC.C,HUVEC,SKL,HME1,HME1,SKL,ASC.C,SKL.C,SKL,BT20,BT20,ASC.C,SKL,HME1,HME1,HME1,ASC.C,HS578T,HS578T,HS578T,BT20,HS578T,HS578T,SKL,SKL,SKBR3,HME1,HS578T,HS578T,HS578T,BT20,ASC.C,HS578T,HS578T,BT20,HS578T,ASC.C,ASC.C,SKL.C,MDAMB231,SKL.C,HME1,MCF10A,HME1,MCF10A,SKL,SKL.C,A375,SKL.C,SKL.C,ASC.C,ASC.C,ASC.C,MDAMB231,SKL,MDAMB231,SKL,SKL,SKL,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,MDAMB231,SKL.C,SKL,SKL.C,HME1,SKL,ASC.C,CD34,BT20,ASC.C,HME1,HS578T,ASC.C,SKL.C,MDAMB231,SKL,MDAMB231,ASC.C,SKL.C,HME1,HME1,ASC.C,MCF10A,HME1,HME1,SKL.C,HME1,SKL.C
NEU,NPC.CAS9,NPC.CAS9,NPC.CAS9,NPC.CAS9,NPC.CAS9,NPC.CAS9,MDAMB231,HCC515,HCC515,ASC,SKL.C,HEPG2,ASC,ASC.C,ASC.C,A549,HEPG2,ASC.C,SKL.C,ASC.C,HEPG2,ASC.C,HEPG2,ASC.C,ASC.C,ASC,ASC.C,ASC,ASC,MDAMB231,MDAMB231,MDAMB231,HUES3,NPC.CAS9,NEU,NPC.CAS9,NPC.CAS9,NPC.CAS9,NPC.CAS9,HA1E,NEU,NEU,NPC.CAS9,NPC.CAS9,NPC.CAS9,HA1E,NPC.CAS9,HA1E,HA1E,NEU,HA1E,HUES3,MDAMB231,HEPG2,ASC,A549,SKL,HCC515,MDAMB231,ASC,HUES3,MDAMB231,HEPG2,HCC515,MDAMB231,HCC515,ASC.C,MDAMB231,HCC515,ASC.C,HS578T,ASC.C,NPC.TAK,NPC.TAK,NPC.TAK,LNCAP,JURKAT,NPC.TAK,MCF10A,SKBR3,SKBR3,SKBR3,MDAMB231,MDAMB231,SKBR3,ASC.C,SKBR3,ASC.C,SKL.C,ASC.C,SKL.C,MDAMB231,SKL.C,SKL.C,SKBR3,SKL.C,SKBR3,SKL,ASC.C,SKL.C,SKBR3,SKL.C,MCF10A,MDAMB231,SKBR3,JURKAT,SKL.C,SKL.C,SKBR3,JURKAT,ASC.C,SKL.C,JURKAT,ASC.C,SKL,MCF10A,SKL,HME1,SKL,ASC.C,HME1,SKL,ASC.C,SKL.C,SKBR3,SKL.C,HME1,SKL.C,HS578T,MDAMB231,MDAMB231,HS578T,SKL,SKL.C,SKL,SKL,SKL.C,HS578T,HS578T,HS578T,HS578T,HS578T,MCF10A,CD34,CD34,HS578T,HME1,ASC.C,HME1,SKBR3,SKL.C,SKBR3,ASC.C,CD34,BT20,HS578T,SKBR3,SKL,BT20,HS578T,BT20,HS578T,SKL.C,MDAMB231,MCF10A,MCF10A,JURKAT,SKL.C,MDAMB231,SKL.C,ASC.C,ASC.C,SKL,ASC,MDAMB231,SKL.C,SKL.C,SKL,SKL.C,SKL.C,SKL,SKL.C,SKL.C,HS578T,SKBR3,BT20,SKBR3,MDAMB231,MDAMB231,MDAMB231,SKL.C,MCF10A,SKL.C,ASC.C,BT20,SKBR3,HS578T,HS578T,HME1,SKL.C,SKL.C,SKL.C,SKL.C,SKBR3,SKL.C,MDAMB231,HME1,SKL.C,CD34,MDAMB231,SKL.C,SKL.C,SKL.C,SKL.C,SKBR3,SKBR3,MDAMB231,HS578T
MCF7,NPC.TAK,HA1E,HA1E,NPC.TAK,NPC.TAK,NPC.TAK,A549,MDAMB231,MDAMB231,A549,HCC515,SKL.C,MDAMB231,MCF10A,ASC,HEPG2,A549,MCF10A,ASC.C,ASC,A549,A549,A549,HCC515,HCC515,MCF10A,ASC,MCF10A,MCF10A,HUES3,ASC.C,SKBR3,A549,HA1E,NPC.CAS9,NPC.TAK,NPC.TAK,NPC,HA1E,NPC.CAS9,NPC.CAS9,NPC.CAS9,PC3,NPC.TAK,NPC.TAK,NPC.CAS9,NPC.TAK,NPC.CAS9,PC3,NPC.TAK,NPC.CAS9,SKL,SKBR3,MDAMB231,HUES3,SKL.C,ASC.C,MDAMB231,HS578T,MDAMB231,SKL,HS578T,MDAMB231,NPC.TAK,ASC.C,SKL,MDAMB231,HCC515,ASC.C,HME1,HME1,HME1,HME1,HME1,HME1,NPC.TAK,LNCAP,HME1,SKL.C,SKL.C,SKL.C,SKL.C,SKL.C,ASC,SKL.C,JURKAT,ASC.C,JURKAT,SKBR3,JURKAT,SKBR3,ASC,SKBR3,SKBR3,SKL.C,SKBR3,JURKAT,MCF10A,SKL.C,ASC,SKL.C,MCF10A,SKL.C,ASC,SKL.C,ASC.C,SKBR3,MCF10A,SKL.C,MCF10A,SKL.C,ASC,MCF10A,SKL.C,MCF10A,SKL,HUVEC,SKL.C,MCF10A,ASC,SKL.C,MCF10A,ASC,MDAMB231,SKL.C,HS578T,HS578T,HS578T,SKL,SKL.C,ASC.C,SKL.C,HS578T,BT20,SKL.C,HS578T,HS578T,MCF10A,A549,A549,SKL,SKBR3,SKL,HME1,SKL,SKL,SKL,SKL.C,SKBR3,MDAMB231,MDAMB231,SKL,SKL.C,A549,A549,A549,HS578T,SKL.C,MCF10A,MDAMB231,MDAMB231,SKL.C,HS578T,MCF10A,SKL.C,SKBR3,HUVEC,HUVEC,SKL.C,HUVEC,MDAMB231,HS578T,SKBR3,MDAMB231,HME1,ASC,MCF10A,SKL.C,MCF10A,SKBR3,ASC.C,MCF10A,MCF10A,SKL.C,MDAMB231,ASC,HS578T,HS578T,MCF10A,MCF10A,SKBR3,HUVEC,SKBR3,HME1,A549,HS578T,SKBR3,SKL.C,A549,HS578T,MDAMB231,ASC.C,HS578T,MDAMB231,HME1,SKL.C,HS578T,HS578T,HME1,HS578T,MCF10A,HS578T,MDAMB231,MCF10A,MCF10A,ASC,LNCAP,ASC.C
NPC.CAS9,HA1E,PC3,NPC.TAK,HA1E,NPC,HA1E,HCC515,HS578T,A375,HEPG2,ASC,SKL,HCC515,SKL.C,HEPG2,ASC.C,SKL.C,SKL.C,A549,SKL.C,SKL.C,HEPG2,SKL.C,ASC,ASC,SKL.C,SKL.C,SKL.C,SKL.C,SKL,A549,HUES3,CD34,NPC.TAK,NPC.TAK,PC3,NPC,NPC.TAK,NPC.TAK,PC3,NPC,NPC.TAK,HA1E,HA1E,NPC,NPC.TAK,HA1E,NPC.TAK,MCF7,NPC.CAS9,NPC.TAK,MDAMB231,SKL.C,HS578T,MDAMB231,HS578T,MDAMB231,SKL,SKBR3,SKL.C,MDAMB231,SKL.C,HUES3,MDAMB231,SKL.C,SKL.C,HUES3,SKL.C,SKL.C,MDAMB231,MDAMB231,MDAMB231,LNCAP,LNCAP,LNCAP,MCF10A,HME1,LNCAP,SKBR3,JURKAT,MCF10A,MCF10A,ASC,MCF10A,JURKAT,SKL.C,JURKAT,MCF10A,MCF10A,MCF10A,MCF10A,SKBR3,MCF10A,MCF10A,ASC,MCF10A,SKL.C,ASC.C,MCF10A,MCF10A,ASC,ASC,SKBR3,MCF10A,MCF10A,SKL.C,ASC,SKBR3,ASC,SKL.C,MCF10A,MCF10A,ASC.C,MCF10A,ASC.C,ASC.C,SKL.C,MCF10A,HS578T,NEU,MCF10A,HS578T,NEU,NEU,MDAMB231,ASC,ASC,BT20,CD34,SKL,A549,ASC,CD34,MDAMB231,HS578T,SKL.C,ASC,MDAMB231,SKL,SKL,A549,SKL.C,HUVEC,SKL,HME1,HME1,CD34,ASC,MDAMB231,HME1,SKL,ASC,SKBR3,MDAMB231,MDAMB231,MDAMB231,ASC,ASC,SKL,A549,SKL,ASC,HME1,SKBR3,SKBR3,MDAMB231,SKL.C,MDAMB231,ASC.C,MDAMB231,SKL.C,SKBR3,ASC,SKBR3,MCF10A,HS578T,HME1,MDAMB231,SKL,HS578T,BT20,HME1,SKBR3,CD34,MCF10A,SKBR3,MDAMB231,HME1,SKBR3,LNCAP,MCF10A,SKBR3,MCF10A,HS578T,ASC.C,MCF10A,SKL.C,SKBR3,MDAMB231,MCF10A,MCF10A,HUVEC,SKBR3,MCF10A,HS578T,HS578T,MCF10A,ASC,HS578T,MCF10A,HS578T,SKBR3,HS578T,SKBR3,MDAMB231,HUVEC,SKL.C,MCF10A
NPC.TAK,NPC,NPC.TAK,NPC,NPC,HA1E,NPC,SKBR3,A549,SKL.C,HCC515,HEPG2,MDAMB231,A375,HEPG2,A549,SKL.C,MCF10A,A549,HEPG2,MCF10A,ASC.C,ASC,ASC.C,SKL.C,SKL.C,HCC515,HCC515,HCC515,HCC515,A549,CD34,A549,ASC.C,NPC,NPC,NPC,HA1E,HA1E,NPC,MCF7,NPC.TAK,NPC,NPC.TAK,PC3,HA1E,PC3,NPC,PC3,NPC.CAS9,MCF7,PC3,SKL.C,HS578T,SKBR3,A549,HEPG2,HCC515,NPC.TAK,HEPG2,A549,NPC.TAK,HEPG2,SKL.C,SKL.C,HS578T,MDAMB231,SKBR3,HUES3,MDAMB231,HA1E,MCF10A,MCF10A,MCF10A,MCF10A,MDAMB231,HME1,MCF10A,MCF10A,ASC,MCF10A,JURKAT,JURKAT,JURKAT,SKBR3,MCF10A,MCF10A,SKL.C,SKL.C,ASC,SKL.C,ASC,MCF10A,JURKAT,JURKAT,MCF10A,ASC,MCF10A,SKL.C,ASC,SKBR3,MCF10A,SKBR3,ASC,SKBR3,ASC,MCF10A,MCF10A,ASC,MCF10A,ASC.C,HME1,SKBR3,SKL.C,JURKAT,SKL.C,SKL.C,MCF10A,BT20,HME1,MCF10A,BT20,HME1,MCF10A,MCF10A,HCC515,SKBR3,CD34,ASC.C,SKL.C,A549,HME1,SKBR3,ASC,ASC.C,ASC.C,ASC.C,SKBR3,ASC,SKL.C,ASC.C,ASC.C,ASC,MDAMB231,MDAMB231,MDAMB231,MDAMB231,ASC.C,SKBR3,ASC,ASC,MCF10A,MDAMB231,BT20,HME1,HME1,HME1,SKL.C,MCF10A,ASC.C,SKL,ASC.C,HEPG2,SKBR3,HS578T,HS578T,HS578T,MDAMB231,ASC.C,HS578T,ASC.C,HS578T,ASC,HS578T,HME1,HS578T,SKBR3,ASC,A549,LNCAP,HEPG2,HS578T,SKBR3,HME1,HME1,LNCAP,LNCAP,MCF10A,MCF10A,HS578T,SKBR3,LNCAP,MDAMB231,HS578T,MCF10A,SKL,SKL.C,MCF10A,HME1,SKL,ASC,HS578T,A549,HME1,ASC,CD34,MCF10A,CD34,SKBR3,MCF10A,LNCAP,SKBR3,ASC,SKBR3,CD34,CD34,MCF10A,SKL,SKBR3
HA1E,A375,NPC,PC3,PC3,A375,NEU,HELA,SKBR3,HS578T,MDAMB231,MDAMB231,ASC,A549,ASC,SKL.C,MCF10A,ASC.C,HEPG2,ASC,A549,MCF10A,SKL.C,MCF10A,A549,A549,MDAMB231,SKBR3,MDAMB231,MDAMB231,CD34,SKL,SKL,HS578T,PC3,MCF7,HA1E,PC3,PC3,MCF7,A375,A375,CD34,A375,NPC,PC3,NPC,MCF7,NPC,NPC.TAK,NPC,NPC,NPC.TAK,A549,HUES3,SKL.C,SKBR3,SKBR3,SKL.C,SKL.C,HME1,SKL.C,SKBR3,HS578T,SKL,HCC515,NPC.TAK,ASC,ASC.C,HS578T,MCF10A,HA1E,HA1E,MDAMB231,MDAMB231,MCF10A,MDAMB231,A375,A375,HME1,ASC,ASC,ASC,SKBR3,HME1,ASC,ASC,ASC,ASC,HS578T,ASC,JURKAT,HME1,ASC,ASC,JURKAT,HME1,ASC,HS578T,HME1,HME1,HS578T,HME1,JURKAT,HME1,HME1,HS578T,JURKAT,HME1,JURKAT,HME1,ASC,HME1,HME1,HME1,HS578T,HS578T,MDAMB231,HUVEC,SKL.C,MDAMB231,HUVEC,SKL.C,MDAMB231,JURKAT,ASC.C,A375,MCF10A,A549,ASC,HS578T,BT20,HEPG2,MDAMB231,HS578T,MDAMB231,A549,HEPG2,HUVEC,ASC.C,SKL.C,SKL.C,BT20,ASC,A549,ASC.C,A549,SKL.C,BT20,MCF10A,HS578T,HS578T,MCF10A,ASC,HEPG2,SKL,SKL,BT20,HME1,ASC,HME1,ASC,BT20,BT20,BT20,BT20,BT20,HS578T,HS578T,HUVEC,HS578T,BT20,A375,HCC515,HS578T,A549,HCC515,SKL,HCC515,HS578T,MCF10A,SKL.C,HS578T,LNCAP,MCF10A,HUES3,MCF10A,LNCAP,ASC,LNCAP,HUVEC,HS578T,LNCAP,LNCAP,ASC,MDAMB231,HME1,HME1,MCF10A,ASC.C,SKBR3,BT20,BT20,ASC,HS578T,MCF10A,ASC,ASC,MCF10A,SKBR3,HUVEC,LNCAP,MCF10A,CD34,HS578T,HS578T,LNCAP,HS578T,HME1
NPC,PC3,A375,NEU,NEU,PC3,PC3,HUVEC,A375,A549,HME1,A375,A375,HEPG2,A549,MCF10A,ASC,MDAMB231,ASC,MCF10A,HEPG2,MDAMB231,MCF10A,MDAMB231,SKBR3,SKBR3,SKBR3,A549,SKBR3,A549,HME1,HME1,ASC,HME1,A375,A375,A375,A375,A375,PC3,NPC.TAK,HA1E,A375,NPC,A375,A375,MCF7,PC3,A375,A375,HA1E,MCF7,SKBR3,HEPG2,SKL.C,SKBR3,ASC,ASC,SKBR3,A549,HCC515,SKBR3,A549,SKBR3,SKBR3,HUES3,ASC.C,SKL.C,ASC,HME1,ASC,ASC,ASC,HUVEC,HUVEC,HUVEC,SKBR3,HUVEC,MDAMB231,HS578T,HME1,HS578T,HS578T,HME1,JURKAT,HS578T,HS578T,HME1,HS578T,HME1,HS578T,HME1,JURKAT,HME1,HME1,HME1,JURKAT,HS578T,HME1,HS578T,HS578T,HME1,HS578T,HME1,HS578T,HS578T,ASC,HME1,JURKAT,HME1,HS578T,HS578T,HS578T,HS578T,HS578T,HME1,HME1,HS578T,SKBR3,ASC.C,HS578T,SKBR3,ASC.C,HS578T,HS578T,ASC,HCC515,A549,MDAMB231,BT20,HUES3,SKL.C,BT20,HUVEC,A549,A549,MDAMB231,BT20,CD34,MDAMB231,MDAMB231,ASC,HEPG2,CD34,ASC.C,SKL.C,SKL.C,MDAMB231,HEPG2,HS578T,MCF10A,ASC,HCC515,MCF7,SKL,HEPG2,HEPG2,HEPG2,SKBR3,SKL.C,ASC.C,A549,SKBR3,MCF10A,HUVEC,CD34,HUVEC,ASC.C,JURKAT,ASC,JURKAT,A549,BT20,SKL.C,HCC515,ASC,A375,HS578T,HEPG2,HUES3,HCC515,A549,HEPG2,BT20,ASC,ASC,MDAMB231,HUES3,SKBR3,ASC,ASC,CD34,ASC,HUVEC,HEPG2,SKL.C,ASC,ASC,BT20,SKL.C,HME1,CD34,SKL,MCF10A,LNCAP,ASC,SKBR3,SKBR3,BT20,ASC,SKBR3,BT20,HME1,BT20,ASC,ASC,HS578T,HCC515,A549
