Unnamed: 0	GSM1565997	GSM1565998	GSM1565999	GSM1566000	GSM1566001	GSM1566002
ENSG00000000003	3	4	8	3	7	5
ENSG00000000419	993	561	722	1060	1139	1249
ENSG00000000457	483	309	300	448	333	512
ENSG00000000460	101	158	84	252	140	245
ENSG00000000938	1997	1427	3089	1664	5294	2076
ENSG00000000971	326	837	137	1148	149	798
ENSG00000001036	1309	1465	1426	1911	1928	2259
ENSG00000001084	283	1241	383	2007	690	1900
ENSG00000001167	589	416	496	753	470	639
ENSG00000001460	102	47	68	63	55	68
ENSG00000001461	691	634	550	1013	600	1094
ENSG00000001497	376	342	442	519	384	550
ENSG00000001561	2045	311	711	258	622	291
ENSG00000001617	5	1	0	1	1	1
ENSG00000001626	23	77	18	136	26	121
ENSG00000001629	1071	874	843	1236	1010	1406
ENSG00000001630	7816	5001	7264	5857	12458	9524
ENSG00000001631	984	906	624	1565	872	1485
ENSG00000002016	199	167	160	310	219	296
	2	4	0	1	1	2
ENSG00000002330	292	122	351	180	171	253
ENSG00000002549	5361	1683	6256	3882	2635	2888
ENSG00000002586	1653	1637	1729	2571	1683	2843
ENSG00000002587	396	1069	557	1213	1262	1543
ENSG00000002726	1007	90	659	65	76	88
ENSG00000002745	2	4	2	4	4	7
ENSG00000002746	5	1	1	2	2	2
ENSG00000002822	519	439	633	777	574	1005
ENSG00000002834	4480	3207	4772	5030	4750	5168
ENSG00000002919	4152	686	4649	1087	1639	1293
ENSG00000002933	2832	668	1820	462	750	873
ENSG00000003056	9239	8399	12617	12317	14640	15367
ENSG00000003137	46	6	246	12	101	17
ENSG00000003147	105	203	89	260	143	266
ENSG00000003249	7	3	26	11	22	21
ENSG00000003393	1071	1067	730	1566	1002	1584
ENSG00000003400	270	904	178	1156	372	1126
ENSG00000003402	32519	2981	33532	4454	17786	4752
ENSG00000003436	4419	534	1368	588	364	397
ENSG00000003509	249	315	197	542	225	524
ENSG00000003756	3507	2832	3123	4289	2717	3950
ENSG00000003987	81	79	26	124	58	140
ENSG00000003989	314	1	81	4	14	0
ENSG00000004059	1111	811	1668	1452	1287	1733
ENSG00000004139	311	123	236	180	180	187
ENSG00000004142	851	421	1053	676	873	824
ENSG00000004399	4738	2493	4769	3377	2781	3294
ENSG00000004455	2737	5075	3550	8587	4263	10276
ENSG00000004468	52	81	33	203	25	67
ENSG00000004478	1429	953	1759	1420	2280	1554
ENSG00000004487	1919	1312	1975	2178	1443	2339
ENSG00000004534	2081	2011	1703	2970	1895	2597
ENSG00000004660	30	86	19	155	68	136
ENSG00000004700	815	1170	451	1875	1246	2165
ENSG00000004766	556	924	345	1412	1040	1814
ENSG00000004776	2	0	2	2	2	2
ENSG00000004777	11	21	12	18	13	28
ENSG00000004779	898	433	1068	694	1072	937
ENSG00000004799	2	44	2	112	1	63
ENSG00000004809	74	34	67	73	39	34
ENSG00000004838	16	16	10	32	13	43
ENSG00000004846	15	2	13	1	10	2
ENSG00000004848	1	1	5	0	2	3
ENSG00000004864	675	388	526	490	727	551
ENSG00000004866	409	388	511	490	926	648
ENSG00000004897	2087	2085	1171	2874	2526	3118
ENSG00000004939	21	11	7	11	5	15
ENSG00000004948	1	25	16	54	27	40
ENSG00000004961	439	451	505	764	795	909
ENSG00000004975	846	382	896	550	621	688
ENSG00000005007	1626	721	1884	1263	1471	1357
ENSG00000005020	629	1738	651	2484	2212	2486
ENSG00000005022	2058	2358	2768	3286	3508	3370
ENSG00000005059	139	265	154	507	120	496
ENSG00000005075	547	326	696	455	616	576
ENSG00000005100	141	182	128	305	184	235
ENSG00000005108	8	3	22	6	6	12
ENSG00000005156	774	404	672	706	553	621
ENSG00000005175	703	414	566	661	505	608
ENSG00000005187	350	223	458	338	294	260
ENSG00000005189	130	79	76	89	99	112
ENSG00000005194	866	348	1200	558	909	728
ENSG00000005206	165	201	202	276	127	298
ENSG00000005238	1520	677	1476	984	1348	1108
ENSG00000005243	10	27	8	32	24	43
ENSG00000005249	891	646	444	743	338	749
ENSG00000005302	536	932	690	1529	1123	1510
ENSG00000005339	1284	1084	1105	1671	967	1374
ENSG00000005379	92	62	130	99	120	99
ENSG00000005381	3	19	17	16	13	15
ENSG00000005436	196	213	117	362	223	362
ENSG00000005448	81	45	85	85	45	87
ENSG00000005469	53	133	47	202	124	233
ENSG00000005471	46	48	60	55	201	39
ENSG00000005483	2048	2096	1240	3274	1854	2954
ENSG00000005486	943	384	398	484	199	418
ENSG00000005513	52	75	4	0	523	387
ENSG00000005700	1360	913	781	1520	1602	1733
ENSG00000005801	294	392	272	591	419	571
ENSG00000005810	1658	3535	1330	4602	2570	4534
ENSG00000005812	2537	1357	1976	2189	2276	2711
ENSG00000005844	195	157	377	600	84	205
ENSG00000005882	77	214	87	269	124	333
ENSG00000005884	104	67	114	79	88	160
ENSG00000005889	1173	1095	836	1476	1316	1650
ENSG00000005893	6775	6767	5048	8378	6149	8894
ENSG00000005961	28	61	18	70	46	111
ENSG00000005981	19	27	22	48	18	36
ENSG00000006007	1084	1788	869	2284	1473	2752
ENSG00000006015	432	423	555	468	489	678
ENSG00000006016	43	25	64	25	37	41
ENSG00000006025	14	84	26	162	34	109
ENSG00000006042	7	9	4	8	10	16
ENSG00000006062	6194	927	8753	1523	4009	1929
ENSG00000006071	45	36	35	76	35	59
ENSG00000006118	765	125	387	195	165	192
ENSG00000006125	3479	1768	2836	3074	1978	2712
ENSG00000006194	706	487	879	905	889	1076
ENSG00000006210	27	3	51	11	21	9
ENSG00000006282	333	359	444	533	617	963
ENSG00000006283	18	7	15	16	27	13
ENSG00000006327	129	57	100	59	193	67
ENSG00000006377	5	4	1	3	1	1
ENSG00000006432	15	16	13	27	7	19
ENSG00000006451	1678	614	1223	993	985	822
ENSG00000006453	206	97	229	165	94	165
ENSG00000006459	3196	3795	1527	5403	3775	5352
