Unnamed: 0	GSM1565955	GSM1565956	GSM1565957	GSM1565958	GSM1565959	GSM1565960	GSM1565961	GSM1565962	GSM1565963	GSM1565964	GSM1565965	GSM1565966
ENSG00000000003	2	17	7	26	18	33	13	24	8	14	33	11
ENSG00000000419	2712	2562	2047	2814	3479	3328	3100	2684	3553	2926	3554	1773
ENSG00000000457	1083	543	760	1004	936	836	2343	1024	1465	1209	1879	669
ENSG00000000460	135	202	181	466	232	364	247	600	314	614	330	398
ENSG00000000938	4217	9676	4336	10905	10909	10742	3200	13540	6787	12696	9884	12244
ENSG00000000971	112	78	241	1398	119	216	381	604	1138	3579	427	665
ENSG00000001036	3731	7807	2767	10882	6094	7502	2603	6840	3587	10337	3166	6850
ENSG00000001084	1729	1618	925	3522	2851	4074	1785	4784	1622	4369	1331	2411
ENSG00000001167	3200	1451	2479	1893	3216	2504	3911	3052	4804	3684	4141	1544
ENSG00000001460	514	204	128	123	227	93	405	114	213	152	318	113
ENSG00000001461	1985	2054	743	1955	1845	2872	1627	2643	1826	2858	1425	1810
ENSG00000001497	1284	1773	1239	3164	1293	1761	1870	2241	1383	2367	1788	3140
ENSG00000001561	5128	469	5625	287	6035	829	5074	499	5677	1065	4643	160
ENSG00000001617	9	7	7	5	4	4	1	4	37	8	18	2
ENSG00000001626	3	13	11	81	25	144	6	293	24	150	11	65
ENSG00000001629	3338	1066	2178	1637	2939	3005	5623	3980	4293	3232	3885	1117
ENSG00000001630	10227	6072	10721	8087	17386	10427	14156	9301	9677	8277	10905	6177
ENSG00000001631	2114	1118	2241	2133	2476	2577	4041	3607	3429	2747	4029	1387
ENSG00000002016	232	284	292	463	349	449	419	701	557	687	558	461
ENSG00000002330	1590	2831	733	2062	929	1060	901	872	974	1146	1249	1675
ENSG00000002549	47147	11873	11144	4676	28826	11855	56105	6645	27154	12470	39597	3160
ENSG00000002586	7756	21119	4129	31670	7842	15309	4389	12462	7247	19695	8725	19150
ENSG00000002587	174	2752	256	3475	2192	3596	233	4916	930	6373	423	3496
ENSG00000002726	3370	1482	10992	713	1978	545	2763	199	5016	1795	4137	366
ENSG00000002745	6	1	3	0	6	4	6	3	2	2	25	1
ENSG00000002746	4	3	2	9	7	5	3	4	5	5	7	8
ENSG00000002822	1538	7248	1207	7146	2334	4326	1262	3521	2114	5036	1765	7182
ENSG00000002834	21240	28431	11975	24176	27012	32964	18677	29764	26187	32494	24872	24044
