	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
LINC02044	0	2	4	3	3	35	11	41	10	10	0	3	13
LOC102723430	0	0	0	0	0	2	1	5	0	0	0	1	1
BOC	1	3	1	5	9	14	17	17	7	6	6	16	402
CFAP44	13	177	30	241	244	433	604	469	422	245	323	263	3358
CFAP44-AS1	1	4	1	2	9	6	13	7	5	4	0	1	227
MIR8076	0	0	0	0	0	0	0	0	0	0	0	0	14
SPICE1	30	216	72	328	331	461	475	323	145	255	14	35	3122
SIDT1	66	861	251	1294	1019	1054	1875	978	885	968	204	491	48
MIR4446	0	1	0	0	0	0	0	1	0	2	0	0	3
USF3	1737	3992	8151	4186	2119	2136	2402	1881	709	1736	601	885	3297
NAA50	3342	5975	4915	6471	5017	5372	3635	4146	1509	3026	595	2332	4742
ATP6V1A	6287	2695	8769	4156	3089	2509	1633	2799	808	2979	329	783	4699
GRAMD1C	11	65	20	30	79	166	53	132	42	39	20	41	645
ZDHHC23	12	168	33	98	134	272	234	307	92	160	28	55	508
CCDC191	39	219	58	237	278	611	633	678	454	365	349	288	2242
LOC105374048	0	2	1	3	3	10	7	12	7	5	16	12	93
QTRT2	202	845	262	746	795	810	649	727	229	680	65	278	764
DRD3	0	1	1	3	1	5	2	6	1	0	0	2	1
LOC107986115	2	13	2	22	22	27	32	28	14	20	0	20	1
ZNF80	0	18	10	47	79	122	82	111	39	40	147	65	3
TIGIT	169	1179	156	1612	1295	3713	2511	2978	999	1422	290	681	19406
ZBTB20	429	813	216	893	1073	1883	2187	2266	1685	1320	2248	2870	48505
MIR568	1	3	1	4	5	11	13	14	3	8	1	3	182
ZBTB20-AS1	5	13	9	17	24	10	33	26	18	20	0	8	775
ZBTB20-AS5	1	1	0	0	0	3	3	3	1	3	4	2	171
MIR4796	0	0	0	0	0	0	0	0	0	1	0	0	33
ZBTB20-AS3	1	0	1	1	2	8	8	4	11	8	23	23	134
ZBTB20-AS4	0	0	0	4	1	2	3	1	9	1	8	3	43
LOC101926886	7	12	4	14	8	9	11	30	0	3	0	6	52
LOC105374051	0	0	0	0	2	1	0	2	0	1	0	0	20
GAP43	0	0	0	0	0	6	1	7	0	3	0	2	6047
LSAMP	0	0	1	0	1	5	4	5	0	2	4	1	13573
LOC105374053	0	0	0	0	0	0	0	0	0	0	0	0	37
SNORD155	0	0	0	0	0	0	0	0	0	0	0	2	14
LOC107986116	0	0	0	0	0	0	0	0	0	0	0	0	227
LOC105374052	0	0	0	0	0	0	0	1	0	0	0	0	242
LSAMP-AS1	0	0	0	0	0	0	0	0	1	0	0	0	208
LINC00903	0	0	0	0	0	0	0	0	0	0	0	0	36
TUSC7	0	0	0	0	0	0	0	0	0	0	0	0	290
MIR4447	0	0	0	0	0	0	0	0	0	0	0	0	4
LINC00901	0	0	0	0	0	0	0	2	0	0	0	0	103
LOC105374054	0	0	0	0	0	0	0	0	0	0	0	0	165
LOC105374056	3	3	3	1	2	0	3	8	7	4	53	25	892
LINC02024	0	0	0	0	0	0	0	0	0	0	0	0	104
LOC107986022	0	0	0	0	0	1	1	2	0	1	1	0	1129
LOC101926953	0	0	0	0	0	1	0	0	0	0	3	0	252
LOC105374058	0	1	0	0	1	0	0	3	1	0	0	0	0
LOC105374060	0	1	0	2	0	1	0	0	0	0	0	0	0
LOC101926968	0	0	0	0	0	0	0	0	0	0	0	0	7
LOC107983969	0	1	0	0	0	0	0	0	0	0	0	0	2
LOC105374059	0	0	0	0	0	0	0	4	0	0	0	0	0
IGSF11	7	2	7	3	3	3	12	5	0	5	0	7	2123
IGSF11-AS1	0	0	2	0	0	0	1	0	0	0	2	0	124
TEX55	0	0	0	0	0	1	0	0	0	1	0	0	3
UPK1B	0	1	0	1	2	2	2	1	0	3	1	2	9
B4GALT4	1815	645	722	550	693	918	548	753	240	492	41	279	798
B4GALT4-AS1	130	58	38	37	38	45	34	38	8	30	0	7	66
ARHGAP31	403	4579	2520	2944	1067	1252	621	1363	247	1174	55	216	2763
ARHGAP31-AS1	1	23	52	32	33	7	7	5	3	25	13	25	93
TMEM39A	1117	1225	908	1244	1544	942	695	1385	427	620	265	630	2336
POGLUT1	119	485	200	886	528	1243	940	1335	555	624	165	286	1132
TIMMDC1	833	493	366	429	567	1457	777	1468	540	803	18	167	1104
CD80	6	362	49	31	138	224	32	435	16	36	26	59	22
LOC107986118	1	6	1	2	4	11	2	14	3	5	12	36	13
ADPRH	324	464	346	731	399	548	373	590	208	770	73	206	170
PLA1A	2	4	11	6	16	17	11	27	5	15	8	18	11
LOC105374062	4	3	10	1	4	3	3	8	2	2	19	0	15
POPDC2	11	53	32	59	46	128	100	182	108	59	23	83	45
LOC105374063	3	31	15	20	7	34	26	26	10	25	0	4	53
COX17	394	550	637	450	339	884	455	875	459	501	151	429	275
LOC105374064	0	0	0	0	1	0	0	0	0	0	0	1	3
CFAP91	0	10	5	3	5	23	4	26	0	5	9	5	955
NR1I2	0	0	1	2	4	11	12	6	2	3	0	4	14
GSK3B	3085	2306	2383	2598	2940	2608	2773	2154	945	2372	282	770	7048
MIR6529	0	0	0	0	1	0	0	0	0	1	0	0	15
GSK3B-DT	15	9	34	48	38	42	26	47	17	14	50	33	156
LOC105374065	0	0	0	1	0	0	0	0	0	0	0	0	4
GPR156	2	8	6	7	3	5	5	8	3	2	3	3	325
LRRC58	555	2609	775	2525	1860	2972	2216	2530	1629	1748	830	1242	7689
LRRC58-DT	0	3	5	2	0	0	3	1	1	1	1	1	456
FSTL1	46	215	261	135	44	20	340	24	54	89	18	46	10554
MIR198	2	8	7	3	2	0	11	2	1	1	0	1	446
LOC107986121	14	66	20	49	29	64	58	64	32	31	9	45	23
NDUFB4	1029	1573	1032	1422	1115	1766	1518	1484	1130	1119	86	507	227
HGD	4	54	46	74	23	13	154	20	113	89	100	81	10
RABL3	284	1066	804	988	553	879	756	675	302	532	112	244	1646
GTF2E1	451	376	139	261	150	751	382	628	167	292	14	66	661
LINC02049	0	0	0	0	0	0	0	0	0	0	0	0	3
LOC105374069	0	0	0	0	0	0	0	0	0	0	0	1	5
STXBP5L	0	0	1	0	0	3	1	5	5	0	1	1	3583
MIR5682	0	0	0	0	0	0	0	0	0	0	0	0	2
POLQ	52	103	47	59	28	454	48	132	54	45	5	10	923
ARGFX	2	2	6	2	2	2	7	3	7	1	19	8	3
FBXO40	38	69	55	63	32	38	63	39	25	31	85	59	2
HCLS1	40987	13242	16713	11939	12810	12868	13607	10876	9320	13856	3463	9854	240
GOLGB1	2849	4222	3036	4282	4751	3806	3462	4190	2501	2547	3193	3411	21766
IQCB1	120	724	352	733	1033	1175	850	1016	515	663	83	230	1262
EAF2	1024	240	453	304	294	479	568	282	699	492	10	93	748
SLC15A2	152	58	57	64	130	215	333	170	207	240	5	48	1923
ILDR1	3	30	14	14	15	23	30	23	17	33	2	12	28
LOC101927010	2	2	5	2	1	4	11	4	7	5	0	2	16
CD86	425	2609	2686	4310	3494	1163	1693	3019	736	3559	231	607	367
CASR	0	1	12	0	1	13	0	22	2	2	5	3	7
CSTA	1413	2428	1297	1651	2919	51	790	460	801	1948	148	651	10
MIX23	21	169	64	148	114	434	253	336	223	128	61	166	339
FAM162A	113	339	216	275	550	859	477	699	438	295	62	354	1697
WDR5B	132	133	138	172	94	544	250	577	97	138	14	46	1172
WDR5B-DT	7	20	20	20	34	9	21	13	20	10	3	14	42
KPNA1	1982	2777	3156	3394	2928	2949	2648	2553	1031	2138	470	1374	4789
LOC107984000	2	0	1	0	1	0	0	1	4	0	0	3	1
LOC105374071	751	1283	2657	780	684	958	576	1145	232	1707	115	274	224
PARP9	10050	5242	16708	4033	4544	6879	2425	6691	1288	8756	316	895	2571
DTX3L	5033	3667	10930	3816	3023	8361	2576	7580	1216	6127	204	744	2169
PARP15	167	2534	458	2035	2584	2578	5108	2128	1588	2242	390	531	30
PARP14	5558	13140	45396	7868	15573	9705	5597	11627	2322	14101	1503	3167	4735
HSPBAP1	771	448	787	576	1168	566	848	667	418	809	131	380	302
SLC49A4	1143	561	1469	1321	1581	311	556	378	164	691	139	377	1187
LINC02035	170	111	338	382	368	135	234	159	77	214	111	204	236
SEMA5B	0	1	1	0	1	2	1	1	0	0	3	1	211
LOC112268448	0	0	0	0	0	0	0	0	0	0	0	0	14
PDIA5	59	200	134	139	99	193	221	267	330	165	10	20	149
MIR7110	0	1	1	1	0	1	1	3	1	1	0	0	1
SEC22A	145	272	147	341	363	616	363	581	239	281	55	206	1111
ADCY5	0	1	1	6	5	15	12	16	6	9	0	5	178
HACD2	317	1230	600	1427	873	1800	1546	1310	542	1200	38	220	1676
MYLK-AS1	4	12	29	25	14	20	67	28	29	27	1	10	51
MYLK	59	340	836	471	131	27	1221	59	363	641	314	196	996
MYLK-AS2	2	5	14	7	1	1	12	1	1	6	1	2	9
LOC105369194	11	79	174	91	25	5	221	10	197	112	95	90	117
CCDC14	126	802	249	960	1042	1640	2047	1402	511	1058	108	375	9399
ROPN1	0	0	1	0	0	1	1	0	0	1	0	1	20
KALRN	10	37	12	71	48	51	154	28	39	85	15	26	2429
MIR5002	0	0	0	0	0	0	0	0	0	0	0	0	7
LOC105374077	0	0	0	0	0	0	0	0	0	0	0	0	30
MIR6083	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107986123	0	0	0	0	0	2	0	1	3	0	2	0	29
LOC105374076	0	0	0	0	0	0	0	1	0	0	0	0	12
UMPS	51	239	99	460	191	1026	345	600	243	230	15	100	1234
MIR544B	0	0	0	1	0	0	1	0	0	0	0	0	12
ITGB5	37	260	773	432	143	19	860	60	436	648	176	211	808
MUC13	0	1	0	3	1	0	1	6	1	2	4	9	0
HEG1	189	2171	318	2138	1340	1950	1857	1235	521	2070	63	248	2573
SLC12A8	9	4	11	12	9	89	11	56	11	20	6	2	47
MIR5092	0	0	0	0	0	0	0	0	0	0	0	0	2
ZNF148	2129	2779	2470	4009	1849	2665	2836	2365	1144	1961	705	1112	10331
LOC105374080	0	1	1	0	3	3	0	1	2	0	4	3	37
LOC105374081	0	0	1	1	0	0	0	1	0	0	0	0	0
SNX4	682	836	488	1067	820	1236	883	878	373	806	42	356	1931
OSBPL11	3558	1837	2872	3039	2638	1104	1051	1035	377	1680	64	297	3332
LOC105374312	0	0	0	2	0	2	1	2	2	0	4	1	16
MIR548I1	0	0	0	0	0	1	0	0	0	0	0	2	0
LINC02614	0	0	0	0	2	15	5	13	6	2	1	14	44
LOC102723696	2	7	4	8	16	18	23	12	32	10	86	27	84
FAM86JP	0	9	1	12	6	45	22	23	26	11	4	2	43
ALG1L1P	1	19	2	17	11	28	20	20	15	8	51	35	473
ROPN1B	0	1	8	8	4	0	2	4	0	4	1	1	83
SLC41A3	94	690	215	613	497	679	602	582	362	427	31	251	326
LOC105374085	0	5	5	18	6	36	15	27	7	10	2	12	44
SLC41A3-AS1	0	4	3	1	4	3	1	1	4	0	5	1	45
ALDH1L1	0	1	0	0	0	1	1	1	0	0	0	0	1210
ALDH1L1-AS1	0	1	0	2	0	1	0	0	1	0	3	0	18
LOC105374083	0	0	1	0	1	1	1	5	1	1	1	1	210
ALDH1L1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	134
LOC107986124	0	0	0	0	0	0	0	0	0	0	0	0	26
KLF15	1	2	0	3	4	8	7	5	2	6	0	3	210
LOC105374088	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107986044	0	0	0	0	1	0	0	0	0	0	0	0	0
CFAP100-DT	0	0	0	0	0	0	0	0	0	0	0	1	0
CFAP100	0	1	1	1	4	3	2	9	8	6	1	1	56
ZXDC	875	1563	553	1601	2045	1314	1565	1304	784	1299	163	765	1657
UROC1	2	0	2	0	1	0	6	3	1	1	0	2	2
CHST13	133	19	25	81	81	1	37	5	50	103	8	28	3
C3orf22	5	0	0	0	1	0	2	0	1	1	2	1	22
LOC105374090	0	2	2	0	2	0	3	0	1	0	0	0	71
TXNRD3	3	6	2	5	22	47	47	22	17	27	1	8	487
NUP210P1	0	0	0	1	0	0	2	0	0	0	0	0	0
CHCHD6	3	49	17	48	52	137	113	91	96	48	14	43	186
PLXNA1	13	614	90	476	287	1115	557	853	271	330	50	221	628
PRR23E	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR20G	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02016	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374094	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01471	0	0	0	2	0	1	0	0	1	0	7	0	3
LINC02034	1	0	1	33	6	7	39	10	13	4	102	14	3
TPRA1	140	1334	218	947	798	912	794	1038	607	1060	577	1014	196
MIR6825	1	8	0	1	7	1	3	3	3	8	0	1	3
MIR7976	1	3	1	3	4	0	7	0	9	13	0	9	0
MCM2	137	605	161	338	152	2432	377	661	309	214	12	63	593
LOC107986126	33	111	35	55	31	607	99	210	133	62	10	42	119
PODXL2	14	38	14	46	58	164	72	53	82	46	21	30	395
ABTB1	7765	2386	5524	2308	5244	2300	3066	2359	3041	2522	1438	3038	8
MGLL	169	5446	594	1220	326	1263	1670	5372	787	1184	327	467	406
LOC107986127	2	279	26	13	38	23	20	86	6	38	37	25	53
LOC107986129	0	1	0	1	0	0	3	2	0	0	0	0	14
LOC105374096	0	0	0	0	0	1	1	0	0	0	0	0	0
KBTBD12	1	3	2	7	4	9	9	6	6	8	7	5	54
LOC102723759	0	1	1	2	0	1	6	2	9	0	9	5	17
SEC61A1	5047	7600	3319	6907	5216	8454	5017	12097	5031	4716	917	2975	4584
RUVBL1	620	1152	403	1113	662	1593	1199	1286	802	816	67	133	1585
RUVBL1-AS1	0	1	1	3	3	2	3	1	3	4	9	2	6
EEFSEC	129	276	108	471	473	899	720	610	550	559	114	264	95
DNAJB8	0	4	0	5	2	0	0	1	3	4	10	5	0
DNAJB8-AS1	0	0	0	3	1	0	2	0	1	0	2	2	0
GATA2	13	710	50	272	284	1021	510	917	90	321	57	206	4
GATA2-AS1	0	13	6	9	17	13	9	11	8	13	30	54	8
LOC90246	1	1	4	9	3	5	2	0	2	4	6	3	7
LINC01565	0	5	2	2	2	0	1	3	1	3	13	2	3
RPN1	6245	7545	4359	5622	6018	6468	3524	7852	4504	5036	431	2190	4252
RAB7A	24235	9981	11027	7965	8090	6721	7047	7322	2868	7274	634	2829	2049
MIR12124	1	0	1	0	1	0	0	1	0	1	7	5	0
IFT122P3	12	14	27	26	30	17	28	25	16	28	21	16	32
ACAD9	135	491	169	399	839	667	472	505	295	452	9	205	762
CFAP92	63	150	129	125	318	231	196	189	151	155	43	178	635
EFCC1	0	2	3	12	9	10	6	2	7	4	3	6	97
GP9	50	241	441	337	166	3	855	19	571	467	469	401	0
ISY1-RAB43	2619	1209	1767	1773	1041	2140	1278	1702	645	1087	227	533	237
RAB43	2250	754	1088	1327	800	1665	912	1202	453	828	78	328	23
ISY1	1222	1123	1641	1500	1049	1655	1096	1479	998	922	1456	1949	373
CNBP	17123	12890	21428	17484	16016	12556	11947	12405	7069	12376	895	6280	6509
LOC105374101	15	6	11	7	6	9	4	7	7	12	0	6	33
LOC105374102	67	11	140	30	91	4	2	6	11	21	82	56	9
COPG1	2394	3024	1965	2914	1607	3529	2565	4864	1578	2375	181	862	3719
MIR6826	1	1	1	1	0	1	2	3	1	1	0	0	3
HMCES	257	1025	598	1370	1736	2132	1588	1486	1228	944	435	1629	282
H1-10	880	3103	317	1340	5775	10645	4457	5707	6328	6279	298	2868	62
H1-10-AS1	10	35	20	38	59	78	68	69	75	50	31	25	11
RPL32P3	169	288	211	558	328	451	387	551	562	260	283	600	172
SNORA7B	2	11	5	12	15	18	14	19	33	12	30	44	37
EFCAB12	53	22	69	60	96	25	52	33	44	21	126	183	38
MBD4	2162	2098	3303	2653	2361	2189	2168	2036	1063	1484	200	481	1678
IFT122	110	304	100	323	260	412	345	397	196	281	51	183	1261
RHO	0	0	0	0	0	0	0	1	0	1	0	1	3
H1-8	1	9	0	39	25	1	7	3	7	8	1	18	11
PLXND1	338	3090	629	8520	3473	1248	1935	2693	1218	2915	248	1023	617
TMCC1	503	703	507	735	988	730	964	822	389	828	316	368	3341
TMCC1-DT	3	2	3	9	19	43	30	19	13	10	0	5	290
TRH	0	0	0	3	6	0	4	1	0	4	4	8	0
ALG1L2	4	13	0	8	12	13	16	10	5	3	4	2	5
LINC02014	1	8	2	9	3	3	6	4	4	3	0	11	4
FAM86HP	3	20	4	22	18	60	50	68	28	22	5	10	47
LINC02021	1	3	9	12	10	56	27	61	26	15	9	6	17
LOC105374103	1	0	1	1	1	1	1	1	1	4	0	0	2
LOC107986131	3	1	2	3	3	16	4	8	1	2	1	0	4
LOC107986133	1	0	1	2	1	1	0	0	2	3	1	0	0
COL6A4P2	2	12	1	21	6	41	51	35	61	11	8	11	19
LOC105374106	0	0	0	0	0	0	0	0	0	0	0	0	0
COL6A5	0	0	0	0	0	0	1	1	0	1	0	0	5
COL6A6	1	0	1	0	7	3	0	5	1	3	0	2	306
PIK3R4	415	781	370	929	1108	1344	892	937	335	639	35	355	2205
LOC107986023	1	2	1	3	7	1	0	1	0	4	7	4	82
LOC105374107	0	0	0	0	0	0	0	0	0	1	0	0	5
LOC105374108	0	0	0	0	0	0	0	1	0	0	0	0	0
ATP2C1	1284	1899	1089	1437	1557	2292	1842	1880	637	1605	145	476	6518
ASTE1	126	329	33	210	280	454	448	429	147	248	39	134	927
NEK11	16	20	11	16	26	79	42	42	24	21	3	16	1792
LOC107986024	0	0	0	0	0	1	2	2	0	0	2	0	99
NUDT16-DT	36	7	39	15	13	8	14	13	7	23	12	4	100
NUDT16L2P	214	49	29	49	66	22	93	56	27	164	11	9	67
NUDT16	3439	470	947	1132	840	734	1078	633	853	1657	353	387	1712
LOC107986025	1	0	0	2	0	3	1	3	1	2	0	0	16
LOC105374110	0	0	1	0	1	2	3	2	2	1	0	4	3
MRPL3	363	1309	520	1250	871	2311	1320	1610	691	1031	35	335	2156
SNORA58	0	1	0	0	1	1	2	3	2	1	2	6	22
LOC105374114	22	67	32	91	69	122	48	47	29	56	0	2	72
CPNE4	12	1	1	3	0	0	9	1	3	4	0	4	24
LOC105374113	0	0	0	0	1	0	0	0	1	0	0	0	9
MIR5704	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374111	0	0	0	0	1	0	0	1	0	0	1	0	5
TRC-GCA6-1	0	0	0	0	1	0	0	0	0	0	0	0	0
TRC-GCA9-1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP3	2418	957	681	789	687	1	270	59	116	473	75	193	67
DNAJC13	3784	2032	1949	2717	1925	1991	2342	1719	830	2552	101	270	7820
NPHP3-ACAD11	163	472	145	506	400	679	657	727	266	550	43	167	1950
ACAD11	39	248	70	293	212	396	433	476	200	357	40	133	1119
ACKR4	2	16	5	11	9	13	13	24	4	10	0	9	177
UBA5	129	878	329	697	520	1419	983	1436	698	642	47	228	3270
NPHP3	181	379	118	393	338	677	523	709	405	427	134	403	1066
NPHP3-AS1	11	13	8	28	23	10	8	9	4	12	18	14	57
LOC105374115	0	0	0	0	0	1	0	0	0	0	0	0	1
TMEM108	0	4	0	0	3	8	16	3	10	3	3	0	270
TMEM108-AS1	0	0	0	0	0	1	0	2	0	0	2	2	260
LOC101927432	1	13	2	8	17	28	65	29	13	8	5	6	436
BFSP2	0	4	3	2	0	11	4	8	24	6	0	5	10
BFSP2-AS1	0	9	4	8	10	22	8	19	14	10	6	5	3
CDV3	7361	13695	8603	12603	10333	12945	9581	11774	4904	9345	1285	5121	5195
TOPBP1	1656	2484	1826	3346	2300	3031	1994	2082	734	1437	226	536	4521
TF	9	10	7	16	14	26	25	20	35	4	20	23	1368
SRPRB	103	746	280	479	659	1814	711	1642	876	483	62	271	2548
LOC105374116	0	0	0	0	0	2	0	0	0	0	0	0	7
RAB6B	15	80	44	79	77	44	149	69	74	83	9	30	1318
C3orf36	0	0	0	0	0	0	0	0	0	0	0	0	2
SLCO2A1	1	1	1	2	0	3	3	3	3	1	0	0	27
LINC02000	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374117	0	0	0	0	0	0	1	1	0	0	0	0	0
RYK	414	879	534	1099	1165	1200	1350	1248	507	839	274	871	2415
LINC02004	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105374118	0	0	0	0	1	0	0	0	0	0	0	0	12
AMOTL2	0	0	1	0	2	6	0	7	1	1	0	0	507
MIR6827	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR4788	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAPC13	820	1044	1216	954	735	717	838	981	598	925	187	526	965
CEP63	1160	906	1766	973	1691	833	859	880	808	885	408	756	1668
EPHB1	24	58	324	74	326	28	37	17	13	38	168	212	678
KY	25	63	592	75	251	2	3	9	5	1	91	260	108
LOC105374121	2	5	8	3	49	3	13	12	20	14	256	237	479
LOC105374120	0	0	0	0	0	0	0	0	0	0	0	0	40
LOC102724019	0	1	0	1	3	2	1	1	0	0	4	0	304
LOC105374122	2	0	0	0	0	1	0	5	2	5	5	1	26
LOC105374123	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105374124	0	0	0	0	0	0	0	0	0	0	0	0	5
PPP2R3A	96	124	102	180	157	167	172	233	141	96	183	232	1006
LOC107986135	0	0	0	1	0	2	3	1	0	1	3	0	30
MSL2	4193	4398	3451	4900	5583	3698	3186	3938	1176	2157	571	2020	1795
PCCB	111	288	158	398	226	700	389	375	270	404	9	58	556
STAG1	1631	1794	1334	2577	2021	2482	1765	1919	753	1319	333	615	5221
SLC35G2	3	24	13	37	15	68	61	67	20	16	43	16	705
NCK1-DT	12	30	34	56	47	105	68	83	61	69	11	9	60
NCK1	598	967	632	1190	1032	1095	1156	970	427	786	30	241	1360
IL20RB-AS1	119	180	126	241	212	209	217	180	74	160	9	42	368
IL20RB	10	25	38	43	40	34	49	28	34	43	53	57	63
LOC105374126	0	0	0	0	0	0	0	0	0	0	0	0	2
SOX14	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01210	0	0	0	0	0	0	0	0	0	0	0	0	1
CLDN18	0	0	0	0	0	0	0	1	0	1	0	3	207
LOC105374127	0	0	0	0	0	0	0	1	1	0	0	0	142
LOC105374128	0	5	0	1	2	0	1	0	3	3	1	0	207
DZIP1L	7	42	45	13	27	2	16	10	13	14	5	1	493
A4GNT	0	1	2	0	0	0	1	1	0	1	0	0	5
DBR1	122	482	359	588	319	797	425	664	187	299	59	203	764
ARMC8	1394	1751	1233	1935	1629	1469	1514	1294	692	1252	108	614	3392
NME9	141	95	139	182	173	218	235	255	270	190	360	288	537
MRAS	44	442	187	441	470	115	139	655	112	387	44	116	2189
LOC105374129	0	0	0	2	7	1	0	1	0	2	1	4	24
ESYT3	0	2	2	2	6	2	4	6	6	0	2	3	334
CEP70	9	132	57	148	150	280	213	223	159	123	78	128	3708
FAIM	28	79	15	67	59	180	96	139	89	89	43	73	322
PIK3CB	3328	1810	1860	1992	1434	1133	1300	1325	525	1337	136	398	1893
LINC01391	0	0	0	0	0	0	0	1	0	1	0	0	2
FOXL2	0	0	0	0	1	2	0	4	0	1	1	0	4
FOXL2NB	0	2	0	0	1	2	1	2	1	0	1	1	1
PRR23A	0	0	1	0	0	1	0	2	0	0	1	1	0
PRR23B	0	0	0	0	0	0	0	0	0	0	0	0	0
PRR23C	0	0	0	0	1	1	0	0	2	1	3	1	0
BPESC1	0	0	0	0	0	0	0	2	0	0	0	0	0
PISRT1	0	1	0	0	0	0	0	3	0	0	0	0	0
MRPS22	628	699	437	726	631	786	509	614	282	492	22	130	1452
COPB2	4534	2632	2282	2847	1899	3832	2377	3470	1412	2371	64	383	16128
COPB2-DT	14	9	10	10	22	26	9	29	7	18	1	9	252
RBP2	0	0	2	1	1	2	3	5	1	2	0	4	58
RBP1	0	5	0	0	0	3	2	2	3	1	4	1	374
NMNAT3	11	18	36	44	37	70	50	57	37	72	4	31	558
CLSTN2	0	0	0	0	0	2	4	1	1	2	2	2	1903
LOC105374132	0	0	0	0	0	0	0	0	0	0	0	0	7
CLSTN2-AS1	0	0	0	0	0	1	0	0	0	0	0	0	45
LOC102724068	0	0	0	1	1	2	0	3	0	0	1	4	94
TRIM42	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC25A36	1222	2505	889	2810	4971	2201	2226	2141	795	1507	402	1508	4118
SPSB4	0	0	1	0	0	3	5	0	0	2	0	3	321
PXYLP1	305	107	168	238	202	551	566	565	142	262	34	104	2524
ZBTB38	461	2614	655	3968	939	2605	2955	2445	939	1499	40	184	6944
RASA2	5661	3626	2607	4704	3685	3342	4513	2578	1161	2703	322	978	2166
LINC02618	0	0	0	0	0	0	0	1	0	0	5	0	10
RNF7	1315	1833	1229	2006	1768	1126	1206	1099	978	1203	229	1097	649
GRK7	4	6	19	4	10	6	32	10	8	15	60	93	5
LOC105374134	0	0	0	1	0	0	0	3	0	0	0	0	0
ATP1B3	689	4037	3110	3988	3875	2343	2068	2579	1503	3037	822	2636	663
TFDP2	592	1709	652	2766	722	1464	2223	1018	827	1293	490	867	3020
GK5	932	1424	579	2379	663	738	1895	683	579	1254	167	405	1809
XRN1	5862	6516	16264	7406	5426	5834	3632	5364	1119	4333	287	819	8119
ATR	270	1014	683	1486	1570	1504	1571	1213	610	1180	38	264	4693
PLS1	79	39	101	59	26	76	57	25	28	34	0	8	334
LOC105374136	1	0	0	0	0	0	0	0	0	0	0	0	10
TRPC1	14	48	18	67	82	198	184	161	155	100	288	257	3050
PCOLCE2	3161	38	41	0	0	1	0	2	0	0	0	26	647
LOC100507389	1	0	3	0	0	0	0	1	1	0	1	1	0
PAQR9	0	0	0	0	0	3	0	1	0	0	0	1	118
PAQR9-AS1	2	2	0	2	2	5	2	3	4	2	0	4	19
LOC100289361	3	8	2	7	7	16	6	13	9	8	0	8	35
U2SURP	1987	4541	2092	4581	3916	5514	4262	4395	3730	3348	2542	3727	11707
LOC105374138	0	0	0	0	1	1	5	0	2	5	0	1	7
CHST2	4538	1140	249	777	737	1086	1132	1298	731	1431	18	241	485
LOC105374137	6	2	3	4	7	5	26	6	5	7	4	18	69
SLC9A9	812	620	233	851	749	352	772	380	357	1021	110	208	1687
SLC9A9-AS1	0	0	0	1	1	0	0	0	1	0	2	0	41
LOC102724120	0	0	0	0	1	2	4	2	1	4	0	0	34
DIPK2A	1933	1079	1375	1505	2179	555	726	538	206	799	37	210	1545
LOC105374140	1	5	3	3	3	3	10	2	2	5	4	3	690
LOC105374139	0	0	0	0	0	1	1	0	0	0	0	1	25
LOC105374141	0	0	0	1	0	1	0	4	0	0	2	1	4
LOC105374142	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC105374143	0	0	0	0	0	0	0	0	0	0	1	0	0
LOC105374144	0	0	0	1	1	0	2	1	1	0	17	4	0
LOC107986138	0	0	0	0	0	0	0	0	0	0	0	0	68
LNCSRLR	0	0	0	0	0	0	0	0	0	0	0	0	1461
PLOD2	6	15	60	34	24	14	54	13	11	35	7	7	17252
LOC105374145	0	0	0	0	1	0	1	1	1	0	0	0	191
PLSCR4	2	2	9	2	12	0	16	2	2	21	1	0	2714
PLSCR2	32	3	91	18	27	14	6	18	10	31	26	9	64
PLSCR1	13556	1702	10717	2944	4628	1123	744	1147	482	3087	255	852	1363
PLSCR5	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02010	0	0	0	0	0	0	0	0	0	0	0	0	43
LOC112268449	0	0	0	0	0	0	0	0	0	0	0	1	169
ZIC4	0	0	0	0	0	1	0	1	0	0	0	0	25
ZIC1	0	0	0	0	0	0	0	3	0	0	0	1	329
LOC440982	0	0	0	0	0	1	0	1	0	0	0	1	2
