	GSM5952180	GSM5952181	GSM5952182	GSM5952183	GSM5952184	GSM5952185	GSM5952186	GSM5952187	GSM5952188	GSM5952189	GSM5952190	GSM5952191	
MMP23B	54	143	52	250	306	158	347	171	289	226	130	296	4
CDK11B	1455	2646	1497	2883	3830	3658	3781	4144	3610	2755	6018	6554	347
SLC35E2B	1128	2734	1695	2981	1917	4388	4692	4107	1621	2821	133	1227	748
MMP23A	5	40	16	95	88	34	92	22	121	74	22	75	1
CDK11A	1277	2499	1432	2886	2447	2911	3586	3584	2968	2727	5145	5721	175
SLC35E2A	841	1342	632	3447	770	2494	2389	2500	1296	1444	117	1055	507
LOC112268218	522	195	601	291	708	185	323	178	296	595	247	424	45
NADK	8934	3788	9512	4174	11090	2376	3230	2245	2034	7152	852	2092	357
GNB1	17904	17175	16100	16232	11744	13050	11250	11044	5298	12308	1017	4486	4218
GNB1-DT	1	3	8	2	12	5	11	7	5	5	0	14	22
CALML6	0	5	3	7	6	32	39	27	27	18	24	19	11
TMEM52	3	0	0	1	4	6	5	1	9	9	5	17	5
CFAP74	0	0	0	3	1	0	0	0	0	0	0	0	50
LOC107984872	0	0	0	0	0	1	0	0	0	0	0	0	7
LOC105378589	0	1	1	2	2	1	5	4	3	1	7	3	3
GABRD	0	2	7	10	3	0	2	0	0	0	0	3	28
LOC105378590	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ-DT	0	0	0	1	0	0	0	3	0	0	0	0	0
PRKCZ	108	217	146	244	288	522	530	412	381	260	90	232	94
PRKCZ-AS1	12	26	13	27	30	81	125	74	59	68	5	18	0
FAAP20	441	456	318	503	443	1009	854	685	1075	690	504	714	67
LOC112268219	31	138	44	127	61	221	272	186	153	200	44	179	15
LOC105378593	0	2	1	5	2	2	7	2	15	3	14	4	3
SKI	757	12033	1144	8625	2311	3422	5506	3966	1607	3751	909	3221	962
MORN1	6	31	25	41	54	109	84	114	56	48	12	28	87
LOC100129534	1	4	1	13	7	49	42	64	13	41	7	7	45
RER1	2087	1410	1260	1762	1982	3743	2657	3314	2141	2496	170	900	1089
PEX10	103	260	95	245	234	515	373	552	341	309	55	183	211
PLCH2	28	426	55	836	731	435	1053	328	684	717	44	154	9
PANK4	213	792	538	1099	767	1040	1226	797	531	897	30	181	96
HES5	0	0	0	2	8	6	0	2	0	2	0	2	14
TNFRSF14-AS1	255	442	323	523	663	1089	747	921	512	669	154	246	4
TNFRSF14	2078	5502	3715	4592	6193	7227	6269	7133	4978	6881	2368	5059	35
LOC100996583	8	41	22	33	43	180	75	287	65	47	53	91	6
PRXL2B	47	245	77	206	273	1052	563	788	320	347	49	151	81
MMEL1	9	18	15	21	40	126	68	89	38	53	3	23	27
MMEL1-AS1	0	2	1	8	4	18	15	15	37	10	39	27	8
TTC34	4	64	18	70	17	135	173	205	50	98	6	25	57
LOC105378603	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	1	0	3	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112268220	0	0	0	0	0	1	0	2	0	0	0	0	0
LOC107985732	0	0	0	0	0	1	0	1	0	0	0	0	1
LOC105378600	0	0	0	0	0	0	0	1	0	0	0	0	2
LOC105378598	1	0	1	0	0	15	1	27	0	1	1	0	4
LOC107984904	0	0	0	0	0	1	0	1	0	0	0	0	1
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	1	0	1	0	6	0	7	1	2	1	0	4
PRDM16	3	10	0	3	0	50	8	54	2	11	7	8	138
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	0	1	0	0	0	0	0	2
LOC107984909	0	0	0	1	0	0	0	0	0	0	0	1	0
LOC105378605	0	0	0	0	0	1	0	4	0	0	0	0	12
LOC105378604	0	2	0	2	4	38	0	36	0	0	0	9	25
ARHGEF16	0	0	0	1	4	1	2	3	2	1	0	1	2
MEGF6	83	467	116	1006	939	1013	1536	716	810	918	147	544	23
LOC105378608	1	0	0	0	0	0	0	0	0	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378607	0	7	0	0	0	0	0	0	2	0	0	0	1
TPRG1L	1447	1549	840	1926	1651	1996	2062	2012	1167	1363	176	871	167
WRAP73	443	467	276	621	519	938	681	692	498	536	48	163	120
TP73	11	73	30	20	16	86	37	65	44	30	12	11	61
TP73-AS3	1	2	0	0	0	2	5	1	2	1	1	1	18
LOC105378609	0	0	0	0	0	0	0	0	0	0	0	1	0
TP73-AS1	54	400	78	471	417	1147	969	958	371	572	28	127	534
CCDC27	0	0	0	2	0	8	6	3	0	4	2	7	10
SMIM1	3	5	49	22	16	14	12	13	23	13	5	15	2
LRRC47	387	1102	300	1030	786	1887	1367	1669	1140	1109	116	767	615
CEP104	296	548	418	1056	832	1367	1211	1140	604	927	98	189	1064
DFFB	72	223	139	350	184	464	511	387	239	356	12	67	133
LOC107984910	3	10	7	8	10	6	18	9	8	7	1	2	19
C1orf174	354	728	309	734	676	1063	879	1078	427	753	23	144	364
