	GSM3001089	GSM3001090	GSM3001091	GSM3001092	GSM3001093	GSM3001094
TTLL10-AS1	3	4	4	2	4	0
TTLL10	0	13	7	1	10	8
TNFRSF18	8	6	4	10	21	14
TNFRSF4	666	255	260	529	486	474
SDF4	11046	8279	7779	12193	9106	9812
B3GALT6	2677	1430	1432	2136	1388	1329
C1QTNF12	13	7	5	12	12	8
UBE2J2	3493	1858	1734	3157	1781	1866
LINC01786	69	41	39	52	35	32
SCNN1D	109	82	64	93	75	80
ACAP3	1887	847	834	1423	799	924
MIR6726	2	1	1	1	0	1
SNORD167	11	4	3	7	2	4
PUSL1	1075	550	583	942	515	550
INTS11	6413	3995	4083	5492	3574	3765
MIR6727	4	6	3	4	3	3
CPTP	3399	2162	2179	2484	1908	1909
TAS1R3	137	94	70	103	89	98
DVL1	2836	1880	1793	2745	1949	2021
MIR6808	0	0	1	0	0	1
MXRA8	172	106	83	103	80	80
AURKAIP1	3608	2330	2676	3690	2569	2711
CCNL2	10815	5483	4643	9764	6122	6939
MRPL20-AS1	1879	1087	1069	1640	1050	1094
MRPL20	4526	2367	2545	4636	2459	2655
LOC107984868	13	12	4	14	12	12
ANKRD65	35	22	14	15	12	18
ANKRD65-AS1	4	4	2	2	1	2
TMEM88B	0	0	2	0	0	0
LINC01770	36	6	16	44	19	19
LOC107985729	33	8	8	29	11	12
VWA1	1823	584	590	1483	552	663
ATAD3C	154	82	75	181	82	95
ATAD3B	2717	1602	1700	3454	1969	2132
ATAD3A	2134	1115	1223	2749	1268	1457
TMEM240	81	62	63	43	48	55
SSU72	6554	4423	4318	5819	3998	4318
FNDC10	287	165	164	161	83	105
LOC105378586	8	5	5	8	3	3
MIB2	2375	1755	1634	1782	1655	1719
MMP23B	42	36	33	49	37	44
CDK11B	1868	1711	1667	2055	1589	1883
SLC35E2B	7253	4705	4243	4156	3413	3642
MMP23A	9	6	3	5	4	8
CDK11A	1369	1244	1109	1619	1190	1431
SLC35E2A	5745	3721	3449	3235	2484	2667
LOC112268218	410	232	228	483	268	294
NADK	5927	3280	3259	7476	3998	4356
GNB1	54769	26161	25497	52636	24931	28232
GNB1-DT	49	20	26	32	34	29
CALML6	13	5	7	14	13	12
TMEM52	22	8	8	11	7	7
CFAP74	0	13	2	0	8	10
LOC107984872	0	1	1	0	4	3
LOC105378589	18	16	25	17	15	24
GABRD	8	12	24	5	26	20
LOC105378590	0	2	0	1	1	4
PRKCZ-DT	0	2	3	0	4	6
PRKCZ	2046	2340	2257	1390	1886	1920
PRKCZ-AS1	45	58	42	46	43	58
FAAP20	1492	945	881	1163	866	904
LOC112268219	523	297	256	380	211	256
LOC105378593	22	10	5	11	8	8
SKI	1959	2745	2443	2047	1905	2580
MORN1	248	169	166	209	131	161
LOC100129534	22	13	11	25	6	9
RER1	11001	5815	5844	10651	6026	6301
PEX10	2824	1450	1511	2419	1426	1445
PLCH2	40	37	40	39	55	48
PANK4	2209	1358	1308	2500	1428	1581
HES5	0	1	0	0	0	2
TNFRSF14-AS1	653	735	634	565	738	760
TNFRSF14	6368	7176	5858	7122	8354	8165
LOC100996583	73	35	33	46	42	42
PRXL2B	7832	6540	5859	5464	6777	6405
MMEL1	826	692	611	735	779	750
MMEL1-AS1	1	2	3	3	2	3
TTC34	125	85	78	75	75	70
LOC105378603	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0
LOC112268220	0	1	0	0	0	1
LOC107985732	0	1	1	0	1	1
LOC105378600	0	0	0	0	0	0
LOC105378598	0	5	0	0	3	2
LOC107984904	0	2	1	0	1	1
LOC105378599	0	0	0	0	0	0
ACTRT2	0	1	1	0	0	1
PRDM16-DT	0	4	0	1	2	3
PRDM16	2	19	8	0	16	13
MIR4251	0	1	0	0	0	0
LOC105378606	1	2	2	1	11	3
LOC107984909	0	3	0	0	2	0
LOC105378605	1	5	3	0	9	0
LOC105378604	4	16	5	5	19	3
ARHGEF16	49	10	13	58	25	18
MEGF6	5011	3801	3535	2393	2591	2826
LOC105378608	13	11	8	8	11	9
MIR551A	0	1	1	0	1	0
LOC105378607	7	4	1	2	3	3
TPRG1L	7392	4718	4575	4706	3593	3738
WRAP73	1266	687	685	1387	793	829
TP73	35	33	23	51	35	33
TP73-AS3	0	2	1	1	2	2
LOC105378609	0	1	0	0	0	3
TP73-AS1	1842	1264	1206	1932	1373	1466
CCDC27	0	3	3	4	3	1
SMIM1	45	10	14	47	29	33
LRRC47	5141	2881	2842	5276	3087	3275
CEP104	2889	2400	2146	2757	2182	2388
DFFB	844	428	468	873	533	585
LOC107984910	30	23	13	27	17	16
C1orf174	1866	1194	1122	2081	1181	1240
LINC01134	43	25	14	20	21	29
LINC01346	0	1	0	0	0	0
LINC01345	0	2	0	0	2	0
LINC02780	0	2	1	0	3	1
LINC01777	0	1	0	0	1	1
LOC105376674	0	3	4	0	9	1
LINC01646	0	1	0	0	1	1
LOC107985376	0	2	0	0	0	0
AJAP1	1	13	4	0	18	4
LINC02781	0	7	0	0	2	1
LOC102724429	0	1	0	0	0	1
LINC02782	0	1	0	0	0	0
LOC105376682	0	0	0	0	0	0
LOC107984911	1	1	1	0	5	1
LOC105376686	0	2	0	0	2	0
MIR4689	0	0	0	1	1	0
NPHP4	414	277	235	446	219	262
KCNAB2	299	128	110	237	76	118
CHD5	5	10	13	4	20	11
LOC105376687	0	0	0	0	1	0
RPL22	37456	26623	26514	27313	20640	21023
LOC107985733	47	30	19	40	32	40
RNF207-AS1	14	5	14	7	7	19
RNF207	472	219	218	632	347	457
