	GSM3745998	GSM3745999	GSM3746000	GSM3746001	GSM3746002	GSM3746003	GSM3746004	GSM3746005	GSM3746006	GSM3746007	GSM3746010	GSM3746011	GSM3746012
DDX11L1	21	26	17	20	28	17	38	30	17	18	13	18	13
WASH7P	280	484	271	336	358	433	823	651	399	349	193	282	240
MIR6859-1	22	24	17	23	29	27	35	21	15	11	9	11	12
MIR1302-2HG	0	2	0	0	1	1	2	1	0	0	1	1	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	1	0	1	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC100996442	52	25	48	56	34	41	62	48	43	52	13	21	11
LOC729737	48	32	57	42	36	44	40	31	21	18	9	12	17
DDX11L17	23	28	26	33	23	26	31	26	13	17	8	18	9
WASH9P	277	462	308	361	361	445	724	589	363	285	223	330	324
MIR6859-2	11	15	9	13	14	12	12	9	6	4	6	8	4
LOC107985721	1	3	2	1	0	3	5	5	4	7	4	7	1
LOC112268260	17	7	12	15	7	11	9	6	8	12	5	10	12
OR4F29	1	1	1	2	0	0	1	0	0	0	1	2	0
LOC100132287	45	46	46	41	33	38	57	41	28	22	15	21	18
LOC105378947	0	1	0	0	1	0	2	1	1	0	0	1	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	1164	862	1123	1127	795	719	878	567	687	527	437	906	598
OR4F16	22	5	14	13	5	5	8	2	4	6	6	18	10
LOC100133331	45	48	51	41	34	33	54	47	30	21	16	32	19
LOC107984841	27	12	20	23	16	23	24	10	13	19	9	13	8
LOC107984847	45	23	29	35	17	28	42	14	14	12	12	26	10
LOC107984849	12	3	7	13	3	4	11	9	6	6	4	3	5
LOC100288069	82	74	77	107	58	67	117	78	66	80	27	72	46
LINC01409	167	88	111	143	78	77	170	77	125	61	52	152	81
FAM87B	35	28	33	46	16	25	41	40	39	23	15	25	16
LINC00115	28	33	31	28	37	24	61	39	32	45	17	32	11
LINC01128	264	285	215	235	181	184	283	231	160	138	109	217	153
LOC107984850	2	2	1	2	4	4	2	0	0	2	1	6	0
FAM41C	3	1	2	3	1	2	1	1	3	1	2	7	1
LOC284600	24	18	20	21	18	31	23	18	8	9	18	18	10
LINC02593	17	6	19	12	4	15	8	2	2	2	4	7	12
LOC107985728	13	12	9	5	5	16	9	5	2	3	4	10	4
SAMD11	107	168	79	103	77	98	267	219	120	61	100	116	101
NOC2L	1286	2462	894	1290	816	1194	3503	2964	1468	888	1429	1457	1378
KLHL17	161	138	108	105	153	157	190	126	81	58	43	66	68
PLEKHN1	0	0	0	0	1	4	1	0	0	0	1	0	1
PERM1	0	0	0	0	1	1	0	0	0	0	0	0	0
HES4	4	1	1	10	5	22	0	1	12	5	0	0	1
ISG15	234	517	193	4164	285	3104	301	326	6799	95	85	183	1894
AGRN	189	289	203	339	174	472	345	264	241	106	106	123	165
LOC100288175	2	12	6	12	8	39	7	5	7	8	2	5	8
LOC112267874	4	5	1	5	3	7	4	4	2	6	1	9	3
LOC105378948	9	23	9	15	17	39	23	20	15	11	8	9	25
RNF223	0	0	2	0	0	1	1	0	0	0	0	0	0
C1orf159	146	242	121	133	141	148	272	216	97	71	85	101	106
LINC01342	0	0	0	0	1	1	0	1	4	0	1	3	0
MIR200B	0	0	0	0	0	0	0	0	0	2	0	0	0
