	GSM3745998	GSM3745999	GSM3746000	GSM3746001	GSM3746002	GSM3746003	GSM3746004	GSM3746005	GSM3746006	GSM3746007	GSM3746010	GSM3746011	GSM3746012
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	1	0	1	0	1	0	0	0	0	0	1	0	0
TTLL10-AS1	8	8	6	6	11	3	8	13	2	4	3	2	0
TTLL10	47	33	25	21	65	46	43	37	22	22	14	24	17
TNFRSF18	158	195	107	113	179	292	327	236	113	136	105	155	112
TNFRSF4	119	216	98	205	177	410	284	229	162	160	53	77	103
SDF4	1350	2226	1106	1498	1430	2004	2386	1895	1104	830	924	1208	1120
B3GALT6	695	892	463	528	602	653	953	774	522	418	418	552	469
C1QTNF12	1	7	8	4	5	4	8	10	5	0	1	9	5
UBE2J2	709	1010	595	703	684	754	1122	1016	542	378	505	591	479
LINC01786	20	38	20	24	17	14	52	25	11	12	16	13	23
SCNN1D	48	54	49	40	26	43	43	58	16	11	20	35	31
ACAP3	612	772	531	463	585	540	1024	744	388	361	333	461	355
MIR6726	1	1	0	0	2	0	0	1	0	0	1	0	1
SNORD167	4	8	3	2	2	4	3	7	2	3	2	2	0
PUSL1	198	335	141	171	192	199	421	284	161	107	114	143	154
INTS11	998	1374	770	959	876	1202	1455	1253	734	525	535	779	620
MIR6727	3	5	1	1	3	4	6	2	2	1	2	1	2
CPTP	148	234	130	169	210	246	231	239	107	95	87	107	89
TAS1R3	44	37	44	36	37	32	78	60	15	32	26	27	6
DVL1	452	643	343	394	462	493	719	604	285	232	238	331	262
MIR6808	1	0	1	1	1	1	1	1	0	0	0	0	0
MXRA8	34	48	31	44	21	31	32	22	14	7	22	27	12
AURKAIP1	675	1186	517	716	558	737	1397	1101	622	432	513	589	507
CCNL2	2755	3100	2255	2392	2903	2990	3015	2463	1789	1871	1454	2325	1729
MRPL20-AS1	456	808	421	482	498	579	848	681	441	375	367	476	362
MRPL20	781	1402	608	834	642	846	1658	1345	856	646	819	782	761
LOC107984868	18	7	6	9	1	8	3	3	10	7	1	9	3
ANKRD65	1	1	2	2	1	1	0	4	2	0	0	2	2
ANKRD65-AS1	1	0	0	0	1	0	0	0	0	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	1	1	0	0	0
LINC01770	1	1	0	0	1	2	2	0	0	0	0	1	1
LOC107985729	1	0	2	1	1	3	0	3	0	0	0	1	1
VWA1	9	12	5	16	11	22	14	9	7	6	6	5	9
ATAD3C	23	41	17	16	15	15	57	33	13	10	15	13	10
ATAD3B	1027	1541	694	837	709	759	1706	1432	743	381	568	610	512
ATAD3A	1095	1703	689	840	660	753	1761	1461	712	371	590	656	480
TMEM240	3	3	1	4	1	0	4	1	3	2	5	6	0
SSU72	1241	1890	967	1318	1286	1607	2292	2003	1490	1263	1194	1487	1334
FNDC10	100	155	80	98	74	116	133	85	53	47	25	44	44
LOC105378586	5	5	6	5	2	5	10	8	14	11	5	2	4
MIB2	429	499	362	313	570	564	560	363	218	278	188	293	225
MMP23B	30	21	18	17	16	16	21	18	13	12	7	10	6
CDK11B	510	784	463	548	603	652	808	657	397	416	311	422	326
SLC35E2B	1967	2206	1735	1850	1967	2080	2069	1673	1198	1288	996	1582	1157
MMP23A	3	1	2	2	3	3	4	2	0	2	0	2	0
CDK11A	443	586	399	427	529	548	616	473	328	292	251	315	275
SLC35E2A	1122	1139	957	970	1007	1052	1110	837	603	682	515	836	590
LOC112268218	137	159	129	136	145	191	173	137	147	110	69	109	114
NADK	1592	2238	1356	1920	1613	2724	2164	1748	1794	1284	967	1445	1486
GNB1	4569	5212	3593	4643	3774	4574	7408	6314	4716	3936	3831	5194	4355
GNB1-DT	5	8	5	3	7	11	15	5	9	6	2	11	7
CALML6	7	4	7	4	6	4	5	3	1	5	0	4	4
TMEM52	7	9	4	5	2	4	7	16	3	1	0	6	5
CFAP74	0	2	0	1	1	1	2	0	0	1	0	1	2
LOC107984872	0	0	1	0	0	0	0	0	0	2	0	1	0
LOC105378589	3	0	0	0	1	1	0	0	0	0	0	0	0
GABRD	1	0	1	1	3	2	4	0	0	1	0	0	1
LOC105378590	0	0	0	0	0	1	0	0	0	0	0	0	0
PRKCZ-DT	0	0	0	2	0	0	0	0	0	0	0	0	1
PRKCZ	55	44	24	32	32	54	74	54	39	31	24	37	30
PRKCZ-AS1	4	1	0	0	2	4	1	2	1	2	0	0	0
FAAP20	172	243	146	178	187	222	277	233	152	129	104	138	121
LOC112268219	78	80	52	56	58	68	53	47	21	17	23	26	35
LOC105378593	0	0	1	0	4	2	2	1	0	1	0	1	2
SKI	689	338	532	598	341	490	357	221	175	129	114	188	119
MORN1	94	122	88	84	70	92	154	93	46	31	57	48	32
LOC100129534	18	18	13	15	6	16	21	25	11	7	16	15	6
RER1	1332	2163	1231	1640	1383	1905	2490	2162	1390	1332	1237	1621	1211
PEX10	248	348	219	240	229	309	478	368	206	156	184	226	176
PLCH2	12	16	21	13	11	18	36	30	12	12	15	17	9
PANK4	453	625	398	467	512	529	675	514	340	259	239	316	276
HES5	3	15	7	4	4	1	7	11	4	3	3	3	2
TNFRSF14-AS1	91	171	150	238	462	527	83	65	77	147	47	105	108
TNFRSF14	406	614	721	1035	1788	1961	280	204	291	496	134	375	384
LOC100996583	4	10	14	15	25	28	8	5	7	15	0	6	3
PRXL2B	232	305	203	251	264	318	246	167	107	155	106	126	142
MMEL1	18	38	22	26	35	39	26	17	14	9	7	10	12
MMEL1-AS1	0	0	2	3	3	1	3	2	2	0	0	0	0
TTC34	10	12	21	19	9	14	7	5	6	5	5	7	9
LOC105378603	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0	1	1
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	1	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	1	0	0	0	0	5	1	0	0	1	0	1
PRDM16	4	3	2	0	2	3	6	0	7	2	1	2	1
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378606	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC107984909	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378605	0	0	0	1	0	0	0	0	0	0	0	1	0
LOC105378604	7	5	5	30	3	16	2	1	9	1	1	1	11
ARHGEF16	15	6	7	4	0	2	14	6	4	8	3	5	1
MEGF6	390	529	400	323	288	325	1283	967	351	334	404	411	305
LOC105378608	7	6	6	8	1	3	25	8	4	1	7	4	2
MIR551A	0	2	1	1	0	0	2	0	0	0	0	0	0
LOC105378607	2	3	5	6	1	1	7	6	3	3	3	6	1
TPRG1L	366	399	328	399	350	417	475	398	259	339	261	455	377
WRAP73	282	427	256	288	318	347	508	404	235	207	180	250	247
TP73	29	16	19	17	17	21	21	16	12	5	16	8	11
TP73-AS3	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC105378609	0	0	0	0	0	2	0	2	0	0	0	0	0
TP73-AS1	536	634	462	465	388	525	754	595	391	306	306	425	378
CCDC27	4	5	4	5	6	3	12	4	2	1	2	6	2
SMIM1	61	112	102	114	97	78	128	73	53	29	21	72	46
LRRC47	903	1380	811	977	959	1032	1680	1449	907	786	780	1018	895
CEP104	664	643	493	573	498	519	615	536	460	408	312	528	365
DFFB	338	481	282	356	308	351	413	386	264	193	169	278	236
LOC107984910	32	38	33	26	16	26	30	17	11	11	4	12	12
C1orf174	653	981	546	628	589	738	1091	922	654	582	552	636	640
LINC01134	31	13	13	10	18	13	6	8	7	4	2	13	9
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0	0	0	0	0	0	0	1
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985376	1	0	3	2	3	2	1	1	0	0	0	0	0
AJAP1	1	0	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	1	3	2	0	0	1	0	0	0	0	2	0	0
NPHP4	312	302	227	243	166	190	343	252	147	113	153	159	115
KCNAB2	2769	3333	2258	2730	2544	3339	2919	2144	1423	1585	1174	1940	1774
CHD5	25	21	9	4	10	8	23	28	11	12	5	6	1
LOC105376687	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	6680	11571	5706	7565	7622	10283	12200	11532	8194	11235	8683	11316	9425
LOC107985733	8	14	7	11	8	10	23	27	17	18	14	20	16
RNF207-AS1	3	0	0	0	2	2	0	0	0	1	3	0	1
RNF207	56	55	45	37	35	60	65	60	53	49	51	47	51
ICMT	2792	3443	1835	2098	1983	2113	3391	2968	2063	1488	1861	2112	1912
ICMT-DT	3	8	0	2	4	5	6	4	5	3	0	3	3
HES3	0	0	0	0	0	0	0	0	0	1	0	0	0
GPR153	56	91	32	130	47	284	54	44	53	46	10	43	65
ACOT7	339	442	197	317	171	247	574	453	249	118	211	278	259
HES2	6	3	4	34	4	25	3	2	13	0	1	1	6
ESPN	7	19	14	6	4	2	36	17	17	4	9	16	16
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	25	41	7	22	7	11	44	40	22	8	27	23	29
PLEKHG5	4	3	5	2	3	3	12	8	4	0	2	4	4
NOL9	1600	1897	1101	1234	946	955	2228	1809	1233	950	1267	1433	1038
TAS1R1	0	5	5	0	2	2	2	1	0	0	1	0	0
LOC107984912	0	0	1	0	1	0	1	0	0	0	0	0	0
ZBTB48	451	683	473	589	635	787	704	488	345	344	242	382	309
KLHL21	771	880	588	624	973	865	840	682	406	421	295	475	347
LOC107984913	39	14	20	12	35	26	3	5	2	8	4	10	4
PHF13	535	479	412	368	435	478	434	379	237	232	232	300	237
THAP3	489	753	413	499	501	577	706	552	373	293	265	387	352
DNAJC11	1142	1764	848	1058	784	944	1922	1582	1005	609	930	917	849
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	10	23	12	12	11	11	21	12	9	10	10	13	14
CAMTA1	516	538	438	507	296	361	640	449	421	368	362	493	389
LOC105376692	0	0	0	2	0	0	0	0	0	0	0	0	0
CAMTA1-AS2	0	1	1	0	0	0	0	0	0	0	0	2	0
CAMTA1-AS1	0	0	2	0	0	0	0	0	0	1	0	0	0
LOC105376691	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376689	3	5	0	5	3	7	2	1	5	6	2	11	7
VAMP3	904	1133	744	984	1030	1190	982	846	691	750	638	986	831
PER3	484	460	488	589	729	702	280	220	201	223	88	280	212
UTS2	6	15	23	47	85	208	21	7	51	186	14	82	86
TNFRSF9	11	78	8	156	28	253	15	11	55	28	4	23	64
PARK7	2255	4360	1972	2865	2249	3139	4491	4027	2479	2164	2483	2863	2827
ERRFI1	14	24	20	26	47	73	18	9	32	73	10	51	27
LOC107984915	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01714	0	0	0	0	1	1	0	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC45A1	0	0	0	0	1	1	0	0	0	0	0	0	1
RERE	1046	470	861	803	448	396	708	401	554	276	236	567	335
RERE-AS1	31	13	30	23	7	9	16	7	8	1	3	18	7
SNORD128	6	2	6	3	0	1	1	5	2	1	6	2	1
ENO1	29498	49787	20667	34486	23254	40773	58025	49513	30611	20522	25955	27002	25739
MIR6728	7	11	4	7	2	5	8	4	4	5	2	2	10
ENO1-AS1	6	15	8	15	7	8	18	11	11	12	8	12	18
LOC112268261	0	0	0	1	0	0	1	1	0	1	0	0	0
CA6	0	0	1	1	3	3	0	1	0	12	1	7	2
SLC2A7	0	0	1	0	0	0	0	0	0	2	0	0	0
SLC2A5	660	942	562	929	900	1696	634	501	479	496	524	754	675
GPR157	50	101	60	165	117	625	46	36	150	130	28	106	182
MIR34AHG	367	73	82	68	294	210	51	36	39	67	18	43	56
MIR34A	6	1	1	2	4	6	0	0	0	3	0	1	1
LNCTAM34A	23	4	6	3	11	11	9	2	1	2	3	13	3
H6PD	760	1004	823	1061	1004	1666	849	714	549	757	359	719	648
SPSB1	44	36	40	83	45	107	37	24	27	28	20	46	44
LINC02606	13	14	15	20	17	19	13	4	2	11	6	5	14
SLC25A33	529	632	320	394	360	369	659	532	419	319	390	459	343
TMEM201	377	374	234	257	253	246	410	380	143	62	134	143	114
LOC107985734	21	12	10	8	6	12	17	12	4	3	9	9	3
LOC105376712	2	3	1	1	3	8	3	3	3	5	1	5	2
PIK3CD	2363	2721	1978	2600	2444	3147	3274	2462	2162	1885	1352	2170	1853
PIK3CD-AS1	31	36	36	30	17	45	61	34	24	22	31	30	25
PIK3CD-AS2	46	54	32	23	43	51	50	21	10	9	19	15	22
CLSTN1	1535	1516	1223	1335	1106	1164	2156	1627	1057	821	965	1235	974
CTNNBIP1	401	783	463	546	618	671	816	707	369	443	434	654	447
LOC105376717	28	53	27	38	30	33	75	51	27	24	35	37	39
LZIC	1105	1146	869	1038	1341	1121	1185	1060	780	857	762	940	858
NMNAT1	373	553	404	431	519	668	504	432	378	546	323	478	375
TMEM274P	11	17	13	5	14	11	10	9	15	3	1	2	6
MIR5697	2	1	1	1	1	0	2	1	0	3	0	1	0
RBP7	1	2	1	1	1	2	1	1	0	0	0	0	0
UBE4B	1829	1736	1439	1593	1013	1121	1935	1369	1012	883	852	1560	1038
KIF1B	1954	1213	1542	1835	960	1498	1437	952	1147	864	734	1464	1130
LOC105376725	20	12	7	22	6	12	10	8	3	4	4	7	5
PGD	5251	8285	5034	8346	7033	11055	7564	6311	5735	6427	3312	5217	5380
CENPS-CORT	90	180	75	92	72	81	220	207	97	57	121	100	90
CENPS	101	190	82	102	81	89	229	224	115	64	152	108	107
CORT	19	23	14	13	14	17	22	11	10	8	4	20	6
DFFA	1381	1849	1037	1183	1333	1597	2270	2000	1209	1287	1258	1398	1261
PEX14	326	402	261	321	274	364	441	365	228	141	153	259	155
CASZ1	66	67	54	64	72	72	97	56	55	24	18	36	36
LOC105376733	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0	0	2	0	0	0	0	0
C1orf127	14	32	38	22	28	15	32	18	18	13	20	33	20
TARDBP	2349	2578	1942	2234	1638	2004	3384	2374	1806	1554	1644	2319	1679
MASP2	103	89	100	108	47	62	109	94	107	96	66	169	73
SRM	630	964	426	551	292	492	970	804	374	189	301	310	300
EXOSC10	2355	3411	1857	2254	1758	2073	3729	3377	2604	1928	2059	2393	2013
EXOSC10-AS1	83	112	57	72	56	67	116	82	57	35	47	57	43
MTOR	4116	4549	3085	3664	2756	2794	5377	4100	3012	2429	2352	3476	2890
MTOR-AS1	67	62	51	58	35	44	75	48	42	28	19	52	41
ANGPTL7	99	29	52	51	29	15	52	11	18	11	6	31	13
UBIAD1	391	624	287	393	282	326	545	425	285	203	335	373	301
LOC105376737	0	0	1	1	0	0	0	0	0	0	0	1	0
LOC105376739	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376740	0	0	0	0	0	0	0	0	0	0	0	0	0
DISP3	2	3	1	3	5	1	9	4	2	0	0	5	3
LOC112268221	0	0	0	0	1	0	1	2	1	0	0	0	0
LINC01647	0	0	0	0	1	0	2	0	0	5	0	2	1
FBXO2	13	4	5	3	36	89	0	0	7	6	0	1	2
FBXO44	116	132	96	95	164	253	139	112	87	80	51	106	107
FBXO6	176	356	179	449	243	592	308	280	560	148	116	188	302
MAD2L2	504	871	428	570	508	706	1019	807	442	360	437	512	447
DRAXIN	3	13	11	26	8	20	13	2	0	1	6	8	6
AGTRAP	509	1025	510	799	858	1415	631	509	376	341	302	464	520
C1orf167	302	364	357	404	429	463	341	251	243	228	129	326	257
C1orf167-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
MTHFR	1636	1889	1915	2232	2323	2406	1636	1434	1400	1429	733	1751	1377
CLCN6	1313	797	1223	1127	1001	969	594	370	554	476	224	605	474
NPPA-AS1	162	83	128	115	102	103	65	43	68	44	37	90	65
NPPA	34	16	26	24	29	13	15	5	6	7	7	12	16
NPPB	0	0	0	0	0	0	0	0	0	0	0	0	0
RNU5E-1	198	178	118	189	114	102	119	112	84	54	3	7	3
KIAA2013	844	1220	675	864	991	1267	1603	1250	850	770	642	961	765
PLOD1	1121	1371	820	1038	845	1223	1321	1095	779	597	532	842	742
MFN2	1810	2420	1474	1769	1743	1856	2899	2273	1549	1268	1203	1380	1192
MIIP	550	741	482	618	1387	1867	869	703	483	457	290	475	427
MIR6729	2	1	1	1	2	4	3	1	1	0	0	1	0
TNFRSF8	110	96	72	67	128	122	141	158	42	35	48	58	51
MIR7846	0	1	0	0	1	0	3	2	6	2	3	9	6
TNFRSF1B	824	1445	872	1382	1185	3025	1471	1123	979	1097	637	1144	909
MIR4632	1	2	0	0	0	2	0	0	0	0	0	1	0
LOC107984917	2	1	5	2	0	5	5	3	5	0	0	2	0
VPS13D	4267	3646	3804	4260	2540	2574	4451	2802	3001	2095	1849	3768	2635
SNORA59A	28	35	39	32	40	44	33	32	47	28	20	26	19
LINC02766	2	3	1	0	1	1	2	0	1	0	0	0	0
DHRS3	16	19	21	28	22	28	28	23	31	18	12	18	32
MIR6730	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	1	0	0	0	0
AADACL3	0	0	0	0	0	1	0	0	1	0	0	0	0
CFAP107	0	0	0	0	1	2	0	0	0	0	0	0	0
PRAMEF12	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF11	1	0	0	0	0	0	0	0	0	1	0	0	0
HNRNPCL1	1	2	0	0	1	0	0	0	0	0	0	0	0
PRAMEF2	0	0	1	0	0	0	0	0	0	2	0	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF10	0	1	0	0	0	0	0	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0	1	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL3	0	1	0	0	0	0	0	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0	0	0	0	1	0	0	0
HNRNPCL2	0	0	0	0	1	0	0	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0	0	0	0	1	0	0	0
PRAMEF26	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL4	1	1	0	0	1	0	0	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0	0	0	0	1	0	0	0
PRAMEF18	0	1	0	0	0	0	0	0	0	2	0	0	0
PRAMEF5	0	0	0	0	0	0	1	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0	0	0	0	1	0	1	0
PRAMEF33	0	1	0	0	1	0	0	0	0	0	2	0	0
PRAMEF15	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0	0	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC38	0	0	0	0	0	0	2	0	0	0	0	0	0
LOC102724856	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984918	0	0	0	0	0	0	0	0	0	0	0	0	0
PDPN	2	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984919	0	0	0	1	0	0	0	0	0	0	0	0	0
LOC105378612	0	0	0	0	1	0	0	0	0	0	0	2	0
LOC105376756	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM2	1365	655	1051	990	618	650	744	375	574	375	303	773	434
KAZN	71	62	75	104	32	96	58	32	34	17	14	38	24
LOC107985467	5	1	6	4	3	0	0	0	0	0	0	1	1
LOC107985468	0	0	1	0	2	0	0	0	0	0	0	0	0
KAZN-AS1	2	0	1	1	0	0	0	0	0	0	0	0	1
LOC105376759	1	2	0	0	0	1	3	0	0	0	1	0	1
LOC107985469	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM51-AS1	35	17	11	71	14	76	7	3	14	2	1	4	11
TMEM51	178	183	98	190	145	303	63	67	120	67	49	68	76
TMEM51-AS2	31	11	28	35	4	16	3	3	13	1	0	1	1
FHAD1	3	0	3	12	1	48	0	1	0	2	0	1	2
FHAD1-AS1	0	0	0	3	0	7	0	0	0	0	0	1	0
EFHD2-AS1	22	32	29	30	11	39	17	7	12	11	3	8	9
EFHD2	964	1732	827	1342	895	1756	1609	1189	848	569	635	751	711
CTRC	0	1	1	5	1	4	0	0	1	2	0	1	1
CELA2A	1	1	0	0	0	0	0	0	1	0	0	0	0
LOC105376767	0	0	0	0	0	0	0	0	1	0	0	0	0
CELA2B	2	5	7	7	5	1	1	1	3	4	3	1	1
CASP9	198	311	212	261	260	278	312	242	181	183	113	191	150
DNAJC16	693	814	680	850	713	861	737	593	579	599	428	742	552
SCARNA21B	6	1	2	5	1	1	6	2	2	0	10	5	3
AGMAT	58	64	41	69	28	46	64	54	34	24	33	45	41
DDI2	1982	1874	1632	1716	879	1096	2547	1794	1440	792	1244	1970	1286
RSC1A1	394	386	320	337	159	220	553	392	349	160	292	406	311
PLEKHM2	1449	1789	1122	1289	1292	1817	1666	1328	932	804	588	949	933
SLC25A34	20	29	25	31	24	35	25	23	9	12	11	22	12
SLC25A34-AS1	0	1	1	2	1	1	1	1	1	1	1	1	1
TMEM82	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLIM1	3	0	0	0	0	0	0	0	0	0	0	0	0
UQCRHL	157	242	118	196	125	200	295	302	186	184	212	234	265
SPEN-AS1	161	160	131	129	138	161	260	196	115	122	115	153	116
SPEN	4216	1583	3300	3507	1275	1262	2448	1125	1653	669	773	2256	1295
ZBTB17	684	926	523	660	666	754	859	757	418	309	350	452	404
SRARP	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPB7	2	7	3	18	2	36	3	0	0	1	0	4	1
CLCNKA	2	3	0	1	4	5	0	2	0	3	0	0	2
CLCNKB	9	6	6	9	11	5	1	4	2	2	0	3	6
FAM131C	0	0	0	0	0	0	0	0	0	1	0	0	1
EPHA2	10	7	3	2	3	7	31	20	25	12	8	24	24
EPHA2-AS1	1	1	0	1	0	0	2	0	1	0	0	0	0
ARHGEF19	44	89	37	36	40	63	129	138	71	39	73	69	54
ANO7L1	2	2	4	12	1	7	8	6	11	2	0	5	10
CPLANE2	55	67	22	50	40	43	66	59	35	23	49	58	39
FBXO42	1093	1132	784	926	813	998	1101	926	736	667	583	914	688
SZRD1	1232	1483	916	1198	1070	1401	1554	1177	892	637	648	884	834
SPATA21	774	831	607	734	639	818	827	611	487	361	364	492	477
NECAP2	1086	1697	949	1438	1282	2056	1587	1288	1293	1190	821	1292	1200
LINC01772	65	48	52	60	73	87	42	25	27	23	20	39	20
CROCCP3	182	90	159	106	164	131	111	63	56	53	33	122	66
RNU1-1	12240	17603	11937	14502	16526	20653	531	499	475	555	333	424	464
TRN-GTT5-1	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01783	9	10	2	3	5	2	12	9	4	1	1	10	2
TRE-TTC4-1	4	8	1	2	1	0	6	4	2	1	0	1	2
TRG-CCC1-1	1	1	0	0	1	1	3	3	0	1	0	1	1
