title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	donor_id:ch1	infection:ch1	series_id
Sample_857_ILC1_Mtb	GSM3070964	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC1	infection: Mtb	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 1 ILC from Mtb infected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813236	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862172	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070964/suppl/GSM3070964_Sample_857_ILC1_Mtb.txt.gz	ILC1	857	Mtb	GSE112482
Sample_857_ILC1_uninf	GSM3070965	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC1	infection: uninf	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 1 ILC from uninfected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813235	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862174	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070965/suppl/GSM3070965_Sample_857_ILC1_uninf.txt.gz	ILC1	857	uninf	GSE112482
Sample_857_ILC2_Mtb	GSM3070966	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC2	infection: Mtb	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 2 ILC from Mtb infected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813237	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862175	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070966/suppl/GSM3070966_Sample_857_ILC2_Mtb.txt.gz	ILC2	857	Mtb	GSE112482
Sample_857_ILC2_uninf	GSM3070967	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC2	infection: uninf	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 2 ILC from uninfected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813216	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862176	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070967/suppl/GSM3070967_Sample_857_ILC2_uninf.txt.gz	ILC2	857	uninf	GSE112482
Sample_857_ILC3neg_Mtb	GSM3070968	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC3neg	infection: Mtb	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 3 ILC (NKp44 negative) from Mtb infected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813217	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862177	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070968/suppl/GSM3070968_Sample_857_ILC3neg_Mtb.txt.gz	ILC3neg	857	Mtb	GSE112482
Sample_857_ILC3neg_uninf	GSM3070969	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC3neg	infection: uninf	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 3 ILC (NKp44 negative) from uninfected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813218	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862178	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070969/suppl/GSM3070969_Sample_857_ILC3neg_uninf.txt.gz	ILC3neg	857	uninf	GSE112482
Sample_857_ILC3pos_Mtb	GSM3070970	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC3pos	infection: Mtb	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 3 ILC (NKp44 positive) from Mtb infected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813234	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862179	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070970/suppl/GSM3070970_Sample_857_ILC3pos_Mtb.txt.gz	ILC3pos	857	Mtb	GSE112482
Sample_857_ILC3pos_uninf	GSM3070971	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: ILC3pos	infection: uninf	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	group 3 ILC (NKp44 positive) from uninfected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813233	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862180	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070971/suppl/GSM3070971_Sample_857_ILC3pos_uninf.txt.gz	ILC3pos	857	uninf	GSE112482
Sample_857_NK_Mtb	GSM3070972	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: NK	infection: Mtb	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	natural killer cells from Mtb infected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813232	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862181	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070972/suppl/GSM3070972_Sample_857_NK_Mtb.txt.gz	NK	857	Mtb	GSE112482
Sample_857_NK_uninf	GSM3070973	Public on Jun 04 2018	Mar 29 2018	Jun 05 2018	SRA	1	Lung	Homo sapiens	donor_id: 857	cell type: NK	infection: uninf	total RNA	Cells sorted into RLT buffer and RNA extracted with Qiagen micro RNA kit.	cDNA generation and amplification with SMartSeq v4 kit. Sequence libraries prepared with Nextera XT kit.	9606	natural killer cells from uninfected lung tissue	Sequence reads were trimmed for adaptor sequence and mapped to hg19 human genome using STAR v2.5.3a	Read counts were calculated using htseq-count.	Expression analysis performed with edgeR v3.12.1	Genome_build: hg19	Supplementary_files_format_and_content: processed data files include raw counts of uniquely mapped sequence reads with ensemble transcript ID per sample.	GPL18460	Jeroen,,Maertzdorf	MPIIB	Chariteplatz 1	Berlin	10117	Germany	0	Illumina HiSeq 1500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08813231	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3862182	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3070nnn/GSM3070973/suppl/GSM3070973_Sample_857_NK_uninf.txt.gz	NK	857	uninf	GSE112482
