series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num
GSE84076	GSE84076_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE84076.tsv	1	17	6
GSE148171	GSE148171_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE148171.tsv	1	211	28
GSE198557	GSE198557_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE198557.tsv	1	252	28
GSE132283	GSE132283_MTB_control_blood_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE132283.tsv	1	165	31
GSE143627	GSE143627_MTB_control_PBMC_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE143627.tsv	1	97	81
GSE148731	GSE148731_MTB_control_blood_monocytes	data/RNAseq_data_forDE/expression_matrices/GSE148731.tsv	1	206	89
GSE174566	GSE174566_MTB_control_blood_PBMC	data/RNAseq_data_forDE/expression_matrices/GSE174566.tsv	1	225	79
GSE193777	GSE193777_MTB_control_blood	data/RNAseq_data_forDE/expression_matrices/GSE193777.tsv	1	226	101
GSE64179	GSE64179_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64179.tsv	1	268	258
GSE64182	GSE64182_MTB_control_blood_dendritic_cells	data/RNAseq_data_forDE/expression_matrices/GSE64182.tsv	1	256	67
GSE110564	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	data/RNAseq_data_forDE/expression_matrices/GSE110564.tsv	1	70	21
GSE121049	GSE121049_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE121049.tsv	0	0	0
GSE141656	GSE141656_MTB_control_blood_blood	data/RNAseq_data_forDE/expression_matrices/GSE141656.tsv	1	62	22
GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5
GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91
GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2
GSE211974	GSE211974_MTB_control_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61
GSE211974	GSE211974_MTB_control_48h_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61
GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83
