GeneID	Symbol	Ensembl	log2FoldChange	AveExpr	t	P.Value	adj.P.Val	infected	control
890	CCNA2	ENSG00000145386	-0.5437780155556776	0.8309402343848209	-3.009180932589768	0.003560125197704163	0.02171349324977703	0.6091360438292156	1.1529140593848932
1399	CRKL	ENSG00000099942	-0.7151292198166785	1.0967431878405596	-2.648725410496724	0.009835886013620529	0.04791643631897422	0.8050457429153357	1.5201749627320142
6284	S100A13	ENSG00000189171	-0.7950709885306306	1.149664294419412	-3.8214813485122425	2.7076006754320106e-4	0.0028182696840022997	0.8253590227819181	1.6204300113125487
4208	MEF2C	ENSG00000081189	-0.870245272856178	1.128890554225898	-3.3106385912812777	0.0014299704629591892	0.010359762629154843	0.7739220876661406	1.6441673605223186
5018	OXA1L	ENSG00000155463	-0.9470980012554022	0.9749172552958096	-5.216633557729668	1.5485645508271934e-06	4.7979691666462544e-5	0.5886009653100537	1.535698966565456
4891	SLC11A2	ENSG00000110911	-0.9671178284568799	1.2506410615412484	-2.8390695672654527	0.005811386523865983	0.0318871533290049	0.8561587894075214	1.8232766178644013
1500	CTNND1	ENSG00000198561	-1.0448804973426624	1.5862882298821257	-2.662094893391031	0.009486361156821457	0.046629152275333395	1.1600869743870932	2.2049674717297556
1021	CDK6	ENSG00000105810	-1.1090796076209772	1.5056326900855845	-2.651930876558143	0.00975103345647678	0.04761536957076526	1.0532449553980807	2.162324563019058
10695	CNPY3	ENSG00000137161	-1.1226561280948255	1.5609284839521413	-2.8878793424884908	0.005058623289450107	0.02863575120306866	1.1030029580187262	2.2256590861135517
813	CALU	ENSG00000128595	-1.255707063771308	1.2808723402738231	-4.150870078905996	8.619821289527058e-5	0.00116624801872131	0.7686760379460527	2.0243831017173606
7165	TPD52L2	ENSG00000101150	-1.2940680653364665	1.5481104595721273	-2.949581762584044	0.004235733754529109	0.024942125592871754	1.020266906605938	2.3143349719424045
1029	CDKN2A	ENSG00000147889	-1.3400046535530605	1.484494473220622	-3.012011326695303	0.0035306733113553627	0.021569246420669142	0.9379136276923998	2.2779182812454604
