GeneID	Symbol	infected	control	AveExpr	F	P.Value	adj.P.Val	log2FoldChange
7092	TLL1	1.7515719085054156	1.751609676955535	1.6220801859186575	756.0380732363768	2.9802070664687854e-24	1.3241524591338779e-22	-3.1107925388518254e-5
6598	SMARCB1	1.4959229868524535	1.4959683622358655	1.5816650850285046	125.5351310254443	2.177154702725769e-15	7.984039315456451e-15	-4.376017240848018e-5
4191	MDH2	1.9020683196990396	1.9021808431939613	2.055618454953976	209.39094986127097	7.100977384144087e-18	3.734404645473256e-17	-8.534513971258928e-5
13602	NA	0.5163784205988455	0.5164150919918293	0.5477321974372195	19.118118103073655	4.402172864557163e-7	7.507728661518263e-7	-1.0245152816601431e-4
13096	NA	6.9987172553287635	6.999239023764956	6.355754592748864	234.96286876280072	1.9292930355469115e-18	1.1300628454578163e-17	-1.0755180552468602e-4
21306	NA	8.198391589340998	8.199209244156945	8.030478172814789	168.10883310275705	8.401938706115343e-17	3.7203810060746823e-16	-1.4387794422887623e-4
21580	NA	2.4978590670282	2.498136784300483	2.51139193302718	317.27698651059984	6.348504908203369e-20	5.348626828032479e-19	-1.603929802296289e-4
16717	NA	3.2921376999973404	3.29256106418401	2.9526998816876193	466.19143750739977	7.770669338452228e-22	1.1823457884698375e-20	-1.855165848323459e-4
16718	NA	3.2921376999973404	3.29256106418401	2.9526998816876193	466.19143750739977	7.770669338452228e-22	1.1823457884698375e-20	-1.855165848323459e-4
22148	NA	1.7377996934441824	1.738062299756173	1.7135342885001883	319.8752450168718	5.784620517538565e-20	4.900049514874731e-19	-2.1799532057198423e-4
5093	PCBP1	2.7103778448185563	2.7107998182626263	2.833300243590452	787.1418258231348	1.8718061433298713e-24	9.191581911373646e-23	-2.2459289630805124e-4
17223	NA	1.2279657935898327	1.2281660059697783	1.14103056308798	111.01727030588911	8.456110204405092e-15	2.8880279349284144e-14	-2.3520350851202745e-4
17224	NA	1.2279657935898327	1.2281660059697783	1.14103056308798	111.01727030588911	8.456110204405092e-15	2.8880279349284144e-14	-2.3520350851202745e-4
17225	NA	1.2279657935898327	1.2281660059697783	1.14103056308798	111.01727030588911	8.456110204405092e-15	2.8880279349284144e-14	-2.3520350851202745e-4
1718	DHCR24	5.806505324255237	5.8075279032656155	5.304032681644385	863.0525958703308	6.467985284704381e-25	4.1414598380500303e-23	-2.5404950065199827e-4
12690	NA	0.4273634647254369	0.4274439212478224	0.4754991169998946	31.031257357252255	5.1033048489284105e-9	1.0141088140830361e-8	-2.71579839155045e-4
20473	NA	0.266989781525964	0.26704549440627856	0.2208433919598775	8.87719263999682	1.6713754036052494e-4	2.3073846392378928e-4	-3.010164311516572e-4
12000	NA	2.046455595075354	2.046904298436876	1.920325897785053	710.7158961056333	6.078920670674178e-24	2.313851058539515e-22	-3.1628888440438097e-4
12001	NA	2.046455595075354	2.046904298436876	1.920325897785053	710.7158961056333	6.078920670674178e-24	2.313851058539515e-22	-3.1628888440438097e-4
12492	NA	0.492791638716942	0.49290854699974246	0.4471792282789086	27.91467036685534	1.4039181947131032e-8	2.6973834370799023e-8	-3.4221967910719187e-4
12493	NA	0.492791638716942	0.49290854699974246	0.4471792282789086	27.91467036685534	1.4039181947131032e-8	2.6973834370799023e-8	-3.4221967910719187e-4
12494	NA	0.492791638716942	0.49290854699974246	0.4471792282789086	27.91467036685534	1.4039181947131032e-8	2.6973834370799023e-8	-3.4221967910719187e-4
3652	IPP	69.70121195334688	69.71812530773234	73.03007983163467	364.32972082246073	1.3089275594547975e-20	1.3039618922428845e-19	-3.500348387213137e-4
22059	NA	4.3691296489498095	4.37021638505166	4.457990182943707	1404.908867305404	2.311356543880153e-27	7.3627385671360545e-25	-3.587977376970919e-4
5780	PTPN9	13.023415551446607	13.027134229854177	11.514838695850688	187.56818175122268	2.4552846112672208e-17	1.172266734421373e-16	-4.1188527526214713e-4
5781	PTPN11	13.023415551446607	13.027134229854177	11.514838695850688	187.56818175122268	2.4552846112672208e-17	1.172266734421373e-16	-4.1188527526214713e-4
5621	PRNP	3.399391173543994	3.4004085117284473	3.046995533594807	378.9489426524525	8.346647523838199e-21	8.833608843772422e-20	-4.316917651996377e-4
2408	NA	1.7289766053293243	1.729517260185779	1.3573431323751932	88.1747927581734	1.0492502663428044e-13	3.173140265877029e-13	-4.510634495384913e-4
2301	FOXE3	4.639919069251259	4.641386629636772	4.362965369795456	534.6536589391752	1.6106269129430256e-22	3.236626103387055e-21	-4.562379856283272e-4
1762	DMWD	1.3440638397970217	1.3446163464967331	1.3377407076879655	544.9101341529816	1.2945709111006118e-22	2.7086317603699548e-21	-5.929293420728898e-4
1280	COL2A1	6.081034828327807	6.083553541172225	5.819684541041013	720.6320325915915	5.181464554908486e-24	2.0594559202851399e-22	-5.97428284725865e-4
24	ABCA4	4.20217033545696	4.203968808314257	3.8699068296137606	669.3534034165585	1.2132209552233143e-23	3.8948058989730882e-22	-6.173221422125508e-4
1053	CEBPE	1.789093378352958	1.7898950909474975	1.7780374173765554	1083.705926710643	4.659246702154278e-26	6.083310317097632e-24	-6.46342850013415e-4
1054	CEBPG	1.789093378352958	1.7898950909474975	1.7780374173765554	1083.705926710643	4.659246702154278e-26	6.083310317097632e-24	-6.46342850013415e-4
1240	CMKLR1	2.902893558928952	2.90448250249926	2.5055972977692034	224.1281021815547	3.2921824609776878e-18	1.8517833043443932e-17	-7.894653427267251e-4
12661	NA	0.7908393515177453	0.7912754882931334	0.757300784083175	191.34876721361	1.961331080325898e-17	9.549639307978451e-17	-7.954067089281369e-4
