GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE143627_MTB_control_blood_PBMC_macrophage_dn.tsv	GSE148731_MTB_4h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF2_dn.tsv	GSE148731_MTB_24h_blood_CD14plus_monocyte_derived_macrophages_MF1_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
1	0	-1.2216244317443012	-2.036247975479856	0	-1.2804691907111043	-0.477519107931879	0	-0.3031522575778009	-0.5836535232150478	-0.2283910648289025	-0.14690521206403598	-0.4035130015719437	0	0	-0.312360125056173	-0.446679575964131	-0.0014698086326755243	-0.4260974586669891	0
100	0	0	0	0	0	0	0	0	0	0	-0.2546228361954652	0	0	0	0	0	0	0	0
1000	-0.16001372333608066	-0.4450183953260137	-1.3337987077723787	0	0	-0.4168792534349187	-0.34094727187112933	0	0	0	0	-2.7967179283645613	-1.5414718037903177	0	-1.4313378702543396	-1.5054572888743496	0	0	-5.192590504554732e-4
10000	-0.42725247488291807	-0.4404162391825433	-0.33929769416438393	0	0	-0.17010862835475196	0	0	0	-0.2327216787566864	-0.8274041393693297	0	0	0	0	0	0	-0.04638558337076451	0
10001	0	0	-0.2001410518054904	0	0	0	0	0	0	0	-0.050116223242945394	0	0	0	0	0	-0.19796829040761343	0	0
10002	0	-1.435001627135798	-0.9738493684941212	-0.7788061033094683	-1.202425282817806	0	-1.284191071019707	0	-1.1777878583081736	-0.23354216897786612	0	0	-0.967748477571205	-0.3306211219588421	0	0	0	-1.5428771181231709	-1.3719298945749587
10003	-0.38483794354621054	0	0	0	-0.8440739805599178	-0.5285203092941139	0	-1.2449493966785246	0	-0.3542009965237503	-1.9439166707106816	0	-1.0391892310797264	-0.6223913749069696	-0.28466457318191346	-0.22206187622604776	-0.6516684746703041	-0.041636161366421474	-0.2678337117554574
100033411	0	0	0	-1.4691495654555875	-1.4943762874710944	0	-0.34094727187112933	0	0	-0.09111928543011834	0	-0.6327272727432869	-1.4127757591352657	0	-0.7636135507714322	0	0	0	-1.3993598656032658
100037417	0	-0.038727832293006574	-0.17979938815292543	0	-0.3170617901869225	-0.4000024116478649	-0.4897272362423132	-1.7543409459520938	-2.1306579148246167	-0.3471125338509846	-0.5305001442462748	0	0	0	0	-0.7276119993221506	-0.002938559657532847	-0.2095536881404922	0
10004	0	-1.0681750465231623	-0.31615023737233233	0	-1.568007751219264	0	-0.18568774848029004	0	-0.26423328019031744	-0.02573906358662293	-0.01453861522871146	0	0	-1.1236453114232328	0	0	0	-1.028399966013534	-0.8142520106832563
