names	GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE84076_MTB_control_blood_dn.tsv
GSE132283_MTB_control_2h_blood_macrophage_dn.tsv	1	0.47075463089697966	0.5021575514300051	0.3962511715089035	0.35523670261378176	0.35465999463854886	0.44442202945329834	0.28348574502420654	0.4281799699460797	0.34219674903692565	0.3450482033304119	0.3556769135911213	0.36253486750348674	0.4615235322658903	0.3693071061492114	0.45275665399239545	0.32762331838565023
GSE132283_MTB_control_48h_blood_macrophage_dn.tsv	0.47075463089697966	1	0.3902846018355428	0.4728636273929347	0.3838487332339791	0.3717485549132948	0.41932931051538236	0.30057122132559616	0.4188656088366792	0.341047503045067	0.3558201058201058	0.37928258341533233	0.4254893035958125	0.38139705209191616	0.39741853957938444	0.3930488581566736	0.31503812732754033
GSE141656_MTB_control_blood_blood_dn.tsv	0.5021575514300051	0.3902846018355428	1	0.4500578886433007	0.43089770354906054	0.3403666221118961	0.5746838463373897	0.3986644053423786	0.4184905660377358	0.38553836438269656	0.33602554470323065	0.3132707528069207	0.3749644650810196	0.5454545454545454	0.4354531797696545	0.4122457120063821	0.30478733549494563
GSE143627_MTB_control_PBMC_macrophage_dn.tsv	0.3962511715089035	0.4728636273929347	0.4500578886433007	1	0.4934837367210601	0.36352987114408436	0.5453796350794585	0.34605128205128205	0.38526335277237805	0.39867535519709435	0.3764099572150914	0.33049100449775115	0.45130163835561365	0.45881981697696433	0.4443994328539599	0.39019337016574585	0.3145644195480008
GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.35523670261378176	0.3838487332339791	0.43089770354906054	0.4934837367210601	1	0.3119690390787238	0.46221027880416526	0.38868205510052123	0.36999908029062817	0.37311544544016867	0.3125232948192322	0.29300878477306	0.36182714177407127	0.4312383322962041	0.4133638717386975	0.34568138195777354	0.27442123094297005
GSE148171_MTB_control_blood_PBMC_dn.tsv	0.35465999463854886	0.3717485549132948	0.3403666221118961	0.36352987114408436	0.3119690390787238	1	0.34871071716357777	0.24439899600260295	0.367121565810738	0.22985541946772262	0.4842993925666632	0.6927308907877795	0.35206474753977746	0.363601273762424	0.36375586854460096	0.316547422491286	0.32023220403502095
GSE148731_MTB_control_blood_monocytes_dn.tsv	0.44442202945329834	0.41932931051538236	0.5746838463373897	0.5453796350794585	0.46221027880416526	0.34871071716357777	1	0.3873714475284751	0.4124288238759081	0.42361506085769535	0.35242554039246937	0.30694684321627325	0.4005254117409316	0.5506942013767355	0.45065196650058303	0.4098069900886802	0.3059118236472946
GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	0.28348574502420654	0.30057122132559616	0.3986644053423786	0.34605128205128205	0.38868205510052123	0.24439899600260295	0.3873714475284751	1	0.3719000381533766	0.3655315433311504	0.25466814568312074	0.2285276073619632	0.3061551512866434	0.3761781460383221	0.4245548266166823	0.31872315501757126	0.2359134889015367
GSE174566_MTB_control_blood_PBMC_dn.tsv	0.4281799699460797	0.4188656088366792	0.4184905660377358	0.38526335277237805	0.36999908029062817	0.367121565810738	0.4124288238759081	0.3719000381533766	1	0.35909090909090907	0.39354488744236504	0.38885893980233605	0.35420979986197376	0.41396392186185627	0.39226767133118046	0.46301944338543655	0.36396991377728855
GSE183912_MTB_control_blood_marcophages_dn.tsv	0.34219674903692565	0.341047503045067	0.38553836438269656	0.39867535519709435	0.37311544544016867	0.22985541946772262	0.42361506085769535	0.3655315433311504	0.35909090909090907	1	0.3482676224611708	0.2110893207345338	0.337525394214956	0.34907388560960717	0.30762598198888674	0.4004571903574397	0.38571428571428573
GSE193777_MTB_control_blood_dn.tsv	0.3450482033304119	0.3558201058201058	0.33602554470323065	0.3764099572150914	0.3125232948192322	0.4842993925666632	0.35242554039246937	0.25466814568312074	0.39354488744236504	0.3482676224611708	1	0.4300497901005565	0.3628707433174661	0.33128777312877733	0.31724570200573066	0.37468091141155335	0.46994249869315213
GSE198557_MTB_control_blood_PBMC_dn.tsv	0.3556769135911213	0.37928258341533233	0.3132707528069207	0.33049100449775115	0.29300878477306	0.6927308907877795	0.30694684321627325	0.2285276073619632	0.38885893980233605	0.2110893207345338	0.4300497901005565	1	0.33369060378706683	0.32784763313609466	0.34896690437008593	0.3224519405150526	0.3036324983824753
GSE211974_MTB_control_blood_THP-1_dn.tsv	0.36253486750348674	0.4254893035958125	0.3749644650810196	0.45130163835561365	0.36182714177407127	0.35206474753977746	0.4005254117409316	0.3061551512866434	0.35420979986197376	0.337525394214956	0.3628707433174661	0.33369060378706683	1	0.3834201800094742	0.37518341892883345	0.3502140449949904	0.326060830174725
GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv	0.4615235322658903	0.38139705209191616	0.5454545454545454	0.45881981697696433	0.4312383322962041	0.363601273762424	0.5506942013767355	0.3761781460383221	0.41396392186185627	0.34907388560960717	0.33128777312877733	0.32784763313609466	0.3834201800094742	1	0.43532338308457713	0.40253862048607697	0.2841693082230095
GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	0.3693071061492114	0.39741853957938444	0.4354531797696545	0.4443994328539599	0.4133638717386975	0.36375586854460096	0.45065196650058303	0.4245548266166823	0.39226767133118046	0.30762598198888674	0.31724570200573066	0.34896690437008593	0.37518341892883345	0.43532338308457713	1	0.44163385826771656	0.24764420959929548
GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	0.45275665399239545	0.3930488581566736	0.4122457120063821	0.39019337016574585	0.34568138195777354	0.316547422491286	0.4098069900886802	0.31872315501757126	0.46301944338543655	0.4004571903574397	0.37468091141155335	0.3224519405150526	0.3502140449949904	0.40253862048607697	0.44163385826771656	1	0.3810933491217683
GSE84076_MTB_control_blood_dn.tsv	0.32762331838565023	0.31503812732754033	0.30478733549494563	0.3145644195480008	0.27442123094297005	0.32023220403502095	0.3059118236472946	0.2359134889015367	0.36396991377728855	0.38571428571428573	0.46994249869315213	0.3036324983824753	0.326060830174725	0.2841693082230095	0.24764420959929548	0.3810933491217683	1
