names	GSE132283_MTB_control_2h_blood_macrophage_up.tsv	GSE132283_MTB_control_48h_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE132283_MTB_control_2h_blood_macrophage_up.tsv	1	0.4504265402843602	0.519991355089691	0.401500197394394	0.359908667110646	0.36479779411764707	0.47769360269360267	0.310512773387245	0.39730802750072625	0.3552013079910076	0.3239637922820391	0.37036365285209033	0.35570345720096136	0.45594187856772184	0.3724902334877805	0.4576254637766061	0.33237074988355847
GSE132283_MTB_control_48h_blood_macrophage_up.tsv	0.4504265402843602	1	0.39980059820538383	0.492	0.39813816756491915	0.39379407616361073	0.4547530095475301	0.33900855987207223	0.39195979899497485	0.3582349923037455	0.35162264886463307	0.40038989974006683	0.4221876821449388	0.38455453376841686	0.4057606263982103	0.3977677734008629	0.3319339490624125
GSE141656_MTB_control_blood_blood_up.tsv	0.519991355089691	0.39980059820538383	1	0.4261463844797178	0.4132957379893721	0.3747849843165031	0.556692242114237	0.3767210336793052	0.4014474244359302	0.34348410210479174	0.2996913580246914	0.37554628526023043	0.3508011690013101	0.5120217932014687	0.4027355623100304	0.41494978776270836	0.286094674556213
GSE143627_MTB_control_PBMC_macrophage_up.tsv	0.401500197394394	0.492	0.4261463844797178	1	0.47899348461019997	0.39953080375357	0.5403697078115682	0.3327582707529937	0.36655023628518596	0.36475087166797887	0.35876968922945934	0.39134328358208953	0.4354787403244619	0.42778085224128387	0.4130193065804104	0.3864777978702029	0.30821169695164335
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.359908667110646	0.39813816756491915	0.4132957379893721	0.47899348461019997	1	0.3569393969158236	0.4642656162070906	0.3792492179353493	0.3601380850847802	0.3425559947299078	0.2986973644350197	0.3616753724124589	0.34903513112320633	0.41116420503909645	0.3845926800472255	0.34968431277319084	0.27451733743156276
GSE148171_MTB_control_blood_PBMC_up.tsv	0.36479779411764707	0.39379407616361073	0.3747849843165031	0.39953080375357	0.3569393969158236	1	0.41155046826222685	0.30080226521944314	0.3480529519760363	0.2835626066874184	0.4914952751528627	0.7303689687795648	0.3636101499423299	0.3683094324378913	0.3717179294823706	0.3317972350230415	0.3552941176470588
GSE148731_MTB_control_blood_monocytes_up.tsv	0.47769360269360267	0.4547530095475301	0.556692242114237	0.5403697078115682	0.4642656162070906	0.41155046826222685	1	0.3681602530311017	0.42257331457634456	0.38778820530645347	0.3445996374880051	0.40162189559047135	0.3978898986733521	0.5378303366718957	0.422119341563786	0.42685349785632126	0.30725976503665026
GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.310512773387245	0.33900855987207223	0.3767210336793052	0.3327582707529937	0.3792492179353493	0.30080226521944314	0.3681602530311017	1	0.3992670157068063	0.3021890016017085	0.23643373493975903	0.32203708933446296	0.2961303850552802	0.3472972972972973	0.4178953746717835	0.34074862172357095	0.2397901835893593
GSE174566_MTB_control_blood_PBMC_up.tsv	0.39730802750072625	0.39195979899497485	0.4014474244359302	0.36655023628518596	0.3601380850847802	0.3480529519760363	0.42257331457634456	0.3992670157068063	1	0.3586813186813187	0.3322058220582206	0.378698224852071	0.3180164656327781	0.37343096234309625	0.3616674652611404	0.4378971100635376	0.3348934475204143
GSE183912_MTB_control_blood_marcophages_up.tsv	0.3552013079910076	0.3582349923037455	0.34348410210479174	0.36475087166797887	0.3425559947299078	0.2835626066874184	0.38778820530645347	0.3021890016017085	0.3586813186813187	1	0.34328866681807857	0.3004685475027415	0.30556419023935344	0.29979354558296206	0.2440141180959649	0.40165631469979296	0.38490267089180624
