GeneID	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_PTB_control_blood	GSE139871_GPL10558_MTB_control_blood_monocyte
2554	-1.4344550906475462e-4	-0.06069345720532604	-0.06593142091814291	-0.2725107086422507	0
6445	-2.176391327484151e-4	0	0	0	-0.02266191196493688
9119	-2.486656138681598e-4	0	-0.4034752862236721	-2.2665113609404512	-0.02922041823881249
6234	-3.0836195938593533e-4	0	0	0	0
2623	-3.133667028997478e-4	-0.1578484998346119	0	-0.823394013842988	-0.0937411128481968
3201	-8.417005096905683e-4	-0.5614948882944049	-0.3535575419019832	0	-0.06677805521156979
3274	-8.693107176488898e-4	-1.189809245280648	0	0	-0.08068396775044895
8806	-9.48087083641906e-4	0	0	0	0
9970	-9.860024286155733e-4	0	0	-7.446727734360611	-0.04775998740413545
5799	-9.869886581651557e-4	0	0	-3.1963958632213174	0
4515	-9.976811346203843e-4	0	-0.490121932531453	-1.6182102014333215	-0.04319086484987583
10588	-0.00129620779686884	0	0	-3.3938192174606776	0
5944	-0.00130356767950279	0	0	-3.166256260785417	-0.00100098530631242
3407	-0.0014510620957277	0	-0.22836451862724252	0	0
10656	-0.00177314889798579	0	-0.08534616229216978	0	0
7384	-0.00187629660916294	0	0	-0.5706643170626728	-0.06718433106125415
4791	-0.00193272512335715	-0.07841048298123843	-0.05976685399155107	0	-0.11839993553261816
9370	-0.00194397794958006	0	0	-1.114225812999069	-0.20585163865729167
7963	-0.00200874367819768	-4.5928536373032736e-4	-0.03699491530501575	-0.4355140889905644	0
5884	-0.0021571995529091	0	0	0	0
8337	-0.00277850788894093	0	0	0	-0.02456538643580559
142	-0.0030324527385499	-1.1722673512134678	0	-1.2075671915623547	-0.1559192046547072
2429	-0.00314469700326403	0	-0.29617206749738434	-1.1307648686013678	0
10961	-0.00330240917771582	0	-0.07144955121683855	-1.1842456511173194	-0.02528649522083309
3174	-0.00395231196779369	-1.8970967900005355	-3.773353546629473	-0.12049676786984163	-0.02272303460800737
8890	-0.00403280256233229	-0.6198659886314881	-0.08286457383180357	0	0
11222	-0.004084200412243	-0.0236174610741589	-0.15107532867644902	-3.917564253947563	0
10643	-0.00412166072481379	0	-0.00689072080345573	-0.4312138771609624	0
8807	-0.00412709291309945	0	0	0	0
8945	-0.00416984384459917	0	-0.3070764905300023	-0.14928340825020991	-0.02725033984083993
5179	-0.00442355967765845	0	-0.4395539540406279	-0.3762351665901424	-1.0712694939070693
10628	-0.00461439102261906	-1.5167267081754587e-4	-0.04937885895054533	0	0
11188	-0.00476952146826836	0	-0.13180501244824955	-0.938734098484432	-0.8628039155314227
2037	-0.00478165943493597	-0.15517902574382814	-0.07727077407106231	0	0
4999	-0.00499318275570725	-0.13280018455682863	-0.08624210407307875	-0.39602970447197006	-0.09058626096705474
9967	-0.00508560460807028	0	-0.06638964624776078	0	-0.01335315369516017
10954	-0.00515583588959556	0	-0.07144955121683855	0	0
10317	-0.00572166542189128	0	0	0	0
221	-0.0060681953920827	-1.676052463017089	-38.97071687078811	-0.21500460744191585	0
11036	-0.00611140451232822	0	0	0	0
5787	-0.00614633837836664	-6.147497197742935e-4	-0.6978852590308355	0	0
3996	-0.00615214352465913	-0.13371673509978432	0	0	0
6005	-0.00617086649766984	-0.4499868143152234	-0.00349090815041959	0	-9.001696138857818e-4
2589	-0.00618389107270944	0	0	0	-0.00258354077657165
6976	-0.00643179634720883	-0.03085948913590619	0	-0.3897538983574411	0
4795	-0.006450973135151	0	0	-0.3263004448586846	0
7938	-0.00654395330213467	0	-0.01419872104085712	-1.781248505458433	0
4922	-0.00681173731773998	-0.00495960834741254	0	0	-0.01439763726372689
8513	-0.00692602739661402	0	0	0	0
6224	-0.00699801857668822	-0.46017289575938847	-0.7451460365893987	0	0
9871	-0.00720903739642064	-1.0597895025918151	-0.3082508850842287	0	0
