GeneID	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE139871_GPL10558_MTB_control_blood_monocyte
5289	144.0880906341271	1.3478353342773142	0	0	0	0.00909362257688735
5288	94.64233407233866	0	0	0	0	0.00909362257688735
8653	89.895581593163	0.7831850191853746	0	0	0	0.06816785181279073
2931	77.52971704164595	0.8340176265328392	1.0421941559240704	0	0	0.01077215084808891
4199	72.34574201672432	0.8543661069273871	1.334288997195063	0	0	0.04293364708601932
2203	58.040518832274266	6.307008549122679	1.9297269496605305	0.08236960472393928	0.08236960472393928	0.01788553922076013
5066	56.08473249786757	0	0.00556459071071935	0.9682740247278464	0.9682740247278464	0.0772341853727937
10327	54.42821813931268	0.05881621033340667	0.2203088020779248	0	0	0.1559133924953245
2788	52.1197643825488	0	0	0	0	0
3998	51.285668463555545	0.4221919507329952	0.15708274928467603	0.1721953689298139	0.1721953689298139	0
6870	48.57990299734642	0.34191319075995	1.2238878963021338	0	0	0.3943904006082311
3693	46.819295097573125	0	1.2791366888862816	0	0	14.685146526502468
7745	44.09533048947848	0	0	0	0	0.10216925408398096
2295	43.9084302610386	0	0	0	0	0
9284	39.14150237096069	0	0	0.09528907387992368	0.09528907387992368	0
3604	36.85235578897596	0.352870761183119	1.3398673548909257	0	0	0.2090947714121958
9840	34.744794091928576	0.05017013476275345	0	0	0	0.3122043256885312
2520	34.52086001570764	0	0	1.6717903596519257	1.6717903596519257	0
6914	34.45522522885759	0	0	0.10537708605454688	0.10537708605454688	0
4581	33.253436172583385	0	0.4621505431670988	0	0	0.2362334104218935
6329	32.89436164555193	0	1.4487520164255476	0.7153870321000495	0.7153870321000495	0.4406571260480617
6561	32.40326039283255	0.18944846490304945	0.2017365233458092	0.22918671027729545	0.22918671027729545	0.3011887095046859
8877	32.192812925312495	0	0	1.6456341482889831	1.6456341482889831	0
3092	32.15719525751243	0	0.098580700743663	0.6189552497311749	0.6189552497311749	0.01870644619698544
5080	30.66036104663644	0	0.23454970645999812	1.871156354422204	1.871156354422204	0.06062073469799481
1641	30.636567450012933	0	0.09531751959921576	0.5056401506852375	0.5056401506852375	0.5316170881876534
2249	30.570852567688476	0	0	0.8735851276061224	0.8735851276061224	0
6770	30.26656282237071	0	0	0	0	0
