Ensembl	GeneID	Symbol	baseMean	log2FoldChange	lfcSE	stat	P.Value	adj.P.Val
ENSG00000102977	65057	ACD	355.75396231395473	-0.9186161999432245	0.3170792873296141	-2.897118281296922	0.0037660773528911617	0.02661932848740984
ENSG00000174684	11041	B4GAT1	57.42256798531878	-1.7691512130740388	0.4699246482984969	-3.7647550931405305	1.6671239879560373e-4	0.003214353501967796
ENSG00000161267	622	BDH1	272.7946826116087	-1.4018471112206767	0.5239656074124683	-2.67545634940336	0.007462759061943248	0.04225388046696563
ENSG00000137274	670	BPHL	57.35823386521084	-1.5518424024842918	0.4805280476095625	-3.2294522873411773	0.0012402757482506072	0.012665486133093694
ENSG00000159231	874	CBR3	42.51775514577026	-1.8290000792368593	0.6095809015702093	-3.0004222155345883	0.0026960560420210616	0.021256206153177908
ENSG00000119242	80212	CCDC92	900.26508343815	-1.2182719670677218	0.38143757558191776	-3.1938960528708713	0.001403666494507362	0.01373116106097496
ENSG00000135446	1019	CDK4	450.0014151378197	-0.9704404392655213	0.30138159065873077	-3.219972517712267	0.0012820288647234068	0.012953514627934745
ENSG00000153140	1070	CETN3	120.88370391279096	-1.5130895829844049	0.47999889840883836	-3.1522771989689713	0.001620024006407893	0.015123255379786914
ENSG00000183765	11200	CHEK2	114.14389260942394	-1.6026813916495766	0.3910761851328854	-4.098130882362461	4.164997654038549e-5	0.001262623377361009
ENSG00000160917	10898	CPSF4	556.8357979630778	-0.7990856314019674	0.28001006171856757	-2.85377470544295	0.004320315783181684	0.02918061852742558
ENSG00000178105	1662	DDX10	446.0272474476794	-1.4180104506417177	0.43182944550051333	-3.283728021367714	0.0010244373456728903	0.011173243153358521
ENSG00000160049	1676	DFFA	791.1077949516042	-1.3223785347556156	0.3440935926995688	-3.843078054377479	1.2150080529707304e-4	0.0025848965136051074
ENSG00000103423	9093	DNAJA3	618.181480083682	-1.1766776270778014	0.34749885943121445	-3.3861337818598467	7.088481782824618e-4	0.00866320382507731
ENSG00000132199	55556	ENOSF1	637.8919635915045	-1.3986812634803247	0.40403434245456016	-3.4617880623294486	5.365995333957668e-4	0.007175824432234488
ENSG00000105255	79187	FSD1	56.031189996110854	-2.03148376227972	0.5901458360207195	-3.442341940388437	5.767007712161335e-4	0.007534650592286206
ENSG00000138796	3033	HADH	262.6318534244521	-0.9132428433707936	0.34554382054079613	-2.6429147016477263	0.008219573949820692	0.04499603120144024
ENSG00000095066	29911	HOOK2	298.7963646364594	-0.9817095369686347	0.3354755126947389	-2.9263224879901357	0.0034299518489820783	0.025024553200123454
ENSG00000116237	23463	ICMT	530.0305951096786	-1.2014832272861344	0.3706477752938827	-3.2415767943932514	0.001188704024653737	0.012338567588938166
ENSG00000206053	90861	JPT2	457.08630460643855	-1.4212104010189377	0.5293571581909843	-2.684785459170434	0.007257637679922195	0.04150634253597361
ENSG00000196976	8270	LAGE3	132.66435311637335	-1.278866539076423	0.447558089342092	-2.8574314028294068	0.004270849370992965	0.029037506766242806
ENSG00000112118	4172	MCM3	863.285947844999	-1.0855290724819724	0.4155951120505367	-2.611987102365081	0.00900176500813238	0.04786003492106373
ENSG00000182180	51021	MRPS16	887.9572720030402	-0.8233007345992018	0.2968427172802371	-2.7735251251657194	0.005545255813137382	0.03452081744284153
ENSG00000136997	4609	MYC	937.6677410094856	-1.5611082672576786	0.5685286227833516	-2.7458745341878203	0.006034983842875003	0.036590232768181206
ENSG00000164867	4846	NOS3	42.69246681308634	-1.8743625296604647	0.43601279540497057	-4.298870467596137	1.716707618188735e-5	6.874911041867975e-4
ENSG00000015676	23386	NUDCD3	1013.0021571145927	-1.0625017530505318	0.3150493443102995	-3.3724931419125532	7.44909415888248e-4	0.008944291397993909
ENSG00000079462	5050	PAFAH1B3	129.6127462311932	-1.1651287453463648	0.32867964023373153	-3.544876538497533	3.9279702430431736e-4	0.005791703812446558
ENSG00000143799	142	PARP1	2442.3071241812972	-1.1425265127378765	0.37377845935640375	-3.056694371059139	0.0022379233244810785	0.018803078614423843
ENSG00000100889	5106	PCK2	434.6580049924221	-1.0011336306784755	0.38185303738441434	-2.6217773139529243	0.008747256541108177	0.04696891721440029
ENSG00000197461	5154	PDGFA	52.42920201860621	-1.1144974143064212	0.368727495015253	-3.0225503369644793	0.002506543916418585	0.02022785284646707
ENSG00000166821	8800	PEX11A	23.753158813732586	-1.4445755654714194	0.39742748871909916	-3.6348154228769065	2.7817972516829193e-4	0.004552263504508289
ENSG00000092621	26227	PHGDH	131.78597435463712	-1.6297387862773505	0.5979959908450267	-2.7253339674976256	0.006423647519574927	0.03815187794661822
ENSG00000276293	8396	PIP4K2B	1394.7550248095783	-0.8509825283803657	0.2634299450986335	-3.2303940543347895	0.0012361971023660014	0.01263993892722233
ENSG00000105258	5438	POLR2I	214.96181267555667	-1.1087648777581616	0.3760514297034147	-2.9484394691242772	0.0031938267896053705	0.02386627018643459
ENSG00000143224	5498	PPOX	349.7814138909046	-1.2675252051762018	0.3501813725456889	-3.619624870282971	2.9503041346418726e-4	0.004743714147978735
ENSG00000164985	11168	PSIP1	2773.372241044939	-0.9305460051918131	0.34473539418339977	-2.699305092812028	0.0069484443654463275	0.04016228443801425
ENSG00000039560	26064	RAI14	14.665384918018026	-2.449067180611637	0.8962584795185226	-2.7325456177857266	0.006284696774955138	0.03762262228108628
ENSG00000004534	10180	RBM6	3116.159863489846	-1.1486801574446888	0.28936410039333527	-3.969670584164647	7.197206527397211e-5	0.0018333190631385323
ENSG00000163923	116832	RPL39L	80.42761580978505	-1.071578239165874	0.39079204325947187	-2.7420676998133877	0.006105375665071638	0.03693046407747412
ENSG00000142082	23410	SIRT3	417.34166400088753	-0.9189090974557708	0.3065799331055288	-2.997290423243293	0.0027239107789306764	0.021374482896887093
ENSG00000137700	2542	SLC37A4	166.16223658041923	-1.3401364516021628	0.2829612977158877	-4.736112190677576	2.178570180467326e-6	1.5370142709587964e-4
ENSG00000127616	6597	SMARCA4	2483.767956965805	-0.8155492850544082	0.2962913757305121	-2.752524547984752	0.005913771260727389	0.03604304253723955
ENSG00000178078	55620	STAP2	31.13624585452516	-2.230606166969385	0.5864895968150416	-3.8033175338195133	1.4277116269435512e-4	0.0028834988322823446
ENSG00000115694	10494	STK25	1256.628579748728	-0.803790294316646	0.2755468573409234	-2.9170729874162475	0.00353333081456321	0.025476310939814388
ENSG00000136854	6812	STXBP1	53.03322027654608	-1.5690967481130826	0.46352616031261357	-3.385130942889706	7.114430733153609e-4	0.008680204396685097
ENSG00000204852	79600	TCTN1	304.9909764107784	-1.4696137700190979	0.36165058429498453	-4.063628910994349	4.831561848384778e-5	0.0013956380019118412
ENSG00000168286	57215	THAP11	619.2948537861633	-0.8879647698893656	0.34231121806301806	-2.594027665566879	0.009485885355409791	0.049640165887650495
ENSG00000111602	8914	TIMELESS	366.0339235861265	-1.2467365132948196	0.37845457650175834	-3.294283094206491	9.867306643573809e-4	0.010908387145094275
ENSG00000110108	79073	TMEM109	1237.6664647038274	-0.6956865735158589	0.2675806404630235	-2.599913701948085	0.009324720678031102	0.04899529379957574
ENSG00000141510	7157	TP53	1104.277560702115	-1.404491093085689	0.41875624312054555	-3.3539585765205757	7.966428781310753e-4	0.0093673936811352
ENSG00000126602	10131	TRAP1	705.9591700093556	-1.4415339308316297	0.35389037095436665	-4.0733912226662765	4.6333496803808966e-5	0.0013562146185321067
ENSG00000007255	79090	TRAPPC6A	345.5213814072944	-1.1366337673839613	0.3446817115987852	-3.2976329440623773	9.750350441344407e-4	0.010826025089137112
ENSG00000154743	80746	TSEN2	117.09414922436768	-1.1920192333749622	0.39225313437027565	-3.038903016769091	0.0023744127893790337	0.019549918207743138
ENSG00000109501	7466	WFS1	80.31851309295381	-1.7539100915796126	0.6138408331202708	-2.8572717827586525	0.0042729978841031975	0.029037926660154888
