names	GSE110564_MTB_control	GSE112483_MTBam_control	GSE112483_MTBmait_control	GSE112483_MTBnkt_control	GSE129270_MTB72h_control	GSE148171_MTB_control	GSE157657_PTB_control	GSE198557_MTB_control	GSE67427_MTBrv18h_control
GSE110564_MTB_control	1	0.025	0	0	0.043478260869565216	0.034013605442176874	0.04927536231884058	0	0.012903225806451613
GSE112483_MTBam_control	0.025	1	0.038461538461538464	0.0625	0.044642857142857144	0	0.02867383512544803	0	0
GSE112483_MTBmait_control	0	0.038461538461538464	1	0	0	0	0.007575757575757576	0	0
GSE112483_MTBnkt_control	0	0.0625	0	1	0.00980392156862745	0.03278688524590164	0.007380073800738007	0.047619047619047616	0.0625
GSE129270_MTB72h_control	0.043478260869565216	0.044642857142857144	0	0.00980392156862745	1	0.013888888888888888	0.022988505747126436	0.019417475728155338	0.02027027027027027
GSE148171_MTB_control	0.034013605442176874	0	0	0.03278688524590164	0.013888888888888888	1	0.07482993197278912	0.14035087719298245	0.0673076923076923
GSE157657_PTB_control	0.04927536231884058	0.02867383512544803	0.007575757575757576	0.007380073800738007	0.022988505747126436	0.07482993197278912	1	0.011029411764705883	0.012618296529968454
GSE198557_MTB_control	0	0	0	0.047619047619047616	0.019417475728155338	0.14035087719298245	0.011029411764705883	1	0.014492753623188406
GSE67427_MTBrv18h_control	0.012903225806451613	0	0	0.0625	0.02027027027027027	0.0673076923076923	0.012618296529968454	0.014492753623188406	1
