GeneID	GSE148171_MTB_control	GSE157657_PTB_control	GSE112483_MTBam_control	GSE112483_MTBmait_control	GSE112483_MTBnkt_control	GSE129270_MTB72h_control	GSE198557_MTB_control	GSE67427_MTBrv18h_control	GSE110564_MTB_control
10007	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	0	0
10038	0	0	0	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	0	0
10049	0	0	0	0	0	0	0	0	0
10051	0	0	0	0	0	0	0	0	0
10057	0	0	0	0	0	0	0	0	0
10058	0	0	0	0	0	-1.0178251070923336	0	0	0
10059	0	0	0	0	0	0	0	0	0
10099	0	-0.14640759806632633	0	0	0	0	0	0	0
10112	0	0	0	0	0	0	0	0	0
10123	0	-0.2563966862423871	0	0	0	0	0	0	0
10131	-1.4415339308316297	0	0	0	0	0	0	0	0
10146	0	-0.26996234490864884	0	0	0	0	0	0	0
10150	0	0	0	0	0	0	0	0	0
10153	0	-0.2687311658367789	0	0	0	0	0	0	0
10165	0	0	0	0	0	0	0	0	0
1017	0	-0.24707767195726082	0	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	0	0
10180	-1.1486801574446888	0	0	0	-1.651624783224073	0	-0.9691329730807576	0	0
1019	-0.9704404392655213	-0.10389230305417313	0	0	0	0	0	0	0
10190	0	-0.10829316633539056	0	0	0	0	0	0	0
102	0	-0.22673586866163134	0	0	0	0	0	0	0
10206	0	0	0	0	0	0	0	0	0
1021	0	-0.14427572014335377	0	0	0	0	0	0	0
1022	0	0	0	0	0	0	0	0	0
10221	0	0	0	0	0	0	0	0	-1.0014494206439413
10227	0	0	0	0	0	0	0	0	0
10237	0	0	0	0	0	0	0	0	0
10245	0	0	0	0	0	0	0	0	0
1026	0	0	0	0	0	0	0	0	0
1027	0	-0.30382177592256976	0	0	0	0	0	0	0
10270	0	0	0	0	0	0	0	0	0
10273	0	0	0	0	0	0	0	-0.9640179589110269	0
10276	0	0	0	0	0	0	0	0	0
10285	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0
