study_id	platform_id	tb_status	time_point	tissue_cell_type	sample_origin	tissue_category	series_id	SIGNATURE_NAME	EXPRMAT_PATH	signature	up_genes_num	dn_genes_num	technology
GSE143731	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE143731	GSE143731_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE143731.tsv	1	3	5	RNAseq
GSE164287	NA	MTB	NA	blood_monocyte_derived_macrophages	primary	circulating	GSE164287	GSE164287_MTB_control_blood_monocyte_derived_macrophages	data/RNAseq_data_forDE/expression_matrices/GSE164287.tsv	1	79	91	RNAseq
GSE165708	NA	MTB	NA	BAL_bronchoalveolar_lavage	primary	lung	GSE165708	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	data/RNAseq_data_forDE/expression_matrices/GSE165708.tsv	1	23	1	RNAseq
GSE183912	NA	MTB	NA	blood_marcophages	primary	circulating	GSE183912	GSE183912_MTB_control_blood_marcophages	data/RNAseq_data_forDE/expression_matrices/GSE183912.tsv	1	24	2	RNAseq
GSE211974	NA	MTB	NA	blood_THP-1	cell line	circulating	GSE211974	GSE211974_MTB_control_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq
GSE211974	NA	MTB	48h	blood_THP-1	cell line	circulating	GSE211974	GSE211974_MTB_control_48h_blood_THP-1	data/RNAseq_data_forDE/expression_matrices/GSE211974.tsv	1	98	61	RNAseq
GSE236156	NA	MTB	NA	BALF_alveolar_macrophage	primary	lung	GSE236156	GSE236156_MTB_control_BALF_alveolar_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq
GSE236156	NA	MTB	NA	blood_monocyte_derived_macrophage	primary	circulating	GSE236156	GSE236156_MTB_control_blood_monocyte_derived_macrophage	data/RNAseq_data_forDE/expression_matrices/GSE236156.tsv	1	98	83	RNAseq
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_TB_signature1	NA	1	98	98	microarray
NA	NA	NA	NA	NA	NA	NA	NA	aggregated_TB_signature2	NA	1	98	98	RNASeq
