"","id","is_bing","is_lm","pr_gene_id","pr_gene_symbol","pr_gene_title"
"1","200814_at",1,1,5720,"PSME1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
"2","222103_at",1,1,466,"ATF1","activating transcription factor 1"
"3","201453_x_at",1,1,6009,"RHEB","Ras homolog enriched in brain"
"4","204131_s_at",1,1,2309,"FOXO3","forkhead box O3"
"5","200059_s_at",1,1,387,"RHOA","ras homolog gene family, member A"
"6","205067_at",1,1,3553,"IL1B","interleukin 1, beta"
"7","213702_x_at",1,1,427,"ASAH1","N-acylsphingosine amidohydrolase (acid ceramidase) 1"
"8","214435_x_at",1,1,5898,"RALA","v-ral simian leukemia viral oncogene homolog A (ras related)"
"9","201334_s_at",1,1,23365,"ARHGEF12","Rho guanine nucleotide exchange factor (GEF) 12"
"10","213721_at",1,1,6657,"SOX2","SRY (sex determining region Y)-box 2"
"11","202627_s_at",1,1,5054,"SERPINE1","serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
"12","217478_s_at",1,1,3108,"HLA-DMA","major histocompatibility complex, class II, DM alpha"
"13","206254_at",1,1,1950,"EGF","epidermal growth factor"
"14","200602_at",1,1,351,"APP","amyloid beta (A4) precursor protein"
"15","205581_s_at",1,1,4846,"NOS3","nitric oxide synthase 3 (endothelial cell)"
"16","206562_s_at",1,1,1452,"CSNK1A1","casein kinase 1, alpha 1"
"17","205897_at",1,1,4776,"NFATC4","nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4"
"18","203135_at",1,1,6908,"TBP","TATA box binding protein"
"19","204531_s_at",1,1,672,"BRCA1","breast cancer 1, early onset"
"20","200882_s_at",1,1,5710,"PSMD4","proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"
"21","206501_x_at",1,1,2115,"ETV1","ets variant 1"
"22","207199_at",1,1,7015,"TERT","telomerase reverse transcriptase"
"23","209572_s_at",1,1,8726,"EED","embryonic ectoderm development"
"24","203110_at",1,1,2185,"PTK2B","PTK2B protein tyrosine kinase 2 beta"
"25","201841_s_at",1,1,3315,"HSPB1","heat shock 27kDa protein 1"
"26","204297_at",1,1,5289,"PIK3C3","phosphoinositide-3-kinase, class 3"
"27","209682_at",1,1,868,"CBLB","Cas-Br-M (murine) ecotropic retroviral transforming sequence b"
"28","206752_s_at",1,1,1677,"DFFB","DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"
"29","209747_at",1,1,7043,"TGFB3","transforming growth factor, beta 3"
"30","204061_at",1,1,5613,"PRKX","protein kinase, X-linked"
"31","208711_s_at",1,1,595,"CCND1","cyclin D1"
"32","214062_x_at",1,1,4793,"NFKBIB","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta"
"33","207034_s_at",1,1,2736,"GLI2","GLI family zinc finger 2"
"34","204369_at",1,1,5290,"PIK3CA","phosphoinositide-3-kinase, catalytic, alpha polypeptide"
"35","200081_s_at",1,1,6194,"RPS6","ribosomal protein S6"
"36","203277_at",1,1,1676,"DFFA","DNA fragmentation factor, 45kDa, alpha polypeptide"
"37","212287_at",1,1,23512,"SUZ12","suppressor of zeste 12 homolog (Drosophila)"
"38","213191_at",1,1,148022,"TICAM1","toll-like receptor adaptor molecule 1"
"39","218995_s_at",1,1,1906,"EDN1","endothelin 1"
"40","201471_s_at",1,1,8878,"SQSTM1","sequestosome 1"
"41","200989_at",1,1,3091,"HIF1A","hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
"42","204748_at",1,1,5743,"PTGS2","prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)"
"43","210145_at",1,1,5321,"PLA2G4A","phospholipase A2, group IVA (cytosolic, calcium-dependent)"
"44","200768_s_at",1,1,4144,"MAT2A","methionine adenosyltransferase II, alpha"
"45","208624_s_at",1,1,1981,"EIF4G1","eukaryotic translation initiation factor 4 gamma, 1"
