id	title	publication_title	description	technology	accession_code	alternate_accession_code	submitter_institution	has_publication	publication_doi	publication_authors	sample_metadata_fields	platform_names	platform_accession_codes	organism_names	downloadable_organism_names	pubmed_id	num_total_samples	num_processed_samples	num_downloadable_samples	source_first_published
33246	Blood Transcriptional Profiles in Human Active and Latent Tuberculosis	An interferon-inducible neutrophil-driven blood transcriptional signature in human tuberculosis.	This series regroups different datasets (training set, test set, validation set, longitudinal set, separated cell set) to identify and characterise a specific transcriptional signature for patients with active TB, distinct from patients with latent TB and healthy controls. The training set dataset was used to identify a whole blood transcriptional signature for active TB patients in London, across a range of ethnicity. This signature was then validated in an independent cohort of patients, also recruited in London (the test set), and then further confirmed in an additional independent cohort recruited in Cape Town, South Africa (validation set), in order to confirm that the defined signature was present in both high (Cape Town, South Africa) and medium incidence regions (London, UK). The longitudinal dataset was then used to explore how successful TB treatment modifies this transcriptional signature. The separated cell set compares the transcriptional profiles in purified cell subsets (neutrophils, monocytes and T cells) to assess which cell types are contributing to the whole blood signature, and in what way. These studies may ultimately help to improve the diagnosis of active tuberculosis which normally relies on culture of the bacilli, which can take up to 6 weeks, and sometimes the bacilli cannot be obtained from sputum thus requiring invasive techniques such as bronchoalveolar lavage (BAL). In some cases (30%) the bacill cannot be grown from sputum or BAL. Any diagnostic tool would need to be valid across a range of ethnicities, and be valid in both high and low incidence countries. A further aim was to determine whether latent TB patients have a distinct homogeneous or heterogeneous signature, since it is not currently possible to determine using present tests (Tuberculin skin test - TST - or MTb antigen responsiveness of blood cells to produce IFN-gamma - IGRA assay) whether the mycobacteria have been cleared, are still present but are controlled by an active immune response, or to predict which patients will develop active TB. Defining heterogeneity in the latent TB patients would be an important step in developing diagnostics which could detect those most at risk of developing active TB, and thus enable targeted preventive therapy. The latter situation may be determined if Latent patients have a blood transcriptional signature similar to that in Active patients. The transcriptional signature in whole blood and cell subsets from Active TB patients may also provide information as to the factors leading to immunopathogenesis, thus possibly identifying therapeutic targets. The transcriptional profile in latent TB may give information regarding protective factors controlling the infection, important for vaccine development. Finally, definition of a transcriptional signature which responds to therapy could facilitate the development of surrogate biomarkers for drug or vaccine studies.	MICROARRAY	GSE19491	E-GEOD-19491	Baylor Institute for Immunology Research	FALSE								20725040	498	498	498	2009-12-15
23834	Genome wide transcriptional profiling of HIV positive and negative children with active tuberculosis, latent TB infection and other diseases	Diagnosis of childhood tuberculosis and host RNA expression in Africa.	This SuperSeries is composed of the SubSeries listed below.	MICROARRAY	GSE39941	E-GEOD-39941	Imperial College London	FALSE								24785206	491	491	491	2012-08-07
23905	Human whole blood microarray study to compare patients with tuberculosis, sarcoidosis, pneumonia, and lung cancer	Transcriptional blood signatures distinguish pulmonary tuberculosis, pulmonary sarcoidosis, pneumonias and lung cancers.	This SuperSeries is composed of the SubSeries listed below.	MICROARRAY	GSE42834	E-GEOD-42834	MRC National Institute for Medical Research	FALSE								23940611	356	16	16	2012-12-10
23762	Genome wide transcriptional profiling of HIV positive and negative children with active tuberculosis, latent TB infection and other diseases from South Africa and Malawi	Diagnosis of childhood tuberculosis and host RNA expression in Africa.	The study aimed to define transcriptional signatures for detection of active TB (TB) compared to latent TB infection (LTBI) as well as to other diseases (OD) with similar clinical phenotypes in patients with and without HIV in two African paediatric populations.	MICROARRAY	GSE39940	E-GEOD-39940	Imperial College London	FALSE								24785206	334	334	334	2012-08-07
23612	Deciphering the genetic architecture of variation in the immune response to Mycobacterium tuberculosis infection (expression)	Deciphering the genetic architecture of variation in the immune response to Mycobacterium tuberculosis infection.	Identification of genetic polymorphisms associated with inter-individual variation in immune response to Mycobacterium tuberculosis infection.	MICROARRAY	GSE34151	E-GEOD-34151	luis	FALSE								22233810	259	259	259	2011-12-05
23764	Detectable changes in the blood transcriptome are present after two weeks of antituberculosis therapy	Detectable changes in the blood transcriptome are present after two weeks of antituberculosis therapy.	Analysis of UK blood transcriptional profiles before treatment to indentify changes that occur during (2 weeks, 2 months), at the end of treatment (6 months) and after treatment (12 months)	MICROARRAY	GSE40553	E-GEOD-40553	MRC National Institute for Medical Research	FALSE								23056259	204	204	204	2012-09-03
25325	The transcriptional signature of active tuberculosis reflects symptom status in extra-pulmonary and pulmonary tuberculosis	The Transcriptional Signature of Active Tuberculosis Reflects Symptom Status in Extra-Pulmonary and Pulmonary Tuberculosis.	Background:   Mycobacterium tuberculosis infection is a leading cause of infectious death worldwide. Gene-expression microarray studies profiling the blood transcriptional response of tuberculosis (TB) patients have been undertaken in order to better understand the host immune response as well as to identify potential biomarkers of disease. To date most of these studies have focused on pulmonary TB patients with gene-expression profiles of extra-pulmonary TB patients yet to be compared to those of patients with pulmonary TB or sarcoidosis.	MICROARRAY	GSE83456	E-GEOD-83456	National Institute for Medical Research (NIMR)	FALSE								27706152	202	202	202	2016-06-16
4568	Adjuvant associated peripheral-blood mRNA profiles and kinetics induced by the adjuvanted recombinant-protein candidate tuberculosis vaccine M72/AS01 in BCG-vaccinated adults	Adjuvant-Associated Peripheral Blood mRNA Profiles and Kinetics Induced by the Adjuvanted Recombinant Protein Candidate Tuberculosis Vaccine M72/AS01 in Bacillus Calmette-Guérin-Vaccinated Adults.	Systems biology has the potential to identify gene signatures associated with vaccine immunogenicity or protective efficacy. The main objective of our study was to identify optimal post-vaccination time points for evaluating blood RNA-expression profiles in recipients of the candidate tuberculosis vaccine M72/AS01. In this phase II open-label study (NCT01669096), healthy Bacillus Calmette-Gurin (BCG)-primed, HIV-negative adults were administered two doses (30-days apart) of M72/AS01. Blood samples were collected pre-dose 1, pre-dose 2 and 1, 7, 10, 14, 17 and 30 days post-dose 2. RNA expression in blood and peripheral-blood mononuclear cells (PBMCs) was quantified using microarray technology. The data analysis used as a reference, a PBMC-gene signature that was associated with the protective efficacy of a similarly adjuvanted candidate malaria vaccine. Peripheral-blood CD4+ T-cell reactivity, serum interferon-gamma (IFNG) concentrations and safety were also assessed. Twenty subjects completed the study and 18 subjects received two doses. The observed safety profile was similar to previous trials. Serum IFNG responses and M72-specific CD4+ T cell responses to vaccination were detected as expected, based on previous trial experience. PBMC and whole-blood RNA-expression data at day 14 post-dose 2 relative to pre-vaccination and whole-blood RNA-expression data at 7, 10, and 17 days  post-dose 2 relative to pre-vaccination could be used to classify vaccine recipients into gene-signature positive or gene-signature negative groups. In conclusion, whole blood sampled from the 7, 10, 14, or 17  day post-vaccination time points, in addition to pre-vaccination, could be selected to assess potentially clinically relevant responses to M72/AS01 using transcriptome analysis.	MICROARRAY	GSE102459	E-GEOD-102459	GSK Vaccines	FALSE								29632533	164	161	161	2017-08-09
23719	Genome wide transcriptional profiling of HIV positive and negative children with active tuberculosis, latent TB infection and other diseases from Kenya	Diagnosis of childhood tuberculosis and host RNA expression in Africa.	The study aimed to define transcriptional signatures for detection of active TB (TB) compared to latent TB infection (LTBI) as well as to other diseases (OD) with similar clinical phenotypes in patients with and without HIV in a paediatric cohort from Kenya	MICROARRAY	GSE39939	E-GEOD-39939	Imperial College London	FALSE								24785206	157	157	157	2012-08-07
2014	Tuberculosis Patients Blood Gene Expression Through Treatment	Distinct phases of blood gene expression pattern through tuberculosis treatment reflect modulation of the humoral immune response.	Background  Accurate assessment of treatment efficacy would facilitate clinical trials of new anti-tuberculosis drugs. TB patients exhibit altered peripheral immunity which reverts during successful treatment. We hypothesised that these changes could be observed in whole blood transcriptome profiles.  Methods  Ex vivo blood samples from 27 pulmonary TB patients were assayed at diagnosis and during conventional treatment. RNA was processed and hybridised to Affymetrix GeneChips, to determine expression of over 47,000 transcripts.  Findings  There were significant changes in expression of over 4,000 genes during treatment. Rapid, large scale changes were detected, with down-regulated expression of ~1,000 genes within the first week, including inflammatory markers such as the complement components C1q and C2. This was followed by slower changes in expression of different networks of genes, including a later increase in expression of B cell markers, transcription factors and signalling molecules.  Interpretation  The expression of many genes is drastically altered during TB disease, with components of the humoral immune response being markedly affected. The treatment-induced restoration reflects the simultaneous suppression and activation of different immune responses in TB. The rapid initial down-regulation of expression of inflammatory mediators coincides with rapid killing of actively dividing bacilli, whereas slower delayed changes occur as drugs act on dormant bacilli and as lung pathology resolves. Measurement of biosignatures during clinical trials of new drugs could be useful predictors of rapid bactericidal or sterilizing drug activity.	MICROARRAY	GSE31348	E-GEOD-31348	London School of Hygiene & Tropical Medicine	FALSE								22872737	135	129	129	2011-08-12
24428	Blood Transcriptional Signature of hyperinflammation in HIV-associated Tuberculosis	HIV-tuberculosis-associated immune reconstitution inflammatory syndrome is characterized by Toll-like receptor and inflammasome signalling.	Patients with HIV-associated TB are known to experience systemic hyperinflammation, clinically known as immune reconstitution inflammatory syndrome (IRIS), following the commencement of antiretroviral therapy (ART). No prognostic markers or biomarkers have been identified to date and little is known about the mechanism mediating the hyperinflammation. We recruited a prospective cohort of 63 patients with HIV-associated TB, 33 of whom developed TB-IRIS. Of which transcriptomic profiling was performed using longitudinal whole blood RNA samples from 15 non-IRIS and 17 TB-IRIS patients. Transcriptomic signatures that distinguish patients who would eventually develop IRIS were identified as early as week 0.5 (2-5 days post-ART) and predicted a downstream activation of proinflammatory cytokines. At the peak of IRIS (week 2), transcriptomic signatures were overrepresented by innate receptor signaling pathways including toll-like receptor, IL-1 receptor and TREM-1.	MICROARRAY	GSE58411	E-GEOD-58411	National Institute for Medical Research	FALSE								26399326	107	107	107	2014-06-11
23863	Human whole blood microarray study to compare patients with tuberculosis, sarcoidosis, pneumonia, and lung cancer (training)	Transcriptional blood signatures distinguish pulmonary tuberculosis, pulmonary sarcoidosis, pneumonias and lung cancers.	This study used whole blood transcriptional signatures from patients with tuberculosis compared to those with similar pulmonary diseases, sarcoidosis, pneumonia and primary lung cancer. TB and sarcoidosis had similar signatures that were distinct from pneumonia and lung cancer.	MICROARRAY	GSE42830	E-GEOD-42830	MRC National Institute for Medical Research	FALSE								23940611	95	16	16	2012-12-10
21967	Transcription profiling by array of human dendritic cells and macrophages infected with Mycobacterium tuberculosis	Probing host pathogen cross-talk by transcriptional profiling of both Mycobacterium tuberculosis and infected human dendritic cells and macrophages	Human monocytes were purified from cytapheresis rings and differentiated into macrophages or DCs according to a previously described procedure
	MICROARRAY	E-MEXP-3521	NA	University of Milano-Bicocca	TRUE									72	72	72	2011-09-28
4071	Excessive Cytolytic Responses Predict Tuberculosis Relapse After Apparently Successful Treatment	Excessive Cytolytic Responses Predict Tuberculosis Relapse After Apparently Successful Treatment.	Background	MICROARRAY	GSE67589	E-GEOD-67589	London School of Hygiene & Tropical Medicine	FALSE								26351358	57	56	56	2015-04-06
