organism_ch1	series_id	geo_accession	CLASSIFICATION	title	SAMPLE_TYPE	CELL	TISSUE	TB	source_name_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	platform_id	cell.type.ch1	tissue.ch1	time.ch1	TIME_POINT	CONTRAST	SIGNATURE_NAME	SAMPLE_CONDITION	EXPRMAT_PATH
Homo sapiens	GSE18794	GSM466281	disease without treatment	HuMonocytes_Cpn60.1_2hr_rep2	PRIMARY_SAMPLE	MONOCYTES	BLOOD	MTB_Cpn60.1	Human monocytes, incubated with 10μg/ml Cpn60.1 for 2 hrs	cell type: Human peripheral blood-derived monocytes	agent: incubated with 10μg/ml Cpn60.1 for 2 hrs		total RNA	GPL6244	Human peripheral blood-derived monocytes			2h	MTB_Cpn60.1_control	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	GSE18794_MTB_Cpn60.1_2h_blood_monocytes	data/v2/microarray_data_forDE/expression_matrices/GSE18794.tsv
Homo sapiens	GSE18794	GSM466282	disease without treatment	HuMonocytes_Cpn60.1_2hr_rep3	PRIMARY_SAMPLE	MONOCYTES	BLOOD	MTB_Cpn60.1	Human monocytes, incubated with 10μg/ml Cpn60.1 for 2 hrs	cell type: Human peripheral blood-derived monocytes	agent: incubated with 10μg/ml Cpn60.1 for 2 hrs		total RNA	GPL6244	Human peripheral blood-derived monocytes			2h	MTB_Cpn60.1_control	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	GSE18794_MTB_Cpn60.1_2h_blood_monocytes	data/v2/microarray_data_forDE/expression_matrices/GSE18794.tsv
Homo sapiens	GSE18794	GSM466286	healthy control without treatment	HuMonocytes_Medium_1hr_Medium_2hr_rep1	PRIMARY_SAMPLE	MONOCYTES	BLOOD	MTB_Cpn60.1	Human monocytes, pre-incubated in medium for 1 hr, incubated in medium for 2 hrs	cell type: Human peripheral blood-derived monocytes	agent: pre-incubated in medium for 1 hr, incubated in medium for 2 hrs		total RNA	GPL6244	Human peripheral blood-derived monocytes			2h	MTB_Cpn60.1_control	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	GSE18794_MTB_Cpn60.1_2h_blood_monocytes	data/v2/microarray_data_forDE/expression_matrices/GSE18794.tsv
Homo sapiens	GSE18794	GSM466287	healthy control without treatment	HuMonocytes_Medium_1hr_Medium_2hr_rep2	PRIMARY_SAMPLE	MONOCYTES	BLOOD	MTB_Cpn60.1	Human monocytes, pre-incubated in medium for 1 hr, incubated in medium for 2 hrs	cell type: Human peripheral blood-derived monocytes	agent: pre-incubated in medium for 1 hr, incubated in medium for 2 hrs		total RNA	GPL6244	Human peripheral blood-derived monocytes			2h	MTB_Cpn60.1_control	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	GSE18794_MTB_Cpn60.1_2h_blood_monocytes	data/v2/microarray_data_forDE/expression_matrices/GSE18794.tsv
Homo sapiens	GSE18794	GSM466288	healthy control without treatment	HuMonocytes_Medium_1hr_Medium_2hr_rep3	PRIMARY_SAMPLE	MONOCYTES	BLOOD	MTB_Cpn60.1	Human monocytes, pre-incubated in medium for 1 hr, incubated in medium for 2 hrs	cell type: Human peripheral blood-derived monocytes	agent: pre-incubated in medium for 1 hr, incubated in medium for 2 hrs		total RNA	GPL6244	Human peripheral blood-derived monocytes			2h	MTB_Cpn60.1_control	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes	GSE18794_MTB_Cpn60.1_2h_blood_monocytes	data/v2/microarray_data_forDE/expression_matrices/GSE18794.tsv
Homo sapiens	GSE19491	GSM484395	disease without treatment	PTB_LON_tr026_long_0_016	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole blood from patient with active TB before treatment	age: 21years, when baseline sample taken	gender: Female	ethnicity: Black	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484398	disease without treatment	PTB_LON_tr037_long_0_019	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole blood from patient with active TB before treatment	age: 29years, when baseline sample taken	gender: Male	ethnicity: South Asian	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484453	healthy control without treatment	CON_LON_tr023	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 34	gender: Female	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484457	healthy control without treatment	CON_LON_tr025	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 31	gender: Female	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
Homo sapiens	GSE19491	GSM484465	healthy control without treatment	CON_LON_tr039	PRIMARY_SAMPLE	whole_blood	BLOOD	PTB	Whole Blood from healthy control	age: 31	gender: Female	ethnicity: White	total RNA	GPL6947					PTB_control	GSE19491_GPL6947_PTB_control_blood_whole_blood	GSE19491_PTB_blood_whole_blood	data/v2/microarray_data_forDE/expression_matrices/GSE19491.tsv
